"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,5.59928669892596,4.96235168687436,5.76377302134262,5.71063749862585,4.90550750349843,3.62048276471556,4.43452783877721,6.92692499872813,5.35712443600316,6.17194196604017,6.59823135782917,10.5512727114051,5.67135420224292,6.52693032447258,7.37755478086422,6.2774491518868,7.21681061540082,6.74672698629474,7.81111389854441,9.3910087956346,9.28374759364615,7.62287002550971,7.78105977460927,10.3191640239657,8.74915622082348,8.47490299635643,7.17392051022077,10.7345364190583,11.2462867014483,9.35188496088711,10.0711953838084,5.91374111558433,10.2245433039023,9.08606070576429,9.78225682147374,7.82390818130854,6.61650840207455,11.0644325644851,9.04339976110781,6.22204782164651,4.6595119292432,4.69400685952533,5.41507785523695,4.78613642901579,5.2194513223372,4.28436283110019,3.82529847152592,4.1921433054513,3.16769172827306,5.99794108855526,6.97599787621505,5.63618374383088,8.98958934685283,5.14575661768777,5.44325495267276,5.9407228939394,6.37070789686562,5.5850910149942,5.23439798257397,5.89931611692406,8.60633320401866,6.53362870188541,7.54107994576602,7.33898389002274,9.42478172668219,7.25111451519619,8.23256074108271,9.25135406644414,7.80309093627608,8.67279013547219,8.7812000351942,8.0153334692867,8.0409967327109,8.48463365208941,8.30643505187965,10.4544080882563,6.68274662823514,9.19657007216573,8.69084072917561,6.98533635044411,6.1712734435673,6.91266748289777,6.92398050439652,5.34093540945467,8.13218773484077,3.90991631117217,3.12785764898769,3.75458978938822,3.1049129136009,4.04624921662277,7.40811298873016,5.53535160960099,10.1326213043885,4.21158284924187,4.33737753132411,4.34782695652846,5.19254110523895,4.89999958628418,5.60153999001457,11.9444474317464,11.875591348293,10.9418574428333,8.35704399338566,11.4039792703441,10.9229264128003,7.37495037440124,11.4264837938755,10.9854602905116,7.98304108905316,11.1872372522641,11.4509045857415,10.2915817588852,8.15703968425401,12.0485427605161,9.24252361540292,11.4547288576962,6.38023231901547,11.4670649845528,10.1632660943728,7.40503548059528,7.69805905318463,6.56646243878912,7.538786585508,6.65584885877458,8.220849418577,6.62332183466664,7.16007858235269,6.92888391048728,5.24478442491613,7.66677998004712,8.24742103709824,7.64764191367686,10.3454636031498,6.69280731664073,7.64162496743702,7.36919089224192,7.36065374764557,7.62050825787454,7.00914619456938,9.56221974557159,9.26516912989068,7.85355863287996,7.6493004505524,8.40412589487707,9.89727894403677,7.47740589506899,8.98709330010829,8.6788317298984,8.78925533150673,8.10990279368937,8.53686242876615,8.75694595339924,8.08740805366048,9.95527025007882,9.35180519826488,9.18533003034212,7.1989920224429,7.52310135535791,8.35922184692868
"fr2_00",5.59928669892596,0,6.0864053806048,6.9502735025012,6.8873589583156,6.26313108645242,5.30713155887173,5.86533548856963,7.88797396558401,6.55862280878297,7.22798633420411,7.47492548360536,11.6833950631453,6.5552239547433,7.35777649146231,8.49042067556044,7.38858397769579,8.03766489097728,7.81344607336694,8.87760875929947,10.0623753579721,9.94145826110755,8.36358260345477,7.98015963164827,11.0136449182451,9.43220038504564,9.37598880195026,8.1200720385806,11.4578086298795,11.8624921645696,10.1001845836818,10.7318005541552,7.07748987695867,10.9334960963572,9.80383012355407,10.4541105246046,8.68651652415784,7.45278220283794,11.7739049230089,9.66167920133916,7.27575665227089,6.13607897544375,6.23307632994648,6.76488149708069,6.23170224136509,6.55244225749054,5.86816734108509,5.48076746720186,5.76852042322145,4.98528816489164,7.16980084882183,8.33425921683346,6.93374116431324,10.2262211684114,6.61503521006643,6.72505138741913,7.22276137692068,7.49037433516989,6.7350961819371,6.66699786634827,7.23129173472085,9.37202989716583,7.46336608134471,8.40842160325468,8.2690065049725,10.2119193600462,8.03829940880582,9.2512930899173,9.83435985232362,8.39769453002242,9.58802537375807,9.51017355667388,8.85569124051469,8.83161903353138,9.33828139245497,9.14340609011753,11.2042171840945,7.61217585264252,9.96875954540372,9.42924443762173,7.85577006149046,7.18136953128551,7.68808771306735,7.50695851126697,6.61077378235202,8.85877634271382,5.61465359718522,4.97681627490139,5.44296394657949,4.96417430488061,5.67792296928267,8.48414026410631,6.78583743725638,11.3452571123191,5.83471917822717,5.91465052040857,5.87688947491892,6.60676021475354,6.41655401349501,6.88824462413381,12.5847662663208,12.5143403353128,11.5746311497748,9.40694419091324,12.0602733827487,11.6340748368077,8.0246358074628,12.1183326008478,11.6556877713062,8.72973932174562,11.8867006784947,12.1324720278817,10.9356807665165,8.91810450973249,12.6920947901458,10.0721459829234,12.1602025333872,7.34191225110627,12.1811888745203,11.0055751728558,8.14041100807979,8.3061671483154,7.48570473499738,8.21440099726079,7.47695732365696,8.86515771412829,7.46135453604261,8.03658538642974,7.51104667759221,6.30052116601603,8.45167205696492,8.85163163069035,8.33673111437796,11.4941913287361,7.59348042670953,8.4781104503289,8.00078854031442,8.26040588391606,8.26091578528466,7.83605027220544,10.2009068944877,9.81510587894635,8.4591022997946,8.37999784565156,9.12669292819833,10.5374409120442,8.09308975964793,9.61081324876264,9.3346081741219,9.58242756524884,8.66346627979161,9.15707280180011,9.37444444430745,8.7694577515943,10.5431608566324,10.0053338010164,9.76446460575541,7.89090758338564,8.09044703394718,9.06745758006006
"fr3_00",4.96235168687436,6.0864053806048,0,6.10314628721832,6.04707969263519,5.52278432381255,4.61387777541987,5.23297634959325,7.06847911224175,5.63911330510958,6.37438909873016,6.56654288973158,11.1858893182335,5.68801949257525,6.20423408078995,7.77005797182349,6.58443433263355,6.90483305805351,7.04648189437166,8.28940307971589,8.96406043925661,8.70737867000947,7.24739313426459,7.03760453247862,9.87026689444877,8.42439798191369,8.51992730621306,7.36416476065213,10.2930838533748,10.5510819890332,8.98370267556175,9.57488374974796,6.42148848589754,9.80968022518484,8.67227554890598,9.30009909348632,7.6569700859299,6.35783933834767,10.5745104819843,8.58969680048242,6.41695694987035,5.46978053832864,5.62488941654775,6.09586183905382,5.57576771396275,5.79515089407669,5.1582559980319,4.82288190170933,5.13252751974119,4.35474635978475,6.4131777965434,7.70445219560962,6.20562383256422,9.6854443917415,6.03533605171567,5.93849237256391,6.58979654690055,6.6303004257046,5.81591155417611,6.05843028808575,6.50121904090549,8.33679379676981,6.41978466029192,7.43106096265185,7.46174808389316,9.14337362615384,7.03453127737085,8.31212575507942,8.54714700995119,7.27676801267489,8.62013743146364,8.53728996951842,7.88264230451858,7.95360957893068,8.41494057622202,8.18525283088746,10.1629728095149,6.74464554966711,8.79781794101612,8.32861204708148,6.83118468787184,6.17419733717004,6.40668547111113,5.87068718007519,5.77049297811479,7.87752458661247,4.93809957785438,4.33362216806391,4.78517249808931,4.35555097124925,5.01875786648161,7.65965895655304,5.91805775816246,10.881939888775,5.20046765249374,5.27420868807342,5.18941650425013,5.87461972231878,5.74559343412891,6.18417923361454,11.2669950163634,11.2664860879795,10.3155302998527,8.32598756696489,10.8333058148234,10.4295356014481,6.84431414378929,10.8702143324536,10.3566272781346,7.92392383781053,10.6389179792,10.8736563540893,9.65550740136321,8.17187639551436,11.4352280599991,8.97597949283777,10.9707949604962,6.33867961200304,10.9442934956667,9.951507565967,7.03839599738629,7.03212924463226,6.57550258708323,7.17973921061048,6.51267326225635,7.7112669478196,6.24041869950897,7.14415386407458,6.2936079088989,5.1440532303359,7.6414083096153,7.69209934482652,7.20329633881001,11.0099096485258,6.89019121483408,7.54274422336574,6.87417910633074,7.4339958811863,7.22209788443293,6.855730728039,9.02086075524368,8.49487257386622,7.15314449809201,7.3468488786532,8.29083795399713,9.37491692113814,6.95500160937424,8.47009867860173,8.17926513809881,8.79843512747484,7.42298286645859,7.92775155212397,8.13501244248597,7.82309270731673,9.26164475657861,8.75198461876162,8.57874238153955,6.82962619817407,6.80405505374113,8.04413100150206
"fr4_00",5.76377302134262,6.9502735025012,6.10314628721832,0,6.6379146586741,6.12010006474908,5.29232583317082,6.09287208926768,8.12243563552912,6.48025110806591,7.24067757867583,7.47268062946916,11.8563099119023,6.59724988191491,7.18684822933721,8.59221713716706,7.43280121902803,7.34928441277021,7.77828244467117,9.12257471686579,9.30453525330937,8.2507419907848,7.77853771686819,7.98792500418545,9.72672578840461,8.85626020877335,8.91498929404604,8.24558036174329,9.94348367761051,10.1641310394429,8.83062986522328,9.44318962471613,7.39298198476404,9.67376108441148,8.49808798006584,9.25952722433785,8.16347964541182,7.37477138026403,10.1774431275923,8.89460188437055,7.26480062957816,6.28808286534733,6.31434773005657,6.99640487819033,6.39282397935057,6.44885542074064,5.72982890970007,5.48472594540298,5.87337859630442,5.00142688617904,7.21422591030423,8.42253158969639,6.85870663984945,10.3714764519027,6.78422650075128,6.64387461041068,7.49210035341787,7.31987591206857,6.60462122936004,6.82695418719225,7.14457948096108,8.83653834864168,7.10704494586065,8.10725265289863,8.35621133954155,9.29273420973017,7.8654306364869,8.51280299898738,8.77014717317633,8.23238139616401,8.91665148176423,9.16703017049757,8.39740661824015,8.82976535813256,8.88478573028876,8.69598773179949,10.0376590672894,7.5011066335411,8.96081373844744,8.55372468052749,7.49224232214551,6.79505459587651,7.30771712151172,6.98515685868502,6.38775279453961,8.72741434296059,5.52118101643369,4.97835321434883,5.45067960319394,5.02657436979751,5.70759487761143,8.33818392086816,6.52446116797913,11.5578353606328,5.91860338651917,6.00239897329382,5.91957770825879,6.56373282609132,6.49043633994729,6.91688930944245,10.5437132520185,10.6621771980565,9.91802580473675,8.20919851439534,10.3374266504963,10.0084274893309,7.43601715814898,10.2426208524957,9.92599038928483,8.76764452244641,10.1236217988728,10.2624596103474,9.27605411690986,9.26938851354907,10.7642327264093,8.888316419577,10.4674046288209,6.97987657065693,10.3466253308951,9.70759682868161,7.89079819016341,7.84887487335012,7.45976442713469,8.07987442815311,7.32701429107707,8.07808096231552,7.12711593651552,8.02934147121144,7.15787295083345,6.0216334937344,8.51487595047393,8.60036723589993,8.15507054299913,11.6856581416497,7.83398673074485,8.42889942919203,7.74767033475826,8.3623479311725,7.88501151028948,7.50189739363887,9.26040326107929,8.70923474967417,7.4601075201729,8.01343912080049,9.07523721671851,9.47142083653402,7.77106151388465,9.03263508286424,8.60179898228497,9.52420216020636,8.08506636126587,8.48831643117965,8.35514330003348,8.62152447314366,9.31076924311635,8.92758394594671,8.90338666519976,7.67621763651099,7.67320922797031,8.28674992200382
"fr5_00",5.71063749862585,6.8873589583156,6.04707969263519,6.6379146586741,0,5.99960823110006,5.27185387224122,5.81046120535406,7.84667035877792,6.41639129592544,7.16295076142688,7.46194257284223,11.432049531225,6.53535274532686,7.24441248065069,8.40218586915042,7.32447484097516,7.39199033420055,7.69478784322546,8.80147020051671,9.33989445257596,8.41679325481241,7.84163690855441,8.2506523888027,9.74239869933539,8.77045650079277,8.8015744943953,7.99821538596906,9.94598076374849,10.3379907774017,8.90338231318938,9.57848481449717,7.10251507073869,9.76663431273506,8.51487181137555,9.27326313916055,8.05211118368798,7.32153767827292,10.2435128205409,8.92622975188775,7.22997890070242,6.18953533615047,6.28690945058196,6.81029251982373,6.24987670669433,6.34135535691083,5.78286277331135,5.53239694795807,5.85676869517621,5.10663562456248,7.22681176238049,8.23392594905607,6.77128215250821,10.02316940352,6.61951312495107,6.52875049453458,7.23384087795349,7.2900147467631,6.70935430750952,6.75030901940105,7.04400643841091,8.75300718044352,7.12706824755691,8.04353013142081,8.14453725455038,9.26820569859513,7.81067279311375,8.48207565268675,8.91253946753333,8.21241473052769,8.8067246139044,8.97578034607669,8.24343730562537,8.73380608430768,8.72343736052323,8.56631030366778,9.98825255998525,7.53972574494078,9.03196618146682,8.61728000595417,7.63444252023252,7.0188560075833,7.47242599642754,7.14694238216762,6.47333027877414,8.68236442443715,5.60489588924014,5.05719934672953,5.49508366167093,5.10857764887645,5.77059006268807,8.3283286707754,6.641198046604,11.1269864539224,5.91691076455355,6.00984478500493,5.94687249591204,6.60156146455359,6.4263337847652,6.85800808318588,10.6937353567961,10.7366563220858,10.0872166993776,8.39482926571183,10.4524055904281,10.1031255923054,7.72832013957644,10.3901996248671,10.0657098811627,8.58772562500804,10.2353274803248,10.3797533342426,9.50686952368637,8.91294924307672,10.8408757469316,8.99539795217177,10.5112727418361,7.18291525963076,10.4527351662096,9.74021872508215,7.8807986753174,8.04791831642128,7.31301448583942,8.11836987272118,7.18037327535735,8.15520073552548,7.28876713316183,7.83399593956424,7.31934324507833,6.1577624405714,8.34909671333115,8.66686734829268,8.14733192411737,11.2475420663381,7.61585760444389,8.311244528407,7.81872570155557,8.15959808472264,7.99049101446693,7.57572675059567,9.31346136434961,8.87548422127914,7.64929532175612,7.95463581378192,8.9039252449367,9.55290064116394,7.78492673137138,9.02079535793296,8.62827555317847,9.37842273282198,8.20750828150599,8.54947449839349,8.46077514288646,8.56196999691414,9.46017148215252,9.0194850884629,9.04503054956052,7.64013383501501,7.83599196731537,8.38011388526646
"fr6_00",4.90550750349843,6.26313108645242,5.52278432381255,6.12010006474908,5.99960823110006,0,4.45506999720646,5.09875983406559,7.53256227481496,5.94759830767218,6.70589509780061,7.0453838484677,11.1859021499606,6.08372885951721,6.9302982122866,7.97867573600967,6.82149637096816,7.20094383158448,7.21112755340886,8.39616600745307,9.29638770453672,8.53044690653791,7.69217396076843,8.05775330938119,9.87202471048791,8.67879918243248,8.59217332687333,7.64680400703018,10.1035288756914,10.5274913488985,8.92017831359634,9.6181259272864,6.56858178333835,9.809755390918,8.58277049752214,9.36701284990984,7.87235842688524,7.03241484291164,10.4160247532362,8.87354959518197,6.72984923339396,5.47976043888493,5.52105106461448,6.2274514643039,5.55149278431289,5.77482753414116,5.01446133229279,4.67482401833759,5.05822708520801,4.15072982376299,6.62980552878235,7.7047383866912,6.21544277792827,9.65440973441776,5.90895419156793,5.99508446952951,6.70383922733922,6.84034308163519,6.14957114525321,6.02412735791039,6.47838511010783,8.63636657382222,6.82676640694263,7.79719998583048,7.82773539759335,9.24748321873792,7.53229584762821,8.27916335996355,8.97061844779142,8.10306369423916,8.69876428287719,8.91023191443437,8.12364958018205,8.42128107418548,8.54117141297153,8.4296227040011,10.0698065172416,7.1007042485227,9.01368424255788,8.52270223851325,7.21725964202215,6.51976870274147,7.24183153619305,7.15003553605424,5.83101388770941,8.4207694569931,4.75209230118398,4.11906977676165,4.64663090223688,4.13423119195151,4.92654452307309,7.87805921326746,6.04420269794893,10.8228640532766,5.0829013110661,5.22674522296526,5.17069183928542,5.90141166047667,5.70388397600095,6.2563096499368,11.0250993810142,11.0473149127883,10.2596009036677,8.19003782741659,10.6721257443048,10.2737545784452,7.41679497742479,10.6255181607994,10.3030151609071,8.33896519287546,10.4643853218234,10.6353899110527,9.6187595895215,8.68308359954009,11.1738780156772,8.92801829603843,10.7541460856758,6.69730203890263,10.7017049104628,9.73534969448442,7.6026722183558,7.78242789025412,6.94687572877134,7.87162556425494,6.84994550505767,8.05164058223509,6.92903976060207,7.51947094432573,7.10245468433887,5.73150815238309,8.0617919861268,8.51268390524423,7.94208952335159,10.9843808133216,7.16447440442025,8.03904413118526,7.58737520939468,7.81934675348598,7.7574833842871,7.24422611782229,9.35079554876387,8.95636598541977,7.59927897885106,7.75534760313742,8.66937577476632,9.57318964047076,7.64148945583217,8.97245012040984,8.6038427384974,9.16571132550029,8.14582365993502,8.52153236033538,8.48075671504782,8.33374928990817,9.53988490037419,9.0705226786323,8.99144790889445,7.44279100340678,7.721755196574,8.22253047487309
"fr7_00",3.62048276471556,5.30713155887173,4.61387777541987,5.29232583317082,5.27185387224122,4.45506999720646,0,4.05702490176407,6.67814465559613,4.95107411341662,5.83025635645442,6.28598275094062,10.3151260425152,5.33761879192554,6.20043924999672,7.07221008543848,5.94777293948125,6.75376836070359,6.37427759270268,7.55331269030768,8.93535700474511,8.58953548132462,7.20256796192695,7.55852146722138,9.71476678665393,8.32967998957453,8.03432757714351,6.90765149781891,10.0444655067314,10.5413662110999,8.73197959547574,9.46814173376636,5.63006186682881,9.61363868804919,8.49701002789975,9.19455737252669,7.38710657546933,6.34345593264433,10.3580490082674,8.58870884413374,5.89733800097417,4.25825607940164,4.26013855853953,5.07927856215947,4.39675789886777,4.79515706863289,3.76753798403044,3.33147342388836,3.75831854478687,2.63576082236975,5.65657033428096,6.61905359917515,5.23046164059738,8.69672495017336,4.74368971958531,5.03413342370482,5.61605747812819,5.97945242580247,5.1822334746282,4.8363403313657,5.47117579324703,8.231716915895,6.16191099518323,7.20871804088992,7.09528765019843,8.9117924259633,6.96311956089633,7.70083208194478,8.72960957154297,7.55185598960027,8.21165098634098,8.46475894362968,7.64721226907704,7.7818581600137,8.08310753392838,7.93456828884646,9.87262141713097,6.4009547435835,8.64489367191215,8.21638049284387,6.60950342885563,5.74485774844516,6.57994151923382,6.58552874661309,4.89362309778231,7.83067910986734,3.37249781088011,2.57897073350084,3.24733836319123,2.57289101322593,3.56794322516712,7.0584446778331,5.08407351392694,9.88383250870905,3.74314725370776,3.87813386438117,3.894814895624,4.7449378675783,4.45854107506598,5.21063445795147,11.1272504915155,11.1183058641188,10.25098846438,7.68139631967092,10.6754130711122,10.2076542497312,6.99916539421723,10.6438197320545,10.246626106101,7.73707863015392,10.4342816964742,10.6735288786981,9.60182207866417,7.97464222342631,11.2675198901132,8.62721831054803,10.7286411739237,5.99081853762433,10.6854777426825,9.50126067080071,7.08141345137583,7.3668814515591,6.24706576274725,7.25452733353017,6.33600450900196,7.76261747989872,6.25029506341551,6.86718753471306,6.59300867886158,4.83748221806827,7.41894847146873,7.96062167683401,7.3553683604326,10.1091025578981,6.47635089896274,7.32956301863669,7.06998526491906,7.08580106821778,7.28040290737935,6.64152228391105,9.0717359649739,8.74136261656126,7.35229948095032,7.30078872715963,8.1381669993779,9.35680107041384,7.16382423605078,8.58852959958671,8.22883030917285,8.52918685401993,7.72149173744473,8.10946467727943,8.24881788852948,7.81851109837907,9.38691130013828,8.80469762356685,8.73578558321155,6.88728696487838,7.18712008041815,7.90990953770297
"fr8_00",4.43452783877721,5.86533548856963,5.23297634959325,6.09287208926768,5.81046120535406,5.09875983406559,4.05702490176407,0,7.05711321974463,5.66330162030829,6.42205052662554,6.82828901793632,10.7511787816027,5.83324483924932,6.82518488964971,7.6186323300782,6.50326500760601,7.44203868095849,6.83626635960796,7.90381344539868,9.58327101205641,9.47506337487227,7.8521634967318,8.11101315774645,10.493622530558,8.8607300251632,8.64594168433922,7.27985258752584,10.8640347692751,11.4763427147156,9.53975251988195,10.3028466843646,5.97149120027333,10.4495479155019,9.20671068685658,9.9316865853536,7.9528341701048,6.82860098386096,11.2416901760013,9.21631474628944,6.46075480829879,4.99702458460595,5.12041544400315,5.68603217664034,5.07158803282109,5.48276433036282,4.73623949008069,4.31214059863209,4.61145124732026,3.74703899290952,6.31851854611284,7.28822128870992,5.93216250378311,9.21312768381318,5.3919899241611,5.69547705187275,6.15532608142274,6.6486406718318,5.99198769592367,5.47191044700096,6.17879370426323,8.7160264956845,6.79521668829127,7.70531063679988,7.46707924086224,9.59159573785562,7.40751396040184,8.46888929330495,9.51789474583162,8.02128045619439,8.8236660771084,8.83649950740966,8.10895162385727,8.19548284346191,8.54884659701637,8.42622688078222,10.5736178667667,6.95224097901989,9.45479035843547,8.89939043921948,7.28029721291925,6.57906106805096,7.28816612811942,7.30276456897246,5.6935035727538,8.20346138356012,4.43976710622433,3.7012068782699,4.25816630127437,3.68211540948861,4.54507294502849,7.72902231679697,5.93988820134325,10.3369864324282,4.64373403573555,4.80841900326212,4.78194966170071,5.61146846071779,5.28581060482499,5.90965531043062,12.1637219399785,12.0446602498866,11.1711549907181,8.7326085165311,11.6092041363676,11.1074153973618,7.70548795835506,11.6570518504838,11.2345648706293,8.04341110664028,11.4014567921663,11.6540468486924,10.5540848912619,8.14199068171745,12.2170478160472,9.47664574870253,11.6254244895024,6.73573859087807,11.6837528341501,10.3038088602122,7.58545983040052,7.97662276079139,6.68750878763403,7.80803418684785,6.72010766813183,8.37476492183157,6.97815472662941,7.25389222301825,7.20113988995947,5.66084602043819,7.80196743362875,8.53762707177636,7.88902321478741,10.5293787905193,6.76568220588078,7.82705260421798,7.60466302528955,7.47012294259367,7.8694675878182,7.27453324245297,9.79371536819123,9.53778506770216,8.11955395651491,7.78967032474659,8.50435658354949,10.0296918296445,7.68911006219802,9.17202401532755,8.88775894321828,8.97905791539742,8.39155931506971,8.77645884196024,8.98583914694286,8.25440914869823,10.1995881704993,9.59350118697446,9.42840558914821,7.38868196599199,7.85699856746818,8.58358364966119
"fr9_00",6.92692499872813,7.88797396558401,7.06847911224175,8.12243563552912,7.84667035877792,7.53256227481496,6.67814465559613,7.05711321974463,0,7.39059703743755,8.09570384514526,8.30682487336113,12.6429901966469,7.52239725203427,7.89116833992811,9.19740457988852,8.08208612849027,8.67413537196792,8.84856844005346,9.61791538464963,10.7096460712575,10.6473547035377,9.25350204095357,9.21309315746889,11.518611713989,9.80181574777487,9.89878661958384,8.31532359660506,12.1173816445564,12.586515518005,10.7771354352843,11.4146023486891,7.81739707907197,11.8458681006295,10.1318586349825,10.8931057785437,9.1811817114547,7.77331309432466,12.4493927102847,10.2352398740968,7.65732301875454,7.03066265149213,7.30585183556132,7.1029768936533,6.97836402500656,7.2244116730935,7.17130241375711,6.85451754710538,6.82417876064818,6.51333473689901,7.8970421140866,9.19959644262816,7.598911933269,11.1389428065128,7.51570892324668,7.32550953970602,7.17557291326262,8.11212021642165,7.73327991652904,7.84047505796315,7.88568069905533,9.44119504291878,7.84516866944041,8.48279852236384,7.98228019910385,10.446367270131,7.9936903486589,9.74217093607376,10.4409769271405,8.36266690089101,9.67206377704181,9.19474602370949,8.72629995477047,8.43273331912177,9.47801981328221,9.00124964331684,11.5507725933332,7.88846708479011,10.5993331439035,9.88994707256076,8.39168719201875,8.03943404386934,8.26514011343027,7.98287255081929,7.54455483390712,9.55274931216698,7.04078774897889,6.51461509892153,6.73732220047561,6.4600156505818,6.91392942665895,9.24019784554101,7.838109857523,12.3079155910553,6.94618926675174,7.10968216082944,6.98018992926577,7.70209230020561,7.45508173181502,7.55566537388863,13.3223759911195,13.0347165677179,12.1516964308159,10.4061492739854,12.6276932032747,12.3378473515143,8.63383545517327,12.8501008755345,12.4188409375433,8.5442737041826,12.5569253986277,12.8650241799768,11.6104633270902,8.19710798139925,13.2266533833662,10.887161334952,12.6601679866504,8.09629258930238,12.9662745682839,11.8728108842214,8.68252353374198,8.89112889143314,8.19464370063731,8.90231166242546,7.90227531140078,9.61052457130368,8.32352307362422,8.22185615946454,8.20697218777982,7.33642892456243,8.81547715212187,9.36956432420953,9.03671070965638,12.4124130891352,8.12987683701758,8.76894894009176,8.39392269685655,8.46417173682186,8.84540081802726,8.82367373109113,10.8450444055019,10.4652915892182,9.18373181804757,8.7358715654903,9.20620608659422,11.3379870263767,8.29981349850042,9.81248704310854,9.79375190970648,10.3642376232396,9.31482953284463,9.73648716303187,9.95890497563865,9.1061567187902,11.2053649845075,10.4613604617649,10.3195383995065,8.36610229439411,8.7452736892303,9.89761451698156
"fr10_00",5.35712443600316,6.55862280878297,5.63911330510958,6.48025110806591,6.41639129592544,5.94759830767218,4.95107411341662,5.66330162030829,7.39059703743755,0,6.79611690625558,7.058456922064,11.4555754546986,6.19621777439997,6.6962370603974,8.15509750241205,6.98806742247251,7.27634480512677,7.41598836645798,8.65059884256098,9.26129458824988,8.87361433221773,7.60026546852909,7.62364044826301,10.0433812945226,8.75291256130535,8.78239024120653,7.77248588305215,10.4172692164181,10.6975104760307,9.17748797243318,9.77795713096323,6.88117152935714,10.0016437522905,8.87872409058204,9.50754599043732,8.01857391525636,6.87803533475561,10.6693266146423,8.93706218583205,6.8439775491943,5.84142140344456,5.96499909673588,6.42633903071158,5.94832686913831,6.15652403333891,5.48098129769962,5.18918247059286,5.50106857086602,4.68858430156924,6.82576644404774,8.03279487429694,6.55248820867662,9.97196671266659,6.37346298930382,6.30849331221111,6.85596715567469,6.99884644468232,6.26000519359809,6.41121277956801,6.82892025195326,8.70524684598382,6.83741424374176,7.84729373618997,7.84683127030005,9.38058888377574,7.45274355071358,8.5388493178294,8.8644391433453,7.70019280615865,8.88734579558945,8.87808204125773,8.22019503299902,8.29700580697944,8.7263310496069,8.49940174556561,10.3025867343139,7.19940484963925,9.04069447722643,8.66057451685296,7.26558528413031,6.60136099354187,6.85702502860306,6.3559900190128,6.16269267436537,8.30363197834305,5.2629178528893,4.64801474046837,5.11260506716857,4.6787049675333,5.3655360944628,8.03511239980232,6.29901924858455,11.1403291707657,5.53007177901425,5.60617431481493,5.53507161151787,6.23357518937521,6.08244700383732,6.52164105582931,11.280127871476,11.3048090740033,10.4453193302786,8.51146502093939,10.9015860602906,10.518107920504,7.32207284229664,10.9163675879609,10.4451483615832,8.2768186354942,10.6961212826341,10.9234817523986,9.81951248251658,8.49881097144373,11.4545485622188,9.17459574295145,11.0315326765759,6.77311826380817,10.9742664446875,10.0884435546202,7.53429715258785,7.56363105315196,7.00268873059681,7.64695749531357,6.9758068623136,8.08080224219861,6.76232962644781,7.5251402744097,6.79765299708604,5.59671313625035,8.04610900946983,8.1565935373297,7.70380301050763,11.2770793964456,7.35623146404872,7.9158846814541,7.34922258439453,7.80625242844936,7.65370843485113,7.28852551891571,9.30580896891821,8.79690974342929,7.5301253877197,7.73420922493237,8.65798409834699,9.62639640619295,7.37097965032333,8.79900465475276,8.48199885644563,9.15078889266633,7.84480249544227,8.28434464112419,8.4356496784741,8.23337611006514,9.52631219703731,8.99655174023309,8.92711300650212,7.26659608724554,7.26946243053755,8.3944764468942
