"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,11.2010627421484,11.0413954331314,11.2423660841724,11.3428684960835,9.46325723787225,7.62150661563601,8.90417940602186,13.4972582028088,11.2475362706155,13.0476708594768,13.8818736840029,22.9592546157319,12.3641481043379,13.5324509102463,15.5298354656124,12.6222068549381,14.9325402206433,12.9625879303939,16.3157140876698,15.6482786688522,16.4165610652839,14.7777645506102,16.9662757901753,15.638094416807,14.197978293355,13.7705854736734,14.4520141337313,15.148687569166,15.9808206747332,14.7514014125136,15.1265451823719,12.1124384129445,15.2357237464385,16.1143561730776,15.4698559526546,13.2523087839575,14.701228696156,15.7131281537096,15.0892215362276,12.8911077760515,9.56380957009086,9.54872726678883,10.6189642199333,9.59397386529429,10.727875853706,8.64738825154599,7.78323644086043,8.84981946482887,6.91386508237927,12.2282667732466,14.9218505560345,11.6681683165716,19.3773085004412,10.1197092668351,11.0948277137604,11.4092561373216,13.2493680923673,12.1350749442221,10.2947666910283,11.1578752310013,16.0911143770876,14.0646621383184,14.6150458775908,14.664155946343,15.1913480039576,15.2925702940481,13.6869448641861,16.0166892405149,16.495380614922,14.2273679812994,15.8814000592122,15.2075358143824,14.9890285619583,14.5129962743557,15.2025661467481,15.5515513578264,14.219836012866,14.5777069483624,14.9810924535883,14.6118522662393,13.5168732995041,14.6086990533417,15.4878267292328,11.2588457494095,16.1295237556857,8.06053212680602,6.86263799938807,7.90204058395413,6.8406988972684,8.69617928536987,16.2296287798855,12.5161105664388,22.2547305644476,8.74187033422385,9.20918150126314,9.70858834539527,11.0518804227384,10.1666633888511,11.6749821134903,16.0676030224055,16.2468961555388,16.5393940277418,12.9522415147335,15.9876913909938,15.8377161194407,16.724500064517,15.8215021865791,15.8485745374003,17.1054611091562,15.713144437971,15.7004074465231,16.3146923453591,16.201904742336,16.1754933885301,15.5556517855747,15.7721602839879,14.8070522119865,15.8089893119849,15.2296334766673,15.4505754900342,15.8400379116849,13.937622315265,15.6826843658761,13.771290521315,15.8425633691426,14.1815566486463,13.954468644168,15.5150117487144,12.2035661110227,15.7911909881215,17.5255468848033,16.8234623909744,22.5862555705531,13.6311494475443,15.554068962126,15.4641820412386,14.9774801939234,16.1297332625278,15.2971834710198,16.3441352916723,16.2640974308371,16.2274412391824,15.0132497059723,15.4466451539917,16.2375256835799,15.8109651533846,16.024266195632,16.1720287882348,18.7633438977142,16.1444862255521,17.096014270626,16.5814420542483,16.1803225528682,16.1519368208944,15.3987215728134,16.3240626212491,16.1242398869611,15.7189977057549,15.7366965510133
"fr2_00",11.2010627421484,0,12.3364214155711,12.7990643976391,12.9519795764799,11.8331350943016,10.7387038333274,11.4610724028846,14.0463777249813,12.572275656514,13.8995434705565,14.3517362091014,22.9763461364408,13.1609395140193,13.6613900974878,16.3206514383411,13.7505444572112,15.1902952507254,13.822953785394,16.9252394078666,15.2666171110678,16.1705595691808,14.5651959742465,15.4395406947105,15.4291705168464,14.2920261758257,14.4078814073406,15.0579011674786,15.2317936280569,15.6067275521255,14.8674874622727,14.9918157832121,13.580648930827,15.1101040868255,16.0391659639533,15.2434664034701,13.8048418432491,14.7720204692451,15.62976952615,14.9144456823358,13.8750159297543,11.9468487658929,12.0645251794306,12.520218486722,11.9979630034588,12.7546928686259,11.3598634730409,10.8134722567792,11.565569816982,10.3768600791384,13.5321646129243,16.4128794116314,13.4430567357757,20.074224537957,12.4918295125159,12.9285912779512,13.0630069661999,14.2956501840056,13.314415682341,12.3198861325592,13.0643496392023,15.9846624703643,14.5903834323195,14.9610353966639,15.1139048126654,15.2578099171021,15.3040503662047,14.5449700498041,15.421165740359,15.7781085780036,14.7852208152108,15.671342892787,15.3969115552236,15.079245583951,14.9449758552593,15.4131697293351,15.524806464934,14.8033152072207,14.5716363161839,15.0403132767294,15.025908039093,14.3254529754038,14.3777513655956,14.3469079008166,13.0811858232233,15.7035054410338,11.1331928262114,10.3660969640126,10.9524586102121,10.4119991486694,11.526087752409,16.8858556177922,13.9536189501695,22.5312059611354,11.5589700829197,11.8190148218521,12.1077805696472,13.1210819539864,12.5676841501214,13.3605313447627,15.7363339197382,15.9203387713846,16.1659684763185,13.9484477393673,15.7497350268651,15.6703160969555,16.243742604767,15.6763266022617,15.5497200878632,16.8391671751329,15.5404158452365,15.5584109209821,15.9992467251722,15.9906320925994,15.8781250507048,15.6625406077727,15.6593442157161,15.2860233181221,15.6673196443074,15.5033300132393,15.3856520568228,15.2812798420119,14.5136008837404,15.3570367413649,14.2252008448563,15.4777950293153,14.2356546119136,14.3867808190604,14.8730369368297,13.0038272901338,15.7255704236229,16.6666904531207,16.2578884952103,22.7049080960621,14.2592155662819,15.5621981589609,15.0049634739063,15.2880595013354,15.7662660421425,15.4243338042449,15.8236459646472,15.5321327344879,15.7955054485159,15.0220334238967,15.3484017022498,15.6957156411415,15.2512762453025,15.4785090147449,15.6765831885563,18.3583482975198,15.4074239419153,16.3439868177079,15.9730497839562,15.7587503762062,15.5581438761883,15.0073391133373,15.6762732341256,15.6266035219389,14.896805615953,15.6707591822877
"fr3_00",11.0413954331314,12.3364214155711,0,12.4204773211949,12.616250248079,11.6608045334478,10.5779518093298,11.3296188117037,13.6355632742913,11.9447543078017,13.390547280504,13.6718056608257,23.3098223183942,12.4969964799161,12.5845863866356,16.0986116915384,13.3803687620771,14.6612132185665,13.5059783940709,16.8977731696341,14.5699487306872,15.7812012092852,13.7024368338268,14.2044241236477,14.928196237951,13.6987372493936,14.1350297189084,14.7577152244171,14.8321816896932,15.0345218115667,14.4369907412759,14.4894284611693,13.3082078742156,14.593502050659,15.6899847116379,14.6893256626313,13.1803558151205,13.8470093918134,15.2279534747374,14.2699857634799,13.5686820362984,11.7704681350582,12.0435653683344,12.3818397267499,11.9237369617562,12.6487204029179,11.2175612678548,10.6933212800733,11.505837556811,10.333209396255,13.2923687038232,16.4673225019381,13.3695129904493,20.3126984320607,12.5540698299724,12.7309791585921,13.0574424075456,13.9892208899539,12.751937013852,12.2333156212311,12.9677121645618,15.5416487420505,14.1247723766711,14.4956131437504,14.8684129497153,14.826089779024,14.832661651458,14.3172132103194,14.4941306499492,14.8606388542628,14.4557415239349,15.1988380440604,14.9883372430141,14.8289339578636,14.6694476563497,15.0991437631938,15.2442934470598,14.5672890552881,13.8782635085998,14.5145278659788,14.6488308917303,13.890738915484,13.2239381473942,12.4889422813783,12.9405423917356,14.9470700711831,11.049011861185,10.2878027727285,10.8760225419915,10.4184330789349,11.475947202724,16.7824989693872,13.7256020945476,22.9376621846664,11.5661647323551,11.7067542117797,12.0109849589531,12.9924060687654,12.4858333196582,13.3029426992115,15.2667622388331,15.5227276111887,15.7680816625619,13.6364135235667,15.3832243337311,15.2824527762982,15.6672758777445,15.3074034534992,14.9382860778112,16.7292584789149,15.0984017811423,15.1494902386884,15.5805937239221,15.8311887603092,15.4897125331836,15.3444604480734,15.2984170305029,14.9701092578168,15.2565337976547,15.276774609179,14.6277387128835,14.2378705091667,13.9761159927618,14.4974176101321,13.724865754471,14.9451402906122,13.1510271759869,13.9150746273918,13.7416759111994,11.9860768883273,15.3351883569591,15.6677488067957,15.2455302012591,23.0754453779779,14.0273883803847,15.0035043568603,14.1225629992625,14.9112179804408,15.1713545571251,14.8456399089439,15.0778440776622,14.5972732282495,15.3091200144369,14.4442415940699,14.9947432459309,15.0571348685329,14.4073039984164,14.6917543485653,14.9047494149826,18.1240833122446,14.3032435609534,15.3986844346618,15.1900569779698,15.1647562488538,14.7645396851054,14.2023649358011,14.9712988137711,14.7745464490328,13.5953493357403,15.2448260976455
"fr4_00",11.2423660841724,12.7990643976391,12.4204773211949,0,12.6307527750888,11.5645423705998,10.5999263029766,11.5429883927114,14.1786216251348,12.52380149395,13.8907119361982,14.3847884356074,22.9775200966295,13.2589033870122,13.6274414905448,16.3207164391606,13.737657031362,14.4972335419935,13.7196827827281,17.0142225609442,14.6521454793811,14.5046695864502,14.114067109315,15.7212264379979,14.2573614348083,13.8082123516931,13.9475114063012,15.0752608644943,13.8504460733192,14.1172100703872,13.6595746191476,13.8345832346549,13.7454079632952,14.0004096953157,14.6793143306551,14.1333072302422,13.3387843319335,14.7343284777841,14.1801637125848,14.2513056176188,13.7303132399773,11.937907258073,11.950343252346,12.5664495346736,11.9744305187503,12.4585196416932,11.074245561206,10.6632624265392,11.4708541746058,10.223683940845,13.4487538032212,16.3132706402968,13.1665564061058,20.0356884908801,12.4476510028476,12.6816153720533,13.1198946210472,14.008009355418,13.1772894198216,12.2996057303517,12.8102256399455,15.332870425013,14.1092623973495,14.5447151299931,15.0008368420195,14.345899500849,15.0473261582714,13.7552658339176,14.5604647109687,15.6955155209125,14.0283552706578,15.2360487511223,14.7992934318096,14.9437958087717,14.4143334288469,14.8390990150075,14.3926172683995,14.5147060020428,13.7112990472828,14.1807826911104,14.5998180141239,13.8873847256665,14.2003060084906,14.2646725959345,12.7112971822685,15.6545141820182,10.8811411617783,10.2086920668658,10.8019232865696,10.2948517446271,11.3838651722843,16.6089807879628,13.5799074784144,22.5384437396371,11.454630661958,11.7698387830245,11.995307431902,12.9431671440959,12.4887215489513,13.2122697635925,13.9177904751045,14.2267367927768,14.6321549001952,12.8065858510365,14.1712031174131,14.1816722790275,15.6637424283788,13.9667871119602,14.0475378662979,16.7031304957844,13.9502297621939,13.8681311911129,14.4461394333422,16.1620473676436,14.1166667009881,14.5298138184358,14.087749192697,14.8328065007489,14.0181512096093,14.2525587871866,15.2096469646874,14.9834800587014,14.5046471962971,15.353524584061,14.0443078206154,14.6837750234456,14.0756933916695,14.3423104539551,14.6853380659959,12.8746127123592,15.7098834684872,16.5654100056035,16.2377219888129,22.7050227372362,14.3869947946777,15.5001771941918,14.8353895174699,15.2963864845117,15.3934748033813,15.1059125359999,15.0647329606138,14.6477093390876,14.7279088654783,14.6874409128778,15.2302609605224,14.775831688698,15.0084604590607,15.0389848618578,15.0765940449415,18.2317639583814,15.0513832687612,15.8533257287086,15.1021474296143,15.6426729714469,14.5392786425961,14.1234843923155,14.9337181378095,15.5114889620746,14.7502417397211,14.8952645499496
"fr5_00",11.3428684960835,12.9519795764799,12.616250248079,12.6307527750888,0,11.4709709971529,10.7186745303204,11.267463265704,14.2514414523395,12.7592564709727,14.1235387889244,14.7428137091251,22.7797578500038,13.4076180512198,14.1189838989452,16.399018026567,13.8916293094457,14.7203092032285,13.932043101896,16.9409261111112,15.0523211773156,14.8097576772837,14.5461263744625,16.5379373942221,14.540550507518,13.9670815936504,14.0593410187699,15.1034171823497,14.0075920138983,14.5223812205334,13.9344397290154,14.2428204680996,13.630388232279,14.3533337819765,14.8665757815866,14.4027688901203,13.451648971918,15.0949582756889,14.4499814872546,14.5572460261772,14.0118182746052,12.0526132376355,12.1408361411697,12.6647639342681,11.9901220942765,12.4932399248473,11.3208907299707,10.8999540242862,11.6810826981166,10.5299222224205,13.7934962612836,16.3538753458651,13.2686170072521,19.8993946750664,12.4484839044933,12.7424772311333,13.0924288444598,14.2610333384899,13.6416984223127,12.4817222139908,12.9429308122455,15.5505000624245,14.4184446185115,14.8520806536259,15.1357796972466,14.6212880707648,15.3783817179563,13.9714024572452,15.0608857253112,16.1557330117272,14.1965728026849,15.4308004453441,14.9435252579414,15.2246419951445,14.495198379955,15.0292465965475,14.5927771211378,14.9483382105467,14.1103157822635,14.5419237386739,15.0869512182196,14.498743476344,14.8277654495609,15.0316790150803,13.0509704030436,16.0648406317612,11.1530822630703,10.4636490976858,11.0471287044432,10.5687852415127,11.6851192095577,16.9463749738959,14.0062764523846,22.3236484142395,11.667239815047,12.0125366099041,12.2958590725027,13.2555569827324,12.6531214244573,13.4452498637463,14.274781874702,14.5128920046109,15.0868454743275,13.2386222736737,14.5226218376874,14.5091055905028,16.4844901939319,14.3285225176327,14.4419903601314,16.9540841476287,14.2940158756756,14.1843622506627,14.9590684689465,16.2981856279651,14.3938674880259,14.9152205057126,14.3421581683583,15.4780046540329,14.3314639917596,14.4785611935025,15.5030244029154,15.5846811386917,14.6146273647792,15.7879387752971,14.0600204471247,14.9889209858841,14.6396402152063,14.4274367361912,15.3439015568208,13.420342998611,15.8689954739628,17.1005409754064,16.6591233480659,22.4737408238024,14.4205261614657,15.7901386177283,15.3482562986814,15.4301940696725,15.8867717831201,15.5099258117871,15.4589638944751,15.1797672647199,15.0763422386129,14.9338731521274,15.4136245995166,15.1860761851911,15.4687770446335,15.3970752076284,15.4725398726736,18.4229011630141,15.6195918634186,16.3360598653833,15.5605124510894,15.969737729704,15.0193118121574,14.5600232232574,15.4531479252374,15.8971500060015,15.4173821365438,15.2527852820236
"fr6_00",9.46325723787225,11.8331350943016,11.6608045334478,11.5645423705998,11.4709709971529,0,8.65382424922214,9.51840984024446,13.9480472056062,11.8786987078968,13.5090522007292,14.2994636058604,23.3040006198966,12.6936719575719,13.9274784594773,16.0153217352278,13.0932582025339,14.668768473027,13.2832101830121,16.6675691703691,15.3572889647736,15.302357160732,14.707664911109,17.158159271316,14.9218333189506,13.938430106508,13.7255563863126,14.7275701325265,14.2411886926838,14.9928778569574,14.0731833313228,14.4402339910332,12.6653256689341,14.6036074721068,15.2530902719918,14.7823278307777,13.151940908876,15.0181526811989,14.7933160943624,14.7047428191168,13.2456131439831,10.4700862944731,10.4681448819544,11.4310190638599,10.3899140999149,11.2205754887038,9.51451375241353,8.84836071069868,9.84254932333436,8.1855210710919,12.8083343293831,15.5887870483059,12.1754907317894,19.8453675854611,10.8783884699616,11.5902815551429,12.0829243885521,13.612841073428,12.7522732965933,11.089740219096,11.7135492286358,15.7687054757159,14.1418780119091,14.6598938175008,14.8948206815316,14.7615942577931,15.3038107841507,13.5786639070232,15.567965733014,16.606056286745,14.040978319945,15.7013676964121,15.0243855224175,15.0763506725725,14.2820879560142,15.0354579095479,14.8558350343516,14.4324239099829,14.2546838498185,14.6029813047773,14.6312317515991,13.7859525932947,14.8951521457273,15.7540262704086,11.7138043705562,16.2168709448575,9.11795458837174,8.14796960649848,9.00587505060382,8.16585377225359,9.75219487378112,16.5307228498183,12.9904785957542,22.6645888114888,9.74711075249141,10.2707645404471,10.6332556526406,11.834813605231,11.0765764205924,12.2801072708971,14.8668340112679,15.1023762394878,15.5454641825938,12.7070332466862,14.9591466667328,14.90045216583,16.5163265731656,14.7434725311191,14.9506169639947,17.0641571038159,14.724158821538,14.6116147747568,15.3411239889973,16.3527826745463,14.9864683506809,14.9790629592948,14.7788119254474,14.9476718640838,14.779778861796,14.5308537787872,15.445874403263,15.7313226724344,14.1685204005495,15.9055082450367,13.671579461823,15.2987725850309,14.4698694828908,14.095139119406,15.5770724815935,12.8025769332562,15.9042969650959,17.6379587479811,17.007091833351,22.9229369927819,13.8494868104567,15.758805189222,15.5108641994123,15.1907641083764,16.0290131604698,15.3789941269487,15.9344025912078,15.7623190575356,15.5194050729475,14.8917928802458,15.3999104993735,15.6433225508034,15.7560455999064,15.8009233578928,15.8923745307977,18.8481018757511,16.075032813473,16.9017016808,16.0690374022172,16.1984420584607,15.5163352966384,14.9392777278773,15.8676367871585,16.1793828000105,15.8629872605949,15.3465082604081
"fr7_00",7.62150661563601,10.7387038333274,10.5779518093298,10.5999263029766,10.7186745303204,8.65382424922214,0,8.12708360045743,13.3278554583962,10.7397556640952,12.6792699390617,13.6326184054614,23.0025218782284,11.9951676893954,13.3495599947733,15.2658803961864,12.221040554582,14.5793870666791,12.5693397385937,16.1245249835992,15.4612593566891,15.9524386514197,14.5727431727463,17.1833477763946,15.3067230297034,13.9400080175811,13.3785294748751,14.260603068546,14.6653975773393,15.5879845569021,14.3013607931593,14.7568215241278,11.6959743191585,14.8569086041404,15.7442882739771,15.1418166488372,12.8920893026395,14.6214171469714,15.2551381086827,14.8562579872911,12.543350437634,8.84686952210811,8.76073566575575,10.0685088000904,8.87889121527876,10.0628467376522,7.73101538957006,6.81754979709561,8.03154835022974,5.83726525420479,11.7914872731158,14.4819314216156,11.0807030308326,19.1947801191035,9.39007237847147,10.4839309527155,10.9383593732203,12.8308915631551,11.6566700369586,9.64306536443461,10.5243479571909,15.9643534912242,13.778352679606,14.4430560020922,14.5535034515223,14.9024590271631,15.206176328088,13.2021667541918,15.8204309946593,16.5924495451785,13.8962556721651,15.8541550403979,15.0309113942042,14.9078864065205,14.2246798898812,15.0272991183595,15.213650802293,14.0269241979837,14.2428290241427,14.697080583586,14.3297662521044,13.1053025868136,14.5133829946488,15.5656178651716,10.6051236908787,16.0917631298642,7.05366623191358,5.76219932026601,6.92889410214824,5.74573248997678,7.80851280890638,15.9615455765922,11.9545597549151,22.2298383800329,7.86311212925706,8.37818148245152,8.93375419039003,10.3512982671299,9.39703592901903,11.1049050373324,15.5719152761764,15.8131335048925,16.1717601188317,12.2927606093695,15.5477322035185,15.392523102003,16.6431362499783,15.3171540896093,15.4113038276211,17.0909000044435,15.2407785581894,15.1955996769433,15.9221765431872,16.2254370434531,15.7160691718474,15.1408256934207,15.3252802643961,14.5210350363438,15.3006376364204,14.7240817274803,15.2942998818585,15.786462029452,13.6412678229367,15.6208321450579,13.4868144472153,15.6147600006349,13.960895285665,13.7233486458241,15.4616028890677,11.7973130281856,15.708308240246,17.600445237506,16.8232581546858,22.6037035836376,13.4151648525738,15.3996569969404,15.4151593802434,14.7918628292937,16.0238517243256,15.0626740394611,16.1687518980541,16.0875575886613,15.9615567267086,14.8394610178482,15.3460184756666,16.0093170222065,15.768067615761,15.9290936397773,16.0123491591884,18.7857450123084,16.0776157308277,17.0159327895397,16.3848243243681,16.1643391946577,15.9135654710142,15.1376175166594,16.1959484618975,16.0803413187146,15.7219369961245,15.4652724845472
"fr8_00",8.90417940602186,11.4610724028846,11.3296188117037,11.5429883927114,11.267463265704,9.51840984024446,8.12708360045743,0,13.7148816301822,11.6252025056423,13.3239404586928,14.180053394859,23.1401524609668,12.4733572078703,13.9153332925528,15.7931723095544,12.8697867949716,15.0135190135529,13.02514279651,16.3598550764146,15.7779056572251,16.3609316514997,14.990759138301,17.422522234094,15.6356454859847,14.2122201191302,13.879429831498,14.5325348304472,15.0277214872679,15.9944412517037,14.7622825943676,15.2046966152451,12.1014539953692,15.3055547020054,16.0127910343706,15.4480860756565,13.271338975839,14.9409384825659,15.6745072511179,15.1407133376508,13.12147139829,9.96858017940448,10.0712500409166,10.969165319829,9.90393830505183,10.9407686958825,9.17648877952072,8.382829577206,9.36048250847812,7.65341527352217,12.6006729978309,15.2709235279828,11.9611470858366,19.5978841360982,10.3842693210274,11.3155709490754,11.70253608761,13.5314859607229,12.6403682178724,10.5832092571412,11.455330630613,16.0510978354379,14.2588138261685,14.7316237874522,14.7856304832448,15.2351002460867,15.4219227626564,13.8478894413593,16.2121493707419,16.7746433489988,14.2752872353263,15.8581191887221,15.1916656794157,15.1662129710328,14.4315374598558,15.2316329671612,15.4827357753219,14.4893970557589,14.7690825284842,15.088790859234,14.8717692857893,13.9674723222103,15.0634214378727,16.0295821552279,11.6167328877423,16.2275186662397,8.70870681805445,7.59096134115792,8.52903224994806,7.58224715277845,9.31972715463161,16.5712561410075,12.9579942756479,22.4408382469339,9.27435179481792,9.8128111395969,10.244125743016,11.5648940332634,10.6494929276985,12.0347528275568,16.0382445372364,16.1642394421209,16.5701107086138,13.2516646231151,15.9806461864585,15.8086376074643,17.0552900327111,15.822818336593,15.9206528565754,17.1342714122814,15.7151122167188,15.6636951801962,16.3888409189357,16.2030039477657,16.0829113203909,15.630981968155,15.7094141683203,15.1774898265656,15.8026349165061,15.1695803318548,15.5557347515414,16.0803678114673,14.0098618329688,15.9938145745609,13.659848379828,15.808034208495,14.5865905647492,14.0052025122714,15.8384655350506,12.7455364653831,15.8908018564812,17.875826602986,17.109176618648,22.7382777843364,13.6172632689529,15.7744350391789,15.7313317859251,15.0757947023132,16.3556570887943,15.5413533275661,16.4941924523074,16.4610856236734,16.2388329951771,15.0848096057049,15.4999238486737,16.2391391269703,16.0381162754996,16.1845833945568,16.3393893875832,18.9263574322979,16.4554558525905,17.3274619353975,16.726383376397,16.3506664569122,16.2734965140594,15.5733903491659,16.481034020578,16.3199673106542,16.141809797078,15.8463618517102
"fr9_00",13.4972582028088,14.0463777249813,13.6355632742913,14.1786216251348,14.2514414523395,13.9480472056062,13.3278554583962,13.7148816301822,0,13.628044618306,14.6381533367302,14.8186022821449,22.4409076313297,14.1341100834467,13.7666504633965,16.5804514334582,14.390549636976,15.0767954555714,14.6277009160359,17.1142276936469,14.9359319207475,15.6294974410399,14.6015820884419,15.2993528114416,14.8482311008477,14.0774316989357,14.5158439178746,14.835055142407,14.9875004544643,15.0830641396169,14.6943057248561,14.6963508428074,14.557316404689,14.9841465522538,15.2569065797752,14.6602943239725,14.0520880113333,14.4670136003859,15.2243331681656,14.603141064625,14.0769132376756,13.5412433540943,13.857535022555,13.3773135982284,13.4485098314735,13.8397554479944,13.5269612278503,13.2803868066983,13.4717072521548,13.1839511851315,14.2466760582418,17.0934880538671,14.2468709056724,20.0893447179467,14.0258715573966,13.8794399568624,13.1275525106854,14.6462706182885,14.303447658232,13.8979861712921,14.0461719876172,14.9417208368107,14.3609529902827,14.3507464804758,14.1371865278999,14.5576724174421,14.3899267656034,14.5588934001727,14.8634159345807,14.6368926346365,14.251656272691,14.331047755129,14.4541461742954,13.8759075685152,14.5360171243812,14.4044094876517,14.8276064630359,14.4370094871788,14.3962683274904,14.6291508853145,14.9174157448839,14.7759435945507,14.1862936510936,13.8000136217966,14.2824830438212,15.4990327668489,13.5962955359208,13.214829434146,13.3356690536385,13.2551577856771,13.6609430313498,16.9740821836196,14.9139260215695,22.1609274147105,13.5796526470834,13.8254043747232,13.8722028991842,14.6324303879758,14.3146153163137,14.270994926525,15.163958772243,15.1416415458818,15.3938152178501,14.5265208341499,15.104357057594,15.2108662452957,15.58509356681,15.1900136031561,15.1237271317072,15.7347738805349,15.0565375729674,15.1196662190189,15.3492677511065,14.7400015785616,15.118067653922,15.4635465632178,15.0051257234118,15.3142977871182,15.2853288422164,15.4648612454891,15.2415774916825,14.837808961013,14.9987115002363,15.2233502894569,14.349964332857,15.0682322886481,14.4918612816166,14.2781300022548,14.6010911549496,13.9166338708909,15.2916882181564,15.915536433642,15.9439598378967,22.1948615627092,14.5533486365061,15.299765173563,14.445210705785,15.0892674013929,15.2982908511927,15.6061761742071,15.3106893860719,14.9121439273412,15.1528132191879,14.6407901655365,14.7754647513915,15.2395817782298,14.5318992505259,14.6122283977778,15.1009060141377,17.8296578576313,14.9733305411909,15.6500767701179,15.350661139451,15.0890471459935,14.9928268664214,14.4163451685658,14.975831317749,15.1420797371222,14.495959363001,15.4891310957806
"fr10_00",11.2475362706155,12.572275656514,11.9447543078017,12.52380149395,12.7592564709727,11.8786987078968,10.7397556640952,11.6252025056423,13.628044618306,0,13.5048317721367,13.8904284882545,22.7564216639357,12.8168548250422,12.8955379123625,16.0550928336681,13.4650927636729,14.5666509426435,13.5129616578495,16.7843251666741,14.478317694322,15.3133949603788,13.7211346602924,14.5196282797763,14.6778278013743,13.7244379172024,13.9990401133153,14.8327401906793,14.5088914918694,14.6855033476444,14.1616321660655,14.2429474931055,13.5884611100026,14.328909525268,15.3603922932595,14.4658994197239,13.3107316362651,14.1820069553338,14.8147696724995,14.2761339226626,13.6777221072357,11.9354591275037,12.0863480758711,12.4680492307506,12.0569377930663,12.7262156012855,11.2846951900418,10.8405784331846,11.6508992980384,10.4525062089464,13.3836186147935,16.3254020140715,13.3537371452383,19.9224189783339,12.5820537951913,12.8328000369383,12.9445809170878,13.9790320458038,12.917089899965,12.2772984651748,12.9918669036642,15.5117232107076,14.1619517228086,14.6258616891353,14.896105092143,14.6675924801157,14.8641227625242,14.1384359496293,14.4439723399916,14.978515916466,14.3998501878071,15.2125275109452,14.9850583149136,14.7023350142241,14.6189673441309,15.031544100408,14.9140653451969,14.6404600252284,13.7518948127012,14.4547047965954,14.6429148310002,13.92645416899,13.434495148236,12.8297936915217,12.9849798108141,15.0279811720733,11.1135229198031,10.3967996324396,10.967620017902,10.5234444472395,11.5532172608887,16.6218175463116,13.6961827289614,22.3773047348702,11.609947378262,11.7720672004386,12.0591983201906,13.0101282043372,12.5197210130604,13.2857421229244,14.7462702533039,15.0396885724846,15.3509296949821,13.3919057431209,14.9114061285635,14.8387055776258,15.6480216884592,14.811847676057,14.5526057586783,16.5856807585832,14.649647433613,14.678878584472,15.1782064125619,15.7475617673799,14.9879805589085,15.0174666648463,14.8694566850119,14.9340180937089,14.7572024949051,14.8774238938904,14.7867218378352,14.440913700247,14.1091773617517,14.644478682564,13.8740138457173,14.7736866423878,13.4036289037347,13.9794255669063,13.9600144840518,12.2542104124135,15.3025543375532,15.7458664836902,15.4061322304555,22.5224337818824,14.1479402039008,14.9867299190366,14.2497751597864,14.9073737651608,15.1558801933725,14.8556302280335,14.9418259163575,14.4947835428657,15.0134369457462,14.4761023644219,14.9515031335345,14.8350487508232,14.4606953403999,14.6285827476743,14.8074894711275,17.8699027698418,14.4117118772978,15.3534061007241,15.0338114251417,15.1477567180673,14.59889755129,14.0536064272873,14.8668558393712,14.8552661740082,13.8127865510459,15.1010147671321
