"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,8.84817180436125,8.87125598058904,7.01323900079819,7.69823333020083,8.81794830206922,7.56936592112311,7.76538667056887,8.7805973564653,10.2159639215072,9.4521019469826,9.7404866020338
"fo2000",8.84817180436125,0,8.84841827067885,8.35854709605393,8.24730363743383,9.29932444219602,8.5070264758338,7.44882813779594,8.41573974748002,10.4765345726389,8.78832234325695,9.60934897036422
"na2000",8.87125598058904,8.84841827067885,0,8.44827332695345,8.57381992251234,8.25912670963962,8.35930115961378,8.41962364343638,5.77532191131435,9.91256885161857,9.39822370818053,8.2953460738216
"fr2001",7.01323900079819,8.35854709605393,8.44827332695345,0,6.80693495595871,8.10912396996469,6.81379245656307,6.91588876332261,8.31068981647192,10.1103233647821,9.04418554483906,9.65531932157833
"fo2001",7.69823333020083,8.24730363743383,8.57381992251234,6.80693495595871,0,8.48739771110289,7.45277790382112,6.81552430687026,8.30366388312982,10.3700179534408,8.74567400877975,9.70577135764453
"na2001",8.81794830206922,9.29932444219602,8.25912670963962,8.10912396996469,8.48739771110289,0,8.43136448267772,8.54201061848071,7.55400801566014,10.5444202296059,9.85714731467131,9.45089470564441
"fr2002",7.56936592112311,8.5070264758338,8.35930115961378,6.81379245656307,7.45277790382112,8.43136448267772,0,7.37820807742868,8.02976269928284,9.70198446743002,9.06698438620376,9.20039644016413
"fo2002",7.76538667056887,7.44882813779594,8.41962364343638,6.91588876332261,6.81552430687026,8.54201061848071,7.37820807742868,0,8.04384122362807,10.2225486415672,7.67195110193906,9.48722801221116
"na2002",8.7805973564653,8.41573974748002,5.77532191131435,8.31068981647192,8.30366388312982,7.55400801566014,8.02976269928284,8.04384122362807,0,9.5351489462035,9.00075287891936,7.4065003466491
"fr2003",10.2159639215072,10.4765345726389,9.91256885161857,10.1103233647821,10.3700179534408,10.5444202296059,9.70198446743002,10.2225486415672,9.5351489462035,0,10.7874140850825,10.0753495702463
"fo2003",9.4521019469826,8.78832234325695,9.39822370818053,9.04418554483906,8.74567400877975,9.85714731467131,9.06698438620376,7.67195110193906,9.00075287891936,10.7874140850825,0,9.9924041501444
"na2003",9.7404866020338,9.60934897036422,8.2953460738216,9.65531932157833,9.70577135764453,9.45089470564441,9.20039644016413,9.48722801221116,7.4065003466491,10.0753495702463,9.9924041501444,0
