"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,19.5506099311725,18.4498316073139,13.2137494889561,16.4735521392918,16.9269667384649,14.0047315301201,19.6595928624171,19.3107295884112,16.6935365477513,21.1727066161176,18.5291390652348
"fo2000",19.5506099311725,0,20.6574549967234,19.3155043778382,19.3104967478987,20.0308373802785,19.344811082381,19.0975134756986,20.9651658543859,19.5515136846933,19.333510667478,20.1841211116893
"na2000",18.4498316073139,20.6574549967234,0,18.4734418880516,19.928910415541,16.0687533159298,18.1715572506826,22.6490971905414,12.3079309696803,17.4598539182588,21.9168770301103,15.9511008562164
"fr2001",13.2137494889561,19.3155043778382,18.4734418880516,0,15.4715334430795,16.4428691439948,12.8791469235613,18.7883320534378,19.3245517897307,16.9211783758793,21.1722875782953,18.9314067246019
"fo2001",16.4735521392918,19.3104967478987,19.928910415541,15.4715334430795,0,18.4079672711145,16.2052364207129,18.6476802970335,20.5535263047242,18.6771027639237,20.2168022002242,20.0336677558382
"na2001",16.9269667384649,20.0308373802785,16.0687533159298,16.4428691439948,18.4079672711145,0,16.5683916814531,21.347073241434,15.2717402790068,16.9691378720752,21.2708553474416,16.8478646000187
"fr2002",14.0047315301201,19.344811082381,18.1715572506826,12.8791469235613,16.2052364207129,16.5683916814531,0,19.1982869820864,18.6963869431642,16.3790665173331,20.9499796543694,18.1840017087393
"fo2002",19.6595928624171,19.0975134756986,22.6490971905414,18.7883320534378,18.6476802970335,21.347073241434,19.1982869820864,0,23.2620994282065,21.1775128550145,18.7977206267599,22.357439118779
"na2002",19.3107295884112,20.9651658543859,12.3079309696803,19.3245517897307,20.5535263047242,15.2717402790068,18.6963869431642,23.2620994282065,0,17.7062999540749,22.3291687697774,14.8704470426623
"fr2003",16.6935365477513,19.5515136846933,17.4598539182588,16.9211783758793,18.6771027639237,16.9691378720752,16.3790665173331,21.1775128550145,17.7062999540749,0,20.3880811370154,16.5375974676754
"fo2003",21.1727066161176,19.333510667478,21.9168770301103,21.1722875782953,20.2168022002242,21.2708553474416,20.9499796543694,18.7977206267599,22.3291687697774,20.3880811370154,0,21.0106841517362
"na2003",18.5291390652348,20.1841211116893,15.9511008562164,18.9314067246019,20.0336677558382,16.8478646000187,18.1840017087393,22.357439118779,14.8704470426623,16.5375974676754,21.0106841517362,0
