"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,10.9920287962007,10.7962828365474,11.66323642035,10.7899100845692,11.1712898716828,11.0171654893546,10.8275251217703,11.5783416100159,11.2072748018344,11.5308822327766,11.273362391922,11.2620067542979,10.462923946319,10.9113226441951,11.7213453996375,11.5062695253539,11.3651175161423,11.5636008459596,11.1168602798568,11.5378867389715,11.4248848751167,11.2723905052471,11.7124472775631,10.6457328140497,11.0462672204747,11.0617529657863,11.0528979901341,11.2758297682552,11.1745532639026,10.7577217943639,11.5616566423747,11.250662201154,11.7229417126517,11.2562821041767,10.6729047036912,10.852396651394,11.2171412915009,11.4295168367968,11.2223708317705,11.4776190796977,11.5091237934671,11.1880220807619,10.9495780031031,11.3056387015257,10.3978745921854,11.3272069439989,10.6965748749288,11.1485514493299,10.8776511255846,11.4408613526284,11.7326256273801,11.0565370948838,11.3756672449021,11.263528463881,10.9737524931976,11.4792657416624,11.6345559360508,11.6186493309522,10.8881838895381,11.2226886524635,11.4329701083205,10.8733671588231,10.9734271154351,11.0990803531635,11.3792821280752,10.981559429676,11.1594846736923,11.558559017236,11.6968753441718,10.8743618880202,11.4864079740808,10.9653092424976,11.5914986818185,11.3628717090027,10.8968809548894,11.1034868672788,10.9398473527803,11.2853763488059,11.2703902183197,11.5821455697833,11.5173174234432,10.9871740705838,11.1473290660974,11.3330731626309,10.8668009573551,11.8101056422755,10.8198360864956,11.0604204377606,11.0998515280705,11.2351762130519,11.5057638017341,11.2964299411548,11.3312598028887,11.366392731984,11.8145894246486,11.3968019713402,11.8326138738971,11.2027987578808,11.3734209365388,11.7795216915791,11.9653189241097,11.4598243538028,11.2956872998747,11.6511995238451,11.0170447413363,11.7587716023533,11.0136112779033,11.5624496834195,11.7980470977956,11.3801529990026,11.4037048759121,11.2667994655615,11.826812179349,11.1997881149938,11.3358376406947,11.7130769908113,11.53662287126,12.0815097945532,11.2846328630828,11.4779624272906,11.780110490287,11.6502952849143,11.475797048132,11.0611640371773,11.3352760637164,11.6452496065595,11.3715115825202,11.4757939368716,10.9816633144114,11.5094185270631,11.7440033415251,11.57734521458,11.3679817833115,11.4394785846646,11.8020691405979,11.3801190626856,11.369546454166,11.3985197470796,11.6380622192559,11.5667184291586,11.597621779537,11.6015931682227,11.5406947841668,11.666572647952,11.4310827466246,11.4858693896951,11.9641206268262,11.5357861392621,11.846326841879,11.9533998398483,11.9768970207669,11.4416927253558,11.6882113658986,11.417067945494,11.2275428248901,11.2501129785546,11.4383800887389,11.5051294742078,11.7208676547869
"fr2_00",10.9920287962007,0,10.6630082980923,11.4871732918325,10.791114333251,11.1239643204461,10.7460373365072,11.0425503203428,11.3588453922221,11.0585453815917,11.3284268991844,11.0841514760026,11.0245635872377,10.1435499082388,10.6634092101294,11.4618953996957,11.4213854538458,11.1084429228839,11.4195262429865,11.0578270878786,11.2244897589699,11.3212095418123,11.0357297873425,11.4231159549819,10.4765016500491,10.903622474927,11.0771525137011,10.9301546678914,11.0998142215156,10.8047496151594,10.5336898340985,11.3913534490531,11.0625045720335,11.5546214014389,11.1926289061865,10.4550737123362,10.5909248288415,10.7541270334409,11.377719824672,11.0600559824892,11.21627865043,11.3595057747929,11.1730150750535,11.1586490036594,11.2076556159664,10.5260308150631,11.1525996158379,10.7626440862896,11.1640218349903,10.6186429280469,11.3264736147476,11.4994705078115,11.0985499919844,11.1788850228713,11.3296212992808,10.8450820612391,11.3597059333747,11.3768842472801,11.2854084875258,10.7413217685478,11.1137283256751,11.1976534424455,10.6476127563872,10.6051315010869,10.9347134304669,11.0441098916483,10.7428660447513,11.0257849363075,11.2140143607278,11.5057105492274,10.7860920603844,11.1579572715292,10.707345706095,11.4385140533269,11.3293564776088,10.8038033065812,11.1920499161917,10.9680897432899,11.0949180852786,10.9597798952078,11.3266027668545,11.255995325101,10.9838314546274,10.7761460799594,11.3615811794256,10.6488272409649,11.4631612684071,10.4673425093147,10.9777797114153,10.9589573032802,11.120897789082,11.1804788247227,11.0198449052391,11.3946114018427,11.2700698316851,11.6121177613798,11.323458219626,11.6321974028648,11.0426408976516,11.296891669285,11.5948141157326,11.8065528883765,11.4182453139787,10.7313543422522,11.5999564719814,10.9708199592808,11.5444899578985,10.8794988652567,11.2810451867519,11.7279293083825,11.2433266170919,11.3272315945558,11.0514786034878,11.7493674558491,11.1875605947302,11.1451422567225,11.5823414934994,11.4033372796919,11.8407020511687,11.2547067099377,11.3573217020075,11.5379296312057,11.4089319289918,11.4556687777175,11.0494811233043,11.203526526751,11.3679360793556,11.2375447662205,11.2850335379768,10.680207314915,11.3504395576707,11.5236474001969,11.4123674353764,11.3211090664161,11.4787015506292,11.5515843573896,11.27435110774,11.3321487297334,11.4083428360836,11.4690518310583,11.4366982339094,11.3315983370804,11.3628546885552,11.3878243875197,11.5725667026553,11.2290955545063,11.3827805122999,11.6657024119609,11.2925935627307,11.574211646991,11.7655317801195,11.6081648495935,11.2396122964601,11.5853916369152,11.233156236189,10.9733817783635,11.0357954878219,11.3013391939773,11.3931468614822,11.5405587688011
"fr3_00",10.7962828365474,10.6630082980923,0,11.33010620413,10.7544800724833,10.8899496749898,10.6454141070753,10.909848395849,11.3412144627574,10.8811207816898,11.2528131261774,11.0768215103562,10.7369460159723,10.0055590309378,10.3612814221318,11.3642670683914,11.2755656380854,10.9958668710903,11.2966343145852,10.9586336742407,10.9589218427853,11.4137256127882,10.7875989863096,11.3842821919663,10.2064007980254,10.5167489622591,10.9918194033126,10.9143814939095,10.9422356649464,10.5407956052079,10.2446111662534,11.1214981332098,11.0861469630242,11.4271667474278,11.3205091278709,10.153333603603,10.1495037568139,10.6302226366861,11.4078810906644,10.8839538048868,11.0799098504863,11.3013093156225,11.0424653210632,10.9535554422284,11.1324861533987,10.4019700333142,10.9689446235759,10.457953047468,11.0423040764387,10.3089856120895,11.2306048733013,11.5311548436075,11.1454634623579,11.1558981304574,11.3335087545541,10.6186722149438,11.2932592001298,11.3870830217061,11.1294267436489,10.4915636901503,11.1175481310865,11.0946923071526,10.405227460031,10.3400353144319,10.947577694385,10.9305764259018,10.5450065071981,11.0214241362769,10.9569801228889,11.4272876036485,10.6356774028586,10.9475896563491,10.5171564514595,11.367700981799,11.3134915065545,10.6718760702007,11.0916362503118,10.7954935273515,10.7935174493142,10.6570721608234,11.2785928499763,11.2661092117582,10.6418382845713,10.4725747524474,11.3479402949957,10.4392150026852,11.3833313455971,10.4103430020789,10.7098482477978,10.9683101724342,10.8704842433822,10.9564109868556,10.8610620543283,11.3440156140965,11.1866854765097,11.5946438960316,11.2080843676614,11.7132964318079,10.8989929969105,11.3056281979197,11.4831989027714,11.779016772864,11.4646634462191,10.4442264865278,11.5025197721887,10.8669857840432,11.5464247965554,10.898702002718,11.1809308599411,11.9292963296718,11.000686313846,11.2062432561083,10.9716640791555,11.6973232596761,11.1145879322912,11.0930399407191,11.609600141033,11.4581215939737,11.9463950702311,11.2324491080358,11.3287556829784,11.4170923492406,11.4367694045452,11.402048085671,10.8249134061806,10.9579529489627,11.3145296628765,11.0939027467185,11.1153547746297,10.4992483809757,11.2846733579433,11.3883179099066,11.3829453729161,11.1903707428456,11.3746043262638,11.5365115963482,11.1033567780667,11.3381621036486,11.2631052398545,11.3635999029668,11.2518179721321,11.1741269373462,11.2839400636105,11.3067416738389,11.4568427196474,11.1052640759929,11.1824689153194,11.5452787280386,11.1428630701926,11.4486352315832,11.7421192114504,11.6582685945828,11.1654227415408,11.4856099381623,11.0259490957002,10.6923088772817,10.8062147008457,11.2193592415546,11.2151551767019,11.5241775344818
"fr4_00",11.66323642035,11.4871732918325,11.33010620413,0,11.1795577531533,11.2924267603735,10.93506463572,11.6986334935075,11.7458466615892,11.7955359190088,11.7577880399414,11.6611115817075,11.2373410542487,10.7018932400833,11.1677637798564,11.8295083684614,11.8221030165775,11.4828647801804,11.8160690804658,11.7210999970339,11.4815637865906,11.6762988367029,11.5537199274476,12.15725043344,11.0096714126514,11.4438220459847,11.6838439210209,11.3881045549056,11.5428889720668,11.0171221052583,10.9297664420253,11.4076148057236,11.8313916790373,11.80377318041,11.5306373115994,11.0084201876993,11.0647101820679,11.06723114518,11.6878624924246,11.1501513052822,11.6549898607435,11.7829285682541,11.6256812238442,11.941434119661,11.6555510792359,10.925665644435,11.4885476166236,11.2474851970292,11.4707117262453,10.671619315055,11.7620426445741,11.7272079121125,11.5319241404483,11.7186144009832,11.7509357378419,11.4535620582206,11.7384774089117,11.7053929909512,11.6522512677204,11.3128842849171,11.478711554837,11.2108998148956,10.7284849855567,10.8745633044445,11.2621687125405,11.1915480774372,10.9848641254453,11.2673053753685,11.4677113871437,11.7792451881022,11.1303249920613,11.6321548481083,11.0017641125931,11.8271675608454,11.6656017713055,11.0950100186837,11.5941728946608,11.2977048372189,11.5855181967823,11.1662466641994,11.699478968095,11.5390432525894,11.4357809026189,11.096970551355,11.775478059685,11.0864079894707,11.7026403638136,10.3447308875143,11.49877757963,11.2455172317483,11.6307748748819,11.4575120257306,11.3343297854231,11.8636013973993,11.7444797673277,12.11639565905,11.8794269181517,12.0356100825894,11.6801334399206,11.8407925536905,11.7516596404164,12.0926308963753,11.8451490902118,10.6546382697214,11.8816301984605,11.4787882825465,11.7881710655927,11.3085564752264,11.5849347380367,12.2769826909675,11.729001432918,11.5531425563093,11.2828468910118,12.57602212322,11.672102308058,11.3971717328974,11.829978086586,11.8534985051633,12.2049450374342,11.6770185715725,11.7908310522462,11.7847363689774,11.7733480916175,11.8800306656042,11.5559689724932,11.4776585148688,11.7342614801059,11.6192192528152,11.8317084242439,10.9094348218554,11.8363130730106,11.8542461700837,11.7856318651358,11.8069074469479,12.1650461062103,12.0619499220603,11.6684955536415,11.8098752075113,12.0873212421118,11.7346838343648,11.8610724960872,11.683804579178,11.5541313063324,11.819696530505,12.0082383649841,11.5348072006414,11.8431857987648,11.9949352184596,11.7255809514411,11.9879316170973,12.1725430576312,11.8399950479406,11.6764439371758,12.1930640673577,11.4380445693504,11.257806266269,11.3383321083558,11.7617652753441,11.7512094589412,11.7415645834411
"fr5_00",10.7899100845692,10.791114333251,10.7544800724833,11.1795577531533,0,10.6862146622569,10.2214795367663,10.1918292647746,11.0121569288986,10.79689770675,10.9411043574611,10.7665147951487,10.9684398382511,10.1190089856711,10.5984321073267,11.221901571327,10.9990364070612,10.890935419475,11.0607292969039,10.5840941949129,11.1798172598272,10.6505700860098,10.9331582117392,11.68476913622,10.2508297865524,10.8697159394294,10.5392216106264,10.4030036713521,10.6942953698311,10.8775740785681,10.2987437101092,11.0520800925167,10.7125179205415,11.3255641327288,10.228783310975,10.1470036970369,10.5549895049833,10.8300655157133,10.658420750227,10.7051222849639,11.1504966523267,10.9250554867477,10.6540071688132,10.49196840795,10.7237763247497,9.69856783462833,10.7238209437643,10.2292336047347,10.5144141292755,10.5443776827028,11.0105737283223,11.1180074718444,10.3603160259139,10.6731620384356,10.5730622845756,10.5486388943885,10.8866850614935,11.1479186230582,11.1974398004735,10.5804214208563,10.5047182222217,10.6126703162704,10.2736469466296,10.5085357622476,10.43414699086,10.7896615425231,10.4384575695971,10.1862803298551,11.1455635669754,11.3354429311519,10.2161925395104,11.1100172436875,10.2779393222385,11.1283086723697,10.6606284661075,10.1983785778104,10.6720929152403,10.3938705520093,10.958196295059,10.8177375341219,11.0178674512056,10.7509549204991,10.7538491579056,10.73175914925,10.5747024745064,10.4743782318112,11.1235960750985,9.65489784150476,10.6882593097255,10.6814460850083,10.9672841193667,11.1034237113437,10.7096982128479,10.6966542398889,10.8434757728647,11.4058671232307,10.9024792570657,11.1752157494104,10.7228932956479,10.7446642714625,11.28924001605,11.2804732138912,10.6830628897303,10.8575185431357,11.057484022923,10.4297171073876,10.9672567911989,10.2821755983726,10.90094822641,10.9786620186519,10.8332974379044,10.8020137872179,10.5288863888273,11.3891177692121,10.4080454848744,10.4964899554816,10.9233147916589,10.8056247984433,11.1507112572153,10.5053275688811,10.9127811058036,11.3059423925049,11.007891662308,11.0146907811036,10.6581113232818,10.8912885064796,11.0731428161238,10.9399340407586,11.1536689156428,10.5713210796174,11.0138625956693,11.3313421594698,11.003129355702,10.9443441762854,11.0086582318631,11.2650790373014,10.9932390444674,10.7897968773278,11.0843575580515,11.1695736677304,11.2161223349402,11.1055759806804,10.9565615974889,11.0448719332867,11.145382894301,10.9335216313928,11.048813322256,11.475284040533,11.0456501101821,11.4438184108644,11.3786811197165,11.3159598017509,10.8642925005487,11.2110319048067,11.02629324715,10.8703912214405,10.9105261058656,10.9013884800943,11.0060453697153,10.9997422757243
"fr6_00",11.1712898716828,11.1239643204461,10.8899496749898,11.2924267603735,10.6862146622569,0,10.6004168837524,10.9035638588172,11.3974946991853,11.2716646409567,11.3737438662608,11.2432615050061,11.0123868232682,10.3056019955332,10.7424849912388,11.5829225741982,11.4136892295346,11.2502511081309,11.3872505528083,11.164451375267,11.2747921529728,11.2520084065021,11.1139942293478,11.7975771021635,10.5346882303321,10.9626245334325,11.0877365902797,10.9237228960643,11.1302273658348,10.8487275893784,10.4994126481899,11.0783917686277,11.3412076208614,11.5100848645075,11.0043986887391,10.4640739009824,10.6252327622097,11.0105871330967,11.2314591971277,10.8592075080003,11.3709321248876,11.3843171458332,11.198590142869,11.2078220179247,11.2694266403709,10.3072886703453,11.0627615475412,10.5645129052946,11.0336034133384,10.497222935049,11.407597003243,11.4851911365221,11.033245372517,11.2495278804396,11.2029001261993,10.9471298758173,11.3665193594425,11.4842565854113,11.4770451048808,10.9000495851183,11.0239205006928,10.968788594468,10.4853244592876,10.6278271432047,10.9919342575021,10.983955017617,10.637366177237,10.7903097171724,11.3001666202644,11.6334791146065,10.6237993172757,11.3650926809147,10.6772927286362,11.4931939580216,11.1077382441838,10.686032207664,11.0567440765426,10.8603293280379,11.192078084138,10.8453500621982,11.4200008172735,11.2454597638801,11.0029250204039,10.8010930786176,11.1894540727747,10.7328241831125,11.5254280203791,10.1052922305109,11.0514208989695,11.0160194397716,11.2636643880074,11.2045634427526,11.027252036914,11.3869372372627,11.2657759243909,11.898828995513,11.4598080619771,11.7032423098191,11.2002335147162,11.4146943994391,11.5088416005,11.8189998791653,11.4340524651128,10.6607112905252,11.5006920181232,10.9720199461743,11.452909598149,10.9838987546664,11.3029326092631,11.9469275409925,11.2525663584376,11.1421977265328,10.9722505712834,12.111626984693,11.0964297663667,11.0385802216034,11.5291984912922,11.4889483249976,11.8187663978377,11.1003299635935,11.4175815794646,11.5846428186297,11.4870815539946,11.4756902823875,11.0248980375083,11.1195111738374,11.4807162413399,11.2167481399632,11.4518397815128,10.6921580618664,11.4907577774659,11.5910618244052,11.452186771546,11.3948542793475,11.5901197033719,11.6995506060196,11.2843146414356,11.342997497503,11.5800475176478,11.4862413116379,11.5126209041933,11.4684391231493,11.3948485936882,11.4733235341813,11.5905876259792,11.1999759274557,11.418891384416,11.8404728793283,11.4036400673227,11.7733740416804,11.9084133284165,11.7044400466257,11.3395731073571,11.8075200581803,11.1873462360333,10.9476792173291,11.0820401356436,11.3979828666603,11.4094708847633,11.4956876051974
"fr7_00",11.0171654893546,10.7460373365072,10.6454141070753,10.93506463572,10.2214795367663,10.6004168837524,0,10.898634759314,10.7422581434991,10.7759210114955,10.9007643738324,10.6568846402564,10.460760681547,9.6678474869621,10.1781846348829,11.0355059777597,11.1244599907926,10.5626905272487,10.8815207282639,10.7682200664348,10.6349963594623,10.7812283251582,10.5861330736798,11.4304234799256,10.1959168334847,10.6223572258974,10.7179519875524,10.3023760573776,10.4895898618609,9.83871159458296,9.90104447334033,10.5469536253732,10.7767229423908,11.0690312832569,10.3653551721623,9.82686315078429,9.90968646025968,9.8949466716034,10.6434404646567,10.376966930662,10.6646920326544,10.8235430483791,10.8765525521665,11.1651796410411,10.7814518044704,9.92572386763333,10.4986802505859,10.513790824195,10.6911067366648,9.62596236762926,10.9568082374365,10.6759595247635,10.7019270679972,10.5313148465144,10.9667754196023,10.2947164074249,10.7148887739354,10.7973852091952,10.7717599602423,10.4442355146429,10.4475950242405,10.0477397715737,9.58521779071197,9.66379673289788,10.244604282855,10.137204448886,9.92924820010595,10.0194522225068,10.5319804282489,10.8699390211638,9.98924066140472,10.5177624168163,9.83275483984949,10.9336787532671,10.6150207699494,9.96911259979917,10.9291869302931,10.4024178004552,10.5225180041666,10.0808491546999,10.5017044243212,10.3690203329151,10.8030042639885,9.87175539436259,10.688322532899,9.99148828708317,10.574044316968,8.90995785567317,10.6090957582203,10.1233154263052,10.8032468019519,10.3335247511637,10.1836579683256,11.0315415565648,10.6639781857026,11.1842741419501,10.9657075847786,10.924427173945,10.5762077367783,10.8710685085872,10.8575094256383,11.212085301215,10.6657310446993,9.32779133129063,11.0271045684679,10.4042936895776,10.7002803512789,10.29283726387,10.3000265175167,11.2056973214085,10.606184129187,10.6190162477414,10.0342681694983,11.559683715975,10.5214741185744,10.2232731104858,10.8406096930085,10.6985123556048,10.889395556582,10.5688414662141,10.802190165035,10.8911572264793,10.6645865425105,11.0568425883853,10.6651536411301,10.7129291137543,10.6787853088373,10.6642760963354,10.7824901423922,9.83528601781692,10.8731876938563,10.9291327749671,10.812286623836,11.0031541229181,11.3620816592078,10.9693338368093,10.8137494298656,10.8225206566969,11.2495086809412,10.8923112368768,11.0368147451041,10.7913455499912,10.6262017784938,10.8329886954996,11.1339276560635,10.5957066820736,10.9226932692922,10.9573559370376,10.6662848296293,10.8708496236396,11.2093171494855,10.7602523092232,10.6929031615967,11.288197711704,10.6198142133815,10.2780765757499,10.6048450292564,10.8220639073728,10.9142201633201,10.7648427658689
"fr8_00",10.8275251217703,11.0425503203428,10.909848395849,11.6986334935075,10.1918292647746,10.9035638588172,10.898634759314,0,11.3715324561617,10.9557234695525,11.2842468746974,11.1027952908609,11.4856182075702,10.478468642606,10.9348411367679,11.7090580047122,11.2586698613565,11.4157876169657,11.2886072375177,10.6771859085613,11.6605270722085,11.0380276904003,11.2844452457613,11.9214815160194,10.5301200361497,11.1179714407966,10.651048218903,10.8222874100436,11.0692496710324,11.6435384091485,10.6444167075278,11.5462399673212,10.8439393994005,11.7301239657205,10.6629456896819,10.4482747645988,11.024443497381,11.6502564822273,10.9870985219521,11.2088790757916,11.5312431325556,11.2762166401148,10.9336674179003,10.3582964312656,11.0391299177493,9.93499052641938,11.1009023527622,10.2703673671725,10.786389199515,11.2463476795402,11.2618831565668,11.699026033709,10.6018960493256,11.0599839467859,10.682511111014,10.8433050789842,11.2232692227902,11.5997328483616,11.7384641170076,10.7554999009211,10.8468212063911,11.3219769362847,11.0028337571916,11.157418314513,10.9883054233088,11.4476344429333,10.9607803782061,10.7226127465944,11.8370100917852,11.950863089668,10.6275103190897,11.6193868627381,10.9109550925896,11.4487318644323,10.869571840975,10.6946301295303,10.6944117256121,10.7402676897513,11.2990442040107,11.4078201023194,11.5696432475444,11.3043560047978,10.980038878011,11.3983145473777,10.6642676054804,10.8837680651296,11.8628721888478,10.680207878039,10.8976151863782,11.2203949060548,11.2201383464975,11.6396648662006,11.2302794559491,10.8662848211227,11.0567212669162,11.8561910951878,11.1552420312958,11.6072280537827,10.9551856305084,10.9986100225275,11.7347662222872,11.7617283385615,11.0821083612603,11.9097172331908,11.4002898096366,10.6548011254961,11.500577252446,10.7834966888649,11.5616636612502,11.2715073250417,11.1090694911502,11.1558992947256,11.1478893002864,11.3977835703069,10.6476787702519,11.0577495220352,11.3684320489894,11.1945221792885,11.699594952411,10.6564618898021,11.2650897593466,11.8278300561019,11.4962979705911,11.2948999669438,10.7669746005671,11.2326927273571,11.5715463686476,11.2350368835055,11.4289982228574,11.1879324250961,11.3292473148159,11.7577363624865,11.3846360236895,11.1623103854402,10.9163332521199,11.637815338317,11.2556177033089,11.0031779393277,11.1353955153271,11.5840850908835,11.5250230434577,11.6426337800233,11.607079593242,11.4194326458401,11.4401068772664,11.3620671195619,11.3776582101229,12.0959575684263,11.5086979992684,11.9727154714252,11.8548327711102,11.9886844018742,11.3455731116953,11.4568631460749,11.5004180415384,11.3360354431533,11.3287874352387,11.2774082895971,11.3875819447825,11.5712956578285
"fr9_00",11.5783416100159,11.3588453922221,11.3412144627574,11.7458466615892,11.0121569288986,11.3974946991853,10.7422581434991,11.3715324561617,0,11.4438165727202,11.5459563730572,11.2940125048189,11.3442509676996,10.4879582672073,10.9034552479082,11.6818224791325,11.7708497196093,11.2621757773842,11.5523310705806,11.3366166106057,11.4735145306329,11.5378886273052,11.4796094084138,12.0665322702858,10.9889675660921,11.3074454144378,11.3097714686066,11.0879839464382,11.2334279752812,10.9014245764281,10.8134096693031,11.5771645876116,11.3468403948971,11.8898561901536,11.0810904686176,10.7077244139045,10.9315842463358,10.8313140563822,11.283599657029,11.1820941303871,11.2728746216819,11.4911725570158,11.4764472582186,11.5580726445658,11.4204350881252,10.7143868958012,11.406482926055,11.2393399326787,11.4645416895043,10.8722604846653,11.4951232089348,11.3572084283845,11.2015223460353,11.2280228370253,11.462361544285,11.0871564179391,11.3107732618815,11.3956724430438,11.5242544600728,11.0993205354546,11.042584461356,10.9868551159738,10.7301074542653,10.7824491802691,10.9150811306185,10.9638796506003,10.7273636460152,10.9480067783183,11.4986866056052,11.527736571667,10.8453785239752,11.3704742241813,10.7560756945426,11.478777548732,11.2397819051373,10.8359868961675,11.4015657073191,11.1630056086157,11.3836395895722,11.0845399063992,11.3242237488341,11.1809567599088,11.4383848826294,10.823528519555,11.2878356310397,10.8753084367425,11.5604855877494,10.2138496702781,11.3799512203722,10.8654368175101,11.4204675565872,11.1476978236579,11.017760329017,11.5947674259412,11.2429587283065,11.8439216718331,11.5003176617965,11.5545954037367,11.222359825093,11.4716235817915,11.5786285077902,11.915271199521,11.3814572161795,10.5971056038154,11.6975841121872,11.1213971106325,11.5161007577278,11.0248581470484,11.2926234588222,11.7311862727994,11.3968290899027,11.4121642894143,11.0211996852914,11.9601411689319,11.1973039654591,11.1281526328016,11.5050350502186,11.3111897237842,11.882064417939,11.2308854369647,11.3719763833181,11.6105674636979,11.3651852647609,11.6452892288725,11.2120515593207,11.5162857152609,11.3910001560951,11.3487217116014,11.440201855066,10.7217921803741,11.4793084441808,11.5913631752177,11.434841686807,11.6296296358454,11.7786577836856,11.6606723128954,11.4319684399336,11.4071704168016,11.780109713317,11.6352914897614,11.6811095332717,11.5217120786569,11.4788861681609,11.5402674904111,11.7866872969032,11.3375957009384,11.6805697296018,11.7936016457728,11.4384456456277,11.7207769395381,11.880222173683,11.5017768722897,11.4398593677791,11.8449325983849,11.3390398226721,11.0871332716634,11.27924309375,11.5365730715927,11.6496552722628,11.5988945930427
"fr10_00",11.2072748018344,11.0585453815917,10.8811207816898,11.7955359190088,10.79689770675,11.2716646409567,10.7759210114955,10.9557234695525,11.4438165727202,0,11.5056977970521,11.2367127360579,11.3318704144773,10.3184888780659,10.8232604661289,11.67413570978,11.5985316780052,11.341276348724,11.4791290652228,11.0735892061701,11.4327683152303,11.4971345752699,11.161183729728,11.6209152779341,10.6479468918918,11.0721343183415,11.1334083581867,11.0073813678092,11.1883454753588,11.0227700067667,10.6541561277556,11.578227095721,11.1448391285646,11.7977781389144,11.1962535507704,10.4703651129605,10.6999359609668,10.9958365465181,11.3809293955542,11.2718860534127,11.3415705814694,11.4637527566417,11.2837427771158,11.1569238819318,11.3650248589743,10.5251243170218,11.2059757172782,10.9509169019309,11.3069529789125,10.9031846315686,11.4656183649473,11.6734460145721,11.2383181955431,11.2736540224134,11.4069162811516,10.9020037091526,11.3612183627948,11.5075864967556,11.515070921681,10.831584705619,11.1490296648491,11.2496190210752,10.7556894133144,10.7537007481207,11.0611865422926,11.1268908758536,10.8412254099979,11.0204363344606,11.4617707855997,11.6827603789797,10.8378372364287,11.2097911842755,10.731072397014,11.5317291006112,11.3250803752274,10.8097155142846,11.2649547807142,11.049726292781,11.0876371479611,11.1678709721577,11.420782930465,11.3204590775029,11.1728257892516,10.9302319585196,11.3024682736839,10.7508537456671,11.6569008810342,10.4586652595992,11.0861289838599,11.1436233986696,11.2739432816882,11.2769108833327,11.0747593429456,11.4358264316255,11.3021271407352,11.7969328418452,11.4222672288105,11.7372700956765,11.094204049975,11.3358001062921,11.7185721801504,11.9236467172814,11.3861301807422,10.9350725074857,11.7190663541605,10.9872065437394,11.6522153110059,10.9877035287529,11.3500222191945,11.6911691601965,11.1748780264506,11.4303633713655,11.0521344088144,11.6899211623011,11.0901690993255,11.1914233255015,11.6370414965012,11.4233365410137,11.7272995370554,11.2263461206004,11.4712039757495,11.7282695987995,11.4687899883381,11.609152424335,11.0930976325842,11.320092186215,11.4687568706785,11.316990192824,11.3481400160522,10.916812717189,11.4356696555916,11.6664981897161,11.5107941169679,11.447672075177,11.438867856681,11.5958991616304,11.407060668084,11.3728251945432,11.4863481718415,11.6331245356529,11.5847190092422,11.5320943489674,11.5692078814297,11.4565203040878,11.6581748621644,11.3546783569671,11.4938016097551,11.8138523970227,11.402444657993,11.683833180331,11.9155428424827,11.7396832278477,11.383831528773,11.6438095185287,11.4173067279534,11.1197224122796,11.2403696837004,11.402694254104,11.5560760630384,11.6862658991755
