"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,17.0488403119712,16.1077467216374,16.9690943210371,17.8231036158854,16.6844658246189,17.5945710995957,17.5043837685663,17.8958729198436,17.4163639594905,18.0640109756318,17.936356883515,16.7064054620677,16.845438715812,16.6480188693318,17.8090037403149,17.5557978355114,17.7169906176078,17.2376477794689,18.0883680781482,16.9428425726272,18.4700921460871,16.6959117881285,17.4013885366,16.7676632081506,16.2758389662691,17.9277648684899,17.9410459588745,17.5146281115028,17.1324113621026,16.5563399965346,16.5331324800495,18.1247398746077,17.3634171428879,18.7708951476956,16.776962528839,16.0941959608194,17.8777874997874,18.3068038875373,16.9842011046637,17.2760812933307,17.7401086928692,17.9087236086693,17.2423354430418,17.7743381444805,16.7209780489115,16.9743716913137,16.3137674609804,17.3430949956495,15.935440891596,17.5564962773788,17.9819943251428,18.1563837262052,18.0442423689364,18.1431855922208,16.8860790714803,17.8742703514653,17.6450143843391,17.5198599873566,16.6437676687575,17.9802509030333,17.2998281709966,16.7452550609376,16.5046754781559,18.2908517179854,17.1155780703007,16.6509379806619,17.7747913923876,17.2764868643624,17.2616144031698,16.6545376206817,16.7335629052154,16.8004161503882,17.2389264990359,17.5290981109095,16.7284221212,16.587401967194,16.4881722705144,16.9394061523621,16.3611164644786,17.8348743016201,18.2434851838953,16.7212358084812,16.5687584241692,17.7140098003659,17.1709421892209,18.2602269246573,18.0441627921747,17.0708494883794,17.8991940208526,17.3979882390476,17.312282360296,17.5820466886841,18.2328775969387,17.7020686963154,18.4292156468607,17.9821714122376,18.8981775425888,17.5676256201846,18.4022781744027,17.3000691879071,18.2433087539798,18.5010714000867,16.4871104427527,17.821987230099,17.7247882720303,18.2940771540641,18.2725646568346,17.9144068208451,19.6127851384897,17.0907870825282,17.2499997082965,17.8576338950175,18.5298689031455,17.7112171585974,18.1056929614073,18.4031060232359,18.9194173197262,18.8751244646423,17.6828333918,18.0237248859373,17.8633091497424,18.728763780975,18.2876388138437,17.1764648708448,16.9724891066211,18.1090226608312,17.2887893258005,17.2628708698088,17.3570167820379,18.0585351671126,17.7426445748392,18.1172582432055,17.4171380809639,17.7876026401278,18.2682060456922,17.4084251666676,18.2113052942472,17.6649240176232,17.8717414332459,17.2839085492788,17.7172242183416,18.3375161094982,17.5549920495379,17.9262359142846,17.4236453683749,17.5007511693826,18.343719081785,17.4565400433004,17.6940127921955,18.7182206071305,18.2390428582224,17.7796922551057,18.121567730472,17.1265202551978,16.6939125083058,16.9999155498254,18.0166715443679,17.4483614305139,18.1885701704338
"fr2_00",17.0488403119712,0,15.8718412824193,16.7804730510269,17.8768023433398,16.6536725820256,17.3405434286681,17.7688377428812,17.6737986180526,17.1804735921353,17.8229323876251,17.774338188465,16.4918883466022,16.3730590535833,16.2937059119667,17.5522025194165,17.4591942250664,17.4785867530898,17.0666197369846,18.0447356080821,16.5547442777189,18.3910061377768,16.3966578792074,16.9913398270725,16.4761363753036,16.0603652166987,17.9684083455744,17.8992532391906,17.3417208410261,16.8054324973802,16.3212850377106,16.4041058707541,17.9480990765864,17.2064611920491,18.8443355785807,16.5229214424741,15.8002418112686,17.4242434890033,18.3791657176791,16.8208932825282,16.9592580386864,17.581980943583,17.9096525475247,17.4660535105055,17.7012771198166,16.9239664820675,16.7466881568375,16.3760643555233,17.3803593694084,15.6541378502592,17.443624366915,17.8323057824242,18.3370601914122,17.9089717679176,18.2495899083406,16.731524044107,17.7912213988501,17.3577427452753,17.1404548187487,16.4095631769029,17.8879771340376,17.1218712568347,16.5410302431556,16.0751501474455,18.2154772679925,16.7520687626501,16.3757542618921,17.7175316069346,16.8856694569958,17.0411737151447,16.6121552278547,16.2884120584198,16.4892048385115,17.1129581638079,17.5569648659308,16.6576585851734,16.6693141586106,16.5590541486297,16.7247135571981,16.0658945224362,17.5747416595903,17.9756085795882,16.6935546067667,16.076553996175,17.8083269638402,16.8858142745687,17.8711931085511,17.7469063325929,16.9149681089128,17.8036392807,17.241773046082,16.9852422450197,17.3175454336227,18.3834272086245,17.6342920744585,18.2685808500296,17.884490219716,18.7716934168986,17.3689328339344,18.3379945080825,17.1454860073929,18.0997006807774,18.498004419767,15.8967032752732,17.8039457578276,17.6905896521846,18.0976188885683,18.1314194717839,17.648240934305,19.5738413310406,16.8520838957558,17.2328981498591,17.6890946386739,18.3430944663955,17.7000329434717,17.9681175322388,18.3326844558475,18.8493881968225,18.6337634135656,17.7298832117542,17.9252746956233,17.6343399205723,18.5362160668563,18.3766688768761,17.1699004208176,16.8128299303541,17.8378953184846,17.1563468616422,17.0415187240542,17.0788215694356,17.9075977633023,17.5366966219033,17.9822940956369,17.4290903522811,17.7784815996625,17.9598937879053,17.310564166171,18.2274931637875,17.6640323788236,17.7265428477097,17.1312453063935,17.4182141648003,18.1168736053542,17.3753110177828,17.79038035101,17.2308351705799,17.3473446222809,18.0375392485271,17.187189640936,17.4409102913932,18.5593101628553,17.8879557608638,17.5413647945975,18.030644906886,16.934544962691,16.3768155661948,16.7364989012957,17.8654292493792,17.3432035262176,18.0985844131396
"fr3_00",16.1077467216374,15.8718412824193,0,15.94017855788,17.1565027802093,15.6246369841237,16.5752726198796,16.9042251913016,17.0394767117213,16.246585904138,17.093316364092,17.1046820500171,15.4021697259259,15.4478855481118,15.1743873108925,16.7525793477565,16.6205119844519,16.7059284702401,16.2192084227551,17.2477424025129,15.4549885656899,17.9216600589552,15.270890677764,16.1365816845474,15.3938524963057,14.8009717007844,17.2094683448872,17.2459366837453,16.4613536621033,15.7389509200814,15.1685554570019,15.3259023515676,17.2637045457042,16.2966406031196,18.3754455907583,15.3569144894753,14.4095112299906,16.6106197759815,17.8684745798913,15.9371222119883,16.1481670490819,16.8339061413626,17.1404686254994,16.6241196696914,16.9738850017471,16.1865096350732,15.8048974932264,15.2212975687343,16.5831355895697,14.534232821082,16.7080718610493,17.3533917768876,17.8402674468676,17.2184708877611,17.6841387511332,15.7895722918447,17.1215371266949,16.7995843013863,16.2840563761435,15.3640840215664,17.3311469366846,16.3876975640276,15.5769241995007,14.9802531258219,17.6898558305021,15.9627764045501,15.4452669079912,17.0979881877058,15.8795177559061,16.4680111797364,15.7547521655022,15.32468219202,15.6097797488819,16.4754326203289,16.9130978308427,15.8771555359345,15.9107555489236,15.7131210170836,15.6057715225006,14.9043289692222,16.9133570798022,17.3959797800296,15.5962882435978,15.0260342036498,17.234764617932,15.904820242917,17.1968537975152,16.9468963296771,15.9197416012319,17.36625483967,16.2797366640078,16.0230593799539,16.4637933737368,17.7916797216756,16.9276861949655,17.6792134065726,17.1675260893364,18.3632261691404,16.5765682637003,17.774298368375,16.3578693740768,17.5091719009246,18.0968163210099,14.7979493763719,17.116035159376,16.9328492747519,17.5365866459961,17.6218245740602,16.8965742347326,19.3850327204726,15.9230411638688,16.4290412874858,16.9936356171664,17.8059784062855,17.0476448536144,17.266436825741,17.8462131173677,18.3814623382112,18.2032566612139,17.0554489958542,17.3272795548564,16.8301760925381,17.9355688199282,17.6903468457069,16.2228020781588,15.7952026611364,17.1557517550655,16.3164401582017,16.1374400921527,16.1286709977629,17.1931612822971,16.7204692787116,17.3271680088773,16.5693482138261,17.0092103008308,17.3467188804338,16.4274035730486,17.6176967135784,16.8016530066414,16.8720588279484,16.2295302868142,16.5694764638881,17.3887763906092,16.6600689536364,17.0377454153106,16.4019310780294,16.4517150127996,17.2782035187648,16.3309402866422,16.6114879699214,17.9703001338332,17.3174386219762,16.8285567179082,17.3015407240139,16.0244089848932,15.3144371798123,15.7348047353929,17.1418298398646,16.4684107707579,17.4395900980067
"fr4_00",16.9690943210371,16.7804730510269,15.94017855788,0,17.3774626669783,16.0250291987312,16.8043087066614,17.5015775210275,17.4070075274731,17.2348398641396,17.5806566241588,17.659578276733,16.0828265334455,16.3372590204336,16.2041449085186,17.2789552061067,17.0898161796247,17.1671503467605,16.7483171815664,17.9657915875186,16.2256059195838,17.8717867955232,16.2691693873931,17.0216157730585,16.3054913074639,16.0246717640027,17.8375787240225,17.58650965851,17.071411811067,16.466077059535,16.041548877832,15.6563951931014,18.0749551642443,16.7813636726055,18.3784698434771,16.4282809070196,15.7404124405618,17.2968416767121,17.8809074750655,16.1519619393639,16.7926518930782,17.2309961513016,17.5749112178686,17.4445987898477,17.3627074274122,16.4169603252805,16.3279888293839,16.0570969581443,16.8228919816414,15.0538366084975,17.1087780386553,17.4062077190427,17.9529897495122,17.7797362149261,17.7886150094727,16.7018224395281,17.457239018446,17.0936973153017,16.9196622408449,16.3226996117484,17.4930419098905,16.3264008265447,15.8931583487692,15.775991652468,17.810437567799,16.2480203806882,16.0010059100415,17.1384170874033,16.5659731697101,16.7311644732395,16.19146764979,16.1493065119558,16.1147436698302,16.798617235442,17.0834616010002,16.1614973265025,16.2650922237444,16.0469657518547,16.5483841538456,15.6304382839764,17.2927863044247,17.5253811697925,16.3867521178692,15.9059543328392,17.3245168006804,16.7373930004389,17.4582558117298,16.8195091561639,16.6769455162397,17.4255301371075,17.0233783017756,16.6863324898708,16.9641706087006,17.9472369058546,17.3569370633089,18.0870811230309,17.6991878465158,18.5232486517064,17.3752167846363,18.095237331279,16.4709850243282,17.5963648989949,18.112142027588,15.3285609035111,17.2166233765712,17.438643953826,17.5418573517705,17.8033852946596,17.2865213763518,19.2728528928175,16.6034153285252,16.6760770438034,17.1560523078325,18.4399614770152,17.3597818166925,17.4422643738709,17.7022595699825,18.5234995638378,18.2158126908342,17.292350693425,17.6378126978098,17.2095984174815,18.1827584188125,18.0225048742422,16.8957307197125,16.3404422211554,17.5439754514077,16.8190593259222,16.9373495155738,16.7044209386187,17.6773258382922,17.1710952039108,17.6832220878084,17.1603972058046,17.6427313749725,17.8032386134557,16.987713667547,17.9471262844544,17.5851982981217,17.280793771676,16.8486778171905,17.0749661109392,17.5767158828706,17.1344891395871,17.4547651040288,16.8214189054231,17.0479439937385,17.700533839569,16.9468328024221,17.2317202016712,18.2476535286674,17.4954471763175,17.264275210571,17.9128510068852,16.4107871472438,16.0411188997903,16.323219631471,17.5784862514366,16.9222456370367,17.5002991678386
"fr5_00",17.8231036158854,17.8768023433398,17.1565027802093,17.3774626669783,0,17.0458337268922,17.5537631487256,17.5157325130335,18.1553478452571,17.9422435898357,18.3672008073243,18.4350567378717,17.4587069772591,17.5073173041515,17.2431531449025,18.2206193304752,17.9265727376287,18.1521125922511,17.5782967980254,18.4101778233142,17.6505352831046,18.5095624633551,17.358022781718,18.6420525530267,17.21836614997,17.1017785387459,18.2995070409745,18.186673427194,17.7313099135745,17.9929816242839,16.9150347548061,16.8335189435107,18.5116918771958,17.9313692073509,18.3647802647018,16.9948867760414,16.820871993216,18.600496935686,18.2802023489024,17.2332442183498,17.8297301296037,17.9782032883859,18.1034406647088,17.5307191790647,18.017947480194,16.5983722081617,17.1015440130355,16.5816445005656,17.3804174307757,16.5989338023944,18.0147890853267,18.2710466520761,18.1720131202072,18.2216663636526,18.1090913092775,17.3258861443731,18.0721203301556,18.1055983006394,18.101955416123,17.1890288969916,17.9284769911065,17.0749263361756,16.9809802888996,16.969681202567,18.42210061778,17.2851397756028,16.8791709529008,17.3988858825418,17.8458825888386,17.8192236306115,16.6590735662054,17.2674237495242,16.8007493959828,17.623822535559,17.4855944004878,16.7003714768262,16.8955819986414,16.6553082118511,17.5448795594572,16.796696766775,18.0955973822506,18.2356091671524,17.4174016721848,17.0594081465894,17.5699995511426,17.83162187702,18.4546197824336,17.1094069965319,17.5338168366237,18.4554274380756,18.0931447233262,17.8359899602017,17.8288532723158,18.3180370788309,17.9965381549844,19.0548855551656,18.2798601167922,19.1846440066277,18.0163960394544,18.5189760044375,17.5963185255129,18.3617614720114,18.4524577137094,17.1063867126771,17.986504698746,17.9741981512229,18.2542583742889,18.2409762746379,18.1186686993211,19.4688599994547,17.29512523119,17.427298485324,17.88285302837,18.9774992035064,17.4709217410967,17.904894562784,18.2662100311011,18.9546441936689,18.7164018765756,17.5769430808131,18.253204746664,18.306102583111,18.9310234053183,18.7136961642504,17.5199636049124,17.3950068528363,18.4275672652375,17.7011670337468,17.8724947014523,17.9040800495264,18.4357068547099,18.2020299944604,18.4403513970214,17.9119603470746,18.1642886491834,18.6719872376674,17.8715067501827,18.3764521852193,18.194481800905,18.3096608570697,17.8490441562798,18.091790844319,18.5310573872398,17.9232956386843,18.2154467282329,17.8158625265762,17.8490487274644,18.8449610217806,17.8183669832012,18.3484343463618,19.0266643613776,18.4350423182515,18.0936636107973,18.5453363561018,17.6145003236115,17.2473404338735,17.4866134874876,18.3462016314943,17.7712285916079,18.2430561736886
"fr6_00",16.6844658246189,16.6536725820256,15.6246369841237,16.0250291987312,17.0458337268922,0,16.5285799416643,16.7801655649741,17.2611229776093,16.9098631939136,17.3594835331018,17.4175603965191,15.9853665322669,15.9703745923146,15.807012946756,17.3333405010723,16.8855482301376,17.1999440595775,16.4584858802146,17.6207938669859,16.2002066783309,17.6396930950582,15.8798341309731,16.9170691821941,15.9560103247002,15.6107808063249,17.298785468845,17.2926998103627,16.8037448938292,16.4015317354761,15.6001200990502,15.325863361016,17.768456446511,16.6102078568772,17.9332700016498,15.8675849274275,15.2826581301,17.5429279953975,17.615219429485,15.9267172044312,16.7230699001023,16.9784381950233,17.4608523355554,16.9146314856941,17.2354672939477,15.85548130637,15.9826449116905,15.2887949124374,16.5244344176426,14.9216529590507,17.0534023746915,17.4158473220774,17.6259470185544,17.4386160753944,17.421144114744,16.3196583959208,17.3573066681593,17.214769111195,17.0546540947298,16.1033209867765,17.1770815164771,16.2328875579016,15.7888130070957,15.5795922324811,17.8455949122329,16.2295064573446,15.7204076779712,16.7076030392863,16.6333489984898,17.0181021583988,15.689913797994,16.1754471951398,15.9665154228144,16.7580022088093,16.5534075229755,15.9132145493388,15.8876540316068,15.7900061364761,16.3078071936008,15.2893000405149,17.2312957681071,17.3886577213182,16.1070171235937,15.6116791400486,16.8277328159539,16.5331365262061,17.5731508747115,16.5706561187624,16.441227389699,17.4515700355594,16.9582451236517,16.5830944906931,16.8483350842436,17.8262223413455,17.0154995871976,18.2933227617373,17.5599407247715,18.4695782619545,17.0835642703381,17.9884489337203,16.4374569317426,17.697684966931,18.0751344999436,15.3764801152565,17.0887347082825,17.1427104259236,17.4277761331278,17.8224315430897,17.2414197839361,19.5243710376859,16.3295485875761,16.3689929610975,17.0843087602222,18.4956576585811,16.9793441206808,17.2403072231812,17.739320821118,18.4727653418561,18.1193892073986,16.7968309437094,17.5178851560586,17.2889621800828,18.1033551515126,17.8450881127641,16.4620902531099,16.1833376315063,17.5727372577382,16.543770935966,16.7323039066144,16.52956945858,17.6168561072739,17.1481023083708,17.599642316356,16.9461071004814,17.3500688057601,17.732908122698,16.7664897245263,17.6741668111655,17.3260873240936,17.2391110487104,16.7308949153146,17.1553294330582,17.7740153038002,17.0504298509299,17.2801035920706,16.6306872454259,16.8203883834868,17.9276147418096,16.8396749133741,17.3211432056669,18.359409286241,17.6647395202771,17.1801448679967,17.907015174689,16.3772050224732,15.8120110094194,16.3219197785326,17.5122666746912,16.7781538720696,17.4952358289749
"fr7_00",17.5945710995957,17.3405434286681,16.5752726198796,16.8043087066614,17.5537631487256,16.5285799416643,0,17.7805105883264,17.4791455975403,17.4520656153235,17.8047862744635,17.7689706526683,16.4846116861217,16.5333745611593,16.4474605522739,17.6457979745314,17.5701754798145,17.4567000662811,16.971086073392,18.0487658305585,16.6323502661445,18.0316007508184,16.6046819885575,18.0282971331267,16.8437058042873,16.4305670519164,17.8356184841429,17.6102649295021,17.1146453842808,16.503790328387,16.194192737189,15.9838565292296,17.9450197332667,17.1823488770294,18.0671173632593,16.3643450464865,15.7627861189467,17.1822048848709,17.8997309250738,16.736378832915,17.0448572729778,17.4284528802303,18.0470519020932,17.7164875608213,17.6258210976796,16.5859933556856,16.5969947151929,16.3764296209539,17.2322564800322,15.2452388479698,17.5911849280132,17.3987008801788,18.1213036678724,17.4521372035828,18.0930409096524,16.572507046716,17.578498607292,17.3889490972779,17.2565170811364,16.8041070999758,17.5894635120798,16.5417755299173,16.1005629782099,15.7780941816263,17.9804682249022,16.5481886755865,16.1470670881595,16.8800608173282,16.8082280511341,17.1015693659828,16.1014066554097,16.4506866631981,16.2575831309205,17.1220198186958,17.0465002537462,16.3041564034472,16.8597215938992,16.4694952440515,16.8316187266026,15.7218525839974,17.2316235675648,17.493326114134,17.1614168322321,15.8896035953926,17.2757706102413,16.8244469247825,17.3851525148636,16.6005588872889,16.9299683855073,17.395014683113,17.5338421859785,16.732900390914,17.0373471645785,18.2973606974742,17.3744247874151,18.2910513192977,17.9611241242556,18.2517421410952,17.2895681596292,18.2225655905128,17.029379021369,17.8736873674493,17.9771691775222,15.314829246473,17.573205304452,17.4339527943712,17.5303676840844,17.9219129770341,17.0594775196318,19.2511762782426,16.741854107583,16.8210011952921,17.0590759065737,18.5143480598919,17.3040429572518,17.3504412023199,17.9402487654704,18.3807761876926,18.0091356618481,17.1725449431333,17.7199479047757,17.5875835861675,18.2321105290083,18.2871662640479,17.2317334390091,16.9628380972356,17.6847753405989,17.0621581597577,17.1016933952497,16.7790603040231,17.9263743012986,17.5112498091914,17.7799938940745,17.5638919660347,18.1213812037648,17.8599128928372,17.3445182293141,17.9859429688937,17.918837023384,17.7319578315816,17.2740011820736,17.491912102799,17.9207803207751,17.287452493292,17.8103733244432,17.14758006533,17.4026576312924,17.8664421921062,17.108296608979,17.2895923970281,18.3753651635269,17.5434819814999,17.489857575526,18.2138708744098,16.9601243741203,16.2793700141408,17.066538876375,17.8572792743597,17.323162564936,17.7031289938708
"fr8_00",17.5043837685663,17.7688377428812,16.9042251913016,17.5015775210275,17.5157325130335,16.7801655649741,17.7805105883264,0,18.0793965368915,17.752350359175,18.2912530634043,18.3302088636887,17.519352335253,17.3653640032167,17.1247062813632,18.439163652154,17.8223034122501,18.2923198983544,17.3491109551925,18.1192817455717,17.6547834746626,18.5053202362724,17.2632402534618,18.4905335513275,17.1061932825,16.9578740562082,17.9600480503222,18.2313960165062,17.6975482411545,18.2586201136312,16.7407322340187,16.8349998593041,18.171083517933,17.8680645936945,18.4002900282106,16.8259805540286,16.8335189108141,18.9928762792056,18.1853085791992,17.3042249141275,17.7849046010051,17.9347332397182,18.2111138896168,17.123396208258,17.951340920352,16.5316055243413,17.0871322035321,16.1877146289171,17.2986848165871,16.8026555704737,17.883224799123,18.4484868742137,18.0676282571226,18.1868928864585,17.8475178305294,17.2617162585641,18.0169581271154,18.1823307260915,18.2530247653009,16.9475526363088,17.8747652890284,17.3613094206014,17.2959173475806,17.1127912662125,18.6388718171681,17.5625648703078,16.9761478807663,17.5504372646798,18.1550265627846,18.1906658234003,16.7143298074031,17.4534556063125,17.1162609333481,17.5964218506021,17.236611982687,16.8738610417359,16.5497846761856,16.6862110447589,17.4852823360606,16.898812097387,18.2565527562271,18.3345853285326,17.2918129183722,17.2468585172813,17.1723202939482,17.7904699973571,18.8099434460523,17.9957796568929,17.3893890798091,18.5451421828375,17.979738520075,17.9071173441713,17.9153551451195,18.1933831959528,17.7331619519398,19.1758188709796,18.1972620421868,19.1898737058759,17.8338443274352,18.4542823890338,17.6037666291161,18.5384181884037,18.5442845657,17.6066897259196,17.9722622382687,17.7750696743434,18.3998815827675,18.4770040087348,18.3930211829208,19.6070318654354,17.2148060974108,17.3196562191823,18.130213470142,18.6804384737852,17.3990731251117,18.0651015105908,18.3500118226592,18.9430715173442,18.9023627276073,17.2566221843979,18.2421723342829,18.4384582898112,19.0482048411119,18.6726596016376,17.2249345157284,17.3779112527271,18.499491898579,17.5589742505709,17.7108333783238,17.9808904399913,18.3652375158902,18.2331494188385,18.4168865443467,17.7241384307666,17.7066255215802,18.6517084185876,17.7053790943868,18.2564139548022,17.9362628929144,18.270434081276,17.776855373806,18.2803366321361,18.8576891230369,17.9534169443869,18.1741788904265,17.7949525629737,17.8486733584904,19.12638919587,17.9057126532758,18.470874636229,19.1823742503205,18.7559066365907,18.2136442506456,18.4800422494874,17.6832491628827,17.2611604713573,17.5938459823433,18.3793142840085,17.7794411783993,18.4245996093195
"fr9_00",17.8958729198436,17.6737986180526,17.0394767117213,17.4070075274731,18.1553478452571,17.2611229776093,17.4791455975403,18.0793965368915,0,17.8787849654477,18.2404025241311,18.1529221957154,17.1988340261737,17.1529011896163,16.8855334226763,18.024195565107,18.0592920970419,17.7862478140606,17.3948942050285,18.4249343176644,17.2048026606646,18.7221057464107,17.3179452063395,18.2867001011792,17.3727298667212,16.9062574088408,18.2887905183608,18.2078598278324,17.6041760856506,17.2877393490826,16.8922722529365,16.9099183362296,18.3318890167405,17.8493904453111,18.6510496320231,17.0087024847608,16.6340721986791,17.7889988394747,18.2278087337487,17.2170371004122,17.2128878346965,17.8714245122003,18.3848215478184,17.9320435685511,17.9863450580864,17.2363116690046,17.291608175074,17.1237924024065,17.8398709588673,16.3587105033158,17.7443344572315,17.7900612123844,18.38970658729,18.0254284255783,18.3657156397982,17.20614640763,17.7793533839086,17.5986690131783,17.6733342234438,17.0890288422092,17.8413071680166,17.0263635789027,17.0165042116719,16.6852126546734,18.187900274875,16.937965761262,16.6305807374892,17.6992910361122,17.5551015256099,17.324250464594,16.88944447258,16.9030489408877,16.814940403359,17.2945015019075,17.4731260076342,16.8766450155002,17.0613839127966,16.9456372079026,17.3692857641643,16.5918738071605,17.6959205467757,17.9930733522834,17.5119458288599,16.5142233523915,17.6171572949146,17.4613379290723,18.1475269374167,17.6605803088377,17.5554098070895,17.7474492948082,17.7846446719204,17.1892984946775,17.5143589004569,18.5439528827492,17.5958722582968,18.6145193712523,18.1269407609821,18.6811963539641,17.7125579028084,18.5296435344062,17.2846628313602,18.3040775989698,18.3999805895398,16.2379425379685,17.9484704943844,17.9435058836291,18.1270424432885,18.3331695659525,17.8509728452854,19.46512538628,17.2390715004915,17.4430549983541,17.8015797836027,18.5523933887398,17.706836528789,18.0151294007911,18.1828851816936,18.6382074949967,18.7945751917954,17.6812907919582,17.972042989697,17.8959249021123,18.5631196776523,18.6357393150705,17.4407151217227,17.4768446042266,17.9675007629509,17.4295856889328,17.4143619264258,17.3403356470454,18.1249135807967,17.7647611892189,18.0971201216321,17.9224314534996,18.1858551936762,18.2554118384907,17.6321784337674,18.3211951452455,18.1842777126012,18.0987857893839,17.5944109049958,17.8095346191485,18.4278913642058,17.7157086042304,18.1822237995721,17.5580107279881,17.8698014830692,18.3515231129378,17.5441281473119,17.8444737328722,18.7247168264531,17.9296193201158,17.9327545859712,18.3856519189499,17.2528692717563,16.7998783237029,17.2846771160805,18.2547399204044,17.7646989002549,18.2389549584015
"fr10_00",17.4163639594905,17.1804735921353,16.246585904138,17.2348398641396,17.9422435898357,16.9098631939136,17.4520656153235,17.752350359175,17.8787849654477,0,18.1568794145648,18.0608547584868,16.9838558250215,16.6852321845072,16.6063591688714,17.90164065873,17.767361104111,17.8726397894715,17.2064967469935,18.137998601833,16.8865004741115,18.7086201232386,16.6066117659343,17.2168312232118,16.7749502446504,16.3735216889614,18.1637745978318,18.0702054664835,17.5358620748957,17.1619139677049,16.5446419380168,16.6968729255777,18.1542926199096,17.5812179953183,18.9394013960155,16.5852850626651,16.0046507977394,17.8422987387747,18.4763099670461,17.1769918451581,17.2148315319874,17.788013072585,18.1380755784037,17.5961955699468,17.9986593814439,17.0431052617194,16.8672257970567,16.731687891416,17.6475463722846,16.1061260206275,17.712649822382,18.1963794203805,18.6434170191604,18.1284647868497,18.4558922801477,16.9232373266798,17.8661844933308,17.6294875832909,17.5255349337153,16.6120724774367,18.0354991157973,17.2465738406065,16.7743829975915,16.3396939719139,18.4805486400759,16.9177925122462,16.60427557596,17.7769901554068,17.2838468631511,17.4025749938486,16.7608289352919,16.3951891537833,16.6023212177783,17.3387388822526,17.6474416686095,16.7356368287118,16.881138963057,16.7249207126661,16.7445352561937,16.4063526805774,17.7905249444082,18.1475279497042,17.0487097432425,16.421919053802,17.8332730893244,17.120671892063,18.224772162184,17.7607935382076,17.1352233110282,18.2529016347441,17.5368015961026,17.1844462994034,17.4417732939511,18.5175288405238,17.7764149275925,18.5869933359331,18.1136298110601,19.0409664214141,17.5705139339934,18.4610684883385,17.3422911845945,18.3111273527966,18.5791767943594,16.2526141480126,18.0428703876817,17.8281919664924,18.3277695426004,18.3660753093534,17.8072169291239,19.6368991431775,16.8354239548392,17.4582447998627,17.7197041121235,18.3801892265487,17.6649677040451,18.0741112004248,18.4668283742071,18.956889389051,18.5286719132098,17.7694094298265,18.186878301669,17.9548825595066,18.7087991077874,18.6728624206578,17.3138812514797,17.0045083111107,18.0696029714952,17.3468207689388,17.1915016189393,17.4929086652109,18.0963708249578,17.787718969436,18.2111455123609,17.6542528545303,17.8061961988252,18.1164032780323,17.5728726886223,18.393566169477,17.8507149553108,18.0022783643416,17.3980800880821,17.7482554435421,18.4481880675625,17.5643017655419,17.976739054294,17.4603065978324,17.5667807145218,18.3056343577682,17.3989776765352,17.6414769468289,18.8490450452617,18.1212027876788,17.8095960496438,18.186276933823,17.2442297135231,16.6533759635872,17.0549772619821,18.075484871552,17.6212746471882,18.3433024780794
