"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,11.5485521599103,11.4643277692475,11.3403854757489,11.3807982190652,11.1487277208389,11.1397319056362,11.3135064024807,11.3386136528221,11.5053633363432,11.4221556540027,11.795008349613
"fo2000",11.5485521599103,0,11.614791340687,11.5697160197073,11.5744111804495,11.333120723006,11.3543072071558,11.527314571006,11.6091282721704,11.7407009454308,11.7468179682399,12.0165810250493
"na2000",11.4643277692475,11.614791340687,0,11.4828905250883,11.4991085675764,11.2689526268947,11.2842414001215,11.4560785539749,11.5284401992082,11.6541063897695,11.6598647214592,11.9116487943075
"fr2001",11.3403854757489,11.5697160197073,11.4828905250883,0,11.4061263384196,11.1543957176653,11.1781103214733,11.3452688811902,11.3931674435543,11.5624836749036,11.5323974908697,11.8093575969605
"fo2001",11.3807982190652,11.5744111804495,11.4991085675764,11.4061263384196,0,11.1930970314935,11.2007068828753,11.3605978782317,11.4270741273543,11.5765740549164,11.5525397016066,11.8558130735596
"na2001",11.1487277208389,11.333120723006,11.2689526268947,11.1543957176653,11.1930970314935,0,10.9316794228318,11.0558479169338,11.2024499824209,11.3350792948553,11.3228074738478,11.7072184143834
"fr2002",11.1397319056362,11.3543072071558,11.2842414001215,11.1781103214733,11.2007068828753,10.9316794228318,0,11.1124766958315,11.1705862746101,11.324828495755,11.3247775802296,11.6477854702562
"fo2002",11.3135064024807,11.527314571006,11.4560785539749,11.3452688811902,11.3605978782317,11.0558479169338,11.1124766958315,0,11.3512157584298,11.5038404465603,11.4786313647801,11.8276311165963
"na2002",11.3386136528221,11.6091282721704,11.5284401992082,11.3931674435543,11.4270741273543,11.2024499824209,11.1705862746101,11.3512157584298,0,11.573107419778,11.5206936202395,11.8310340199779
"fr2003",11.5053633363432,11.7407009454308,11.6541063897695,11.5624836749036,11.5765740549164,11.3350792948553,11.324828495755,11.5038404465603,11.573107419778,0,11.6324633474368,11.9831258254065
"fo2003",11.4221556540027,11.7468179682399,11.6598647214592,11.5323974908697,11.5525397016066,11.3228074738478,11.3247775802296,11.4786313647801,11.5206936202395,11.6324633474368,0,11.9542459073119
"na2003",11.795008349613,12.0165810250493,11.9116487943075,11.8093575969605,11.8558130735596,11.7072184143834,11.6477854702562,11.8276311165963,11.8310340199779,11.9831258254065,11.9542459073119,0
