"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,18.2632830398811,18.3461130717866,18.2140939533457,18.2042904421809,17.6893949696443,18.0765451441558,17.9195574224948,18.098712956173,18.0673667006892,17.7360862920548,18.5501925759252
"fo2000",18.2632830398811,0,18.473450970802,18.462006874527,18.4010804221566,17.9170548745983,18.3285679506466,18.1532741301296,18.4164615562548,18.3317061949883,18.1430662378006,18.7358405385927
"na2000",18.3461130717866,18.473450970802,0,18.5133697113761,18.4487003133303,18.0044730838513,18.4022185094274,18.2130113841471,18.4737566967689,18.3798756017006,18.2170787386995,18.7454197899772
"fr2001",18.2140939533457,18.462006874527,18.5133697113761,0,18.37492329912,17.8682649580906,18.2846396102677,18.1015230791492,18.3237629059757,18.2957854719568,18.0716227506475,18.6819209634894
"fo2001",18.2042904421809,18.4010804221566,18.4487003133303,18.37492329912,0,17.8634286978633,18.2666121548754,18.056771737706,18.303647670056,18.2445349040662,18.0269593002152,18.6495061547085
"na2001",17.6893949696443,17.9170548745983,18.0044730838513,17.8682649580906,17.8634286978633,0,17.7363746470356,17.4710605045275,17.8286456607977,17.7908834784991,17.5391798607259,18.3641209090949
"fr2002",18.0765451441558,18.3285679506466,18.4022185094274,18.2846396102677,18.2666121548754,17.7363746470356,0,17.9600246628991,18.186722659779,18.1317931939132,17.9320756896412,18.6294737660465
"fo2002",17.9195574224948,18.1532741301296,18.2130113841471,18.1015230791492,18.056771737706,17.4710605045275,17.9600246628991,0,18.0080284586097,17.9647979373451,17.7339666217632,18.4432562312443
"na2002",18.098712956173,18.4164615562548,18.4737566967689,18.3237629059757,18.303647670056,17.8286456607977,18.186722659779,18.0080284586097,0,18.2083372084994,17.9372043958485,18.6036472641902
"fr2003",18.0673667006892,18.3317061949883,18.3798756017006,18.2957854719568,18.2445349040662,17.7908834784991,18.1317931939132,17.9647979373451,18.2083372084994,0,17.8438646679784,18.550033256129
"fo2003",17.7360862920548,18.1430662378006,18.2170787386995,18.0716227506475,18.0269593002152,17.5391798607259,17.9320756896412,17.7339666217632,17.9372043958485,17.8438646679784,0,18.3649831196106
"na2003",18.5501925759252,18.7358405385927,18.7454197899772,18.6819209634894,18.6495061547085,18.3641209090949,18.6294737660465,18.4432562312443,18.6036472641902,18.550033256129,18.3649831196106,0
