"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,5.54700088576122,8.50467242480524,1.24096917090321,10,-2.38335617708485,0.01,999
"fr2_00",16,9.22138784078827,11.6943588061741,1.26618821935977,27,-1.95308322062599,0.027,999
"fr3_00",19,7.86499804957457,11.9477752915711,1.23877858906746,1,-3.29580869255257,0.001,999
"fr4_00",20,9.31739331423848,11.5233651295212,1.20039591809751,37,-1.83770352933133,0.037,999
"fr5_00",12,8.2732867614534,11.7221521740859,1.39929285941012,10,-2.46472022596215,0.01,999
"fr6_00",17,7.25135108872136,10.8905626377618,1.50700751220144,10,-2.41485959398058,0.01,999
"fr7_00",9,4.53493420184961,7.09619304632923,1.20434235505188,22,-2.12668667985965,0.022,999
"fr8_00",16,5.55001514190401,10.4959334908526,1.5872933316533,2,-3.11594476604839,0.002,999
"fr9_00",26,9.53400398882635,12.3963694237884,1.10803361093011,10,-2.58328394258668,0.01,999
"fr10_00",17,8.58199298385449,11.3104215398728,1.28341926650326,20,-2.12590587287356,0.02,999
"fo1_00",21,10.2784046218702,12.6972607159826,0.947711601637145,10,-2.55231242282338,0.01,999
"fo2_00",20,10.4839029387553,12.9282201660717,0.975156455147997,12,-2.50658980352595,0.012,999
"fo3_00",15,2.89374035744417,2.78529809739618,0.452290846947955,582,0.239762225523134,0.582,999
"fo4_00",9,8.87220169930514,11.6215107401723,1.47564722576661,41,-1.86312080073126,0.041,999
"fo5_00",25,9.63004482456994,12.8561221146935,0.982249657543805,3,-3.28437609048462,0.003,999
"fo6_00",21,10.4627628868961,11.983205882944,1.26171324014092,121,-1.20506225002288,0.121,999
"fo7_00",20,10.0417987844315,12.4993762311039,1.07694563665159,13,-2.28198839665991,0.013,999
"fo8_00",24,8.98333936585101,10.3391976767564,1.21458114174127,133,-1.1163176047354,0.133,999
"fo9_00",19,10.549311876788,12.1808551791921,1.21691072079542,99,-1.3407255557233,0.099,999
