"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,8.48518033920292,11.8185373200794,1.64186406210094,13,-2.03022714110147,0.013,999
"fr2_00",16,13.134130341486,16.2176173197901,1.60135602398467,30,-1.92554743112743,0.03,999
"fr3_00",19,11.9828886653061,16.5465275296573,1.63664159089331,6,-2.78841677355903,0.006,999
"fr4_00",20,12.8618030397234,15.9203513582386,1.52448296522556,28,-2.00628566424334,0.028,999
"fr5_00",12,13.1007640161306,16.2357556863581,1.75183768496859,51,-1.78954460057962,0.051,999
"fr6_00",17,10.2750265828516,15.1465787418052,1.93635942114952,10,-2.51583053525341,0.01,999
"fr7_00",9,6.95478118527527,9.7091028141563,1.6074984313748,53,-1.71342103676295,0.053,999
"fr8_00",16,8.81071274889459,14.4331399253845,2.14859150605001,2,-2.61679670642758,0.002,999
"fr9_00",26,14.6308482680829,17.2030443276156,1.46456940266593,57,-1.75628144002636,0.057,999
"fr10_00",17,12.9170147799091,15.85060741106,1.66920912518564,45,-1.7574745949371,0.045,999
"fo1_00",21,15.666685698556,17.706656425902,1.21963697692983,60,-1.67260485368452,0.06,999
"fo2_00",20,15.7095396694651,17.9435560220252,1.28143751916742,57,-1.74336736605905,0.057,999
"fo3_00",15,5.01830725345862,3.8076228598683,0.57976597223365,974,2.08822947805293,0.974,999
"fo4_00",9,13.2033720205455,16.0770141718977,1.93038913153364,82,-1.48863361506246,0.082,999
"fo5_00",25,13.6032417046806,17.8490723827609,1.27891367166553,4,-3.31987277339129,0.004,999
"fo6_00",21,18.0117365644899,16.6968358259911,1.57893174055198,759,0.832778710268465,0.759,999
"fo7_00",20,15.3530184298212,17.4061030805159,1.34210971418815,77,-1.52974427425007,0.077,999
"fo8_00",24,12.5697167194518,14.4100970876146,1.67726863128859,138,-1.09724842749182,0.138,999
"fo9_00",19,14.2265093970218,16.9381688308741,1.54318151176387,54,-1.75718761090706,0.054,999
"fo10_00",23,18.1648940563984,17.4435785549694,1.27061932905214,695,0.567688122584321,0.695,999
"bc1_00",18,14.7056225158961,16.7621542504366,1.42728474000409,89,-1.44086997982935,0.089,999
"bc2_00",17,6.1061795417555,7.89619577646685,1.14649895361909,57,-1.56128902609191,0.057,999
"bc3_00",17,13.5115965239447,17.2021518238458,1.50158373843897,10,-2.45777521787613,0.01,999
"bc4_00",5,9.42093480962645,10.9126967278489,1.90523880960106,207,-0.782978968675745,0.207,999
"bc5_00",14,10.7653658443851,11.7295089280623,1.66876207135971,299,-0.57775946626807,0.299,999
"bc6_00",17,14.7097400852166,16.8593400369939,1.46843296919985,81,-1.46387339215674,0.081,999
"bc7_00",22,15.6819361364484,17.136072313865,1.44937119779652,171,-1.00328761853926,0.171,999
"bc8_00",16,16.4032835770444,17.7811604210823,1.30453024304716,161,-1.05622453092342,0.161,999
"bc9_00",22,9.39947278663074,10.0616274757266,1.30350499744481,335,-0.507980169154614,0.335,999
"bc10_00",12,8.56540167073667,10.2085269748533,1.5873948438996,155,-1.0351081272761,0.155,999
"na1_00",17,11.425535719031,15.4611433639119,2.01698296262829,35,-2.00081394818635,0.035,999
"na2_00",14,11.7986442828774,14.3319722569433,1.53295533275834,44,-1.65257781484571,0.044,999
"na3_00",11,14.0395775362271,16.4834396105058,1.73833980206747,97,-1.40585981599926,0.097,999
"na4_00",11,11.6752639084859,12.9284644789915,1.57692173337699,208,-0.794713234005527,0.208,999
"na5_00",18,9.61464807001672,11.1746071651397,1.93755281151318,219,-0.805118232573318,0.219,999
"na6_00",14,11.8307048272246,14.7122265319098,1.64319675189679,46,-1.75360723014998,0.046,999
"na7_00",14,14.3594510283324,16.8973268992401,1.60152218883017,65,-1.58466481988703,0.065,999
"na8_00",16,15.31186780674,17.2727012032813,1.43922738735571,104,-1.3624208473019,0.104,999
"na9_00",28,9.26975941029717,10.2756945140018,1.1804862248024,200,-0.852136249089201,0.2,999
"na10_00",18,14.393070002814,16.4233913587409,1.61581568630273,108,-1.25653029187547,0.108,999
"fr1_01",20,14.7145792233712,16.9296719785797,1.59408385872899,99,-1.38957103359337,0.099,999
"fr2_01",22,10.5620014013016,13.4544432274584,1.55764482372091,29,-1.85693283995729,0.029,999
"fr3_01",19,10.7818422758686,11.9417948913343,1.16466195532512,157,-0.995956474891391,0.157,999
"fr4_01",10,11.9542801957445,14.8406845085206,1.74371338128028,60,-1.65532038909794,0.06,999
"fr5_01",29,10.5393482668743,14.3814110128089,1.60871052745077,10,-2.38828719050087,0.01,999
"fr6_01",10,11.2730014088253,14.5389156456788,2.04052115139969,65,-1.6005294699412,0.065,999
"fr7_01",14,8.8398084494528,10.6724518513304,1.31895032603522,71,-1.38947113147662,0.071,999
"fr8_01",12,7.03869307247044,9.33801410946901,1.18212428000279,29,-1.94507555245643,0.029,999
"fr9_01",17,9.11088285825282,11.2504142262005,1.62078914523671,98,-1.32005534108829,0.098,999
"fr10_01",6,4.97513554408239,5.34281369040071,1.05607843177061,348,-0.348154204514789,0.348,999
"fo1_01",22,14.3281057412126,16.2037920227341,1.47435688846378,99,-1.27220640822991,0.099,999
"fo2_01",12,16.5304560171549,14.590962387817,2.20651405144608,760,0.8789853969282,0.76,999
"fo3_01",18,12.9201010078525,15.0310347064059,1.91789691018132,146,-1.10065024212059,0.146,999
"fo4_01",22,13.0420071755447,10.9583542715391,1.74836443308134,856,1.19177264452431,0.856,999
"fo5_01",27,11.1804430207141,14.6519114026138,1.45575749987315,7,-2.38464743077203,0.007,999
"fo6_01",16,12.2298563749964,15.244488892466,1.95127216361426,73,-1.54495747629881,0.073,999
"fo7_01",18,12.1687194547452,14.6491790117412,2.03321977600203,130,-1.21996627530025,0.13,999
"fo8_01",17,15.0311968386689,16.3540775569269,1.69276534313448,214,-0.78149090399522,0.214,999
"fo9_01",23,14.009537915669,15.783898688878,1.51418349046537,121,-1.17182678610743,0.121,999
"fo10_01",17,10.9841041835397,13.6260241784755,1.65622526128511,51,-1.59514533239629,0.051,999
"bc1_01",23,13.0950024208219,15.5930364965051,1.59209256872544,68,-1.56902564885599,0.068,999
"bc2_01",9,14.704477971483,16.0776122165185,1.89585023954644,248,-0.724284131938605,0.248,999
"bc3_01",9,13.8314791640112,16.0277495091085,1.93392041456748,151,-1.13565704594336,0.151,999
"bc4_01",11,14.276472324078,15.4339320108384,1.92342856473452,263,-0.601769001449861,0.263,999
"bc5_01",20,15.3105410375477,16.5551659698836,1.67388604848155,246,-0.743554158579061,0.246,999
"bc6_01",18,13.53407092422,15.082529869197,1.8549324458762,194,-0.834779157817571,0.194,999
"bc7_01",17,14.8047634050901,17.2404483966562,1.48644573517858,73,-1.63859664293321,0.073,999
"bc8_01",13,14.1537994403829,15.6673393030246,1.89316116287681,210,-0.799477557600942,0.21,999
