"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,8.25521996374769,11.6714174632175,1.17834884003321,3,-2.89913935789464,0.003,999
"fo2000",62,11.0743110777759,12.1876437636533,1.13342404270544,170,-0.982273750978432,0.17,999
"na2000",66,10.6973776682529,11.5370166915877,1.2844611752998,259,-0.65368968675821,0.259,999
"fr2001",56,6.88832496115476,9.84347803967333,1.16037188185362,4,-2.54672930698553,0.004,999
"fo2001",56,9.4606493556315,11.6945311609863,1.20659247818467,42,-1.85139709201212,0.042,999
"na2001",52,11.6831361859903,12.357043453925,1.14519314001454,269,-0.588466036328346,0.269,999
"fr2002",40,8.56989092324625,10.1680359339953,1.3268574582887,126,-1.20445870109536,0.126,999
"fo2002",46,8.652532493612,9.81891475751452,1.77785423653406,269,-0.656061807505875,0.269,999
"na2002",49,7.1341193833706,6.31686998249905,0.956739554897263,784,0.854202584902334,0.784,999
"fr2003",75,11.1443320564079,13.3349122765838,0.72814662901329,5,-3.00843282505381,0.005,999
"fo2003",85,11.1779416652766,11.5870911997407,1.021924181027,333,-0.400371712559917,0.333,999
"na2003",108,12.1342565460459,13.0839723375072,0.856187456954744,150,-1.10923815076579,0.15,999
