"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,10.5513854136878,13.8246848136733,1.62004435324736,11,-2.02049986682414,0.011,999
"fo2000",62,16.1144768498931,14.2923341785389,1.56182852029189,847,1.16667268376793,0.847,999
"na2000",66,9.65261634215005,13.5688182083837,1.78099691509263,8,-2.19888189195992,0.008,999
"fr2001",56,9.37964718912178,11.5161270891707,1.56935303041971,67,-1.3613762223262,0.067,999
"fo2001",56,14.5457134760889,13.767139368342,1.68515331320383,645,0.462019747192396,0.645,999
"na2001",52,11.7822725189553,14.5344604353129,1.65426078430819,44,-1.66369652382741,0.044,999
"fr2002",40,10.1167341065626,11.7344882917445,1.76484536349769,186,-0.916654919825789,0.186,999
"fo2002",46,14.6735981056203,11.5883771567399,2.35243647110642,865,1.31150021978251,0.865,999
"na2002",49,5.57006563759444,7.48599315366783,1.37768167854825,56,-1.3906895518073,0.056,999
"fr2003",75,12.2965589211067,15.7270342938845,1.14900999779269,3,-2.98559227453891,0.003,999
"fo2003",85,15.6624941665372,13.6786500196943,1.4355986570913,876,1.38189328684828,0.876,999
"na2003",108,11.5327571616035,15.3712255135688,1.27501148989584,1,-3.01053628330748,0.001,999
