"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,11.2532386917431,10.9864965570633,1.08891987325842,599,0.244960296189285,0.599,999
"fr2_00",16,11.3866673533454,11.0121392027594,1.01257636126614,632,0.369876450718,0.632,999
"fr3_00",19,11.4785310070779,10.9797044883325,0.937877669123791,707,0.531867358790461,0.707,999
"fr4_00",20,11.1610184493001,11.0696751857451,0.864337546500301,526,0.10568008288523,0.526,999
"fr5_00",12,8.86401767169424,11.0050424952799,1.15932526531958,34,-1.84678527039213,0.034,999
"fr6_00",17,10.5107182416556,11.062943588741,0.931441425331484,272,-0.592871792113938,0.272,999
"fr7_00",9,10.20698181469,10.9954292342606,1.43540489696229,295,-0.549285725051672,0.295,999
"fr8_00",16,9.553387195985,11.0148656844591,0.990266938185765,79,-1.4758429592243,0.079,999
"fr9_00",26,11.2889887003487,11.0461777704133,0.74107673510588,624,0.327646137617168,0.624,999
"fr10_00",17,11.1903096958712,11.0226423747247,0.937881688633059,562,0.178772358154133,0.562,999
"fo1_00",21,11.0582255070387,10.9760746220885,0.857591848799333,532,0.0957925207255741,0.532,999
"fo2_00",20,10.3387864597662,11.0441045378006,0.861617990748904,208,-0.818597203873796,0.208,999
"fo3_00",15,11.2902108222644,10.9968440763342,0.995837043060851,615,0.294593124421762,0.615,999
"fo4_00",9,9.64942956652444,11.1179957904192,1.35525166740817,142,-1.08361144960127,0.142,999
"fo5_00",25,11.2472727267447,10.985411576431,0.763650947929014,604,0.342906862125709,0.604,999
"fo6_00",21,11.3896916505177,10.9894526775557,0.841491639648262,662,0.475630361733983,0.662,999
"fo7_00",20,11.3018075066893,11.0030368445823,0.854941900441482,627,0.349463117847783,0.627,999
"fo8_00",24,11.6069264400088,10.9772370640056,0.764537720485531,798,0.823621070786888,0.798,999
"fo9_00",19,11.571221947237,11.0793133554006,0.881059764952218,688,0.558314669905517,0.688,999
"fo10_00",23,11.2198150242549,11.011431128457,0.804655512466525,598,0.258972805839752,0.598,999
"bc1_00",18,12.0434566804089,10.9749433661583,0.941870669954572,880,1.13445863464686,0.88,999
"bc2_00",17,9.49416637397956,11.0251859712372,0.978822868027845,61,-1.56414367427107,0.061,999
"bc3_00",17,10.8335550329376,11.0298882116378,0.973869612637515,399,-0.201601093362446,0.399,999
"bc4_00",5,11.756900764744,10.8725642586433,2.00570048686133,661,0.440911547807731,0.661,999
"bc5_00",14,11.0785873595155,10.9863152482599,1.10581312514293,532,0.0834427708964407,0.532,999
"bc6_00",17,11.7494018895397,10.9716099043922,1.0088048985875,775,0.771003378588407,0.775,999
"bc7_00",22,10.3091672876869,10.9789823989135,0.841246509391039,221,-0.796217403281073,0.221,999
"bc8_00",16,9.27440528245075,11.0211531357599,0.935847155732432,31,-1.86648839247907,0.031,999
"bc9_00",22,11.2541364307381,11.0201632030376,0.83075261461869,610,0.281640073811711,0.61,999
"bc10_00",12,9.33054298593455,10.9850232938167,1.15819541854469,83,-1.4284984048383,0.083,999
"na1_00",17,10.3947571150203,11.0428017044628,0.966504166903628,251,-0.670503668410055,0.251,999
"na2_00",14,11.0003417155338,11.0460835324161,1.05677738848584,474,-0.0432842501937306,0.474,999
"na3_00",11,10.0113265306989,11.1117829947675,1.22603517815704,178,-0.897573318999535,0.178,999
"na4_00",11,12.0764400542836,10.9680253510011,1.24428645407078,802,0.890803479903096,0.802,999
"na5_00",18,7.82867933830967,11.0568037492108,0.900207502250172,2,-3.58597812485683,0.002,999
"na6_00",14,10.3377433550382,11.0406379507503,1.02812397965944,243,-0.683667154563267,0.243,999
"na7_00",14,10.1809275952462,11.0013925537796,1.03210928478584,213,-0.794940003571126,0.213,999
"na8_00",16,9.48226752452433,11.0332787916975,1.01792313832822,72,-1.52370174993811,0.072,999
"na9_00",28,9.9991932644172,11.0691922939379,0.68623460537989,63,-1.55923210682211,0.063,999
"na10_00",18,10.9523021228842,11.0445361982875,0.876961478785753,455,-0.10517460302927,0.455,999
"fr1_01",20,12.9063832612112,11.0709741820356,0.862974948732127,992,2.12683935017127,0.992,999
"fr2_01",22,11.536941142931,11.0734892644358,0.811361904063762,700,0.571202414328261,0.7,999
"fr3_01",19,10.9019446240575,10.9483977819907,0.889680034789304,468,-0.0522133307668723,0.468,999
"fr4_01",10,10.4534802175804,10.8722975569112,1.29661473605861,372,-0.323008313636654,0.372,999
"fr5_01",29,11.5047816671232,10.9895599878734,0.688689264378436,767,0.748119225750935,0.767,999
"fr6_01",10,7.93052420311111,11.0236844179791,1.29371904399466,7,-2.39090568329048,0.007,999
"fr7_01",14,11.8099433564835,11.0584484713029,1.07085321471234,749,0.701772077494789,0.749,999
"fr8_01",12,10.5455597621864,11.0077911320396,1.17048506967863,333,-0.394905823087641,0.333,999
"fr9_01",17,10.6566594207256,10.9928351373749,0.941594740228043,343,-0.357028031579624,0.343,999
"fr10_01",6,11.0014699102333,11.0443823520546,1.76138793411311,488,-0.0243628566939594,0.488,999
"fo1_01",22,12.8693235114784,11.0351135836645,0.838985538461194,988,2.18622353274178,0.988,999
"fo2_01",12,10.9525675505242,11.0648606106733,1.187689713421,458,-0.0945474721892119,0.458,999
"fo3_01",18,9.38115229831569,10.9988235954766,0.940018024803003,44,-1.72089391317784,0.044,999
"fo4_01",22,9.69649382004182,10.984559619917,0.823897837099856,65,-1.56338048465966,0.065,999
"fo5_01",27,10.1673119196364,11.0161031135839,0.704683828391879,122,-1.20449932260332,0.122,999
"fo6_01",16,10.6116858731675,11.0239383902741,0.970308329447446,318,-0.424867544259223,0.318,999
"fo7_01",18,11.8372062191684,11.0900206398592,0.913036734509453,793,0.818352155031955,0.793,999
"fo8_01",17,11.0497015203441,11.0196434682292,1.03063337124768,496,0.0291646408446619,0.496,999
"fo9_01",23,11.4892022368754,10.9287959466863,0.827118822481153,740,0.677540245678461,0.74,999
"fo10_01",17,11.2926972902032,11.0645189275274,0.927368314588461,584,0.246049341007631,0.584,999
"bc1_01",23,10.5264596821625,11.061114647303,0.792034344701972,244,-0.675040127637068,0.244,999
"bc2_01",9,10.7850242516522,11.1035038693416,1.40191892802168,407,-0.227174062154086,0.407,999
"bc3_01",9,9.70329264719111,11.0366099643394,1.40932615690969,178,-0.946067246826636,0.178,999
"bc4_01",11,10.1335120731455,11.074059633568,1.26584349194595,224,-0.743020417932274,0.224,999
"bc5_01",20,10.4426762992158,11.0001380628167,0.879123226868796,258,-0.634111062662289,0.258,999
"bc6_01",18,10.5230532964209,11.0396339637734,0.91709288082311,271,-0.563280642729312,0.271,999
"bc7_01",17,10.5158329777268,11.0899993820556,0.969882430431336,291,-0.591995881473486,0.291,999
"bc8_01",13,8.58003128058051,11.1040085324492,1.111705210547,14,-2.27036558605928,0.014,999
"bc9_01",19,11.1683247051497,11.0242310903442,0.90549749534232,557,0.159131986059276,0.557,999
"bc10_01",9,11.0841650878844,10.9831314159867,1.38730381886156,522,0.0728273580192623,0.522,999
"na1_01",8,9.44079498220786,10.9919895330139,1.50099059276875,147,-1.03344721697738,0.147,999
"na2_01",12,11.7175444004476,11.0410173702295,1.19737853292398,719,0.565006814149207,0.719,999
"na3_01",13,9.81750708349231,11.0022114680046,1.10491303875932,148,-1.07221504584884,0.148,999
"na4_01",13,11.3105863542733,11.0856029929027,1.10840871419133,568,0.202978701349118,0.568,999
"na5_01",20,10.6376653116029,11.0459770421917,0.872683791451912,320,-0.467880502179841,0.32,999
"na6_01",8,9.92413214667214,10.9823247772788,1.46672989564889,242,-0.72146387262292,0.242,999
"na7_01",12,10.7273419182191,11.0787116353609,1.11496897019771,362,-0.31513856128167,0.362,999
"na8_01",9,10.3377567645056,11.0670209563449,1.38752482595716,301,-0.525586409840451,0.301,999
"na9_01",13,12.0688039990477,10.9737608146996,1.1312814104122,831,0.967967098433196,0.831,999
"na10_01",16,10.4053828540475,10.9872099812464,0.976391687704192,268,-0.595895207349598,0.268,999
"fr1_02",18,11.7740291528899,11.016916115163,0.905820013210652,802,0.835831651636137,0.802,999
"fr2_02",18,11.2816144317629,11.0028053368003,0.909962452385626,608,0.306396263089445,0.608,999
"fr3_02",9,13.1045451648167,11.022655162795,1.39200313245965,941,1.49560726802602,0.941,999
"fr4_02",6,12.7038036705667,11.0236288002976,1.77280694928916,823,0.947748355196123,0.823,999
"fr5_02",14,10.7747902239257,11.1000102183331,1.06604929876424,368,-0.305070314088095,0.368,999
"fr6_02",14,11.2662517195936,11.0686094434391,1.07621744240526,576,0.183645301002397,0.576,999
"fr7_02",11,12.1543795240916,10.9528307925489,1.31466251259793,810,0.913959833819525,0.81,999
"fr8_02",7,8.38314241393524,10.9697169028003,1.64311827850258,66,-1.5741864251077,0.066,999
"fr9_02",17,11.7939849515638,11.0102728357147,0.970528718069314,767,0.807510485014975,0.767,999
"fr10_02",6,11.5216322902267,11.1107548246507,1.76130404564756,581,0.233280259925218,0.581,999
"fo1_02",16,12.89931302688,10.9674572502408,0.993257089452584,985,1.94497053900104,0.985,999
"fo2_02",16,11.4482446991825,11.004944906275,1.0172374622794,665,0.435787915158101,0.665,999
"fo3_02",16,11.4518450147408,11.0959964759978,0.991908932811073,629,0.358751218959772,0.629,999
"fo4_02",15,11.5752764018011,10.9694306754502,1.02846601208067,707,0.589077051875799,0.707,999
"fo5_02",22,11.2460443324458,11.0625533224946,0.8263512450588,575,0.222049656303405,0.575,999
"fo6_02",19,12.1153698526398,11.0224014559728,0.896962333221909,897,1.21852206741057,0.897,999
"fo7_02",18,11.8995556162141,10.9992578035954,0.911194199594153,846,0.988041641419253,0.846,999
"fo8_02",16,10.9652843496387,11.0867452602923,1.00394550839044,452,-0.120983568967209,0.452,999
"fo9_02",16,11.4661669587437,11.0287360269714,0.980169866178206,660,0.446280738539615,0.66,999
"fo10_02",20,11.2272204810736,11.0163562903211,0.865364004846313,589,0.243671090514068,0.589,999
"bc1_02",14,12.8331857548448,10.9607524153195,1.09212744343041,963,1.71448245421241,0.963,999
"bc2_02",19,11.9411785626054,11.0059333947504,0.894499022823249,848,1.0455519167625,0.848,999
"bc3_02",11,10.6049241750371,10.9817774593424,1.21804730233606,358,-0.309391337744101,0.358,999
"bc4_02",7,9.30287399625714,11.0056741686212,1.61939904983934,164,-1.05150127915225,0.164,999
"bc5_02",21,12.2367377499354,10.9838799689496,0.827709128782695,940,1.51364499607297,0.94,999
"bc6_02",17,10.3659088596835,10.9982579077109,0.963611817487148,267,-0.656227991969207,0.267,999
"bc7_02",15,11.5278231737878,11.0499305077218,1.00566614657891,689,0.475200112573845,0.689,999
"bc8_02",14,10.380490267844,10.9387423333944,1.10278257995578,308,-0.506221331110262,0.308,999
"bc9_02",15,10.3538248035128,10.9542851580537,0.999630288797406,271,-0.600682433565815,0.271,999
"bc10_02",12,10.1563524990455,11.0168972810341,1.15430639585922,235,-0.745508112123129,0.235,999
"na1_02",15,12.0086629379596,11.0581441874883,1.01197389561194,821,0.939272005525925,0.821,999
"na2_02",14,10.4252042329798,10.9837531616035,1.06335632555963,287,-0.525269766303139,0.287,999
"na3_02",11,9.97069071772364,11.0462384562491,1.22779876588001,198,-0.875996758112541,0.198,999
"na4_02",11,13.2781246121462,10.9444050910402,1.18951938408757,975,1.9619012118042,0.975,999
"na5_02",15,10.1448850847368,10.9930771573863,1.02219368935406,210,-0.82977627575213,0.21,999
"na6_02",19,10.0696260054047,10.9973088130745,0.904816835035264,159,-1.02527138283588,0.159,999
"na7_02",15,11.2133388120118,11.0204946210362,1.03166668848568,556,0.186924898446277,0.556,999
"na8_02",15,10.9279033824179,11.042180045975,1.0379833453697,441,-0.110094891278215,0.441,999
"na9_02",12,10.0882336462117,10.9846506173784,1.17248353412783,214,-0.7645454670146,0.214,999
"na10_02",12,9.91877391081879,11.1396648517835,1.19844133971812,151,-1.01873233215724,0.151,999
"fr1_03",21,12.0754781519158,10.9859622148837,0.867685577275234,899,1.25565753951275,0.899,999
"fr2_03",27,11.9700093263104,10.9734529833445,0.720025991322284,925,1.3840560687758,0.925,999
"fr3_03",20,10.9635395550379,11.028264666396,0.887633477084562,461,-0.0729187362003485,0.461,999
"fr4_03",26,11.2555434515084,11.0024458308193,0.720424434992179,631,0.351317374030922,0.631,999
"fr5_03",22,12.0006456025729,11.0184952772603,0.786934534198998,900,1.24807119605224,0.9,999
"fr6_03",25,11.3168993384481,11.0130542392076,0.748212969468253,660,0.406094403116878,0.66,999
"fr7_03",29,11.6315661646791,11.0804724286534,0.699627612183113,784,0.78769580621051,0.784,999
"fr8_03",27,11.7279812614908,11.0832212832308,0.732514182017225,824,0.880201358674607,0.824,999
"fr9_03",23,12.597290797837,11.0328665191803,0.814204301957905,980,1.92141490151149,0.98,999
"fr10_03",13,10.6842462877364,11.0344241290628,1.1445828053674,373,-0.305943650109295,0.373,999
"fo1_03",32,11.6425636042751,11.010383120748,0.689231289709166,814,0.917225455324079,0.814,999
"fo2_03",27,12.5271198923933,11.0381474885368,0.723177539493645,988,2.05893065332068,0.988,999
"fo3_03",33,10.9287181815867,11.1100947766292,0.633849489020645,386,-0.286150889421187,0.386,999
"fo4_03",24,11.4382374046614,11.0649781923672,0.770893745804474,671,0.484190219891606,0.671,999
"fo5_03",36,11.7917843704971,11.038330499122,0.603657641870381,894,1.24814765707373,0.894,999
"fo6_03",29,10.9421982827904,11.0292450030101,0.688663785976613,437,-0.126399444826701,0.437,999
"fo7_03",34,11.278115952858,11.0584667798653,0.627394088956285,634,0.350097613061883,0.634,999
"fo8_03",23,10.3655030449663,11.0434071091418,0.798689313218918,198,-0.848770670842354,0.198,999
"fo9_03",34,11.5351331414112,11.0194790824251,0.625363768562484,793,0.824566572143247,0.793,999
"fo10_03",23,10.9084770613643,11.0513989933296,0.784433352655572,425,-0.182197673622008,0.425,999
"bc1_03",29,12.0036189864206,11.0310364531851,0.733261509992314,900,1.32637881571847,0.9,999
"bc2_03",30,11.783222374129,10.9725105989814,0.713899725421349,869,1.13561015122822,0.869,999
"bc3_03",21,10.639141900171,10.979343652412,0.81111620304127,353,-0.41942418480277,0.353,999
"bc4_03",18,10.8857965880187,11.0472409227008,0.904089201228399,436,-0.178571245473075,0.436,999
"bc5_03",34,11.159420425723,10.9865321489929,0.631394959416599,586,0.273819539024906,0.586,999
"bc6_03",36,11.1035883919919,11.0643411402384,0.609322713510289,529,0.0644112731779671,0.529,999
"bc7_03",25,11.6254812520656,10.9713773089907,0.760589443606801,800,0.859996084054282,0.8,999
"bc8_03",23,11.7920222214617,10.9739964446988,0.780370510027229,855,1.04825306216959,0.855,999
"bc9_03",27,11.5943762134613,11.0114807116069,0.716157431468898,788,0.813920900965702,0.788,999
"bc10_03",15,11.0673663960263,11.0401639736963,1.02091563309286,506,0.0266451227195157,0.506,999
"na1_03",33,11.646210524232,10.9835964915642,0.625171068528832,854,1.05989234950852,0.854,999
"na2_03",32,10.3565661034628,11.032750727647,0.65029770140148,147,-1.03980780299076,0.147,999
"na3_03",26,11.1091449276922,10.9947307386159,0.719966912513466,564,0.158915898894461,0.564,999
"na4_03",26,11.666721143225,10.9809990863366,0.747918793545569,814,0.916840254324604,0.814,999
"na5_03",27,11.7894080713965,11.0277307645019,0.724616693834461,855,1.05114512731419,0.855,999
"na6_03",21,11.4617472540362,11.0471221471841,0.799409443980713,687,0.518664258940306,0.687,999
"na7_03",31,12.0115622391918,11.0567369706868,0.658156459883701,932,1.45075726928788,0.932,999
"na8_03",32,10.9391490764474,10.9694682963423,0.639294129730319,471,-0.0474260883760549,0.471,999
"na9_03",26,12.1501069072186,10.9490456029519,0.738066298033075,953,1.62730815303108,0.953,999
"na10_03",28,10.035554216959,11.0151724604943,0.705244889727972,92,-1.38904692228698,0.092,999
