"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,16.3027243950313,17.4154767552874,1.123193273935,155,-0.990704259078835,0.155,999
"fr2_00",16,16.2141913379446,17.3300491259432,1.00662248510724,137,-1.10851665297312,0.137,999
"fr3_00",19,13.8068586182204,17.3046247235066,0.874232606659958,2,-4.00095589965421,0.002,999
"fr4_00",20,16.0409481178637,17.3245088048028,0.856678511070262,76,-1.49829915231046,0.076,999
"fr5_00",12,17.4285976460121,17.3032232280585,1.22680814427426,483,0.102195619208077,0.483,999
"fr6_00",17,15.2420178785338,17.2794987038922,0.975291096079344,32,-2.08910020151832,0.032,999
"fr7_00",9,16.196607476795,17.3382432520691,1.54535283295445,200,-0.738754121990045,0.2,999
"fr8_00",16,15.6332915182618,17.3495577418397,0.993242017292281,55,-1.72794363679523,0.055,999
"fr9_00",26,16.2073649301237,17.315454585315,0.747861373182995,79,-1.48167788165759,0.079,999
"fr10_00",17,15.8287121156929,17.3260947615928,0.978276892064424,87,-1.5306327462565,0.087,999
"fo1_00",21,17.0791668945247,17.2868237392596,0.859705849278926,358,-0.24154406406461,0.358,999
"fo2_00",20,17.7217897081581,17.2977547845005,0.91424435255507,672,0.463809180196196,0.672,999
"fo3_00",15,15.3452048152461,17.31727309463,1.07830534270513,53,-1.82885885962194,0.053,999
"fo4_00",9,16.1530393289278,17.2925364155994,1.47704609390875,203,-0.771470227889866,0.203,999
"fo5_00",25,14.1992615826393,17.3041096491725,0.7909741217698,1,-3.925347215641,0.001,999
"fo6_00",21,16.8147646446924,17.3813954137281,0.857221449683995,233,-0.661008621803095,0.233,999
"fo7_00",20,16.7219540099603,17.3658028931733,0.864590248711712,193,-0.744686727814004,0.193,999
"fo8_00",24,16.5302617286294,17.3575045995694,0.780291891268098,141,-1.06017104649846,0.141,999
"fo9_00",19,15.7043633638825,17.3146342515621,0.899064388577641,52,-1.79105179577532,0.052,999
"fo10_00",23,16.810830204516,17.3020980015516,0.821662904247415,239,-0.597894579998755,0.239,999
"bc1_00",18,14.746845539039,17.3583823159948,0.980887332301494,14,-2.66242277879995,0.014,999
"bc2_00",17,18.5635123245279,17.384104681848,0.966714142938285,907,1.22001695257623,0.907,999
"bc3_00",17,15.1421264874271,17.3173873396854,0.986308066852573,29,-2.20545783347375,0.029,999
"bc4_00",5,18.063654084978,17.4045386154598,2.33332312881458,531,0.282479293750066,0.531,999
"bc5_00",14,15.9090508249425,17.2852189925166,1.10997640693672,106,-1.23981749429426,0.106,999
"bc6_00",17,13.9766904273475,17.3601252549788,0.954404673545677,3,-3.54507361647926,0.003,999
"bc7_00",22,17.0624753530013,17.3456010413826,0.823527082750098,338,-0.343796451035641,0.338,999
"bc8_00",16,18.3112651860692,17.3467572463785,1.02222351313075,847,0.943539184240326,0.847,999
"bc9_00",22,16.1833588487239,17.3295004918022,0.825726506835923,94,-1.38804026949565,0.094,999
