"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,11.4364283256588,12.2521512693919,0.320349995253534,5,-2.5463491675333,0.005,999
"fo2000",62,11.7498232391338,12.2387395242936,0.322612873533747,63,-1.51548907458159,0.063,999
"na2000",66,11.5986548798711,12.2390758409066,0.306858629829461,16,-2.08702281370199,0.016,999
"fr2001",56,11.5890769844758,12.2469128573807,0.352304862686616,38,-1.86723472360941,0.038,999
"fo2001",56,12.0540502447537,12.2418496141606,0.351647579972277,290,-0.534055628711148,0.29,999
"na2001",52,11.2337171128035,12.2361111995319,0.361478652717621,2,-2.77303812878675,0.002,999
"fr2002",40,11.4760221269739,12.231360247493,0.446234083647923,44,-1.69269481690906,0.044,999
"fo2002",46,12.0814007884548,12.2636678458029,0.419797524126381,333,-0.434178495281494,0.333,999
"na2002",49,11.885653289162,12.2397877348649,0.388711426625455,179,-0.911047171361212,0.179,999
"fr2003",75,12.2485038770188,12.2564718659408,0.29188157197533,485,-0.0272987049783231,0.485,999
"fo2003",85,12.3204972644262,12.250841054565,0.253292777851644,618,0.275002747618898,0.618,999
"na2003",108,12.2933535763164,12.2456845366767,0.205873672198627,604,0.231545098169603,0.604,999
