"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,18.8635517725973,19.6501260586048,0.432996389479623,60,-1.81658393723068,0.06,999
"fo2000",62,19.3055754742507,19.6884534517126,0.447892677004545,184,-0.85484312898915,0.184,999
"na2000",66,19.2569264431779,19.689824890099,0.424535630325481,144,-1.01969873904165,0.144,999
"fr2001",56,19.2081981527376,19.7276447115257,0.462639575725783,125,-1.12278885344659,0.125,999
"fo2001",56,19.2062004447515,19.6586520836951,0.477935513306589,167,-0.946679261838731,0.167,999
"na2001",52,18.0181316113782,19.6621373545734,0.490506318008831,6,-3.35165049426665,0.006,999
"fr2002",40,19.1897801221242,19.6850019630234,0.626396626621064,203,-0.790588294784561,0.203,999
"fo2002",46,18.8478691849746,19.6590369298215,0.553895212739983,79,-1.46447870678323,0.079,999
"na2002",49,19.3346104618668,19.6805660381589,0.558912312789322,244,-0.618980058903203,0.244,999
"fr2003",75,19.0996890814871,19.6808288503242,0.397609802778828,89,-1.46158310176359,0.089,999
"fo2003",85,19.0691832263198,19.6329484227545,0.347267956539629,54,-1.62342993592734,0.054,999
"na2003",108,19.9922607283769,19.7160508348229,0.253511259587476,870,1.0895369854716,0.87,999
