"","PD","SR"
"fr1_00",46.39513915738,13
"fr2_00",52.03627249688,16
"fr3_00",47.16841108918,19
"fr4_00",55.21285804338,20
"fr5_00",45.68563484701,12
"fr6_00",52.04242314848,17
"fr7_00",35.9322309412,9
"fr8_00",55.03150959211,16
"fr9_00",70.63893237308,26
"fr10_00",51.24584498828,17
"fo1_00",59.28514760331,21
"fo2_00",57.30573497298,20
"fo3_00",44.8718293733,15
"fo4_00",33.86207500488,9
"fo5_00",61.2218396114,25
"fo6_00",58.71099054438,21
"fo7_00",57.89063733508,20
"fo8_00",61.6149483526,24
"fo9_00",63.81571908228,19
"fo10_00",66.96172327581,23
"bc1_00",56.60186910998,18
"bc2_00",56.9345954826,17
"bc3_00",48.75849331938,17
"bc4_00",28.31468807608,5
"bc5_00",46.41913146973,14
"bc6_00",50.9089466051,17
"bc7_00",70.57804297005,22
"bc8_00",55.1871708084,16
"bc9_00",65.48845703443,22
"bc10_00",40.76173705727,12
"na1_00",54.50949659911,17
"na2_00",44.8706963039,14
"na3_00",39.15432060558,11
"na4_00",46.29156039438,11
"na5_00",55.42500617163,18
"na6_00",40.99667344853,14
"na7_00",38.10395575146,14
"na8_00",39.36217130273,16
"na9_00",79.21211040968,28
"na10_00",53.5881275147,18
"fr1_01",51.39798513431,20
"fr2_01",68.72354384778,22
"fr3_01",54.76899267933,19
"fr4_01",39.7131386294,10
"fr5_01",77.25086382561,29
"fr6_01",35.819067983,10
"fr7_01",49.44221076778,14
"fr8_01",37.3808240082,12
"fr9_01",55.19403781801,17
"fr10_01",32.6582915537,6
"fo1_01",66.86699655808,22
"fo2_01",43.2925274234,12
"fo3_01",54.51307161963,18
"fo4_01",59.1264909249,22
"fo5_01",82.15125171701,27
"fo6_01",45.2762351054,16
"fo7_01",61.32662597941,18
"fo8_01",54.33611765698,17
"fo9_01",61.67371854361,23
"fo10_01",52.65143749756,17
"bc1_01",71.46627523143,23
"bc2_01",43.35846807323,9
"bc3_01",37.4474146812,9
"bc4_01",39.69378552198,11
"bc5_01",63.4887505778,20
"bc6_01",55.66802892168,18
"bc7_01",50.93425526513,17
"bc8_01",51.6406812671,13
"bc9_01",52.4999615573,19
"bc10_01",35.2761878087,9
"na1_01",35.206046542,8
"na2_01",44.90710182558,12
"na3_01",45.05170747843,13
"na4_01",51.63097137898,13
"na5_01",68.07036397165,20
"na6_01",39.466425033,8
"na7_01",50.23875349523,12
"na8_01",43.8568527802,9
"na9_01",45.06447836255,13
"na10_01",46.3470289721,16
"fr1_02",55.89044422131,18
"fr2_02",60.47641968791,18
"fr3_02",37.715917701,9
"fr4_02",29.5977175171,6
"fr5_02",52.36983588638,14
"fr6_02",47.79291412888,14
"fr7_02",41.5213338445,11
"fr8_02",27.20075979253,7
"fr9_02",49.7305707936,17
"fr10_02",31.3320476343,6
"fo1_02",54.3908047355,16
"fo2_02",44.15269279323,16
"fo3_02",52.91348714031,16
"fo4_02",58.49576275553,15
"fo5_02",65.36549473225,22
"fo6_02",60.76078304128,19
"fo7_02",64.46224969213,18
"fo8_02",56.36298258458,16
"fo9_02",54.94860653168,16
"fo10_02",66.46185413661,20
"bc1_02",58.18487099235,14
"bc2_02",61.1643117558,19
"bc3_02",52.3988510652,11
"bc4_02",32.092795923,7
"bc5_02",66.09584284517,21
"bc6_02",58.92614075668,17
"bc7_02",60.1603321646,15
"bc8_02",51.78931761473,14
"bc9_02",53.9760524875,15
"bc10_02",50.02413172688,12
"na1_02",53.49975416218,15
"na2_02",55.08208606895,14
"na3_02",46.4817451981,11
"na4_02",42.21359079848,11
"na5_02",53.00854879573,15
"na6_02",58.31418881533,19
"na7_02",62.9096339035,15
"na8_02",56.502397202,15
"na9_02",49.30126297258,12
"na10_02",55.01407839718,12
"fr1_03",60.75733909534,21
"fr2_03",72.72738458901,27
"fr3_03",58.44146737588,20
"fr4_03",68.25494289798,26
"fr5_03",62.47404331121,22
"fr6_03",66.15643144328,25
"fr7_03",78.46272880347,29
"fr8_03",75.42845915018,27
"fr9_03",59.76563646484,23
"fr10_03",39.42540299263,13
"fo1_03",79.62395923399,32
"fo2_03",72.26066648296,27
"fo3_03",84.50166903782,33
"fo4_03",64.91050042694,24
"fo5_03",92.91252688601,36
"fo6_03",77.06155519179,29
"fo7_03",84.17573113244,34
"fo8_03",68.11804024767,23
"fo9_03",78.64256831377,34
"fo10_03",66.10729612697,23
"bc1_03",78.61181079351,29
"bc2_03",76.01097659382,30
"bc3_03",58.74817925133,21
"bc4_03",57.31474061828,18
"bc5_03",85.65395691229,34
"bc6_03",88.12495716368,36
"bc7_03",65.47776145999,25
"bc8_03",66.54284482447,23
"bc9_03",74.09160856837,27
"bc10_03",54.53304456249,15
"na1_03",81.45594921692,33
"na2_03",78.12721297574,32
"na3_03",75.51653295416,26
"na4_03",72.44070397403,26
"na5_03",70.19285407255,27
"na6_03",60.02209561617,21
"na7_03",76.59582891234,31
"na8_03",86.31045208748,32
"na9_03",71.00897214359,26
"na10_03",76.70865950347,28
