"","PD","SR"
"fr1_00",75.61679525086,13
"fr2_00",87.13348746636,16
"fr3_00",71.79347628076,19
"fr4_00",91.65535007673,20
"fr5_00",89.71646542056,12
"fr6_00",82.20155191173,17
"fr7_00",63.87422896209,9
"fr8_00",91.94746465246,16
"fr9_00",117.68486615737,26
"fr10_00",91.16414267506,17
"fo1_00",106.87891018416,21
"fo2_00",99.48552785896,20
"fo3_00",70.28987563006,15
"fo4_00",57.33312245809,9
"fo5_00",103.20840594598,25
"fo6_00",103.83529790162,21
"fo7_00",101.13615418229,20
"fo8_00",110.20984549575,24
"fo9_00",98.79500674656,19
"fo10_00",110.40828780566,23
"bc1_00",86.73789950292,18
"bc2_00",86.04007920286,17
"bc3_00",76.37351384246,17
"bc4_00",43.25319671357,5
"bc5_00",76.44628227056,14
"bc6_00",74.54981416642,17
"bc7_00",107.22385802488,22
"bc8_00",97.32384112246,16
"bc9_00",107.29546380803,22
"bc10_00",66.41862284179,12
"na1_00",77.69667886936,17
"na2_00",62.91697258146,14
"na3_00",61.32849798509,11
"na4_00",71.31703438487,11
"na5_00",103.30769914239,18
"na6_00",68.04746822169,14
"na7_00",57.06258002246,14
"na8_00",72.75448526315,16
"na9_00",127.37059202758,28
"na10_00",89.83120365855,18
"fr1_01",98.85560338429,20
"fr2_01",115.21207499696,22
"fr3_01",111.99650217756,19
"fr4_01",68.68662204586,10
"fr5_01",129.13531394946,29
"fr6_01",60.55243845466,10
"fr7_01",76.50182940706,14
"fr8_01",57.92042380136,12
"fr9_01",95.73070146646,17
"fr10_01",43.53961490597,6
"fo1_01",109.07886857236,22
"fo2_01",73.84962210255,12
"fo3_01",94.39880066572,18
"fo4_01",93.68732504419,22
"fo5_01",137.4425674155,27
"fo6_01",81.53252268759,16
"fo7_01",104.21204885869,18
"fo8_01",88.96703946745,17
"fo9_01",103.76597520646,23
"fo10_01",80.80715251006,17
"bc1_01",123.40113266739,23
"bc2_01",69.15603535729,9
"bc3_01",56.14118524816,9
"bc4_01",58.73977753289,11
"bc5_01",104.83372695836,20
"bc6_01",92.97617519691,18
"bc7_01",86.51269444369,17
"bc8_01",80.10335952299,13
"bc9_01",85.64986878046,19
"bc10_01",58.99996852439,9
"na1_01",53.49531171149,8
"na2_01",62.43267357229,12
"na3_01",74.61205132479,13
"na4_01",87.81830829709,13
"na5_01",107.31406819071,20
"na6_01",57.47610449549,8
"na7_01",71.38801729046,12
"na8_01",62.45295919176,9
"na9_01",67.56768701468,13
"na10_01",66.72916563096,16
"fr1_02",103.08709128099,18
"fr2_02",106.04863321629,18
"fr3_02",58.12386556606,9
"fr4_02",45.12618494219,6
"fr5_02",85.75572576969,14
"fr6_02",82.15691155706,14
"fr7_02",71.15821553986,11
"fr8_02",61.3274394133,7
"fr9_02",85.21284975286,17
"fr10_02",53.39390586259,6
"fo1_02",95.55240865806,16
"fo2_02",86.72649948789,16
"fo3_02",94.48473847929,16
"fo4_02",102.26740814876,15
"fo5_02",108.74307157471,22
"fo6_02",96.15655543996,19
"fo7_02",108.22390703926,18
"fo8_02",86.10034058649,16
"fo9_02",82.63965142079,16
"fo10_02",109.49667597076,20
"bc1_02",81.30503667728,14
"bc2_02",97.83789637516,19
"bc3_02",81.01384838929,11
"bc4_02",46.0202387975,7
"bc5_02",106.16340869898,21
"bc6_02",96.16866563606,17
"bc7_02",94.95514558696,15
"bc8_02",91.01100515396,14
"bc9_02",84.16115683899,15
"bc10_02",82.34927249819,12
"na1_02",78.24643883219,15
"na2_02",85.26725454716,14
"na3_02",74.29102099529,11
"na4_02",67.10575612529,11
"na5_02",96.47747896849,15
"na6_02",98.86230133016,19
"na7_02",101.07779775038,15
"na8_02",91.64471219821,15
"na9_02",78.84514702329,12
"na10_02",83.92317137549,12
"fr1_03",108.36258433876,21
"fr2_03",118.38021270663,27
"fr3_03",96.99908566966,20
"fr4_03",124.68419981722,26
"fr5_03",99.47794864866,22
"fr6_03",112.76801401459,25
"fr7_03",122.28574036856,29
"fr8_03",116.23641714772,27
"fr9_03",96.94953978139,23
"fr10_03",70.62664234457,13
"fo1_03",129.70147185508,32
"fo2_03",123.28594201846,27
"fo3_03",137.73064186926,33
"fo4_03",102.45109660836,24
"fo5_03",153.54982706357,36
"fo6_03",125.0399905446,29
"fo7_03",133.31865810703,34
"fo8_03",123.01753181026,23
"fo9_03",141.74588752236,34
"fo10_03",103.01440403397,23
"bc1_03",122.18488212698,29
"bc2_03",116.63638136785,30
"bc3_03",102.12703420256,21
"bc4_03",92.24446154666,18
"bc5_03",148.96665179258,34
"bc6_03",147.61922907954,36
"bc7_03",121.59845157543,25
"bc8_03",105.69788119098,23
"bc9_03",124.16305130716,27
"bc10_03",84.23811112916,15
"na1_03",132.54404625966,33
"na2_03",132.06460793811,32
"na3_03",123.08112719826,26
"na4_03",113.81239687197,26
"na5_03",120.66830197238,27
"na6_03",94.67675467665,21
"na7_03",127.49661407938,31
"na8_03",140.37640953297,32
"na9_03",116.40733056775,26
"na10_03",117.43903222333,28
