Genus,D1,D10,D103,D13,D14,D17,D19,D20,D21,D23,D24,D26,D3,D41,D43,D45,D47,D50,D51,D54,D59,D60,D66,D72,D76,D81,D85,D89,D90,R111,R113,R114,R116,R120,R124,R125,R126,R129,R14,R15,R19,R21,R22,R23,R24,R3,R41,R45,R47,R49,R58,R59,R61,R62,R65,R67,R75,R83,R90,S110,S113,S116,S118,S119,S120,S121,S123,S124,S125,S14,S15,S20,S22,S34,S41,S43,S45,S47,S49,S51,S53,S54,S56,S57,S65,S66,S71a,S75,S85
Acrididae_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altica,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Anthicidae_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphididae_1,0,0,4,0,3,0,1,0,0,0,0,2,0,0,1,75,2,8,0,0,0,0,7,0,0,0,0,10,0,38,13,0,62,0,1,21,0,0,4,0,0,14,0,4,0,0,11,0,0,0,0,3,0,15,0,0,0,10,13,0,4,0,0,0,0,0,0,0,1,5,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aphididae_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aphididae_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphididae_2,0,9,1,0,8,0,1,5,0,10,0,3,8,0,74,6,11,2,7,0,0,1,0,0,0,0,0,0,0,2,12,3,0,0,0,2,0,0,4,0,1,16,1,10,4,3,5,0,1,0,14,1,0,0,2,0,0,0,1,1,10,7,0,0,0,0,0,0,1,7,9,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,13
Aphididae_3,187,0,10,1,8,3,1,2,6,6,1,0,31,0,7,85,18,9,2,2,3,0,13,6,0,0,2,21,79,94,35,0,92,4,8,96,8,1,5,4,0,40,0,5,7,4,27,28,16,25,14,9,3,49,1,5,1,10,26,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,1,32,0,0,0,0,0,0,1,3,0,0,0,0,0
Aphididae_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphididae_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
