"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,0.535882352941176,0.53155637254902,0.845759233926129,0.830463892874223,0.784313725490196,0.578883861236802,0.490076518412243,0.819255907491202,0.57337128399747,1.02888182299947,0.721288515406162,1.18174019607843,0.751225490196078,0.758697027197976,0.94029521921128,0.842979127134725,1.28705882352941,0.929838022165388,1.10873440285205,1.48970588235294,2.14815627743635,1.03676470588235,2.54010695187166,1.74056372549020,1.87590299277606,1.13938618925831,0.734162895927602,1.80176948828312,2.35563950350783,1.72721250662427,1.69583333333333,0.742424242424242,1.6724960254372,1.96725390663880,1.79235294117647,1.03538976566236,0.578431372549020,1.80478156174751,1.82352941176471,0.582968724679955,0.463836477987421,0.716131907308378,0.735294117647059,0.449275362318841,0.898485976669149,0.683921568627451,0.723389355742297,0.406364240611499,0.586075108009305,0.758533042846768,0.962316176470588,0.918838421444527,1.11655244622121,0.80843137254902,0.701892384860921,0.523001508295626,0.904139433551198,0.692156862745098,0.687028657616893,0.855863499245852,2.49053414469236,0.978247549019608,0.763725490196078,0.625490196078431,1.54125816993464,0.801364023870418,1.39380804953560,1.48872549019608,2.35595776772247,1.39576883384933,2.75506812894649,1.27408354646206,1.04084967320261,1.26282567821649,1.11764705882353,1.71851432880845,0.652941176470588,1.35964912280702,1.4897504456328,0.77234382124943,0.688092979127135,0.97549019607843,0.817401960784314,0.80306905370844,1.14425770308123,0.766898864809082,0.75388337153043,0.509884281581485,0.508467023172905,0.447884416924665,0.787878787878788,0.746056317263748,1.28668018931711,0.526985051446321,0.55119825708061,0.521555197421434,0.942307692307692,0.837982615726703,0.774218598330421,2.16155851757257,2.06477591036415,1.74404761904762,1.57197513151602,1.98882070813937,1.73317326930772,0.934117647058823,2.0626866640696,1.84509803921569,2.91285403050109,2.03105404598388,1.97021593447506,1.73998294970162,3.06372549019608,2.15037636991786,1.57062146892655,1.99866981968667,0.583333333333333,2.16160657811512,2.10235653894585,1.83872549019608,1.84741784037559,1.30244173140954,0.92063492063492,1.29191176470588,2.04741532976827,0.94173140954495,0.81759182546258,0.784873949579832,0.738725490196078,1.18413547237077,1.49802340290955,0.81121166415284,1.10724990633196,0.917427315753888,1.11888806155374,0.948879551820728,1.17524509803922,0.940913865546218,1.15404243889337,1.17881087919039,1.95672751859364,2.39483065953654,1.63411764705882,1.99866310160428,1.50906120023767,1.72058823529412,1.89000805801773,1.20809614168248,1.78676470588235,1.75353078294255,1.92664776754075,1.99088235294118,2.51423583131883,2.10196078431373,1.46274509803922,2.39084967320261,0.916666666666667,0.903711484593838,1.48705501618123
"fr2_00",0.535882352941176,0,0.695208333333333,0.94232558139535,1.22853658536585,1.01384615384615,1.13076923076923,0.845365853658537,0.961538461538462,0.843548387096774,1.03918918918919,0.724285714285714,2.843125,0.885833333333333,0.99989247311828,1.28191011235955,1.14322580645161,1.47,1.03695652173913,1.495,1.6175,2.37358208955224,1.27583333333333,1.86181818181818,1.77,1.73736842105263,1.38797101449275,0.83923076923077,1.92910569105691,2.48422018348624,1.92567567567568,1.9425,0.697272727272727,1.83729729729730,2.40299492385787,1.99,1.42365853658537,1.08098039215686,2.19929824561404,1.84851851851852,0.698181818181818,0.585849056603774,0.981212121212121,1.19176470588235,0.663478260869565,1.24101265822785,0.863333333333333,0.864285714285714,0.55864406779661,1.10322033898305,0.935061728395062,1.8746875,1.14556962025316,2.23368932038835,0.906666666666667,1.06162790697674,1.02538461538462,1.13888888888889,0.687058823529412,0.843846153846154,1.11807692307692,2.61344827586207,1.509375,1.11,0.92,1.76472222222222,1.19724637681159,1.59263157894737,1.765,2.46230769230769,1.77842105263158,2.44559322033898,1.69231884057971,1.285,1.44356164383562,1.59549019607843,2.03615384615385,1.09235294117647,1.70157894736842,1.82060606060606,1.08,0.943225806451613,1.62294117647059,1.90083333333333,1.17577639751553,1.37476190476190,1.06263157894737,1.43077922077922,0.777704918032787,1.14090909090909,0.651754385964912,1.67209790209790,1.15751879699248,2.89957403651116,0.924851485148515,0.712407407407407,0.662602739726027,1.22269230769231,1.29123711340206,0.791089108910891,2.40310719131615,2.32789915966387,2.22857142857143,2.2,2.26028776978417,2.13061224489796,0.91,2.17066225165563,2.30117647058824,2.39814814814815,2.36482233502538,2.34582278481013,2.14714285714286,2.37777777777778,2.57113185530922,1.81446327683616,2.27190954773869,1.08,2.64268817204301,2.34220183486239,1.745,1.83845070422535,1.47509433962264,1.30650793650794,1.4275,1.81909090909091,1.20465408805031,1.08718309859155,0.910952380952381,1.32,1.36636363636364,1.67419354838710,1.21179487179487,2.58920382165605,0.984137931034483,1.34,1.11595238095238,1.58125,1.15946428571429,1.49109589041096,1.54,1.89862068965517,2.26658307210031,1.63,1.83068181818182,1.6389898989899,1.63254901960784,1.84479452054795,1.46279569892473,2.55888888888889,1.66503496503496,1.68578313253012,1.625,2.58712328767123,2.07470588235294,1.66235294117647,2.13777777777778,0.962205882352941,1.20190476190476,1.72038834951456
"fr3_00",0.53155637254902,0.695208333333333,0,0.97311046511628,1.13630589430894,0.900320512820513,0.902163461538461,0.724339430894309,1.08173076923077,0.629032258064516,1.38949887387387,1.14657738095238,5.20833333333333,1.08333333333333,0.570060483870968,2.16052200374532,1.15188172043011,1.66866666666667,1.48614130434783,2.64441287878788,1.81354166666667,2.73903917910448,1.14583333333333,2.42945075757576,1.90625,1.65734649122807,1.74456521739130,1.32612179487179,2.23259654471545,2.75272362385321,2.04743806306306,2.26666666666667,1.21685606060606,2.22649211711712,2.88795473773266,2.07541666666667,1.04623983739837,0.91329656862745,2.53344298245614,1.83449074074074,1.02776342975207,0.615172955974843,1.05303030303030,1.06770833333333,0.620969202898551,1.32601529535865,0.730208333333333,0.627232142857143,0.649187853107345,0.914283192090395,1.11149691358025,2.8125,1.38614187763713,4.12975323624596,1.22,0.982921511627907,0.865785256410256,1.52835648148148,0.83609068627451,0.826682692307692,1.28966346153846,2.60811781609195,1.421875,1.17333333333333,1.325625,1.89583333333333,1.24003623188406,2.02998903508772,1.72291666666667,2.60737179487179,1.81935307017544,2.4159604519774,1.62137681159420,1.8125,1.78217751141553,1.70741421568627,2.30288461538462,1.46568627450980,1.69819078947368,1.74479166666667,1.81673934108527,1.46841397849462,1.15318627450980,1.0625,1.66906055900621,1.64955357142857,1.07648026315789,1.10626352813853,0.53620218579235,1.08948863636364,0.86156798245614,2.80048076923077,1.56735588972431,5.42078684922245,1.07069925742574,1.17708333333333,1.01177226027397,1.81089743589744,1.31872852233677,1.44528671617162,2.84700079149706,2.63935574229692,2.78943452380952,2.2666412601626,2.8162095323741,2.36724064625850,2.09416666666667,2.83809326710817,2.51084558823529,3.46469907407407,2.60765651438240,2.55709388185654,2.68060947204969,3.015625,2.86316729871645,2.37588276836158,2.65583123953099,1.81770833333333,2.9914314516129,2.85574350152905,2.00833333333333,1.81990903755869,1.76768867924528,1.64508928571429,1.4875,2.18617424242424,1.14858490566038,1.22395833333333,1.03273809523810,0.94375,1.91448863636364,2.20278897849462,1.63247863247863,5.19141454352442,1.24461206896552,1.74406645569620,1.21354166666667,2.0625,1.65773809523810,2.04437785388128,1.86219758064516,1.97395833333333,2.56587970219436,1.80020833333333,2.10321969696970,1.99289772727273,1.87990196078431,1.99571917808219,1.85181451612903,4.15972222222222,1.86126893939394,2.15336345381526,2.17520833333333,2.63434646118721,2.24037990196078,1.65165441176471,2.42326388888889,1.30116421568627,1.26116071428571,2.22203681229773
"fr4_00",0.845759233926129,0.94232558139535,0.97311046511628,0,0.522404991491775,0.496511627906977,0.545796064400716,0.758366420873511,1.69032001590141,0.906789197299325,1.20285983658077,1.17746400885936,2.70635901162791,1.22383720930233,1.03400850212553,1.64802717533316,1.25262565641410,1.73218604651163,1.12745197168857,1.78435517970402,1.24593023255814,1.30744533148212,1.05886627906977,2.65591966173362,1.34520348837209,1.78121175030600,1.47691270643748,1.31529516994633,1.22570429192664,1.82259441007041,1.26712759270899,1.16598837209302,1.26374207188161,1.30908233815211,1.58068704993507,1.54953488372093,1.15683494044243,1.02405380756954,1.44777641778866,1.45994832041344,1.14674226407842,0.655111891180342,0.820648343904158,1.37893296853625,0.790849342770475,1.26677951133353,0.521472868217054,0.702242524916944,0.323216397319669,0.679247142294048,1.11520241171404,1.88045058139535,1.38894612893730,2.40421088281779,1.07674418604651,1.20348837209302,1.6103160405486,1.43604651162791,0.83577291381669,1.14704830053667,1.17978533094812,2.27485966319166,1.22111191860465,0.903023255813953,1.29713178294574,1.46770025839793,1.28724300640377,1.27111383108935,1.20767441860465,2.53175313059034,1.34322725418197,2.42244777296019,1.29617458712504,1.96673126614987,1.43612615482638,1.43194254445964,1.51095706618962,1.08563611491108,1.41554467564259,1.13160676532770,1.19767441860465,0.722899474868717,1.28796169630643,1.53730620155039,1.05839231547017,1.36240310077519,0.799265605875153,0.753020235578375,0.655261151353412,1.05021141649049,0.875050999592003,1.73479427549195,1.17953313516349,2.93675409217416,1.17931153580474,1.06201550387597,0.917330359987257,1.39713774597496,1.45618556701031,1.18748560902602,1.53564103373197,1.46191616181356,1.52990033222591,1.44242768009075,1.58072611678099,1.48998576174656,1.01186046511628,1.53284306175882,1.48057455540356,3.01012058570198,1.55988076968481,1.45733980963595,1.37436804853387,3.25322997416021,1.66600634989553,1.25722638286690,1.47259553581863,1.04812164579606,1.77138034508627,1.86590569660764,1.94748062015504,1.71740910579758,1.67661254936376,1.45071982281285,1.84234496124031,1.71046511627907,1.34174345473161,1.25335735342286,1.16971207087486,1.01182170542636,1.89577167019027,1.93698424606152,1.39400715563506,2.77284846689379,1.58941459502807,1.88519281719164,1.37541528239203,1.92781007751938,1.45847176079734,1.63515450780503,1.32501875468867,1.60097567495322,2.15581030837647,1.82860465116279,2.05060782241015,1.45478036175711,1.84644322845417,2.01075183179356,1.30988997249312,2.89890180878553,1.57501219710522,1.58938077892967,1.52348837209302,3.04730805989169,1.71928864569083,1.34692202462380,2.01679586563308,1.20391586867305,1.02380952380952,1.29831790471890
"fr5_00",0.830463892874223,1.22853658536585,1.13630589430894,0.522404991491775,0,0.730018761726079,0.526829268292683,0.621951219512195,1.30425265791119,0.692564909520063,1.15820698747528,1.50116144018583,2.91600609756098,1.56046747967480,1.22082349855757,1.71553850369964,1.25019669551534,1.69780487804878,1.3,1.69068736141907,1.41128048780488,1.60975609756098,1.28506097560976,3.53215077605322,1.34878048780488,1.68453145057766,1.24832096147048,1.29362101313321,1.21544715447154,1.95591855001119,1.33915622940013,1.58475609756098,1.33259423503326,1.51384311140409,1.37569642193884,1.46414634146341,1.23170731707317,1.35437589670014,1.34681215233205,1.51332429990967,1.26365652086273,0.597330878969167,0.911123429416112,1.31420373027260,0.684941675503712,1.20237727693733,0.630243902439024,0.999564459930314,0.420731707317073,1.18912773873501,1.58822643781993,2.04839939024390,1.29237418956468,2.4155221406583,0.98560975609756,1.10635280771412,0.939806128830519,1.67140921409214,1.28536585365854,1.16172607879925,1.07469512195122,2.34062237174096,1.80907012195122,1.36951219512195,1.14991869918699,1.70816395663957,1.41339696005656,1.49075738125802,1.73829268292683,2.76078799249531,1.62088147197261,2.48449772633320,1.38918345705196,2.10602981029810,1.47126628800535,1.57412721186035,1.64915572232645,1.74906743185079,1.63928112965340,1.77531411677753,1.66392512762337,1.37844217151849,1.71054519368723,1.59959349593496,1.50568095743069,1.72822299651568,1.11585365853659,0.771460247070003,0.73000799680128,1.24741315594974,1.32691484809585,2.12331570868156,1.66202090592334,3.13418344629694,1.11343878290268,1.33468834688347,1.26035750083528,1.90595684803002,1.60208700025145,1.46933107944941,1.86103848826819,1.66763168682107,1.94414198606272,1.89837398373984,1.85523776101070,1.54479840716775,2.28341463414634,1.80443385559683,1.76291248206600,3.22854561878952,1.84053485204903,1.52603684264691,2.01113467656416,3.22764227642276,1.66455588126476,1.66880253548298,1.58346611104302,1.94024390243902,1.82428533962759,2.13918102483777,1.93882113821138,2.0776365510134,1.62586286240221,1.59639953542393,1.87896341463415,1.99434589800443,1.59717748120877,1.16729646169701,1.69070847851336,1.34329268292683,1.75953436807095,2.04671518489378,1.70022930998541,2.81206307286003,1.56244743481918,1.97545538746527,1.68539488966318,1.71544715447154,1.7893074912892,2.05128633478116,1.44870180959874,1.62839921502663,2.62443611896934,1.74512195121951,1.86460643015521,1.60901699926090,1.83978957436633,1.79869695957234,1.33608707054812,3.10569105691057,1.72138836772983,1.55840434910373,1.62036585365854,2.94654193117274,1.7993543758967,1.51563845050215,2.30406504065041,1.36953012912482,1.24375725900116,1.58950982713711
"fr6_00",0.784313725490196,1.01384615384615,0.900320512820513,0.496511627906977,0.730018761726079,0,0.530769230769231,0.618667917448405,1.76410256410256,0.824441687344913,1.34012474012474,1.34468864468864,4.96670673076923,1.21955128205128,1.11124896608768,2.38936905790838,1.17344913151365,1.84323076923077,1.24782608695652,2.59755244755245,1.43557692307692,1.47020665901263,1.03317307692308,3.18601398601399,1.44615384615385,1.57955465587045,1.42898550724638,1.60769230769231,1.36604127579737,1.90444601270289,1.26018711018711,1.15096153846154,1.90454545454545,1.21850311850312,1.71265130808278,1.49846153846154,1.09962476547842,1.80874811463047,1.37201979307242,1.71068376068376,1.55015893197711,0.999056603773585,0.977156177156177,1.59547511312217,0.879933110367893,1.42590068159688,0.482564102564103,0.483791208791209,0.74960886571056,0.81942633637549,1.63200379867047,3.04206730769231,1.52210321324245,4.01859596713966,1.18333333333333,1.46869409660107,1.41025641025641,1.90199430199430,1.18778280542986,1.15384615384615,1.32884615384615,3.25119363395225,2.06526442307692,1.87615384615385,2.05846153846154,1.92051282051282,1.75997770345596,1.81538461538462,1.59692307692308,3.48461538461538,2.10053981106613,3.54132985658409,2.17369007803790,2.19957264957265,1.66185458377239,2.24042232277526,1.79038461538462,2.05972850678733,1.51153846153846,1.76037296037296,1.68676207513417,1.43740694789082,1.52126696832579,1.17307692307692,1.26454849498328,1.64285714285714,0.897165991902834,0.861838161838162,0.71046658259773,1.14289044289044,1.21983805668016,2.7020979020979,1.81469057258531,5.15952566703074,1.04474485910129,1.37720797720798,1.29488935721812,1.73076923076923,1.62474226804124,1.61530845392232,1.72739797515917,1.75888817065288,2.06614010989011,1.65609756097561,1.80940785832872,1.51255886970173,2.00410256410256,1.83690779419256,1.74524886877828,4.202849002849,1.77231550175713,1.42096721843557,1.85203057811753,3.8974358974359,1.92061753882057,1.74754454584963,1.87978353304986,2.04615384615385,1.73234077750207,2.01425546930134,2.24358974358974,1.81121343445287,1.80087082728592,1.66886446886447,1.53846153846154,1.86573426573427,1.31969037252056,1.12188515709642,1.37179487179487,1.01987179487179,2.05734265734266,2.45651364764268,1.88888888888889,4.9593949044586,1.46001326259947,1.89415774099318,1.50293040293040,1.91939102564103,1.96476648351648,2.02391991570074,1.51687344913151,1.84217506631300,2.86621654207861,2.07076923076923,2.00043706293706,1.44510489510490,1.79381598793364,2.08503688092729,1.58047973531844,4.26068376068376,1.88111888111888,2.17849860982391,1.71692307692308,3.35785036880927,1.73325791855204,1.24117647058824,2.40726495726496,1.36317873303167,1.33754578754579,1.81142643764003
"fr7_00",0.578883861236802,1.13076923076923,0.902163461538461,0.545796064400716,0.526829268292683,0.530769230769231,0,0.569793621013133,1.24786324786325,0.518982630272953,1.13638253638254,1.26098901098901,2.50973557692308,0.888782051282051,1.03945409429280,1.68643042350908,1.06550868486352,1.47446153846154,1.08394648829431,1.72167832167832,1.22307692307692,1.31986222732491,1.17371794871795,3.83146853146853,1.45625,2.04473684210526,1.13032329988852,1.62692307692308,1.12889305816135,1.77290049400141,1.23773388773389,1.13942307692308,1.59580419580420,1.19043659043659,1.75193283873487,1.50692307692308,1.23208255159475,1.32609351432881,1.16032388663968,2.08376068376068,0.985568976478067,0.804571843251089,0.844289044289044,1.26357466063348,0.759866220735786,1.30993184031159,0.446153846153846,0.641758241758242,0.586962190352021,0.390091264667536,1.18442545109212,1.70661057692308,1.43962999026290,2.14417475728155,1.00384615384615,1.15026833631485,0.98076923076923,1.47450142450142,0.800904977375566,1.13076923076923,1.15769230769231,3.25066312997347,1.58076923076923,1.65307692307692,1.61333333333333,1.68792735042735,1.29286510590858,1.33441295546559,1.40807692307692,3.40769230769231,1.87908232118758,3.84641460234681,2.07447045707915,1.48653846153846,1.47913593256059,1.84901960784314,1.63653846153846,1.44479638009050,1.26275303643725,1.62622377622378,0.665831842576029,0.558560794044665,1.15497737556561,0.757371794871795,0.628141423793598,1.25824175824176,0.468724696356275,0.380819180819181,0.333039092055485,0.360372960372960,0.598178137651822,1.09300699300699,0.821168305378832,2.55921360586675,0.492955064737243,0.690598290598291,0.624552160168598,0.851923076923077,0.957414750198255,0.994211728865194,1.24550673207390,1.37714932126697,1.10576923076923,0.858348968105066,1.13984504703929,1.1138147566719,0.685641025641026,1.18469179826796,1.09547511312217,3.4037037037037,1.21862553689965,1.12580331061344,1.05465838509317,3.35427350427350,1.38129431828382,1.08983050847458,1.44056822574411,0.653846153846154,1.19545078577337,1.56160903316867,1.78910256410256,1.75395449620802,1.17866473149492,1.21807081807082,1.19134615384615,1.92097902097902,0.85544267053701,0.928385698808234,0.792673992673993,0.525641025641026,1.56888111888112,1.92425558312655,1.16239316239316,2.45798628123469,1.35769230769231,1.33826679649464,1.09926739926740,1.25849358974359,1.23269230769231,1.43119072708114,1.23920595533499,1.79526967285588,2.31895346033277,1.82769230769231,2.12718531468531,1.28193473193473,1.74260935143288,1.79062170706006,1.13457402812242,2.97735042735043,1.72307692307692,1.67015755329008,1.74,3.03361433087460,1.77307692307692,0.981447963800905,2.47948717948718,1.08495475113122,0.8492673992674,1.43539955190441
"fr8_00",0.490076518412243,0.845365853658537,0.724339430894309,0.758366420873511,0.621951219512195,0.618667917448405,0.569793621013133,0,1.14957264957265,0.651062155782848,0.856789716545814,0.957026713124274,2.77903963414634,1.14837398373984,0.924600052452137,1.53391340093176,0.965578284815106,1.49,0.691675503711559,1.35670731707317,1.39237804878049,1.56579905351292,1.00381097560976,3.35920177383592,1.68018292682927,1.90693196405648,1.26679038529516,1.13086303939962,1.76016260162602,2.57988364287313,1.27818061964403,1.85213414634146,0.723392461197339,1.80306526038233,1.29125913086542,1.52926829268293,1.19512195121951,1.05906264945002,1.72379118528027,1.86178861788618,0.926123765369885,0.572710538426139,0.982446415373245,1.03228120516499,0.539395546129374,1.09424205001544,0.552113821138211,0.713414634146341,0.459694088466308,1.04040926002480,1.25240891297802,1.84622713414634,1.08034887310898,2.17890125503197,0.720569105691057,0.98908111174135,0.9041588492808,1.37579042457091,0.95609756097561,0.427485928705441,0.925070356472795,2.57190916736754,1.65224847560976,1.14414634146341,1.17365853658537,1.92869241192412,1.32202191587133,1.76713735558408,1.98682926829268,3.09380863039400,1.80295250320924,3.0334849111203,1.38927182750088,1.92682926829268,1.39776144336786,1.67922046867527,2.04760787992495,1.52345767575323,1.72207958921694,1.87472283813747,1.49262620533182,1.23829661683714,1.39096126255380,1.28861788617886,0.963603999394031,1.12108013937282,0.949293966623877,1.01322458029775,0.608056777289084,0.997413155949741,0.97571673085152,1.78257717891864,1.42371171832019,2.85422747736605,0.674052161313692,1.04957091237579,1.01495155362513,1.53822701688555,1.27193864722152,1.29902197536827,2.49163550319357,2.34312871490059,2.3886106271777,2.21341463414634,2.43950693104053,1.80540069686411,2.09113821138211,2.46212243579389,2.26420373027260,3.32588075880759,2.37430357806116,2.07937120510446,2.30105287077715,3.15243902439024,2.36345590118678,1.94246933994764,2.18697144257875,1.57476547842402,2.43240230789405,2.24558066681584,1.87174796747967,1.90690484369632,1.33536585365854,1.36769260549748,1.575,2.12139689578714,1.29210768522780,1.12701820680179,1.34030197444832,1.04939024390244,1.44844789356984,1.96311959087333,1.47159683135293,2.57480192636321,1.12510513036165,1.51041988267984,1.32607433217189,1.43927845528455,1.52798344947735,1.64057801536919,1.65896931549961,1.98794505186431,2.87596528786605,1.79414634146341,2.07788248337029,1.55537078098054,1.94966523194644,2.13356164383562,1.44748229740362,2.99525745257453,1.87595940644721,1.90229209521011,1.86914634146341,2.82467423989308,2.23967001434720,1.77259684361549,2.74485094850949,1.27340387374462,1.21718931475029,1.49046886099929
"fr9_00",0.819255907491202,0.961538461538462,1.08173076923077,1.69032001590141,1.30425265791119,1.76410256410256,1.24786324786325,1.14957264957265,0,0.798318169285911,1.24012474012474,0.694749694749695,3.47636217948718,1.47061965811966,0.490901571546733,1.41952367233266,0.947752963881996,0.438769230769231,1.04671125975474,1.59683372183372,1.89583333333333,3.08266360505166,1.9821047008547,2.6010101010101,2.20176282051282,1.50123706702654,1.35544407283538,1.07905982905983,1.73295809881176,2.92723280796675,2.09453684453684,2.36901709401709,1.58294483294483,2.72025872025872,2.10455985075274,2.1617094017094,1.86147592245153,1.27626948215183,1.71075123706703,1.50925925925926,0.454192272374091,0.484437993871956,0.769036519036519,0.727752639517345,0.521256038647343,0.921129503407984,1.12324786324786,1.23641636141636,0.674163407214255,1.69165580182529,0.670465337132004,1.56510416666667,0.519257816726171,2.06549249024977,0.61017094017094,0.628950506857484,0.435897435897436,0.477920227920228,0.8465057817999,0.973504273504274,0.669871794871795,2.06984969053935,1.63875534188034,1.66623931623932,0.685128205128205,1.35256410256410,0.48513563730955,1.18785425101215,1.6308547008547,1.10256410256410,1.42532613585245,1.53375344053310,1.03864734299517,0.969017094017094,1.04390586582367,1.02111613876320,1.76175213675214,0.78974358974359,1.95074224021592,2.37354312354312,0.95105346849533,0.86166253101737,1.28217697335344,1.46474358974359,0.957928544885067,1.69658119658120,1.23419928025191,1.74936174936175,0.781420765027322,1.11713286713287,0.759559154295996,1.68764568764569,0.806085727138359,2.89289800800957,0.71012101210121,0.820156695156695,0.370214260625220,1.14743589743590,0.953960701383382,0.500973174240501,2.72436187361561,2.02248078718667,2.01079822954823,2.62090890139671,2.07307999754043,2.09312750741322,1.08495726495726,2.03581536197430,2.33094519859226,1.68233618233618,2.32320274198447,2.54235637779942,2.13805276848755,1.54700854700855,2.05216467701882,1.50724322758221,2.20557917794099,0.62051282051282,2.87868762062310,2.12804830236023,1.11538461538462,1.37462381124353,1.61280438638929,1.26190476190476,1.36089743589744,2.10516705516706,1.07619738751814,0.97772962561695,0.644566544566545,1.60940170940171,1.31499611499611,1.45368072787428,1.05555555555556,2.58052289182862,1.07552313586796,1.27058314400087,0.680555555555556,1.22649572649573,0.687919719169719,1.75998126683058,1.45649296939620,1.28949307397583,1.90926506443748,1.03299145299145,1.62966200466200,1.62509712509713,1.30844645550528,1.52183585060297,1.21753515301902,2.33974358974359,1.15229215229215,1.01645041705283,1.56089743589744,1.48150099519963,1.82121669180493,1.59235796882856,1.46410256410256,0.798045500251383,0.97481684981685,2.02501867064974
"fr10_00",0.57337128399747,0.843548387096774,0.629032258064516,0.906789197299325,0.692564909520063,0.824441687344913,0.518982630272953,0.651062155782848,0.798318169285911,0,1.12750653879686,1.06029185867896,2.39969758064516,1.12432795698925,0.903225806451613,1.42941283073577,1,1.48845161290323,1.05364656381487,1.40799120234604,1.19596774193548,2.46714010592200,1.07325268817204,2.84457478005865,1.13165322580645,1.47580645161290,1.12774661056568,1.08002481389578,1.15637293469709,1.88835454276413,1.51264167393200,1.49112903225806,1.03592375366569,1.28116826503923,2.31169150155559,1.62709677419355,1.06530291109363,1.03510436432638,1.35988492737219,1.70818399044205,1.05005331911490,0.376902008520998,0.928885630498534,0.869070208728653,0.664516129032258,1.25112290730911,0.673440860215054,1.00518433179724,0.561509021323127,0.93521049753964,1.11688570290721,1.53351814516129,1.30042874642711,1.9668806764798,1.05193548387097,0.967179294823706,0.771712158808933,1.18667861409797,1.02020872865275,0.904714640198511,1.13802729528536,2.31090100111235,1.45085685483871,1.21064516129032,1.12913978494624,1.29704301075269,1.20184665731650,1.26765704584041,1.39967741935484,2.38833746898263,1.25636672325976,2.00164024056862,1.23503973819542,1.70519713261649,1.29330534688467,1.19607843137255,1.27388337468983,1.37561669829222,1.12860780984720,1.75562072336266,1.53919729932483,1.42338709677419,1.16745730550285,1.12634408602151,1.59341815267481,1.3394777265745,0.900042444821732,0.883221617092585,0.593072448439979,0.811827956989247,0.831777023203169,1.74796977216332,1.26631093863691,2.45084407511614,0.855717023315235,0.758512544802867,0.823464427750773,1.45843672456576,1.13693049551048,1.21909932928777,1.51830656103646,1.30164001084305,1.58568548387097,1.53022554419093,1.45445579020654,1.31023699802502,1.87602150537634,1.55581072420423,1.35958254269450,3.09468339307049,1.40862944162437,1.44106438001906,1.85263474253657,2.73387096774194,1.34865622765085,1.41088026243849,1.32452585508186,1.49503722084367,1.43010752688172,1.87607280260432,1.75833333333333,1.86574284416174,1.18639683505782,1.37109575012801,1.57459677419355,2.04369501466276,1.05883546358288,0.988414357110404,1.14531490015361,1.02150537634409,1.49677419354839,1.83467741935484,1.24138406396471,2.16105917402918,1.18798665183537,1.33176806859943,1.34850230414747,1.48319892473118,1.59216589861751,1.63698630136986,1.18870967741935,1.63023730070449,2.43912427950248,1.36677419354839,1.85355571847507,1.29846855653307,1.76502213788741,1.45945647370747,1.29032258064516,2.50403225806452,1.54590570719603,1.44636610959969,1.68290322580645,2.07578435704817,1.6280834914611,1.13785578747628,2.14193548387097,0.994900379506641,1.05933179723502,1.87229877857814
