"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,0.794901960784314,0.845588235294118,1.31007751937984,1.38211382113821,1.37978883861237,0.947812971342383,0.77714012434242,1.29361488185018,0.903542061986085,1.70429252782194,1.08963585434174,1.31458333333333,1.36274509803922,1.37760910815939,1.28838951310861,1.29063883617963,1.91207843137255,1.46359761295823,1.56372549019608,2.18333333333333,3.19256657887035,1.71936274509804,4.96256684491979,2.78651960784314,3.18627450980392,1.80477408354646,1.19683257918552,2.66140602582496,4.01816873538406,2.65977742448331,2.62401960784314,1.06149732620321,2.41918388977213,3.01254105703195,2.82705882352941,1.68531802965088,0.88235294117647,2.76711386308910,3.29520697167756,0.979095770539621,0.696818349981502,1.23262032085562,1.16666666666667,0.694032395566922,1.58178207992058,1.09019607843137,1.07387955182073,0.534562977733466,0.984047856430708,1.20697167755991,1.33425245098039,1.33209233060313,1.3042071197411,1.28078431372549,1.04195166438668,0.851432880844646,1.41285403050109,0.929411764705882,1.22292609351433,1.33333333333333,3.86680189317106,1.99540441176471,1.22901960784314,0.967843137254902,2.45343137254902,1.42284739982950,2.06811145510836,2.25941176470588,4.51734539969834,2.15892672858617,5.12662013958126,2.10741687979540,1.69934640522876,1.90088638195004,1.86274509803922,2.76206636500754,1.10980392156863,2.29153766769866,2.36007130124777,1.35430916552668,1.05455407969639,1.80392156862745,1.55392156862745,1.28875898185361,1.69467787114846,1.16666666666667,1.57295645530940,0.723561555769849,0.938502673796791,0.768833849329205,1.18826271767448,1.24369747899160,1.53380662609872,0.984857309260338,0.808823529411765,0.924523233951115,1.49773755656109,1.25005053567819,1.18384779654436,3.34719450873972,3.12885154061625,2.67401960784314,2.64466762314682,3.03265622795881,2.69243697478992,1.4,3.08518374237112,2.80980392156863,5.55555555555556,3.22663481636309,2.91859022089849,2.63889903787602,5.50326797385621,3.25940924794655,2.54071119973413,3.03896935658686,1.05671191553544,3.43643263757116,3.18042813455657,3.12352941176471,3.22107152720243,2.26156122826489,1.56022408963585,2.07401960784314,4.11639928698752,1.46244913059563,1.27809997238332,1.06218487394958,1.05098039215686,1.78556149732620,2.46821631878558,1.15082956259427,1.20085550143624,1.44996619337390,1.72201538843385,1.48599439775910,1.79901960784314,1.40161064425770,1.71286596830513,1.74990512333966,3.20385395537525,4.46923597025017,2.73137254901961,3.41688948306595,2.42394533571004,2.80392156862745,3.13591189900618,1.76091081593928,2.5359477124183,2.80899492664199,3.08351051263879,3.3321568627451,3.69997313994091,3.54509803921569,2.28235294117647,3.71764705882353,1.38970588235294,1.30182072829132,2.17685132305349
"fr2_00",0.794901960784314,0,1.19333333333333,1.60372093023256,1.95756097560976,1.70307692307692,1.84769230769231,1.25219512195122,1.53794871794872,1.17290322580645,1.84918918918919,1.19047619047619,3.691875,1.58833333333333,1.79698924731183,1.95955056179775,1.79225806451613,2.268,1.67391304347826,2.19363636363636,2.41,3.55910447761194,1.97,3.51272727272727,2.79,2.98105263157895,2.16869565217391,1.36769230769231,2.97772357723577,4.2154128440367,3.02864864864865,3.05,1.12363636363636,2.69891891891892,3.78517766497462,3.26,2.35268292682927,1.68745098039216,3.39988304093567,3.24814814814815,1.15504132231405,0.94566037735849,1.71151515151515,1.75882352941176,1.07391304347826,2.26683544303797,1.34,1.36357142857143,0.749491525423729,1.77864406779661,1.44197530864198,2.62375,1.78,2.97844660194175,1.54666666666667,1.61581395348837,1.59538461538462,1.80148148148148,1.02235294117647,1.46,1.79346153846154,4.12206896551724,2.834375,1.8,1.45333333333333,2.81888888888889,2.00405797101449,2.50526315789474,2.72,4.20307692307692,2.79824561403509,4.35694915254237,2.74782608695652,2.16333333333333,2.16465753424658,2.59725490196078,3.17615384615385,1.77529411764706,2.81052631578947,2.94545454545455,1.89720930232558,1.50935483870968,2.62470588235294,2.915,1.99142857142857,2.09333333333333,1.63421052631579,2.68259740259740,1.13606557377049,1.94121212121212,1.20701754385965,2.59482517482517,1.95954887218045,3.79095334685598,1.72039603960396,1.07037037037037,1.24465753424658,2.11615384615385,1.91195876288660,1.22435643564356,3.72355495251018,3.61025210084034,3.39392857142857,3.70406504065041,3.50604316546763,3.30979591836735,1.54666666666667,3.39006622516556,3.52,4.38814814814815,3.79238578680203,3.48135021097046,3.32347826086957,4.06222222222222,3.91194865810969,3,3.52984924623116,1.81384615384615,4.10215053763441,3.6554128440367,2.85,3.11154929577465,2.50603773584906,2.09269841269841,2.32333333333333,3.82545454545455,1.88691823899371,1.61859154929577,1.36380952380952,1.87666666666667,2.05090909090909,2.58354838709677,1.80222222222222,3.32611464968153,1.45517241379310,1.86506329113924,1.81428571428571,2.305,1.7125,2.22164383561644,2.23096774193548,3.03034482758621,4.41040752351097,2.52,2.96409090909091,2.56222222222222,2.48588235294118,2.99643835616438,2.08817204301075,3.46888888888889,2.59468531468531,2.6655421686747,2.63,3.79369863013699,3.44235294117647,2.64823529411765,3.40666666666667,1.39558823529412,1.71952380952381,2.5126213592233
"fr3_00",0.845588235294118,1.19333333333333,0,1.38662790697674,1.65701219512195,1.25881410256410,1.46201923076923,1.03506097560976,1.78044871794872,1.00033602150538,2.42088963963964,2.05654761904762,11.1645833333333,1.79166666666667,0.875336021505376,4.29248595505618,1.98622311827957,2.25316666666667,2.17119565217391,5.06534090909091,2.54166666666667,3.50886194029851,1.67708333333333,4.41098484848485,2.41666666666667,2.31140350877193,2.61594202898551,2.24519230769231,2.78531504065041,3.89764908256881,2.53406531531532,2.87083333333333,2.05871212121212,2.91385135135135,3.88636844331641,2.58875,1.30208333333333,1.63112745098039,3.30811403508772,2.66203703703704,1.73613980716253,0.91627358490566,1.83333333333333,1.68443627450980,0.954347826086957,2.15466772151899,0.95125,0.766369047619048,0.972104519774011,1.35063559322034,1.92515432098765,5.52604166666667,1.94527953586498,8.54419498381877,1.85916666666667,1.33890503875969,1.26282051282051,2.43287037037037,1.44767156862745,1.18397435897436,1.93108974358974,3.53125,2.3125,1.6975,2.07916666666667,2.58333333333333,1.95063405797101,2.85350877192982,2.3725,4.71714743589744,2.38322368421053,4.1163488700565,2.18297101449275,2.83680555555556,2.45291095890411,2.40441176470588,3.03285256410256,2.37585784313726,2.35581140350877,2.45549242424242,3.19694767441860,2.40658602150538,1.72242647058824,1.77083333333333,2.98971273291925,2.5625,1.59594298245614,1.84807900432900,0.78125,1.87689393939394,1.51589912280702,5.67548076923077,2.76386278195489,11.3624704192022,1.82962046204620,1.97569444444444,1.73244863013699,3.26682692307692,2.34718642611684,2.42172029702970,3.58454884667571,3.39364495798319,3.87797619047619,3.34705284552846,3.77600419664269,3.08027210884354,3.60875,3.67204746136865,3.33235294117647,6.46527777777778,3.36553510998308,3.15756856540084,3.73615424430642,5.61805555555556,3.61478996499417,3.42531779661017,3.39075586264657,3.30528846153846,4.15120967741935,3.74063455657492,3.43125,2.86898474178404,3.05503144654088,2.87053571428571,2.00416666666667,3.54962121212121,1.74351415094340,2.00322769953052,1.60089285714286,1.41041666666667,3.19715909090909,4.07493279569892,3.1741452991453,10.9161358811040,1.96551724137931,3.09955168776371,1.93303571428571,3.41666666666667,2.72916666666667,3.18607305936073,2.76068548387097,2.82291666666667,4.14746603970742,2.87916666666667,3.43371212121212,2.71843434343434,2.90808823529412,3.03510273972603,2.7315188172043,7.45486111111111,2.93050699300699,3.64282128514056,3.32458333333333,3.87314497716895,3.22352941176471,2.10036764705882,3.42013888888889,2.18995098039216,1.83928571428571,3.19336569579288
"fr4_00",1.31007751937984,1.60372093023256,1.38662790697674,0,1.11089052750993,0.90035778175313,0.979427549194991,1.18888258650028,2.79656131981713,1.47899474868717,1.65493400377121,1.90697674418605,3.29164244186047,2.25678294573643,1.60090022505626,2.23778416514241,1.65303825956489,2.06316279069767,1.73508594539939,2.59513742071882,1.64302325581395,1.43943075321069,1.66085271317829,4.90274841437632,1.76395348837209,2.72215422276622,2.07735085945399,2.09749552772809,1.50463225562488,2.67495199487945,1.63576367064739,1.48779069767442,1.77589852008457,1.57416719044626,2.03866131507496,2.07860465116279,1.63159387407828,1.50250797993616,1.82700938392493,2.18690783807063,2.00124927926196,0.934620447564721,1.42142353770261,2.04035567715458,1.24347826086957,1.90550485722697,0.906511627906977,0.994186046511628,0.569176192353173,1.03389830508475,1.79658340511054,2.37063953488372,1.74521636738299,3.00530593813502,1.47658914728682,1.54651162790698,2.55635062611807,1.92334194659776,1.09917920656635,1.78729874776386,1.55344364937388,3.228949478749,2.06976744186047,1.18883720930233,2.00744186046512,2.03520671834625,2.07195820694304,1.71970624235006,1.50767441860465,4.25581395348837,1.75336597307222,4.2016160819866,1.82912032355915,3.1531007751938,2.0393437400446,2.03351573187414,2.09212880143113,1.54049247606019,2.05201958384333,1.53523608174771,2.05813953488372,1.01706676669167,2.05745554035568,2.32461240310078,1.66604073378593,2.06589147286822,1.14993880048960,1.53881002718212,0.910598551277164,1.76779422128259,1.26968584251326,2.40299235648073,1.71288686833362,3.69331100523610,1.86081049965462,1.53897502153316,1.48375278751195,2.00626118067979,2.0142651642292,1.84020262491365,1.90270108232621,1.74013093609537,1.87416943521595,2.02495745887691,1.99690480174000,1.83113431419079,1.51178294573643,1.8408285846296,1.80068399452804,5.38587424633936,2.01753039782788,1.63006574428417,1.69882998699986,5.74547803617571,1.99170985861985,1.78439101300749,1.79075610611196,1.60805008944544,2.37846961740435,2.36761254533817,3.04496124031008,2.84752702260072,2.76042123738482,2.16851236618678,2.75988372093023,3.39238900634249,2.18524206523329,2.14182771044874,1.66157253599114,1.52480620155039,2.80528541226216,3.00281320330083,1.92635658914729,3.40912457413717,2.40156375300722,2.77053282307919,2.08084163898117,2.98982558139535,2.01993355481728,2.19417011787193,1.69227306826707,2.29684576316493,4.04443391412116,2.79023255813954,3.25369978858351,2.01174536058257,2.88987688098495,3.17951576935330,1.86471617904476,3.96447028423773,2.30460237436982,2.46119361165593,2.36418604651163,4.25565466709143,2.57783857729138,1.88563611491108,2.99354005167959,1.92339261285910,1.50802879291251,1.66888688191465
"fr5_00",1.38211382113821,1.95756097560976,1.65701219512195,1.11089052750993,0,1.39474671669794,1.03189493433396,1.07317073170732,2.05941213258286,1.17466561762392,1.88068556361239,2.35714285714286,3.79001524390244,2.63414634146341,2,2.04247739106605,1.85326514555468,1.99931707317073,2.08483563096501,2.4589800443459,1.95365853658537,2.16818347287950,2.12195121951220,6.03769401330377,1.87560975609756,2.4390243902439,1.86744432661718,1.95872420262664,1.51219512195122,2.89729245916312,1.84838497033619,2.29756097560976,2.02328159645233,2.00263678312459,1.85984895381949,2.01317073170732,1.80487804878049,2.16547106647537,1.74811011268007,2.47109304426378,2.19915339649264,1.08145421076852,1.35107169253511,2.05164992826399,1.05662778366914,1.91293609138623,1.17593495934959,1.47430313588850,0.862753203803225,2.15667631252584,2.59981933152665,2.9203506097561,1.58783575177524,3.08193227563344,1.58504065040650,1.49205899035735,1.35741088180113,2.47606142728094,1.79397417503587,1.95009380863039,1.65548780487805,3.37762825904121,3.17492378048780,2.19951219512195,1.74276422764228,2.60636856368564,2.41958289148109,2.24287548138639,2.39585365853659,4.64165103189493,2.4403080872914,4.50062009094667,2.20254506892895,3.27642276422764,2.13531573671901,2.59014825442372,2.59943714821764,3.08034433285509,2.57766367137356,2.84109386548411,2.77339761769711,2.34441384736428,2.72166427546628,2.59044715447154,2.55537039842448,2.59349593495935,1.75288831835687,1.61450744377574,1.13314674130348,2.30303030303030,2.18570817287120,3.25822957530275,2.77370254905557,4.18653836639786,1.82033325283748,2.02822944896116,2.15268960908787,2.97420262664165,2.42318330399799,2.41221927070756,2.66532084588146,2.28638040582086,2.93662891986063,3.14634146341463,2.64204246359010,2.08631159780986,3.98536585365854,2.46397997092554,2.41047345767575,5.48870822041554,2.74792621022657,1.92631470618504,3.05832449628844,5.71815718157182,2.22278509832940,2.70717927518258,2.18966785145238,3.51726078799250,2.65276685024915,2.97986126650257,2.78617886178862,3.02181380968739,2.3087896916705,2.00774293457220,2.58617886178862,3.48447893569845,2.30188679245283,1.84919271727929,2.43577235772358,2.11707317073171,2.32305986696231,2.88099921321794,2.2616218469877,3.53895448190151,2.2905803195963,2.82371102192035,2.36324041811847,2.21392276422764,2.34255226480836,2.81891079184764,1.91376868607396,2.22834314550042,4.28205520299717,2.71512195121951,2.86862527716186,2.23675782212368,2.67575322812052,2.60006682258603,1.80828743771309,4.35772357723577,2.35971345727443,2.09491625036732,2.40317073170732,3.94954894754427,2.54218077474892,2.14289813486370,3.24959349593496,1.97507173601148,1.70731707317073,2.20269950272318
"fr6_00",1.37978883861237,1.70307692307692,1.25881410256410,0.90035778175313,1.39474671669794,0,1,1.05909943714822,3,1.27741935483871,2.31850311850312,2.30586080586081,11.4064903846154,1.85961538461538,1.6752688172043,4.85306828003457,2.13523573200993,2.40953846153846,2.03612040133779,5.39545454545455,2.08846153846154,1.88174512055109,1.46057692307692,5.22937062937063,1.76634615384615,2.26153846153846,2.32374581939799,2.74615384615385,1.75071919949969,2.82554693013409,1.57900207900208,1.43653846153846,3.19650349650350,1.66195426195426,2.31620460757517,1.91538461538462,1.40750469043152,3.03800904977376,1.84597390913180,2.58262108262108,2.61220597584234,1.64716981132075,1.92261072261072,2.5710407239819,1.50702341137124,2.02609542356378,0.722051282051282,0.688736263736264,1.29361147327249,1.43728813559322,2.80493827160494,6.13701923076923,2.14878286270691,8.91478715459298,1.98974358974359,2.03291592128801,2.26923076923077,3.05498575498576,1.89140271493213,1.8,2.1,4.55596816976127,3.33822115384615,2.78923076923077,3.40512820512821,2.80961538461538,2.79018952062430,2.86315789473684,2.23461538461538,6.26153846153846,3.02267206477733,6.1632333767927,3.23166109253066,3.62264957264957,2.45100105374078,3.41689291101056,2.56538461538462,3.44253393665158,2.23522267206478,2.60885780885781,3.04865831842576,2.50397022332506,2.33574660633484,1.86730769230769,2.22293358815098,2.64468864468864,1.56153846153846,1.59820179820180,1.05800756620429,2.08554778554779,2.13427800269906,5.59160839160839,3.26188548293811,11.7693087845218,1.76801218583397,2.41894586894587,2.30948366701791,3.15384615384615,2.89547977795400,2.89642041127190,2.25972236718505,2.34305106658048,3.08846153846154,2.53933708567855,2.57050359712230,2.02794348508634,3.72,2.52409577177789,2.43574660633484,8.005698005698,2.41952362358454,1.66082440765985,2.81786908743430,7.45299145299145,2.54361367920294,2.82207735767058,2.56776188635485,3.82307692307692,2.43358147229115,2.83062808750882,3.81923076923077,2.89794149512459,3.17242380261248,2.88717948717949,2.19807692307692,3.23986013986014,2.22486695694243,2.08234019501625,2.10622710622711,1.69102564102564,3.54965034965035,4.56575682382134,3.64102564102564,11.2910338069574,2.35371352785146,3.15598831548199,2.32069597069597,3.36538461538462,3.12582417582418,3.30010537407798,2.37220843672457,2.70831122900088,4.59020979020979,3.38307692307692,3.34965034965035,1.96130536130536,2.84283559577677,3.42739726027397,2.49859387923904,7.96282051282051,3.03076923076923,3.82038924930491,2.80461538461538,5.04278187565859,2.63438914027149,1.60542986425339,3.39572649572650,2.43144796380090,2.04597069597070,2.73756534727409
"fr7_00",0.947812971342383,1.84769230769231,1.46201923076923,0.979427549194991,1.03189493433396,1,0,0.965103189493433,2.25811965811966,0.927295285359801,1.82536382536383,1.94505494505495,3.08341346153846,1.37820512820513,1.90835401157982,2.40881590319793,1.68535980148883,1.76523076923077,1.56254180602007,2.60839160839161,1.67884615384615,1.61320321469575,1.9,6.85734265734266,2.22884615384615,3.42267206477733,1.73534002229654,2.79230769230769,1.39949968730457,2.82046577275935,1.65904365904366,1.53269230769231,2.61258741258741,1.55883575883576,2.58336587270597,2.15076923076923,1.93921200750469,2.39034690799397,1.43085919928025,3.61509971509971,1.86001271455817,1.46269956458636,1.45990675990676,2.15339366515837,1.28628762541806,2.18675754625122,0.785641025641026,0.966483516483516,1.07535853976532,0.717079530638853,2.05128205128205,2.41538461538462,2.13495618305745,2.67251680358476,1.60717948717949,1.71610017889088,1.65897435897436,2.23333333333333,1.07873303167421,1.86153846153846,1.86153846153846,5.19151193633952,3.08413461538462,2.90923076923077,2.91076923076923,2.76666666666667,2.33667781493868,1.98866396761134,1.90461538461538,6.21538461538462,3.14385964912281,7.30769230769231,3.62452619843924,2.47991452991453,2.40716543730242,3.18552036199095,2.57692307692308,2.61266968325792,1.92672064777328,2.58508158508159,1.08032200357782,0.832009925558313,2.12941176470588,1.15705128205128,0.961968466316292,1.82051282051282,0.71578947368421,0.875124875124875,0.439596469104666,0.598135198135198,0.924156545209177,1.39720279720280,1.20416425679584,3.19463254797940,0.744021325209444,1.00498575498576,1.03013698630137,1.13461538461538,1.30721649484536,1.55841584158416,1.50861079219288,1.79082094376212,1.38708791208791,1.16735459662289,1.37902600996126,1.30580847723705,1.04410256410256,1.38772287315334,1.25972850678733,6.34814814814815,1.58399062866068,1.24245374878286,1.25981844242714,6.23675213675214,1.77879903060767,1.53055193394176,1.97727097023579,1.1,1.45376344086022,1.91404375441073,3.13717948717949,3.24528710725894,2.00435413642961,1.88400488400488,1.87884615384615,3.84965034965035,1.42922109337204,1.52762730227519,1.05274725274725,0.856410256410256,2.38461538461538,3.11253101736973,1.58461538461538,2.98716315531602,2.21976127320955,1.85725413826680,1.68260073260073,1.95641025641026,1.65233516483516,1.98587987355111,1.62481389578164,2.72811671087533,4.25970581142995,3.13846153846154,3.66608391608392,1.75967365967366,2.83966817496229,2.98377239199157,1.504052936311,4.01623931623932,2.73286713286713,2.68174235403151,2.81307692307692,4.38904109589041,2.87149321266968,1.34027149321267,3.66324786324786,1.68925339366516,1.26098901098901,1.98237490664675
"fr8_00",0.77714012434242,1.25219512195122,1.03506097560976,1.18888258650028,1.07317073170732,1.05909943714822,0.965103189493433,0,2.02084636230978,0.994885916601101,1.30652603823336,1.44889663182346,3.55236280487805,1.88313008130081,1.45489116181484,2.04316251027679,1.41817466561762,1.79082926829268,0.889183457051962,1.82926829268293,1.63963414634146,1.98125227520932,1.44664634146341,5.91130820399113,2.03628048780488,2.74454428754814,1.76246023329799,1.84427767354597,1.97560975609756,3.57003803982994,1.43869479235333,2.27073170731707,0.921286031042129,2.05702043506922,1.62603689488672,1.78878048780488,1.51219512195122,1.6506456241033,1.93196405648267,2.77371273712737,1.55633944769200,0.890243902439024,1.67627494456763,1.65853658536585,0.876988335100742,1.62303179993825,0.857723577235772,0.999564459930314,0.744522529971062,1.88838362959901,2.11096055404998,2.63109756097561,1.38376041988268,2.75266398295051,1.1069918699187,1.31905842314237,1.53064415259537,2.01851851851852,1.25868005738881,0.59718574108818,1.35506566604128,3.52354920100925,2.89786585365854,1.69414634146341,1.88325203252033,2.69884823848238,2.30770590314599,2.52477535301669,2.57731707317073,5.47842401500938,2.52139495079161,5.38838362959901,2.13785790031813,3.18631436314363,1.92616104243234,2.67001434720230,2.82973733583490,2.82166427546628,2.35686777920411,2.77605321507761,2.53998865570051,2.03973249409913,2.2948350071736,2.15142276422764,1.66149068322981,1.65505226480836,1.53145057766367,1.98986379474184,0.856657337065174,1.81522542498152,1.71159606332905,2.74748422309398,2.41151659636897,3.81158165537031,1.21021492393142,1.62872628726287,1.85015035081858,2.47748592870544,1.95235101835554,2.14247766240039,3.09198464440547,2.89880098380816,3.30792682926829,3.33333333333333,3.21451131777505,2.06002986560478,3.70715447154472,3.12994669681796,2.82955523672884,6.2836495031617,3.12925591184846,2.34480806833385,3.22617785184063,5.7520325203252,2.87958562199391,2.86916081025217,2.70278220370143,3.03339587242026,3.12352478363493,2.84660997986127,2.82276422764228,2.90175197526623,2.13920846755637,1.97735191637631,2.20670731707317,3.55388026607539,1.77749654855039,1.73016145654414,1.90150987224158,1.55813008130081,1.91108647450111,2.87647521636507,2.00312695434647,3.25054373155197,1.73528174936922,2.0761037357209,1.91202090592334,2.04979674796748,2.2051393728223,2.17891747410625,2.02108575924469,2.70016820857864,4.52591941279914,2.81853658536585,3.16435698447894,1.85242670608524,2.9273075083692,3.11309722686268,1.81746656176239,4.00135501355014,2.61095002558417,2.7126065236556,2.75731707317073,3.8002004677581,3.09182209469154,2.31822094691535,3.82357723577236,1.83159971305595,1.64343786295006,1.91972531375799
"fr9_00",1.29361488185018,1.53794871794872,1.78044871794872,2.79656131981713,2.05941213258286,3,2.25811965811966,2.02084636230978,0,1.26344086021505,2.03026103026103,1.20207570207570,4.9582532051282,2.77884615384615,0.985387372484147,1.97320656871219,1.48924731182796,0.671521367521368,1.68153102935712,2.29817404817405,2.54978632478633,4.22668707743335,3.2232905982906,4.7008547008547,3.00886752136752,2.17161493477283,1.85024154589372,1.58547008547009,1.94183864915572,4.22982827569984,2.83056133056133,3.19679487179487,2.72455322455322,3.65465465465465,2.49373074753785,2.88119658119658,2.81050656660413,2.28456510809452,1.82860998650472,2.28632478632479,0.639966094511549,0.800274149330753,1.10567210567211,1.00075414781297,0.784020810107767,1.79130152547874,1.87555555555556,1.97725885225885,1.14392293205853,3.03346371142981,0.916429249762583,2.23904914529915,0.702369360597209,2.60314496722264,0.994188034188034,1.00864639236732,0.568376068376068,0.716524216524217,1.23971845148316,1.83418803418803,0.832264957264957,3.15119363395225,3.40518162393162,2.65641025641026,0.86051282051282,1.61752136752137,0.800445930880714,1.44426450742240,2.13803418803419,1.84615384615385,1.93387314439946,2.49094596552224,1.38907469342252,1.28846153846154,1.25430277485072,1.52538964303670,2.17307692307692,1.32931121166415,2.79824561403509,3.69580419580420,1.49244682965613,1.23338847532396,2.03569632981398,2.48183760683761,1.76439985135637,2.72527472527473,1.79633378317589,3.42146742146742,1.33557517164075,1.97513597513598,1.28587494376968,2.56332556332556,1.30897757213547,3.75381841507602,1.23263095540323,1.13034188034188,0.533485540334855,1.96153846153846,1.54762534143977,0.676652280612677,3.28486935949623,2.25107735401853,2.51953601953602,4.14654992703773,2.38301666359220,2.64580498866213,1.62153846153846,2.21695817060055,2.71156359979889,3.09116809116809,3.06746496594212,2.88412852969815,2.69671391410522,2.63247863247863,2.20173732659147,1.95451253078372,2.65077524374007,1.05982905982906,3.79156327543424,2.56041715674743,1.57649572649573,1.90134826050319,2.68972746331237,1.86691086691087,2.05363247863248,3.81919191919192,1.36752136752137,1.42987841579391,1.03809523809524,2.63418803418803,1.68010878010878,1.91790736145575,1.35897435897436,3.26850944526104,1.50589448865311,1.99491507086444,0.868742368742369,1.71794871794872,1.00732600732601,2.72953986652617,1.63010752688172,1.55467138225759,3.92492564906358,1.50923076923077,2.22416472416472,2.01010101010101,1.83031674208145,2.04765249970729,1.39950372208437,3.32692307692308,1.43822843822844,1.30970033982082,2.02213675213675,1.86125746399719,2.15248868778281,2.00211161387632,2.06923076923077,1.02689793866264,1.22832722832723,2.85345614471828
"fr10_00",0.903542061986085,1.17290322580645,1.00033602150538,1.47899474868717,1.17466561762392,1.27741935483871,0.927295285359801,0.994885916601101,1.26344086021505,0,1.85047951176983,1.61904761904762,3.73961693548387,1.68279569892473,1.53225806451613,2.07557085900689,1.56451612903226,1.80812903225806,1.68387096774194,2.18108504398827,1.61451612903226,2.92272508425614,1.48252688172043,4.46774193548387,1.53629032258065,2.28183361629881,1.60308555399719,1.45905707196030,1.43535274062418,2.95738384137319,1.93112467306016,2.04596774193548,1.56451612903226,1.67131647776809,2.91829048632717,2.10387096774194,1.51376868607396,1.76122707147375,1.74863233352198,2.74074074074074,1.79672087443348,0.678332318928789,1.46823069403715,1.29032258064516,1.05834502103787,2.10412413229890,1.07462365591398,1.40552995391705,0.973756150902132,1.65828321487151,1.81322182397451,2.30997983870968,1.68905675786035,2.87159411212026,1.64301075268817,1.29182295573893,1.14143920595533,1.67502986857826,1.49392789373814,1.49503722084367,1.68424317617866,3.45272525027809,2.57157258064516,1.94387096774194,1.78129032258065,1.83826164874552,2.1234221598878,1.76078098471986,1.81032258064516,4.0893300248139,1.74731182795699,3.68370694368507,1.75175315568022,2.60663082437276,1.84180291648255,1.88361796331436,1.83870967741935,2.41783681214421,1.58149405772496,2.59530791788856,2.57276819204801,2.30645161290323,1.86622390891841,1.76747311827957,2.79072330194350,2.10522273425499,1.29796264855688,1.73732718894009,0.925171866737176,1.43206256109482,1.41171477079796,2.90164674035642,2.1726897889886,3.69076751946607,1.43500479080166,1.14277180406213,1.47437030490499,2.25434243176179,1.72530761556368,1.91280740977324,1.93955442727710,1.63255624830577,2.31192396313364,2.45161290322581,1.98120213506614,1.75615536537196,3.32279569892473,2.00341807306131,1.71973434535104,5.62186379928315,1.98714589814966,1.76255614536546,2.60128230815468,4.8673835125448,1.66650355704445,2.22781119008566,1.69735775652456,2.83722084367246,1.79569892473118,2.42675347736017,2.83870967741935,2.99568378009995,2.06847230675593,2.0568356374808,2.26935483870968,3.65337243401760,1.58612294583080,1.54407087687415,1.73886328725038,1.73118279569892,2.19794721407625,2.87096774193548,1.87510339123242,3.24383603862749,1.79560622914349,1.84401796651695,2.06374807987711,2.33534946236559,2.37672811059908,2.39549270879364,1.58064516129032,2.38209121245829,4.08130245727576,2.28903225806452,2.92265395894428,1.7851091560769,2.70904490828589,2.23950508174989,1.76881720430108,3.62007168458781,2.36566659147304,2.29790128254955,2.42290322580645,2.84401237295625,2.48595825426945,1.59506641366224,3.23225806451613,1.47699240986717,1.56451612903226,2.57359849671156
