"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",12,3.6176,4.54915395395395,0.624049145816795,79,-1.49275735765118,0.079,999
"fr2_00",15,5.47105372761349,6.28519064670668,0.587453642589901,87,-1.38587432278726,0.087,999
"fr3_00",19,5.64930555555556,6.5254025727116,0.564444554475344,65,-1.55214008215631,0.065,999
"fr4_00",19,5.97148788927336,6.220249315059,0.556885180761194,309,-0.446701464466376,0.309,999
"fr5_00",11,5.88875,6.30014764764765,0.652755983960442,252,-0.630247225236589,0.252,999
"fr6_00",17,4.92686390532544,5.9206690714383,0.716737527114914,87.5,-1.38656778599723,0.0875,999
"fr7_00",8,3.064453125,3.74756690284034,0.630141930856821,142.5,-1.08406335841116,0.1425,999
"fr8_00",15,3.86160646242951,5.6714760790359,0.796590426467283,18,-2.27202029609218,0.018,999
"fr9_00",23,6.28522202208474,6.6607771527499,0.516385072604336,220,-0.727277279281309,0.22,999
"fr10_00",16,5.73179252889008,6.15735542045674,0.604759231025489,239.5,-0.703689782204776,0.2395,999
"fo1_00",18,6.29065743944637,6.79264212309195,0.46604128931057,140.5,-1.07712491394954,0.1405,999
"fo2_00",17,6.27744904667982,6.94297716519939,0.450609715077855,67,-1.47695022155610,0.067,999
"fo3_00",14,6.28466483011938,6.70642727208384,0.537681541137234,196,-0.784409375617407,0.196,999
"fo4_00",9,5.64583333333333,6.34937715493271,0.664371159747554,127,-1.05896201434558,0.127,999
"fo5_00",25,6.00485605272286,6.98946003466757,0.424887384720258,18,-2.31732929089662,0.018,999
"fo6_00",18,6.23933402705515,6.55799660222137,0.494504725889096,241,-0.644407542502809,0.241,999
"fo7_00",18,6.26285010772545,6.67860103871184,0.509815354966578,189,-0.81549315244466,0.189,999
"fo8_00",21,5.50638617580766,5.5165074917141,0.569151403622625,464,-0.0177831695433197,0.464,999
"fo9_00",18,6.43351403061224,6.57127822976037,0.567096365901643,370.5,-0.242929081248991,0.3705,999
