"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",12,6.6112,7.26636556556557,1.09577477350227,263,-0.597901668671888,0.263,999
"fr2_00",15,9.97417742607247,10.2520262870117,1.19020539431177,395.5,-0.233446144898298,0.3955,999
"fr3_00",19,9.91710069444444,10.4767410639806,1.12205623255836,276,-0.498763211055997,0.276,999
"fr4_00",19,10.1159861591695,10.0508198163561,1.07613110260010,548,0.0605561373107332,0.548,999
"fr5_00",11,10.2525,10.2093768768769,1.28359240992048,492.5,0.0335956513842221,0.4925,999
"fr6_00",17,8.41562130177515,9.62188602803987,1.31162229109727,170,-0.919673853099577,0.17,999
"fr7_00",8,5.4296875,6.02097800925926,1.12959790958637,293,-0.523452198557782,0.293,999
"fr8_00",15,6.90138698369151,9.22428967605008,1.43805012457116,58,-1.61531413451341,0.058,999
"fr9_00",23,10.8174485081056,10.8178147604884,1.11542263843928,520,-0.000328353011882817,0.52,999
"fr10_00",16,9.99301263101317,9.88856956930056,1.19698216073732,511.5,0.0872553202031672,0.5115,999
"fo1_00",18,11.0034602076125,11.0456962152464,0.984447540876112,508,-0.0429032588129009,0.508,999
"fo2_00",17,10.8218277449047,11.2465496397120,0.917000457476993,262,-0.463164321614332,0.262,999
"fo3_00",14,10.2112029384757,10.9101314353840,1.14695260455064,222.5,-0.609378708531839,0.2225,999
"fo4_00",9,10.2638888888889,10.3500305861417,1.28299378026847,441.5,-0.0671411651230163,0.4415,999
"fo5_00",25,10.4141519250780,11.3477102955655,0.871725050786747,104,-1.07093213582074,0.104,999
"fo6_00",18,10.9510926118626,10.6388938366046,1.07095159917586,704.5,0.291515298635662,0.7045,999
"fo7_00",18,10.7048322560788,10.8746000540399,1.05600847623724,424,-0.160763669782275,0.424,999
"fo8_00",21,8.62434259954921,8.9006068427556,1.18595183675234,396,-0.232947270407648,0.396,999
"fo9_00",18,10.4394132653061,10.6735827026006,1.13681668504131,377,-0.205986981345131,0.377,999
"fo10_00",20,10.9511111111111,11.4977555333111,0.784853635699544,186,-0.696492183173429,0.186,999
"bc1_00",17,9.26038781163435,10.4228799436556,1.04846976189251,108,-1.10875122418685,0.108,999
"bc2_00",14,3.89114853446769,4.66510167296835,0.798506695643807,145,-0.969250655909215,0.145,999
"bc3_00",17,9.91145833333333,10.8718423284396,1.08704445647542,153,-0.883481801857596,0.153,999
"bc4_00",5,7.2396694214876,7.005915005915,1.26055443853489,571,0.185437779144457,0.571,999
"bc5_00",14,7.599375,7.43464276776777,1.10201799593068,568,0.149482343156394,0.568,999
"bc6_00",17,10.4321329639889,10.6409040619567,1.06949999318359,433,-0.195204393920866,0.433,999
"bc7_00",19,10.901775147929,10.6777764746996,1.11098797668639,656.5,0.201621149760356,0.6565,999
"bc8_00",14,11.4444444444444,11.1364350461573,0.969947812657508,730.5,0.317552546918249,0.7305,999
"bc9_00",20,6.46076087698928,6.18561817059187,0.97393936681823,679,0.282504964653259,0.679,999
"bc10_00",11,4.10150891632373,6.36145027057236,1.17976885112040,12,-1.91557977827810,0.012,999
"na1_00",17,8.37618699780862,9.7608411918127,1.29658085190680,139.5,-1.06792738144155,0.1395,999
"na2_00",14,7.485,9.06126626626627,1.10677612571743,38,-1.42419612208793,0.038,999
"na3_00",10,10.6303854875283,10.3981895727927,1.23025379930725,592,0.188738222037068,0.592,999
"na4_00",10,7.35493827160494,7.88575612649687,1.10150723141314,303,-0.481901379994512,0.303,999
"na5_00",15,7.16250100673844,6.83769532909107,1.51106331785597,535,0.214951732206846,0.535,999
"na6_00",14,8.208,9.3743023023023,1.20556540107006,143.5,-0.967431796953604,0.1435,999
"na7_00",14,10.7245687091017,10.7614217429803,1.13295401451577,499.5,-0.0325282698207001,0.4995,999
"na8_00",13,10.4774305555556,10.7551805277500,1.05744800363324,358.5,-0.262660642641631,0.3585,999
"na9_00",24,5.53665263463493,6.15871816075039,0.826001041477725,169,-0.753105014253467,0.169,999
"na10_00",18,9.72153635116598,10.4390563402909,1.13721687340048,231,-0.630943847130419,0.231,999
"fr1_01",19,11.0511111111111,10.7984131353576,1.06651159797647,663,0.236938797696138,0.663,999
"fr2_01",20,8.19859467455621,8.37959594209594,1.12709546934361,425,-0.160590892664256,0.425,999
"fr3_01",17,7.68959435626102,7.07788665460623,0.937298350544218,845.5,0.652628590778613,0.8455,999
"fr4_01",9,9.09825528007346,9.24319360682997,1.25941127983668,422.5,-0.115084189793270,0.4225,999
"fr5_01",25,8.21865455399796,9.03993522851695,1.16013988077676,211,-0.707915216197126,0.211,999
"fr6_01",10,9.58243871174491,9.22119876646395,1.51725047047877,587.5,0.238088537330937,0.5875,999
"fr7_01",14,7.20426666666667,6.79189625180736,0.92162396728697,736,0.447438900784252,0.736,999
"fr8_01",12,6.01658163265306,6.01687401687402,0.904042847508365,521,-0.000323418543447687,0.521,999
"fr9_01",16,7.26627218934911,7.03978432373494,1.07608595054155,597,0.210473768847358,0.597,999
"fr10_01",6,4.16317150244183,3.41363138490401,0.725035817519427,894.5,1.03379736480086,0.8945,999
"fo1_01",20,10.6059926293863,10.2144413280449,1.04703077756915,721.5,0.373963506832579,0.7215,999
"fo2_01",10,8.58536585365854,7.94821234083578,1.37208273165706,669.5,0.46436960259187,0.6695,999
"fo3_01",15,10.0076177285319,9.39559781388036,1.45900452368865,726,0.41947773616506,0.726,999
"fo4_01",18,9.10367346938776,9.47038548752835,1.13232111766057,375,-0.323858676148542,0.375,999
"fo5_01",24,8.16685956790123,9.09461853829138,1.04317529417423,135,-0.889360566312632,0.135,999
"fo6_01",15,9.8801384083045,9.62416645018721,1.39041698353399,550.5,0.184097260856732,0.5505,999
"fo7_01",16,8.99445983379501,9.25948039452195,1.43626015734638,398,-0.184521278663457,0.398,999
"fo8_01",15,10.7543252595156,10.1419527947786,1.24112276013901,777.5,0.493402010183387,0.7775,999
"fo9_01",20,9.99481786313062,9.84686073056748,1.18470539019426,576,0.124889389199856,0.576,999
"fo10_01",17,8.57562130177515,8.58963673732904,1.19740868399182,499.5,-0.0117048053361132,0.4995,999
"bc1_01",21,9.91510636212136,9.76816243750858,1.13425037885665,564,0.129551576399650,0.564,999
"bc2_01",9,10.0261593341260,10.2495027726895,1.27499037501000,388,-0.175172646743834,0.388,999
"bc3_01",9,10.4091796875,10.2911954923674,1.35961826831562,543,0.0867774417879806,0.543,999
"bc4_01",11,10.3856,9.9267091091091,1.41309258275670,684,0.32474226847591,0.684,999
"bc5_01",17,11.1350308641975,10.4246684956561,1.26152754250657,851,0.56309699519516,0.851,999
"bc6_01",18,9.56635802469136,9.60361673401797,1.34291179957953,477,-0.0277447181105096,0.477,999
"bc7_01",17,11.0027305187986,11.0057875560921,1.03895069261804,533.5,-0.00294242769677467,0.5335,999
"bc8_01",12,10.3223062381853,9.67924540797887,1.40402207554040,719,0.458013332845127,0.719,999
"bc9_01",17,7.09745939192003,10.2657288692274,1.14435401410964,2,-2.76860957207585,0.002,999
"bc10_01",8,9.5,10.5306417528640,1.34439254337886,165,-0.766622634095893,0.165,999
"na1_01",8,9.99692212988612,9.08483614423904,1.59328113456958,777,0.572457657256751,0.777,999
"na2_01",12,10.2901465096237,9.64844764327671,1.38403643280365,736.5,0.463643045181305,0.7365,999
"na3_01",13,10.1936567947910,9.78138062448081,1.30008912944266,652,0.317113773950973,0.652,999
"na4_01",12,10.6644897959184,10.7876594962309,1.13817321660303,439.5,-0.108217008198600,0.4395,999
"na5_01",19,11.1558641975309,10.9075008650626,1.00444596992847,697.5,0.247264004141465,0.6975,999
"na6_01",8,10.5697808535179,10.0845374401699,1.32165656218392,706,0.367147886396574,0.706,999
"na7_01",12,8.6612426035503,7.66138623830932,1.21121923488251,870,0.825495778506164,0.87,999
