"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,3.93540945790081,5.48581953733818,0.845024570149649,35,-1.83475147848400,0.035,999
"fr2_00",16,5.7576,7.60815695695696,0.843467273123748,16,-2.1939878593078,0.016,999
"fr3_00",19,5.64930555555556,7.71768339520076,0.85455546091158,9,-2.42041381075349,0.009,999
"fr4_00",20,6.12655489453759,7.44678967772532,0.797877921983108,45,-1.65468268617625,0.045,999
"fr5_00",12,6.21296847114813,7.56555722885289,0.896595748369053,69,-1.50858261392069,0.069,999
"fr6_00",17,4.92686390532544,6.98774608928455,1.01568944274839,18,-2.02904755845694,0.018,999
"fr7_00",9,3.36189349112426,4.56470292777985,0.829494374552273,72,-1.45005134881694,0.072,999
"fr8_00",16,4.08417608566330,6.8441802897484,1.07522402898283,5,-2.56691082945393,0.005,999
"fr9_00",26,6.72627657243042,8.07289135874131,0.767210858491126,44,-1.75520819525323,0.044,999
"fr10_00",17,5.92299687825182,7.3573479827382,0.882060934236772,55,-1.62613607383881,0.055,999
"fo1_00",21,7.16435354273192,8.25037162801955,0.625719319643867,39,-1.73563137846813,0.039,999
"fo2_00",20,7.06235827664399,8.38838498362308,0.638302830151609,23,-2.07742570507502,0.023,999
"fo3_00",15,2.230546875,1.77824201154279,0.298609304241395,919,1.51470452203849,0.919,999
"fo4_00",9,5.64583333333333,7.5385489656323,0.976198272960307,31,-1.93886394262851,0.031,999
"fo5_00",25,6.00485605272286,8.3948547923574,0.663415162688007,2,-3.60256875943384,0.002,999
"fo6_00",21,8.0994823885873,7.83076675968988,0.848409363543521,583.5,0.316728740209902,0.5835,999
"fo7_00",20,7.09989594172737,8.20625464173851,0.689986740280656,63,-1.60344921927214,0.063,999
"fo8_00",24,5.934432,6.74148266666667,0.850894733623958,176,-0.948472983525753,0.176,999
"fo9_00",19,6.77413988657845,7.90517458857723,0.798274707202244,94,-1.41684897666717,0.094,999
"fo10_00",23,8.4245867768595,8.18451819588183,0.671856228176842,609.5,0.357321359703884,0.6095,999
"bc1_00",18,6.96125,7.87028528528529,0.738719699739529,118.5,-1.23055508822333,0.1185,999
"bc2_00",17,3.04912007128536,3.68972960485547,0.589155548877803,128,-1.08733514398754,0.128,999
"bc3_00",17,6.32725694444444,8.0930009870982,0.789098769438484,22,-2.23767177321827,0.022,999
"bc4_00",5,4,5.17211426302335,0.966191316600612,121,-1.21312854181639,0.121,999
"bc5_00",14,4.85625,5.51784096596597,0.856999420322929,230,-0.771985313265055,0.23,999
"bc6_00",17,6.79224376731302,7.88959874001425,0.747697523263706,91.5,-1.46764559003923,0.0915,999
"bc7_00",22,7.47069943289225,8.03209847108188,0.734113998467018,236,-0.764730054680808,0.236,999
"bc8_00",16,7.28402366863905,8.3486622717392,0.665085374530253,72.5,-1.60075479610733,0.0725,999
"bc9_00",22,4.54121224139071,4.73128188006898,0.711945063381156,444,-0.266972338814453,0.444,999
"bc10_00",12,2.86878208904974,4.842237406163,0.809283207938104,5,-2.43852250702352,0.005,999
"na1_00",17,5.77209642074507,7.24353498860438,1.03489771847763,82,-1.42182028386713,0.082,999
"na2_00",14,5.05,6.678003003003,0.792725492148951,17,-2.05367812581597,0.017,999
"na3_00",11,6.30165289256198,7.70476261385352,0.883302182954011,68,-1.58848211673059,0.068,999
"na4_00",11,5.3791088385683,6.04749965451207,0.817855349567755,226.5,-0.81724820446186,0.2265,999
"na5_00",18,4.98636914117859,5.2222866789591,1.09556444566069,428.5,-0.215338804316742,0.4285,999
"na6_00",14,5.568,6.89441281281281,0.89519212209834,69,-1.48170742354578,0.069,999
"na7_00",14,6.61986912552052,7.95187334866097,0.835927877172922,71,-1.59344395553028,0.071,999
"na8_00",16,6.38985005767013,8.00791256462152,0.74559865729068,21,-2.17015212021845,0.021,999
"na9_00",28,4.31079648438836,4.81247075877902,0.606510397164425,207.5,-0.827148679950267,0.2075,999
"na10_00",18,6.079561042524,7.6980396033894,0.846013498602899,30,-1.91306470114027,0.03,999
"fr1_01",20,6.08182501195274,7.97682895654346,0.814260630454688,15,-2.32726951754077,0.015,999
"fr2_01",22,4.8063367746529,6.25151014310858,0.812009706549954,32,-1.77974888329339,0.032,999
