"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,14.6113033448674,23.6004062501563,6.48634157041652,96,-1.3858509928443,0.096,999
"fr2_00",16,22.1096,32.6975695695696,6.4614360890983,58,-1.63864029970575,0.058,999
"fr3_00",19,22.0323350694444,33.0711368921004,6.70944281261882,69,-1.64526356821981,0.069,999
"fr4_00",20,25.7220118983234,31.6994030266069,6.53827443366674,197,-0.914215392597296,0.197,999
"fr5_00",12,24.4164187983343,32.2624682981613,6.98570230143526,137,-1.12315829694246,0.137,999
"fr6_00",17,17.9938461538462,30.5331414254491,7.56612360480212,59,-1.65729453106535,0.059,999
"fr7_00",9,13.7581065088757,19.6398689814074,6.32761328843519,173,-0.929538864721971,0.173,999
"fr8_00",16,11.6317668054729,29.0357323415027,8.43128312463874,5,-2.06421315459923,0.005,999
"fr9_00",26,26.2429688070714,34.3397668981715,6.33088378271098,121,-1.27893645958431,0.121,999
"fr10_00",17,24.8371488033299,31.334354125197,7.2810267891234,204,-0.892347399624025,0.204,999
"fo1_00",21,30.4426588750913,34.9242215188161,5.31709343306259,221,-0.842859487075718,0.221,999
"fo2_00",20,31.6122448979592,35.6574601812697,5.27811594712027,217,-0.76641273587739,0.217,999
"fo3_00",15,12.96947265625,7.70212292370496,2.40239456112984,993,2.19254148247315,0.993,999
"fo4_00",9,25,32.1731418918919,7.56033748451584,181,-0.948785938006478,0.181,999
"fo5_00",25,25.6912937911897,35.4705025293533,5.42467778744701,49,-1.80272619339588,0.049,999
"fo6_00",21,38.8471152632243,33.4554491368025,6.73676197970068,777,0.800334959535174,0.777,999
"fo7_00",20,30.1264308012487,34.9953553970203,5.68659880953047,199,-0.856210321644555,0.199,999
"fo8_00",24,25.705216,29.0196795835836,6.75491578830123,318,-0.490674301125097,0.318,999
"fo9_00",19,27.3110018903592,33.9635998947908,6.62823762197264,169,-1.00367524277921,0.169,999
"fo10_00",23,37.1342975206612,35.0099200440110,5.6320760532156,618,0.377192611849995,0.618,999
"bc1_00",18,32.33125,33.6491453953954,6.08381827079614,394,-0.216623070699141,0.394,999
"bc2_00",17,12.7750055691691,16.0583566413373,4.59630999702294,276,-0.714345001597985,0.276,999
"bc3_00",17,27.5208333333333,34.4698969803136,6.22013353512217,146,-1.11718882042358,0.146,999
"bc4_00",5,18.8760330578512,21.8820142456506,7.39179169345317,322,-0.406664759027468,0.322,999
"bc5_00",14,21.0559375,23.4433042417417,6.9457842508273,367,-0.343714497244481,0.367,999
"bc6_00",17,28.4349030470914,33.3759022180075,6.28145381739027,228,-0.786601209617566,0.228,999
"bc7_00",22,32.3251417769376,33.9168506881172,5.94141920941152,385,-0.26790045527477,0.385,999
"bc8_00",16,29.6686390532544,35.7725921187460,5.40303632046405,139,-1.12972645443318,0.139,999
"bc9_00",22,19.9743538898804,19.7569956763558,5.49558448603920,538,0.0395514278920988,0.538,999
"bc10_00",12,17.8173554414612,20.1674772997052,6.05978082531949,351,-0.387822914060619,0.351,999
"na1_00",17,22.0142439737034,31.1177112101144,7.76523846945237,152,-1.17233582358392,0.152,999
"na2_00",14,23.64125,28.1251764264264,6.27758860538737,254,-0.714275290766643,0.254,999
"na3_00",11,23.400826446281,32.6723293541475,7.23202948932075,112,-1.28200568340566,0.112,999
"na4_00",11,25.6566837107378,26.0767180621089,6.7760400280752,494,-0.0619881744545136,0.494,999
"na5_00",18,18.8456285913061,22.3486253137107,8.03244593996765,348,-0.436105857242619,0.348,999
"na6_00",14,22.5672,29.3150702702703,6.75781453509406,169,-0.998528479174422,0.169,999
"na7_00",14,27.0862581796550,33.7524532265758,6.67280884368008,162,-0.999008843664758,0.162,999
"na8_00",16,28.9765474817378,34.3170667784278,5.94651037711279,185,-0.898092992025179,0.185,999
"na9_00",28,20.9511302623029,20.5865106582592,4.82852296330297,565,0.0755136936936681,0.565,999
"na10_00",18,27.7908093278464,32.3720634214461,6.69514388471453,266,-0.684265218565218,0.266,999
"fr1_01",20,26.361040912506,33.9605100626889,6.39643498882782,129,-1.18807885383910,0.129,999
"fr2_01",22,16.8796724813101,26.6097313048185,6.38835901405062,77,-1.52309204947750,0.077,999
"fr3_01",19,18.7805325987144,23.5135576347698,5.25049358209124,199,-0.901443828481019,0.199,999
"fr4_01",10,18.1903114186851,29.5129610579438,7.1402949907802,67,-1.58573975639366,0.067,999
"fr5_01",29,16.4805293005671,28.4051837849191,6.61040510427474,32,-1.80392189226659,0.032,999
"fr6_01",10,17.8779041820221,28.6862622917742,8.6366768174727,123,-1.25144871553905,0.123,999
"fr7_01",14,17.0453333333333,21.0489821376932,5.37017056603026,248,-0.745534756323298,0.248,999
"fr8_01",12,13.0274234693878,18.4949681824682,5.08749805144865,150,-1.07470207512385,0.15,999
"fr9_01",17,14.6067222062626,22.2795193929925,6.2045146943752,128,-1.23664743572706,0.128,999
"fr10_01",6,10.7233553576558,10.7290168651846,3.97193247650571,508,-0.00142537859399050,0.508,999
"fo1_01",22,26.6227709190672,32.6523395823807,5.95454151011248,166,-1.01259998827343,0.166,999
"fo2_01",12,35.95068359375,29.0509078414352,8.51589551811622,784,0.810223157110915,0.784,999
"fo3_01",18,22.1586284249319,28.9129308767187,7.82886884180546,207,-0.862743084380142,0.207,999
"fo4_01",22,30.3355170138562,21.5396028038596,7.25430040305285,862,1.21251033473813,0.862,999
"fo5_01",27,16.8217777777778,29.1856665554443,5.91783966533286,12,-2.08925714059053,0.012,999
"fo6_01",16,20.4442942130882,29.7678698168152,7.70430265247057,125,-1.21017774408657,0.125,999
"fo7_01",18,18.7258382642998,30.0341024785469,8.19030726414468,111,-1.38068864201862,0.111,999
"fo8_01",17,29.0425240054870,32.1963747011758,7.04383463913678,318,-0.44774627135133,0.318,999
"fo9_01",23,28.7889273356401,31.609207546647,6.30498326273394,322,-0.447309706224967,0.322,999
"fo10_01",17,16.1022485207101,27.0868150991228,6.78894875275119,44,-1.61800699614374,0.044,999
"bc1_01",23,22.7982618343195,31.2454532935302,6.61626965065935,111,-1.27673022794180,0.111,999
"bc2_01",9,25.7978596908442,32.2534139371238,7.33178463548703,212,-0.880488798734437,0.212,999
"bc3_01",9,22.78466796875,31.8842489950888,7.73778371832684,135,-1.17599319877429,0.135,999
"bc4_01",11,25.7136,30.5542126126126,7.67466831776439,262,-0.630725969148159,0.262,999
"bc5_01",20,27.3827555555556,33.0256663774886,7.14025120257929,210,-0.790295839997147,0.21,999
"bc6_01",18,25.8591820987654,29.7533432352105,7.51658373482194,303,-0.518075933672458,0.303,999
"bc7_01",17,27.8655744591472,34.2822377092488,6.20045571310358,163,-1.03486962039598,0.163,999
"bc8_01",13,28.3536842105263,31.4353959499666,7.82852091394268,328,-0.393651849859877,0.328,999
"bc9_01",19,24.5918,32.6454114114114,6.42687921976139,122,-1.25311385760108,0.122,999
"bc10_01",9,31.8816568047337,33.5389353850892,6.94163677306276,355,-0.238744641146686,0.355,999
"na1_01",8,23.7993228685749,28.6712418789981,8.80405170545753,266,-0.553372375971295,0.266,999
"na2_01",12,26.7716173513358,30.1415589677583,7.93530738312751,333,-0.424676884425154,0.333,999
"na3_01",13,23.5555555555556,30.6416956759322,7.70155926650041,193,-0.920091617187095,0.193,999
"na4_01",13,30.6496913580247,34.218968968969,6.4078447388006,275,-0.557016868609767,0.275,999
"na5_01",20,29.3038093450929,34.115961711383,6.01909715326867,211,-0.799480759947008,0.211,999
"na6_01",8,25.8454440599769,31.6088314381279,7.85834918635714,238,-0.733409427536858,0.238,999
