"","PD","SR"
"fr1_00",40,13
"fr2_00",45,16
"fr3_00",43,19
"fr4_00",54,20
"fr5_00",42,12
"fr6_00",51,17
"fr7_00",36,9
"fr8_00",49,16
"fr9_00",68,26
"fr10_00",47,17
"fo1_00",56,21
"fo2_00",57,20
"fo3_00",46,15
"fo4_00",32,9
"fo5_00",62,25
"fo6_00",55,21
"fo7_00",55,20
"fo8_00",64,24
"fo9_00",57,19
"fo10_00",59,23
"bc1_00",55,18
"bc2_00",52,17
"bc3_00",47,17
"bc4_00",24,5
"bc5_00",44,14
"bc6_00",49,17
"bc7_00",60,22
"bc8_00",54,16
"bc9_00",66,22
"bc10_00",43,12
"na1_00",51,17
"na2_00",45,14
"na3_00",34,11
"na4_00",43,11
"na5_00",55,18
"na6_00",42,14
"na7_00",41,14
"na8_00",43,16
"na9_00",75,28
"na10_00",57,18
"fr1_01",53,20
"fr2_01",63,22
"fr3_01",53,19
"fr4_01",36,10
"fr5_01",72,29
"fr6_01",33,10
"fr7_01",47,14
"fr8_01",38,12
"fr9_01",53,17
"fr10_01",30,6
"fo1_01",61,22
"fo2_01",46,12
"fo3_01",53,18
"fo4_01",58,22
"fo5_01",76,27
"fo6_01",46,16
"fo7_01",58,18
"fo8_01",50,17
"fo9_01",60,23
"fo10_01",47,17
"bc1_01",67,23
"bc2_01",43,9
"bc3_01",35,9
"bc4_01",39,11
"bc5_01",61,20
"bc6_01",56,18
"bc7_01",54,17
"bc8_01",48,13
"bc9_01",55,19
"bc10_01",36,9
"na1_01",36,8
"na2_01",41,12
"na3_01",45,13
"na4_01",48,13
"na5_01",62,20
"na6_01",37,8
"na7_01",45,12
"na8_01",39,9
"na9_01",42,13
"na10_01",48,16
"fr1_02",53,18
"fr2_02",58,18
"fr3_02",37,9
"fr4_02",30,6
"fr5_02",47,14
"fr6_02",46,14
"fr7_02",43,11
"fr8_02",32,7
"fr9_02",48,17
"fr10_02",31,6
"fo1_02",51,16
"fo2_02",49,16
"fo3_02",54,16
"fo4_02",53,15
"fo5_02",61,22
"fo6_02",55,19
"fo7_02",57,18
"fo8_02",50,16
"fo9_02",49,16
"fo10_02",58,20
"bc1_02",51,14
"bc2_02",57,19
"bc3_02",45,11
"bc4_02",34,7
"bc5_02",62,21
"bc6_02",53,17
"bc7_02",55,15
"bc8_02",49,14
"bc9_02",50,15
"bc10_02",42,12
"na1_02",47,15
"na2_02",51,14
"na3_02",43,11
"na4_02",38,11
"na5_02",50,15
"na6_02",58,19
"na7_02",57,15
"na8_02",52,15
"na9_02",42,12
"na10_02",49,12
"fr1_03",60,21
"fr2_03",70,27
"fr3_03",52,20
"fr4_03",66,26
"fr5_03",57,22
"fr6_03",63,25
"fr7_03",70,29
"fr8_03",70,27
"fr9_03",56,23
"fr10_03",41,13
"fo1_03",74,32
"fo2_03",69,27
"fo3_03",78,33
"fo4_03",63,24
"fo5_03",84,36
"fo6_03",71,29
"fo7_03",79,34
"fo8_03",62,23
"fo9_03",75,34
"fo10_03",61,23
"bc1_03",75,29
"bc2_03",73,30
"bc3_03",59,21
"bc4_03",53,18
"bc5_03",84,34
"bc6_03",86,36
"bc7_03",66,25
"bc8_03",64,23
"bc9_03",70,27
"bc10_03",47,15
"na1_03",80,33
"na2_03",75,32
"na3_03",71,26
"na4_03",64,26
"na5_03",71,27
"na6_03",60,21
"na7_03",74,31
"na8_03",79,32
"na9_03",68,26
"na10_03",72,28
