host,sample,year,PD,SR,,mean,stdev,sterr
fr,1,2000,67,13,,78.7,14.2442971,4.504442252
fr,2,2000,79,16,,87.5,15.61516357,4.937948292
fr,3,2000,60,19,,75.9,18.2119105,5.759111774
fr,4,2000,89,20,,,,
fr,5,2000,84,12,,76.7,23.43335704,7.410278147
fr,6,2000,75,17,,88.4,14.09649287,4.457702448
fr,7,2000,59,9,,70.5,16.54499447,5.231986641
fr,8,2000,83,16,,,,
fr,9,2000,106,26,,68,17.9691093,5.68233129
fr,10,2000,85,17,,85.1,7.140650453,2.258071941
fo,1,2000,97,21,,76.9,11.53895006,3.648936399
fo,2,2000,91,20,,,,
fo,3,2000,69,15,,96.7,12.43695211,3.932909582
fo,4,2000,51,9,,116.5,12.27689791,3.882295999
fo,5,2000,97,25,,107.9,15.4847973,4.896722857
fo,6,2000,94,21,,,,
fo,7,2000,91,20,,,,
fo,8,2000,101,24,,,,
fo,9,2000,87,19,,,,
fo,10,2000,97,23,,,,
bc,1,2000,82,18,,,,
bc,2,2000,84,17,,,,
bc,3,2000,70,17,,,,
bc,4,2000,39,5,,,,
bc,5,2000,72,14,,,,
bc,6,2000,65,17,,,,
bc,7,2000,97,22,,,,
bc,8,2000,90,16,,,,
bc,9,2000,100,22,,,,
bc,10,2000,67,12,,,,
na,1,2000,74,17,,,,
na,2,2000,61,14,,,,
na,3,2000,58,11,,,,
na,4,2000,65,11,,,,
na,5,2000,99,18,,,,
na,6,2000,64,14,,,,
na,7,2000,57,14,,,,
na,8,2000,72,16,,,,
na,9,2000,115,28,,,,
na,10,2000,87,18,,,,
fr,1,2001,86,20,,,,
fr,2,2001,102,22,,,,
fr,3,2001,99,19,,,,
fr,4,2001,62,10,,,,
fr,5,2001,110,29,,,,
fr,6,2001,56,10,,,,
fr,7,2001,67,14,,,,
fr,8,2001,54,12,,,,
fr,9,2001,89,17,,,,
fr,10,2001,42,6,,,,
fo,1,2001,92,22,,,,
fo,2,2001,73,12,,,,
fo,3,2001,88,18,,,,
fo,4,2001,88,22,,,,
fo,5,2001,121,27,,,,
fo,6,2001,76,16,,,,
fo,7,2001,95,18,,,,
fo,8,2001,81,17,,,,
fo,9,2001,95,23,,,,
fo,10,2001,75,17,,,,
bc,1,2001,111,23,,,,
bc,2,2001,63,9,,,,
bc,3,2001,54,9,,,,
bc,4,2001,55,11,,,,
bc,5,2001,96,20,,,,
bc,6,2001,85,18,,,,
bc,7,2001,81,17,,,,
bc,8,2001,76,13,,,,
bc,9,2001,81,19,,,,
bc,10,2001,60,9,,,,
na,1,2001,52,8,,,,
na,2,2001,57,12,,,,
na,3,2001,71,13,,,,
na,4,2001,76,13,,,,
na,5,2001,94,20,,,,
na,6,2001,54,8,,,,
na,7,2001,63,12,,,,
na,8,2001,57,9,,,,
na,9,2001,60,13,,,,
na,10,2001,64,16,,,,
fr,1,2002,87,18,,,,
fr,2,2002,99,18,,,,
fr,3,2002,52,9,,,,
fr,4,2002,41,6,,,,
fr,5,2002,75,14,,,,
fr,6,2002,74,14,,,,
fr,7,2002,66,11,,,,
fr,8,2002,57,7,,,,
fr,9,2002,78,17,,,,
fr,10,2002,51,6,,,,
fo,1,2002,80,16,,,,
fo,2,2002,81,16,,,,
fo,3,2002,88,16,,,,
fo,4,2002,87,15,,,,
fo,5,2002,92,22,,,,
fo,6,2002,84,19,,,,
fo,7,2002,92,18,,,,
fo,8,2002,74,16,,,,
fo,9,2002,77,16,,,,
fo,10,2002,96,20,,,,
bc,1,2002,70,14,,,,
bc,2,2002,85,19,,,,
bc,3,2002,72,11,,,,
bc,4,2002,44,7,,,,
bc,5,2002,91,21,,,,
bc,6,2002,84,17,,,,
bc,7,2002,81,15,,,,
bc,8,2002,81,14,,,,
bc,9,2002,77,15,,,,
bc,10,2002,78,12,,,,
na,1,2002,67,15,,,,
na,2,2002,78,14,,,,
na,3,2002,71,11,,,,
na,4,2002,59,11,,,,
na,5,2002,85,15,,,,
na,6,2002,92,19,,,,
na,7,2002,90,15,,,,
na,8,2002,86,15,,,,
na,9,2002,73,12,,,,
na,10,2002,74,12,,,,
fr,1,2003,95,21,,,,
fr,2,2003,106,27,,,,
fr,3,2003,96,20,,,,
fr,4,2003,109,26,,,,
fr,5,2003,86,22,,,,
fr,6,2003,97,25,,,,
fr,7,2003,111,29,,,,
fr,8,2003,106,27,,,,
fr,9,2003,91,23,,,,
fr,10,2003,70,13,,,,
fo,1,2003,118,32,,,,
fo,2,2003,108,27,,,,
fo,3,2003,123,33,,,,
fo,4,2003,98,24,,,,
fo,5,2003,139,36,,,,
fo,6,2003,115,29,,,,
fo,7,2003,121,34,,,,
fo,8,2003,111,23,,,,
fo,9,2003,129,34,,,,
fo,10,2003,103,23,,,,
bc,1,2003,109,29,,,,
bc,2,2003,109,30,,,,
bc,3,2003,98,21,,,,
bc,4,2003,86,18,,,,
bc,5,2003,131,34,,,,
bc,6,2003,138,36,,,,
bc,7,2003,109,25,,,,
bc,8,2003,94,23,,,,
bc,9,2003,109,27,,,,
bc,10,2003,79,15,,,,
na,1,2003,118,33,,,,
na,2,2003,125,32,,,,
na,3,2003,110,26,,,,
na,4,2003,101,26,,,,
na,5,2003,107,27,,,,
na,6,2003,82,21,,,,
na,7,2003,111,31,,,,
na,8,2003,127,32,,,,
na,9,2003,105,26,,,,
na,10,2003,110,28,,,,
