"","PD","SR"
"fr1_00",67,13
"fr2_00",79,16
"fr3_00",60,19
"fr4_00",89,20
"fr5_00",84,12
"fr6_00",75,17
"fr7_00",59,9
"fr8_00",83,16
"fr9_00",106,26
"fr10_00",85,17
"fo1_00",97,21
"fo2_00",91,20
"fo3_00",69,15
"fo4_00",51,9
"fo5_00",97,25
"fo6_00",94,21
"fo7_00",91,20
"fo8_00",101,24
"fo9_00",87,19
"fo10_00",97,23
"bc1_00",82,18
"bc2_00",84,17
"bc3_00",70,17
"bc4_00",39,5
"bc5_00",72,14
"bc6_00",65,17
"bc7_00",97,22
"bc8_00",90,16
"bc9_00",100,22
"bc10_00",67,12
"na1_00",74,17
"na2_00",61,14
"na3_00",58,11
"na4_00",65,11
"na5_00",99,18
"na6_00",64,14
"na7_00",57,14
"na8_00",72,16
"na9_00",115,28
"na10_00",87,18
"fr1_01",86,20
"fr2_01",102,22
"fr3_01",99,19
"fr4_01",62,10
"fr5_01",110,29
"fr6_01",56,10
"fr7_01",67,14
"fr8_01",54,12
"fr9_01",89,17
"fr10_01",42,6
"fo1_01",92,22
"fo2_01",73,12
"fo3_01",88,18
"fo4_01",88,22
"fo5_01",121,27
"fo6_01",76,16
"fo7_01",95,18
"fo8_01",81,17
"fo9_01",95,23
"fo10_01",75,17
"bc1_01",111,23
"bc2_01",63,9
"bc3_01",54,9
"bc4_01",55,11
"bc5_01",96,20
"bc6_01",85,18
"bc7_01",81,17
"bc8_01",76,13
"bc9_01",81,19
"bc10_01",60,9
"na1_01",52,8
"na2_01",57,12
"na3_01",71,13
"na4_01",76,13
"na5_01",94,20
"na6_01",54,8
"na7_01",63,12
"na8_01",57,9
"na9_01",60,13
"na10_01",64,16
"fr1_02",87,18
"fr2_02",99,18
"fr3_02",52,9
"fr4_02",41,6
"fr5_02",75,14
"fr6_02",74,14
"fr7_02",66,11
"fr8_02",57,7
"fr9_02",78,17
"fr10_02",51,6
"fo1_02",80,16
"fo2_02",81,16
"fo3_02",88,16
"fo4_02",87,15
"fo5_02",92,22
"fo6_02",84,19
"fo7_02",92,18
"fo8_02",74,16
"fo9_02",77,16
"fo10_02",96,20
"bc1_02",70,14
"bc2_02",85,19
"bc3_02",72,11
"bc4_02",44,7
"bc5_02",91,21
"bc6_02",84,17
"bc7_02",81,15
"bc8_02",81,14
"bc9_02",77,15
"bc10_02",78,12
"na1_02",67,15
"na2_02",78,14
"na3_02",71,11
"na4_02",59,11
"na5_02",85,15
"na6_02",92,19
"na7_02",90,15
"na8_02",86,15
"na9_02",73,12
"na10_02",74,12
"fr1_03",95,21
"fr2_03",106,27
"fr3_03",96,20
"fr4_03",109,26
"fr5_03",86,22
"fr6_03",97,25
"fr7_03",111,29
"fr8_03",106,27
"fr9_03",91,23
"fr10_03",70,13
"fo1_03",118,32
"fo2_03",108,27
"fo3_03",123,33
"fo4_03",98,24
"fo5_03",139,36
"fo6_03",115,29
"fo7_03",121,34
"fo8_03",111,23
"fo9_03",129,34
"fo10_03",103,23
"bc1_03",109,29
"bc2_03",109,30
"bc3_03",98,21
"bc4_03",86,18
"bc5_03",131,34
"bc6_03",138,36
"bc7_03",109,25
"bc8_03",94,23
"bc9_03",109,27
"bc10_03",79,15
"na1_03",118,33
"na2_03",125,32
"na3_03",110,26
"na4_03",101,26
"na5_03",107,27
"na6_03",82,21
"na7_03",111,31
"na8_03",127,32
"na9_03",105,26
"na10_03",110,28
