,ntaxa,pd.obs,pd.rand.mean,pd.rand.sd,pd.obs.rank,pd.obs.z,pd.obs.p,runs
fr1_00,13,67,71.00600601,7.10231298,282,-0.564042449,0.282,999
fr2_00,16,79,79.59059059,7.314818158,483,-0.08073893,0.483,999
fr3_00,19,60,88.13613614,7.334785863,1,-3.835986035,0.001,999
fr4_00,20,89,90.7967968,7.781313992,419.5,-0.230911746,0.4195,999
fr5_00,12,84,67.57757758,6.848762577,987.5,2.397867095,0.9875,999
fr6_00,17,75,82.94294294,7.310309775,126,-1.086539858,0.126,999
fr7_00,9,59,57.2042042,6.923598398,597,0.259373189,0.597,999
fr8_00,16,83,80.11911912,7.054385411,666.5,0.408381555,0.6665,999
fr9_00,26,106,106.1061061,7.952813794,512,-0.013341958,0.512,999
fr10_00,17,85,82.9029029,7.341892696,631.5,0.285634398,0.6315,999
fo1_00,21,97,93.23823824,7.302873628,708,0.51510706,0.708,999
fo2_00,20,91,90.98198198,7.794175647,524.5,0.002311729,0.5245,999
fo3_00,15,69,76.99099099,6.914371699,105,-1.155707465,0.105,999
fo4_00,9,51,56.82582583,6.800602185,177,-0.856663229,0.177,999
fo5_00,25,97,103.8128128,8.105516318,201.5,-0.840515588,0.2015,999
fo6_00,21,94,93.49349349,7.75667711,541.5,0.065299419,0.5415,999
fo7_00,20,91,90.8998999,7.32142038,519,0.013672224,0.519,999
fo8_00,24,101,101.3963964,7.837849884,506,-0.050574635,0.506,999
fo9_00,19,87,88.36936937,7.423133336,453,-0.184473228,0.453,999
fo10_00,23,97,98.62662663,7.891024539,429,-0.206136303,0.429,999
bc1_00,18,82,85.44644645,7.129132763,312.5,-0.483431374,0.3125,999
bc2_00,17,84,82.84584585,7.236919667,589.5,0.15948141,0.5895,999
bc3_00,17,70,82.92592593,7.211416475,25,-1.792425381,0.025,999
bc4_00,5,39,38.82482482,7.092457278,453.5,0.024698799,0.4535,999
bc5_00,14,72,73.65365365,6.743523885,418.5,-0.245220997,0.4185,999
bc6_00,17,65,82.57057057,7.260592757,4,-2.419991199,0.004,999
bc7_00,22,97,96.11611612,7.781106719,566,0.113593595,0.566,999
bc8_00,16,90,80.39339339,7.225428016,903,1.329555368,0.903,999
bc9_00,22,100,95.96596597,7.747831996,714,0.520666173,0.714,999
bc10_00,12,67,67.45745746,6.732651717,493.5,-0.067946105,0.4935,999
na1_00,17,74,82.62962963,7.313681894,111,-1.179929583,0.111,999
na2_00,14,61,73.93093093,6.937758949,32.5,-1.863848402,0.0325,999
na3_00,11,58,64.15515516,6.602434038,159.5,-0.932255456,0.1595,999
na4_00,11,65,64.07607608,6.802997852,550.5,0.135811291,0.5505,999
na5_00,18,99,85.33233233,7.273201812,957.5,1.879181689,0.9575,999
na6_00,14,64,73.74074074,6.874617996,63.5,-1.416913746,0.0635,999
na7_00,14,57,74.05505506,7.101043699,9,-2.401767371,0.009,999
na8_00,16,72,80.02602603,7.21688924,114,-1.112117113,0.114,999
na9_00,28,115,111.2072072,8.079645379,688,0.469425651,0.688,999
na10_00,18,87,85.57657658,7.506569727,596,0.189623686,0.596,999
fr1_01,20,86,91.0990991,7.640152685,253.5,-0.66740801,0.2535,999
fr2_01,22,102,96.10510511,7.71368692,787,0.764212361,0.787,999
fr3_01,19,99,88.07107107,7.607081525,910.5,1.436678297,0.9105,999
fr4_01,10,62,60.53653654,6.668985466,577,0.219443193,0.577,999
fr5_01,29,110,113.4974975,8.248018147,349,-0.424040956,0.349,999
fr6_01,10,56,60.55755756,6.946289824,236.5,-0.656113936,0.2365,999
fr7_01,14,67,74.2042042,6.774076954,134.5,-1.063496068,0.1345,999
fr8_01,12,54,67.59259259,6.644507819,23.5,-2.045688404,0.0235,999
fr9_01,17,89,82.71571572,7.167846211,817,0.876732578,0.817,999
fr10_01,6,42,44.03603604,6.889821622,335,-0.295513607,0.335,999
fo1_01,22,92,96.23223223,7.789446262,299.5,-0.543329024,0.2995,999
fo2_01,12,73,67.53253253,6.726602937,799,0.812812577,0.799,999
fo3_01,18,88,85.40740741,7.545664935,660,0.343587028,0.66,999
fo4_01,22,88,96.25925926,7.468829807,139,-1.105830428,0.139,999
fo5_01,27,121,108.6196196,8.030843315,930.5,1.541604025,0.9305,999
fo6_01,16,76,80.23323323,7.24151474,288,-0.584578418,0.288,999
fo7_01,18,95,86.00500501,7.357801946,885,1.22251116,0.885,999
fo8_01,17,81,82.91091091,7.380108609,419.5,-0.258927207,0.4195,999
fo9_01,23,95,98.61761762,7.786989427,336,-0.464572047,0.336,999
fo10_01,17,75,82.61761762,7.154180213,137.5,-1.064778548,0.1375,999
bc1_01,23,111,99.03503504,7.781315539,929,1.537653229,0.929,999
bc2_01,9,63,57.11511512,6.514033084,820.5,0.903416487,0.8205,999
bc3_01,9,54,56.82082082,6.744917698,293,-0.418214268,0.293,999
bc4_01,11,55,64.15315315,6.804864431,83.5,-1.345089714,0.0835,999
bc5_01,20,96,90.99399399,7.714985805,753,0.648867818,0.753,999
bc6_01,18,85,85.67267267,7.265641269,487,-0.092582698,0.487,999
bc7_01,17,81,82.94694695,7.25364867,412,-0.268409326,0.412,999
