"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fre1",18,9.30589849108368,9.71234746406214,0.850887043878605,268,-0.477676767912396,0.268,999
"fre2",25,8.15651363801046,9.5815175457016,0.872868557861264,58,-1.63255268488848,0.058,999
"fre3",17,9.83680555555556,9.94326096930264,0.779411922033173,402,-0.136584276860151,0.402,999
"fre4",22,9.23086734693878,9.77668484811342,0.743788814386513,214,-0.733833973592142,0.214,999
"fre5",21,10.0402183280666,9.6469862565812,0.846708497948554,716,0.464424382698636,0.716,999
"fre6",26,8.47106566025485,9.06215134865407,0.91539484063494,254,-0.645716648336391,0.254,999
"fre7",26,8.70109786834124,9.63840272413898,0.845960454180285,129,-1.10797715326536,0.129,999
"fre8",27,9.60748496324348,10.2413440395174,0.652380166852764,140,-0.971609972957568,0.14,999
"fre9",24,8.48594674556213,9.6523320657936,0.793412877515194,83,-1.47008619759784,0.083,999
"fre10",12,8.59523125538638,8.79051415678822,1.15556455391088,353,-0.168993502561946,0.353,999
"fone1",30,10.4810288022107,10.3507703686256,0.58819653000267,595,0.221453930686134,0.595,999
"fone2",26,7.73394848135333,9.9416948667237,0.76177987706373,5,-2.89814216920524,0.005,999
"fone3",29,8.0855590765052,9.97393228448004,0.723707298576798,12,-2.6093051869014,0.012,999
"fone4",22,9.4851394604481,9.48190379069818,0.919833194917068,449,0.00351767012519387,0.449,999
"fone5",36,9.86984102122327,10.3268095411568,0.569720074554124,169,-0.802093063494642,0.169,999
"fone6",26,10.1617307288385,10.2562121037231,0.6292511667617,426,-0.150148906947410,0.426,999
"fone7",32,9.5930993456276,10.2674542478231,0.616050665295104,125,-1.09464195103570,0.125,999
"fone8",20,10.0421849648459,10.0112031988722,0.71581096747348,503.5,0.043282049844816,0.5035,999
"fone9",31,9.75934496262015,9.67535495623783,0.849201979571968,523,0.0989046285839457,0.523,999
"fone10",22,10.0743801652893,9.88839895910603,0.759904498981157,623,0.244742867600573,0.623,999
"bc1",29,8.41958041958042,8.69468676461683,0.893098249052506,370,-0.308035924746552,0.37,999
"bc2",27,7.59823535446804,9.0788559497564,0.992968982722921,83,-1.49110457733352,0.083,999
"bc3",18,3.48357634994392,4.92124815891039,0.877791046469426,76,-1.63782920177752,0.076,999
"bc4",18,10.1527777777778,9.96323059170281,0.766352479487896,601,0.247336821043010,0.601,999
"bc5",32,10.6256350704021,10.4191327341277,0.530086705158696,660,0.389563319103832,0.66,999
"bc6",34,8.59641815910038,8.76796381971309,0.88607167060861,400,-0.193602466146882,0.4,999
"bc7",24,9.6548,10.0657269269269,0.76087362049054,250,-0.540072511203633,0.25,999
"bc8",19,9.43919344675488,9.81946954305702,0.860865233460886,271,-0.441737082090468,0.271,999
"bc9",25,9.15999471528604,9.86697623769892,0.744513962719051,171,-0.94958799675282,0.171,999
"bc10",14,9.8099173553719,9.94443203534113,0.74934016479383,382,-0.179510836718909,0.382,999
"narr1",26,8.2390185991294,9.79069996561093,0.826438960382609,42,-1.87755108467195,0.042,999
"narr2",28,8.42934884593732,9.61829459408743,0.915752195930427,117,-1.29832694197594,0.117,999
"narr3",24,8.42060941828255,9.3993965156292,0.96464190579102,157,-1.0146636710169,0.157,999
"narr4",23,10.1127199821787,9.69260104390423,0.833032223449009,741,0.504324954603807,0.741,999
"narr5",26,7.72505288823551,8.2752949801607,0.928276705248038,271,-0.592756544265717,0.271,999
"narr6",21,8.41301038062284,8.7429120469951,0.920875342849229,352,-0.358247909376664,0.352,999
"narr7",32,9.34962962962963,9.78372397088446,0.832132768975764,262,-0.521664760046816,0.262,999
"narr8",28,9.66263542454019,9.89179958492128,0.724072152963273,343,-0.316493542036157,0.343,999
"narr9",25,7.64517604023777,9.52200729917541,0.80352585751401,9,-2.33574469494271,0.009,999
"narr10",26,9.62015826738859,9.83348237867188,0.785551321724724,366,-0.271559738216632,0.366,999
