"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fre1",18,9.30589849108368,9.28446225717589,0.287584179996728,507,0.0745389885772829,0.507,999
"fre2",25,8.15651363801046,8.20774507446346,0.204351880834382,430.5,-0.250702054925153,0.4305,999
"fre3",17,9.83680555555556,9.7741121685012,0.373726982803576,565,0.167751834732544,0.565,999
"fre4",22,9.23086734693878,9.19756401703926,0.282311405787525,547.5,0.117966646819031,0.5475,999
"fre5",21,10.0402183280666,10.0111486158295,0.200652851489822,554,0.144875649766958,0.554,999
"fre6",26,8.47106566025485,8.57406952818518,0.509481555260887,445,-0.202173890039228,0.445,999
"fre7",26,8.70109786834124,8.70994906377966,0.263769790149185,414.5,-0.0335565169666327,0.4145,999
"fre8",27,9.60748496324348,9.61112506848434,0.355353146698279,426,-0.0102436274300042,0.426,999
"fre9",24,8.48594674556213,8.50041967793372,0.221060882309629,467.5,-0.065470345636825,0.4675,999
"fre10",12,8.59523125538638,8.53062051585007,0.390902678045615,484.5,0.165285998702667,0.4845,999
"fone1",30,10.4810288022107,10.4457842714616,0.332306035848206,484.5,0.106060459176058,0.4845,999
"fone2",26,7.73394848135333,7.787408353765,0.268716993481268,411.5,-0.198944888892553,0.4115,999
"fone3",29,8.0855590765052,8.13796253344761,0.261497604029684,423,-0.200397464966659,0.423,999
"fone4",22,9.4851394604481,9.50283395194668,0.249927123898624,466.5,-0.0707986040992943,0.4665,999
"fone5",36,9.86984102122327,9.89898971981684,0.305148379638216,371.5,-0.0955230325264162,0.3715,999
"fone6",26,10.1617307288385,10.1436299491062,0.147424278097441,490.5,0.122780182245814,0.4905,999
"fone7",32,9.5930993456276,9.5785668012411,0.329831783114313,454.5,0.0440604730365642,0.4545,999
"fone8",20,10.0421849648459,9.99073299201394,0.439224406756186,512.5,0.117142790884307,0.5125,999
"fone9",31,9.75934496262015,9.70451530713824,0.270480206086801,611.5,0.202712265992265,0.6115,999
"fone10",22,10.0743801652893,9.98294976332891,0.487473473107686,536.5,0.187559748384798,0.5365,999
"bc1",29,8.41958041958042,8.40100374990918,0.309585648653383,514.5,0.0600049445187105,0.5145,999
"bc2",27,7.59823535446804,7.63932632046343,0.202695763220242,421.5,-0.202722372399777,0.4215,999
"bc3",18,3.48357634994392,3.91664398563051,1.30478916162604,428,-0.331906217819054,0.428,999
"bc4",18,10.1527777777778,10.1038507545399,0.364416235520558,573.5,0.134261370567093,0.5735,999
"bc5",32,10.6256350704021,10.5833685908725,0.373456195590035,557.5,0.113176538583768,0.5575,999
"bc6",34,8.59641815910038,8.59532921185674,0.329213152401933,462.5,0.00330772703243245,0.4625,999
"bc7",24,9.6548,9.59980580789682,0.343510243874723,575.5,0.160094765975110,0.5755,999
"bc8",19,9.43919344675488,9.43460958937143,0.346617947812638,454,0.0132245240397496,0.454,999
"bc9",25,9.15999471528604,9.18822389374963,0.22236665756366,426.5,-0.126948791571937,0.4265,999
"bc10",14,9.8099173553719,9.6499414116614,0.689950700101644,509,0.23186576038975,0.509,999
"narr1",26,8.2390185991294,8.23899928226992,0.229290386291697,490,8.42462686665873e-05,0.49,999
"narr2",28,8.42934884593732,8.46229074400613,0.139419084052685,401.5,-0.236279690780075,0.4015,999
"narr3",24,8.42060941828255,8.4801136803722,0.42522140235706,479.5,-0.139937128657718,0.4795,999
"narr4",23,10.1127199821787,10.0143669473051,0.419745074740443,580,0.234316114213825,0.58,999
"narr5",26,7.72505288823551,7.76304443368254,0.264869405358580,484.5,-0.143435008643614,0.4845,999
"narr6",21,8.41301038062284,8.4440338421703,0.257186220321445,437.5,-0.120626453115132,0.4375,999
"narr7",32,9.34962962962963,9.40565277933094,0.327565699605324,420,-0.171028742535655,0.42,999
"narr8",28,9.66263542454019,9.62552877706366,0.224407707802125,564.5,0.165353711955584,0.5645,999
"narr9",25,7.64517604023777,7.66144243608096,0.279076606768101,520,-0.0582864899769626,0.52,999
"narr10",26,9.62015826738859,9.6356641519697,0.313719367853229,485.5,-0.0494259716485683,0.4855,999
