"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"1",22,73,74.6696696696697,5.10520491512749,394,-0.327052429320161,0.394,999
"2",29,85,87.8718718718719,5.55475563999351,319.5,-0.517011378717504,0.3195,999
"3",21,77,72.8778778778779,5.41291977606405,776,0.761533939658621,0.776,999
"4",27,86,84.1611611611612,5.36438312069377,646,0.342786635008468,0.646,999
"5",22,64,74.6336336336336,5.43571558469953,21,-1.95625276340161,0.021,999
"6",27,72,84.2112112112112,5.54020054497954,6.5,-2.20410996173719,0.0065,999
"7",31,87,91.2532532532532,5.68608741641748,237,-0.74801052846511,0.237,999
"8",29,81,87.7947947947948,5.58922282222187,124,-1.21569581512831,0.124,999
"9",26,71,82.2202202202202,5.33577478316175,13.5,-2.10282867553334,0.0135,999
"10",14,55,57.3393393393393,5.03175925162329,315,-0.464914798653105,0.315,999
"11",35,93,98.7377377377377,5.68717638532188,168.5,-1.00889041397526,0.1685,999
"12",29,84,87.6856856856857,5.56248035328365,274,-0.662597519739543,0.274,999
"13",35,99,98.1571571571572,5.70749308198338,575.5,0.147673038010928,0.5755,999
"14",25,80,80.4774774774775,5.48921727168407,495,-0.0869846198182988,0.495,999
"15",39,108,105.168168168168,5.90266300994438,689.5,0.479754955866694,0.6895,999
"16",31,90,91.1521521521522,5.54168687854091,435,-0.207906396987827,0.435,999
"17",35,97,98.2512512512512,5.82836818391825,423.5,-0.214682945855021,0.4235,999
"18",24,86,78.7117117117117,5.29121601399778,903.5,1.37743162800523,0.9035,999
"19",35,100,98.7907907907908,5.92769351232225,601.5,0.203993206918602,0.6015,999
"20",25,81,80.4684684684685,5.11165479921419,551.5,0.103984238453121,0.5515,999
"21",32,86,93.2682682682683,5.66182095594505,106.5,-1.28373332975788,0.1065,999
"22",31,84,91.4004004004004,5.61077547605723,90.5,-1.31896213490987,0.0905,999
"23",22,72,74.6726726726727,5.27879677148811,329.5,-0.506303384723644,0.3295,999
"24",21,69,72.3713713713714,5.28858766971881,272.5,-0.637480473411651,0.2725,999
"25",36,101,100.379379379379,5.64614675345392,555,0.109919321569347,0.555,999
"26",37,107,101.732732732733,5.82060120919761,816.5,0.904935259770766,0.8165,999
"27",26,79,82.4564564564565,5.28466756555345,271,-0.654053715504518,0.271,999
"28",24,71,78.4474474474474,5.39863700892171,78.5,-1.37950512974662,0.0785,999
"29",28,81,85.976976976977,5.29022148470032,184.5,-0.94078801641306,0.1845,999
"30",17,61,63.9069069069069,4.99762893102387,267,-0.581657211255051,0.267,999
"31",34,92,96.5725725725726,5.47617251548261,217,-0.834994251851029,0.217,999
"32",34,98,96.7717717717718,5.76736412426402,590,0.212961797064438,0.59,999
"33",28,85,86.1911911911912,5.53278464195662,437.5,-0.215296865552667,0.4375,999
"34",28,79,85.966966966967,5.6446109853791,112.5,-1.2342687538633,0.1125,999
"35",28,82,86.058058058058,5.43209424885924,244,-0.747052218195636,0.244,999
"36",22,61,74.6896896896897,5.02456927473361,2,-2.72454989495900,0.002,999
"37",33,88,95.1401401401401,5.7966872908132,112,-1.23176217413972,0.112,999
"38",33,97,94.8548548548548,5.7737879427955,642.5,0.371531681869586,0.6425,999
"39",28,79,86.1441441441441,5.40422562004474,96,-1.32195519699361,0.096,999
"40",31,90,91.4624624624625,5.70644103455947,398.5,-0.256282760762001,0.3985,999
