"","PD","SR"
"fre1",64,18
"fre2",77,25
"fre3",65,17
"fre4",73,22
"fre5",70,21
"fre6",78,26
"fre7",77,26
"fre8",77,27
"fre9",67,24
"fre10",46,12
"fone1",83,30
"fone2",77,26
"fone3",87,29
"fone4",73,22
"fone5",100,36
"fone6",78,26
"fone7",90,32
"fone8",75,20
"fone9",89,31
"fone10",70,22
"bc1",79,29
"bc2",77,27
"bc3",64,18
"bc4",62,18
"bc5",90,32
"bc6",98,34
"bc7",72,24
"bc8",61,19
"bc9",74,25
"bc10",54,14
"narr1",75,26
"narr2",86,28
"narr3",75,24
"narr4",69,23
"narr5",78,26
"narr6",67,21
"narr7",91,32
"narr8",85,28
"narr9",74,25
"narr10",76,26
