"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fre1",21,23.91,23.9226732287843,3.69355688165630,464,-0.00343117195440544,0.464,999
"fre2",28,16.5501884546717,23.0288331378393,4.01451913959698,53,-1.61380341153835,0.053,999
"fre3",20,23.8604485582058,24.4656917508466,3.32763315380332,403,-0.181883989209892,0.403,999
"fre4",26,24.3416477702192,24.0859473734253,3.32347901423535,520,0.0769375692455528,0.52,999
"fre5",21,18.7556736569951,23.3108244699741,4.10064850053458,146,-1.11083669141239,0.146,999
"fre6",26,12.6434542650759,21.7986164071709,4.05908489484223,8,-2.25547441831735,0.008,999
"fre7",30,19.7330801787904,23.6214056705335,3.83451356887897,178,-1.01403357215915,0.178,999
"fre8",28,21.3521126760563,24.6968634971015,3.03468097772153,152,-1.10217543313448,0.152,999
"fre9",25,16.1556462585034,23.5364336672273,3.73512976935131,30,-1.97604577738828,0.03,999
"fre10",13,19.1411111111111,21.2088260482705,5.02341649419461,350,-0.411615270115262,0.35,999
"fone1",34,23.8173553719008,25.3305369832643,2.60377277459633,247,-0.581149640293794,0.247,999
"fone2",28,23.0803850156087,24.2198536986518,3.71520770987948,352,-0.306703897069607,0.352,999
"fone3",34,25.1249908685806,24.3463464925953,3.50612467369218,533,0.222081200314346,0.533,999
"fone4",24,10.0704440342407,6.4001809377636,1.90650680885869,952,1.92512456783426,0.952,999
"fone5",38,18.7984542211653,24.9460771711069,2.65871646544288,18,-2.31225218252732,0.018,999
"fone6",30,24.5396571062330,25.0952994333863,2.77379358770332,391,-0.200318556368633,0.391,999
"fone7",34,18.9030612244898,24.9375083700481,2.98840186890396,29,-2.01928904152756,0.029,999
"fone8",23,23.3810763888889,24.4886718315538,3.16335469220416,345,-0.350133181522284,0.345,999
"fone9",34,19.7453762755102,23.6465081152581,3.65290493950376,160,-1.06795328768612,0.16,999
"fone10",24,22.4657534246575,24.105076365538,3.53648718830389,332,-0.463545561907346,0.332,999
"bc1",31,18.5964620187305,21.9506372553615,4.0091113313821,218,-0.836638087442359,0.218,999
"bc2",30,12.4038182058396,21.8671625780887,4.36272256824416,22,-2.16913732748718,0.022,999
"bc3",21,4.49288037656863,12.1377477555188,3.74212699346748,5,-2.04292034778499,0.005,999
"bc4",20,20.2416,24.5977057057057,3.26985104853979,103,-1.33220310070424,0.103,999
"bc5",35,21.7202995867769,25.5679625906899,2.38161289013379,69,-1.61557028006212,0.069,999
"bc6",36,14.8562391592695,21.2124185710044,4.19125759547118,63,-1.51653275107764,0.063,999
"bc7",25,18.3031526336025,24.4774605439734,3.42990327091721,50,-1.80014053536847,0.05,999
"bc8",23,19.7207731281666,24.4667666352785,3.34578931869571,106,-1.41849741721396,0.106,999
"bc9",27,19.1578217134929,24.0866802749101,3.53547349747611,89,-1.39411554490108,0.089,999
"bc10",16,28.070987654321,22.7784497460423,3.87402494795499,901,1.36615999622627,0.901,999
"narr1",33,18.5605164066703,24.2748807783773,3.46938333460856,68,-1.64708359399315,0.068,999
"narr2",33,21.0772245608942,23.8210387045486,3.81360537539771,257,-0.719480353514114,0.257,999
"narr3",27,16.2948,22.7454646646647,4.27206148706701,73,-1.50996531398086,0.073,999
"narr4",27,21.6618502533308,24.1461299918797,3.56878790887571,251,-0.696113022679306,0.251,999
"narr5",27,13.0396539792388,20.0649019261476,4.08180007592551,32,-1.72111514925580,0.032,999
"narr6",21,14.0960553633218,21.3806825510632,4.07804173515305,31,-1.78630520745958,0.031,999
"narr7",32,14.8434567901235,23.7359097368974,3.53472202536797,4,-2.51574321345629,0.004,999
"narr8",32,21.8567257785467,24.2430295780209,3.23428343793890,246,-0.73781529827668,0.246,999
"narr9",27,16.3001700680272,23.2618196427720,3.72285869101664,38,-1.86997416569784,0.038,999
"narr10",30,18.8933062130178,24.2705160782084,3.5073751729751,71,-1.53311510745213,0.071,999
