"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fre1",21,13.5120430096802,22.2288172448595,5.84155219472784,64,-1.49220172046849,0.064,999
"fre2",28,7.30537416725808,21.6056841420218,6.24759698668072,1,-2.28892964851136,0.001,999
"fre3",20,13.0056157441880,22.4514673563533,5.24690464179876,44,-1.80027125648829,0.044,999
"fre4",26,16.1744531902517,22.7599663095042,5.29621424381331,117,-1.24343782484731,0.117,999
"fre5",21,5.99319851600288,21.9150205944948,5.84716369780853,1,-2.72299920121261,0.001,999
"fre6",26,7.25610890150374,20.4853887906417,6.29019474890833,3,-2.10315903039949,0.003,999
"fre7",30,8.02354812102784,21.7391677845959,5.99676012450507,2,-2.28717163581728,0.002,999
"fre8",28,10.3648347357701,23.2504892321913,4.63842371413942,4,-2.77802445195802,0.004,999
"fre9",25,6.41676870817876,21.9447583317212,6.04179038638936,1,-2.57009737685093,0.001,999
"fre10",13,6.23699497012397,19.5666552924885,7.44620039104122,15,-1.79012914269698,0.015,999
"fone1",34,17.7452234304017,24.0817621162595,3.99797798986638,72,-1.58493586055724,0.072,999
"fone2",28,18.2348688230805,22.9665363042013,5.4040194277453,219,-0.87558298862278,0.219,999
"fone3",34,19.6962965193372,22.7715942240383,5.34577935931506,326,-0.575275838749761,0.326,999
"fone4",24,11.7307115061043,5.91145613981782,2.77082138582825,949,2.10019144360943,0.949,999
"fone5",38,11.1027332230943,23.4192332580036,4.25737495337449,1,-2.89297986900284,0.001,999
"fone6",30,15.7883760137973,23.6042656714693,4.22824359562436,43,-1.84849559418959,0.043,999
"fone7",34,8.64717568434974,23.2975765174511,4.76072181747068,1,-3.07734864476602,0.001,999
"fone8",23,13.8283008613852,22.9174462717712,4.96498099220822,40,-1.83065059557127,0.04,999
"fone9",34,11.9069938560216,21.6790168545912,5.62957797576757,28,-1.73583580165922,0.028,999
"fone10",24,15.2139405327374,22.3794308385209,5.56142406190066,118,-1.28842724921333,0.118,999
"bc1",31,14.8230620617036,20.7315858605517,6.10876124207711,190,-0.967221268716509,0.19,999
"bc2",30,8.58828832332733,20.7639473719297,6.81022893736405,8,-1.78784871413076,0.008,999
"bc3",21,3.69299362434985,11.4257872309925,5.44278063396965,16,-1.42074320584969,0.016,999
"bc4",20,11.0039537901718,22.7848240238837,5.24529088269008,8,-2.24598987876723,0.008,999
"bc5",35,13.3278306191007,24.2044107856983,3.67649776169453,2,-2.95840793918627,0.002,999
"bc6",36,8.36284828143504,19.9637582039362,6.36665689655702,7,-1.82213524475848,0.007,999
"bc7",25,8.94602329851261,23.2539173613706,5.19232393243322,2,-2.75558579338348,0.002,999
"bc8",23,11.6832448689951,23.2116885814047,5.46173295492604,12,-2.11076663900453,0.012,999
"bc9",27,12.5180166473125,23.1290535631322,5.23059255456188,16,-2.02864910717722,0.016,999
"bc10",16,28.0791000138463,21.2009430156273,6.14945083249035,813,1.11849938890128,0.813,999
"narr1",33,12.9073512269141,23.0673673685777,5.49620686160033,31,-1.84855053630665,0.031,999
"narr2",33,16.1146641380721,22.7566504893444,5.85560944675276,181,-1.13429463007571,0.181,999
"narr3",27,11.5604734898503,21.550132723505,6.27274347906423,49,-1.59255025603964,0.049,999
"narr4",27,16.0497016723078,22.61135300601,5.29273406023160,120,-1.23974703036847,0.12,999
"narr5",27,8.22078247310916,18.9980518156213,6.28857365515608,11,-1.71378597651882,0.011,999
"narr6",21,6.46923734743729,20.2728841845727,6.38112234009886,2,-2.16320046873158,0.002,999
"narr7",32,8.35304642455744,22.3994128917931,5.53675933914402,1,-2.53692920476605,0.001,999
"narr8",32,13.8939814886291,22.901370191606,5.15209010044334,30,-1.74829797759201,0.03,999
"narr9",27,9.33370520913387,21.9467137759742,5.69262488767268,3,-2.21567533707581,0.003,999
"narr10",30,14.0539613247534,22.8079957285444,5.32392358177486,51,-1.64428250506042,0.051,999
