"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fre1",21,11.1744444444444,12.1612156601045,1.19392275980934,226,-0.826495020345942,0.226,999
"fre2",28,8.64451497718707,11.8319970436614,1.34683654612718,11,-2.36664358094522,0.011,999
"fre3",20,11.5215379138483,12.3129779833233,1.14004222714588,251.5,-0.694219960129324,0.2515,999
"fre4",26,11.3036029226505,12.2776704646193,1.12511998202690,197,-0.86574548272976,0.197,999
"fre5",21,10.0402183280666,11.7658014233711,1.34313195265271,109,-1.28474577043334,0.109,999
"fre6",26,8.47106566025485,11.2435152464371,1.36607274956278,21,-2.02950361689711,0.021,999
"fre7",30,9.51607926901626,11.9876088263415,1.28812355418728,25,-1.91870535189816,0.025,999
"fre8",28,10.6820075381869,12.6182417291324,0.9902790067782,32,-1.95524107619423,0.032,999
"fre9",25,8.70240362811791,11.8335031630270,1.29170055293866,6,-2.42401346642279,0.006,999
"fre10",13,8.96666666666667,10.7544099655211,1.70383828464375,148,-1.04924470530265,0.148,999
"fone1",34,12.3738842975207,12.9239973858156,0.811833641864876,244,-0.677617999460128,0.244,999
"fone2",28,11.0926118626431,12.2200173638779,1.19464086002083,196,-0.943719187049394,0.196,999
"fone3",34,11.6198407480459,12.4223713815357,1.11081028022946,256,-0.72247317815966,0.256,999
"fone4",24,4.67373929976875,3.26091356681847,0.638478936214566,999,2.21279928407143,0.999,999
"fone5",38,10.3754458977408,12.7226929664504,0.855492435092972,4,-2.74373796006101,0.004,999
"fone6",30,12.2268867168723,12.7383849159206,0.89835072485559,279,-0.56937472737109,0.279,999
"fone7",34,10.0736961451247,12.6219569910046,1.00501081372971,10,-2.53555564882234,0.01,999
"fone8",23,11.8263888888889,12.5110301273496,1.04117155186792,253,-0.657568137769803,0.253,999
"fone9",34,10.7818877551020,11.9944268247840,1.22182599209263,189,-0.992399144828476,0.189,999
"fone10",24,11.7207731281666,12.3073292846233,1.16313670723137,307,-0.504288234400997,0.307,999
"bc1",31,10.0307180020812,11.0565404947091,1.3834567307937,240,-0.741492285081717,0.24,999
"bc2",30,8.01717532038578,11.2662301619892,1.46053405323819,8,-2.22456630463345,0.008,999
"bc3",21,3.79127563604917,6.26829004690857,1.26094929334760,13,-1.96440445617234,0.013,999
"bc4",20,10.8992,12.4367151151151,1.06505673585163,97,-1.44359925941946,0.097,999
"bc5",35,11.6115702479339,12.9312375391921,0.78857285186928,53,-1.67348810972884,0.053,999
"bc6",36,8.82399755127028,10.7405425014853,1.39505003216846,75,-1.37381807535312,0.075,999
"bc7",25,10.0488273740869,12.4726941474346,1.11197533751895,26,-2.17978465129981,0.026,999
"bc8",23,10.5190467254644,12.3109651216238,1.20581331470466,96,-1.48606618811323,0.096,999
"bc9",27,10.4395883917216,12.2869401949064,1.10206948038414,51,-1.67625711088646,0.051,999
"bc10",16,13.4660493827160,11.5078411745078,1.29552647336444,940.5,1.51151539429589,0.9405,999
"narr1",33,9.75421781016187,12.2669644068245,1.13941864009557,17,-2.20528830075303,0.017,999
"narr2",33,10.7916969081144,12.1231651160523,1.24619869826351,180,-1.06842368700372,0.18,999
"narr3",27,9.5096,11.7274378378378,1.36881612290562,56,-1.62025987327646,0.056,999
"narr4",27,11.5683993244511,12.1886074477555,1.17214923478802,306,-0.529120443794472,0.306,999
"narr5",27,8.14823529411765,10.2968119676770,1.32248673788484,39,-1.62464893749768,0.039,999
"narr6",21,8.41301038062284,10.8399993072657,1.44001969674356,49,-1.68538592363095,0.049,999
"narr7",32,9.34962962962963,11.9452978904831,1.14739107742807,9,-2.26223500593342,0.009,999
"narr8",32,11.0348183391003,12.3599460186830,1.09148148595706,122,-1.21406335941719,0.122,999
"narr9",27,8.4875283446712,11.9057294255707,1.20403737114604,1,-2.83894932401138,0.001,999
"narr10",30,10.7315088757396,12.2782505138274,1.17251058511803,108,-1.31917072452876,0.108,999
