"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fre1",21,17.3135076801477,20.2225295749343,6.9008687102611,375,-0.421544303612255,0.375,999
"fre2",28,10.189658965316,19.2469402738855,7.30382658001175,116,-1.24007343402106,0.116,999
"fre3",20,18.5290127279969,20.4519853366361,6.41996146784663,396,-0.299530241461755,0.396,999
"fre4",26,18.9323621942550,20.9736633408792,6.39775507755818,424,-0.319065222390981,0.424,999
"fre5",21,8.88528166441063,19.4778152428613,7.17880413847598,59,-1.47552898423266,0.059,999
"fre6",26,4.62747227565265,18.5586380146469,7.5200134542718,2,-1.85254532105665,0.002,999
"fre7",30,12.5779399475981,20.0048601227721,7.133976372414,186,-1.04106318656910,0.186,999
"fre8",28,15.7410614173873,21.2271392954244,5.69594710061937,182,-0.963154639803544,0.182,999
"fre9",25,10.2498315721243,19.6338219909611,7.23160538442772,104,-1.29763585262050,0.104,999
"fre10",13,11.0610656752009,17.2971336664859,8.90067155994622,338,-0.70062892999533,0.338,999
"fone1",34,18.5696550735981,21.6400045955709,4.76914056583976,261,-0.643795140777553,0.261,999
"fone2",28,24.3841889309832,20.3033109122965,6.93053298073864,669,0.588826000832577,0.669,999
"fone3",34,25.0724203406291,20.8002920284100,6.16520820501717,720,0.692941449851198,0.72,999
"fone4",24,15.6012047732782,5.51334575241502,3.31911778313047,1000,3.03931938545087,1,999
"fone5",38,12.0565801264260,21.3004140125883,5.02993497537323,34,-1.83776409266132,0.034,999
"fone6",30,21.0806663557855,21.4412627553582,5.30161749427768,458,-0.068016298792192,0.458,999
"fone7",34,11.7489219686709,21.0594161273314,5.62081256798081,52,-1.65643206316790,0.052,999
"fone8",23,19.5443890367870,21.2209555951317,5.91889169433231,387,-0.283256840119253,0.387,999
"fone9",34,16.4898560445264,19.8876229174734,6.55964102367525,380,-0.517980612152956,0.38,999
"fone10",24,19.9309840541613,20.4891804129909,6.64560847404577,462,-0.0839947705330019,0.462,999
"bc1",31,12.2013427617351,18.8052980476598,7.29827744974666,199,-0.904864926196231,0.199,999
"bc2",30,6.48396480308929,19.1956939074304,7.88531676375434,18,-1.61207589817721,0.018,999
"bc3",21,2.51066721635910,10.3843479114842,6.14911975985484,14,-1.28045655355896,0.014,999
"bc4",20,15.1477448122872,20.9278592826277,6.28599665787686,198,-0.919522358176493,0.198,999
"bc5",35,12.9418378881917,22.1812640211694,4.72547694480802,34,-1.95523673925217,0.034,999
"bc6",36,5.20391403924988,18.0278356293084,7.4877523607465,1,-1.71265300616594,0.001,999
"bc7",25,10.1540475649367,21.078085985002,6.72990981701992,59,-1.62320725196621,0.059,999
"bc8",23,11.3863545446525,21.1847669940220,6.5897709431527,74,-1.48691244868698,0.074,999
"bc9",27,12.2390369288750,21.0382381977362,6.2682555527335,93,-1.40377194178435,0.093,999
"bc10",16,34.808120986724,19.5924964071696,7.49942958734254,996,2.02890425229610,0.996,999
"narr1",33,12.3365558701957,20.6899262035117,6.5115511370236,119,-1.28285413990225,0.119,999
"narr2",33,16.814700107187,20.1416037159773,6.83431326633728,352,-0.48679413411982,0.352,999
"narr3",27,10.4553556317924,19.968887927889,7.61597477949178,123,-1.24915491076920,0.123,999
"narr4",27,16.960584343109,20.7880544533108,6.5812015915937,326,-0.581576184368934,0.326,999
"narr5",27,6.29610444894541,16.9797348290539,7.46745620273347,25,-1.43069207104258,0.025,999
"narr6",21,5.18999115580873,18.3185090579540,7.61554331907348,16,-1.72391086913842,0.016,999
"narr7",32,7.1985448321488,19.9782370499229,6.62465834986598,5,-1.92910962993777,0.005,999
"narr8",32,13.9081499852996,20.7930113217211,6.13226647872184,128,-1.12272703091281,0.128,999
"narr9",27,8.79784063660849,20.4250114441174,6.93750038258174,32,-1.67598849244055,0.032,999
"narr10",30,13.8568224722518,20.4622804049409,6.51565675795602,169,-1.01378236731445,0.169,999
