"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fre1",21,2.53333333333333,3.19044044044044,0.458948346207163,61.5,-1.43176702244940,0.0615,999
"fre2",28,2.42253521126761,2.87651736243286,0.418649785538102,118.5,-1.08439599600352,0.1185,999
"fre3",20,2.69811320754717,3.25193117645948,0.42903689412102,87.5,-1.29083996388453,0.0875,999
"fre4",26,2.58730158730159,2.96747541191986,0.375384969421985,142,-1.01275718418789,0.142,999
"fre5",21,2.76271186440678,3.17767767767768,0.505439184101154,216,-0.821000481015042,0.216,999
"fre6",26,2.86486486486486,2.97585874162451,0.543739406143297,523,-0.20413064697097,0.523,999
"fre7",30,2.27672955974843,2.82053751865073,0.4008229836285,50,-1.35672848392926,0.05,999
"fre8",28,2.88732394366197,2.89427455624639,0.310694435499764,532.5,-0.0223712168299219,0.5325,999
"fre9",25,2.77142857142857,2.99604366271033,0.455462465945014,365,-0.493158290915842,0.365,999
"fre10",13,2.48333333333333,3.89052385719052,0.855024485439208,26,-1.64578973797966,0.026,999
"fone1",34,2.50909090909091,2.73104923104923,0.232254848380717,177.5,-0.955667119570665,0.1775,999
"fone2",28,2.85483870967742,2.87758726468404,0.378425112947405,528,-0.060113756271194,0.528,999
"fone3",34,2.24786324786325,2.72508405841739,0.309562142194813,24,-1.54159939316423,0.024,999
"fone4",24,4.68471337579618,3.00150947125469,1.23439592264211,892,1.36358511371193,0.892,999
"fone5",38,2.62068965517241,2.64979634807221,0.246703657569621,503,-0.117982413339706,0.503,999
"fone6",30,2.48101265822785,2.84009325781478,0.276918326355521,86,-1.29670218765487,0.086,999
"fone7",34,2.60714285714286,2.73848848848849,0.281347322248887,363.5,-0.466845144626753,0.3635,999
"fone8",23,2.83333333333333,3.10276943610277,0.352569502306876,229.5,-0.764207059903096,0.2295,999
"fone9",34,3.51785714285714,2.72975654225654,0.373167637008168,965,2.11192108436603,0.965,999
"fone10",24,3.31506849315068,3.03696847532464,0.395237938592916,771,0.703626829995389,0.771,999
"bc1",31,2.41290322580645,2.79451709774290,0.497518715132696,219,-0.767034204602072,0.219,999
"bc2",30,2.14942528735632,2.85146640893767,0.489678457562966,19,-1.43367777515734,0.019,999
"bc3",21,2.84952978056426,3.17506848541331,1.10253075111839,490,-0.295264966096255,0.49,999
"bc4",20,2.68,3.27835835835836,0.423242218663292,74,-1.41374922437589,0.074,999
"bc5",35,2.52272727272727,2.70484120484120,0.210707361288004,226.5,-0.864297910622168,0.2265,999
"bc6",36,2.48484848484848,2.68455324010880,0.480284406358928,434,-0.415805203367495,0.434,999
"bc7",25,2.53921568627451,3.01718385051718,0.371508067592789,82,-1.28656200480302,0.082,999
"bc8",23,2.46575342465753,3.07807807807808,0.411866547837372,34,-1.48670645051349,0.034,999
"bc9",27,2.49462365591398,2.91755196056271,0.359685305987964,100,-1.17582869694123,0.1,999
"bc10",16,3.75,3.55536091647203,0.663061155307865,667,0.293546201537926,0.667,999
"narr1",33,2.25174825174825,2.76119476119476,0.340027250597496,37,-1.49825200348298,0.037,999
"narr2",33,2.31325301204819,2.74291761641159,0.371827631022758,95,-1.15554780902526,0.095,999
"narr3",27,2.41,2.91391391391391,0.450190559292338,109.5,-1.11933469841310,0.1095,999
"narr4",27,3.50684931506849,2.93712890973165,0.419786892364994,895.5,1.35716578030141,0.8955,999
"narr5",27,2.31764705882353,2.9331095801684,0.632335881416105,103,-0.973315826972457,0.103,999
"narr6",21,2.27058823529412,3.19977624683507,0.696655942141882,20.5,-1.33378322832379,0.0205,999
"narr7",32,2.3,2.79204760315871,0.40221517049773,40,-1.22334421784693,0.04,999
"narr8",32,2.38970588235294,2.77180857327916,0.320831374669720,91,-1.19097669708761,0.091,999
"narr9",27,2.27380952380952,2.91885933552600,0.45072582811397,27,-1.43113567379895,0.027,999
"narr10",30,2.32692307692308,2.81822206822207,0.333100595165330,36,-1.47492678917353,0.036,999
