"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fre1",21,0.812854055209215,1.31064149800186,1.01490580542065,311,-0.490476495586038,0.311,999
"fre2",28,0.467654809354963,0.879879701929799,0.711470951285562,284,-0.579398065135313,0.284,999
"fre3",20,0.836592442824967,1.44931147087460,0.97463676107155,239,-0.628663982852432,0.239,999
"fre4",26,0.584580359362247,1.03672145938074,0.896825845761787,253,-0.504157080391046,0.253,999
"fre5",21,1.07892052839706,1.32644106802601,1.01071070006118,496,-0.244897515791583,0.496,999
"fre6",26,0.278113464835676,0.992643173103801,1.14363373491314,107,-0.624788939373491,0.107,999
"fre7",30,0.256475540581271,0.833837136266392,0.650977521780825,99,-0.886914795622561,0.099,999
"fre8",28,3.27015628334001,0.857105853511678,0.503295855294143,997,4.79449692352039,0.997,999
"fre9",25,1.174709864355,1.02565956968903,0.836672835018047,702,0.178146449158658,0.702,999
"fre10",13,1.22561193949092,2.81092142288279,2.65495789765065,245,-0.597112852446622,0.245,999
"fone1",34,0.597844169237547,0.708058209471176,0.369555307835171,446,-0.298234223394748,0.446,999
"fone2",28,0.278227014185488,0.907090503129914,0.642972855401197,66,-0.978056046474985,0.066,999
"fone3",34,0.375791866325476,0.710629744565113,0.490270196624227,256,-0.682966006388264,0.256,999
"fone4",24,0.629869226771689,1.01459532562111,2.47992058491521,660,-0.155136459284068,0.66,999
"fone5",38,0.397642365833473,0.604687706159357,0.343473168207032,296,-0.602799168874483,0.296,999
"fone6",30,0.390814530703401,0.804095606346925,0.392730829456356,106,-1.05232654185976,0.106,999
"fone7",34,0.6471368925879,0.725302924099502,0.462390654212308,544,-0.169047602496983,0.544,999
"fone8",23,0.945169769681058,1.19105223689582,0.732798276768346,427,-0.335539090374380,0.427,999
"fone9",34,1.48830241694434,0.701375063928884,0.544231580280192,940,1.44594209805009,0.94,999
"fone10",24,1.22001320459821,1.07596566939716,0.745664481875875,692,0.193180094670278,0.692,999
"bc1",31,0.227471964392917,0.775837485471092,0.81251854057411,129,-0.674896009992228,0.129,999
"bc2",30,0.135950791441683,0.836408269618051,0.803631091815454,57,-0.871615701918637,0.057,999
"bc3",21,0.223662214848807,1.41236432033899,2.55060311504663,227,-0.466047460883954,0.227,999
"bc4",20,0.715814107182584,1.45052041573016,1.04197238406010,172,-0.705111114063072,0.172,999
"bc5",35,0.41231207493973,0.684381264919184,0.323749346215508,199,-0.840369851429284,0.199,999
"bc6",36,0.114330765250125,0.688778611583204,0.817736417083868,51,-0.702485341647885,0.051,999
"bc7",25,1.09169158455239,1.04540977535208,0.709562940161609,649,0.0652257982776933,0.649,999
"bc8",23,0.313635368520695,1.17179766333022,0.779382930351754,43,-1.10107915042765,0.043,999
"bc9",27,0.45607405722351,0.923862817976632,0.576617321839298,185,-0.811263801893718,0.185,999
"bc10",16,1.13204794027209,2.02623516682694,1.73838380395604,289,-0.514378484498046,0.289,999
"narr1",33,0.186271631613497,0.748742597544576,0.585667958480748,45,-0.960392245787454,0.045,999
"narr2",33,0.26360712841816,0.718579886318205,0.534206342286352,143,-0.851679813371,0.143,999
"narr3",27,0.213572088814565,0.951453236451577,0.821843531182595,60,-0.897836534133493,0.06,999
"narr4",27,1.34266933625191,0.901344338493847,0.758029917603558,859,0.582199973258667,0.859,999
"narr5",27,0.950271757576135,0.885345913419488,1.10537941564006,713,0.0587362522207382,0.713,999
"narr6",21,0.418955223764312,1.21706660769554,1.10154132121079,113,-0.72454057652051,0.113,999
"narr7",32,0.454238158509678,0.730615379012276,0.565386017770501,330,-0.488829245534656,0.33,999
"narr8",32,0.455927586214203,0.784027321219362,0.525200052551319,270,-0.624713827447875,0.27,999
"narr9",27,0.198623118823694,0.967387128402374,0.741272211287832,30,-1.03708731808938,0.03,999
"narr10",30,0.217355930041873,0.851404986284836,0.671439380058826,36,-0.944313180122697,0.036,999
