"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fre1",21,2.65736358143735,3.67464324582944,1.43054907324722,239,-0.71111133718954,0.239,999
"fre2",28,2.49836506091718,3.27574185885351,1.42905896841608,306,-0.543978110852865,0.306,999
"fre3",20,5.24961824995055,3.71374299848315,1.35172705712588,878,1.13623178834126,0.878,999
"fre4",26,3.59453812649329,3.37839032226381,1.2547568825263,664,0.172262696654265,0.664,999
"fre5",21,3.19091405239218,3.70258318142494,1.69450784585765,433,-0.301957367906891,0.433,999
"fre6",26,2.02763541815983,3.33986363847395,1.58675899973044,174,-0.826986467722599,0.174,999
"fre7",30,3.09514303827020,3.17678342844525,1.21818152026905,550,-0.0670182471303725,0.55,999
"fre8",28,7.15486551994492,3.35510245266596,0.977791747280094,997,3.88606579862092,0.997,999
"fre9",25,4.92971114795274,3.42307862505521,1.50046862411673,883,1.00410798245411,0.883,999
"fre10",13,5.85786030412154,4.78690448305973,3.33430115733883,773,0.321193488687916,0.773,999
"fone1",34,2.18837889737514,3.19135263237616,0.809755948631977,92,-1.23861237042527,0.092,999
"fone2",28,5.9260704317675,3.33111790891751,1.26155465091504,958,2.05694816389270,0.958,999
"fone3",34,2.28237658240129,3.122251659202,1.03642989384660,205,-0.810353967776447,0.205,999
"fone4",24,16.9003300883154,3.52630058761363,3.96684571730637,985,3.37145189245809,0.985,999
"fone5",38,4.14705115319656,3.10529896978479,0.909705373397697,890,1.14515338028716,0.89,999
"fone6",30,3.23567565517415,3.22124928892909,0.878913991952093,546,0.0164138543442912,0.546,999
"fone7",34,4.11552215241871,3.10226105662047,0.90865531822773,872,1.11512151579604,0.872,999
"fone8",23,3.90182254344499,3.53233735125055,1.25203809253598,689,0.295106989473501,0.689,999
"fone9",34,6.21233096514837,3.15991632148565,1.22188178493357,971,2.49812599001030,0.971,999
"fone10",24,6.66492087791117,3.47331487276741,1.19112702028342,980,2.67948417825694,0.98,999
"bc1",31,2.82897930472252,3.27337023527125,1.70698906980157,478,-0.260336131267902,0.478,999
"bc2",30,2.09556624359603,3.03328003507277,1.44763086351416,263,-0.647757529291974,0.263,999
"bc3",21,0.763659825491224,3.49368599150459,2.99942068514317,68,-0.910184483135632,0.068,999
"bc4",20,5.89285946629021,3.61796135021947,1.33945348022876,938,1.69837784562866,0.938,999
"bc5",35,3.3501594988627,3.13972834755430,0.768069259517112,645,0.273974187484994,0.645,999
"bc6",36,1.85519929135208,3.0506586375246,1.6320344279836,225,-0.732496401837263,0.225,999
"bc7",25,4.5983766883099,3.38057194836695,1.11336046371481,871,1.09380993813958,0.871,999
"bc8",23,2.6229491007022,3.43200692096278,1.29926164329603,281,-0.622705845612533,0.281,999
"bc9",27,3.19048907875229,3.34025888569197,1.10681692808239,512,-0.135315789937513,0.512,999
"bc10",16,9.98120900328519,4.20268533084446,2.2767103038514,981,2.53810230606216,0.981,999
"narr1",33,2.22319056866449,3.1499084204933,1.13500319829996,206,-0.81648919863562,0.206,999
"narr2",33,2.96400906477273,3.16985454674252,1.28986245594208,502,-0.159587156771261,0.502,999
"narr3",27,2.7836496271324,3.26421306916007,1.43027356296355,432,-0.335994074470574,0.432,999
"narr4",27,4.79562070335109,3.32554118710750,1.26903772630109,901,1.15842065667226,0.901,999
"narr5",27,2.81142832296918,3.28793212183753,1.71000201951609,459,-0.278656863225928,0.459,999
"narr6",21,2.33325900214052,3.6460654558849,2.27469262776052,263,-0.577135757914184,0.263,999
"narr7",32,3.28075129093874,3.14581702240555,1.28086976005367,640,0.105345814805976,0.64,999
"narr8",32,2.20191467363906,3.21899360369438,1.20967931078073,173,-0.840783934213847,0.173,999
"narr9",27,2.24445460725688,3.30596945153299,1.45108550374573,214,-0.731531561397304,0.214,999
"narr10",30,4.23349741896129,3.23818501209153,1.17708503540335,828,0.845573919414157,0.828,999
