Species	Year	Family	Tree ID	All sum	R sum	S sum	D Sum	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14	R15	SK2	SK3	SK4	SK5	SK6	SK7	SK8	SK10	SK11	SK12	SK13	SK15	SK16	SK17	D10	D12	D13	D15	D19	D20	D31	D34	D48	D49	D50	D51	D65	D73	D73B
Clavulina sp	1994	Clavulinaceae	L	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geopora cooperi	1994	Pyronematecae	F	174	154	0	20	0	59	66	0	0	0	13	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
Geopora sp 1	1994	Pyronematecae	C	295	54	45	196	0	0	0	0	0	0	0	20	0	0	0	24	10	0	0	0	21	0	0	0	0	0	0	11	0	13	0	0	0	10	24	47	41	0	0	0	10	31	21	0	0	0	12
Geopora sp 2	1994	Pyronematecae	E	981	256	346	379	0	0	0	10	10	0	0	33	0	0	41	55	43	64	11	0	18	44	46	0	15	47	52	14	64	18	17	0	41	40	33	10	11	0	14	23	24	72	45	10	35	11	10
Geopora sp 3	1994	Pyronematecae	J	313	186	45	82	0	0	0	0	48	57	33	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	18	54
Geopora sp 4	1994	Pyronematecae	K	134	39	95	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	12	0	0	10	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geopora sp5	1994	Pyronematecae	Z	1057	59	370	628	10	0	10	0	0	0	0	0	0	39	0	0	0	0	31	62	0	11	14	76	71	12	0	35	0	0	58	0	53	61	0	61	73	98	63	44	91	0	0	72	12	0	0
Hebeloma spp	1994	Cortinariaceae	B2 (new)	47	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	19	0
Lactarius barrowsi	1994	Russulaceae	C8	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Lactarius deliciosus	1994	Russulaceae	LACT	22	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizopogon rubescens	1994	Rhizopogonaceae	G	149	27	61	61	0	0	0	0	0	0	12	0	0	15	0	0	0	0	0	10	29	0	0	0	0	0	0	12	0	0	10	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	21
Rhizopogon sp 1	1994	Rhizopogonaceae	D	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizopogon sp 2	1994	Rhizopogonaceae	T	20	20	0	0	0	0	0	11	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizopogon sp 3	1994	Rhizopogonaceae	new 1	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Tomentella sp	1994	Thelephoraceae	H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tricholoma sp	1994	Tricholomataceae	A	23	23	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tricholoma terreum	1994	Tricholomataceae	B	150	103	0	47	13	5	11	12	15	0	16	0	13	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
