"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"R1_1994" 3 6.66666666666667 5.30196863530197 1.16865253045358 917.5 1.16775345605509 0.9175 999
"R2_1994" 2 2 5.38538538538539 2.12689303317675 89.5 -1.59170458155526 0.0895 999
"R3_1994" 3 6 5.30663997330664 1.14665019919480 662 0.604683125839294 0.662 999
"R4_1994" 4 5.33333333333333 5.35301968635302 0.76536553611004 392 -0.0257215044196294 0.392 999
"R5_1994" 3 3.33333333333333 5.38538538538539 1.15622484576752 78 -1.77478633119138 0.078 999
"R6_1994" 1 NA NA NA NA NA NA 999
"R7_1994" 5 4.8 5.34114114114114 0.618598761682408 177 -0.874785361143296 0.177 999
"R9_1994" 2 2 5.34734734734735 2.11267538088568 86 -1.58441158430315 0.086 999
"R10_1994" 2 4 5.1951951951952 2.12837894436083 326 -0.561551878889744 0.326 999
"R11_1994" 2 8 5.26126126126126 2.15501717135351 868 1.27086631844266 0.868 999
"R12_1994" 2 2 5.26126126126126 2.05212896216723 86 -1.58920872975599 0.086 999
"R13_1994" 2 2 5.25525525525526 2.11443884119077 94.5 -1.53953625512385 0.0945 999
"R14_1994" 2 2 5.25525525525526 2.10303481206361 90 -1.54788462681748 0.09 999
"R15_1994" 2 2 5.27527527527528 2.11760899010399 94 -1.54668557348467 0.094 999
"SK2_1994" 4 6 5.27827827827828 0.800505556394936 833 0.901582401216532 0.833 999
"SK3_1994" 3 6.66666666666667 5.24724724724725 1.21453791907288 916 1.16869090468821 0.916 999
"SK4_1994" 3 2 5.30997664330998 1.21296598155093 24 -2.72882891495255 0.024 999
"SK5_1994" 2 8 5.35135135135135 2.09103336097469 866 1.26666972324824 0.866 999
"SK6_1994" 2 8 5.3053053053053 2.08292078579135 872 1.29370963748433 0.872 999
"SK7_1994" 1 NA NA NA NA NA NA 999
"SK8_1994" 2 8 5.25525525525526 2.12200747910857 869.5 1.29346610309676 0.8695 999
"SK10_1994" 3 6.66666666666667 5.27460794127461 1.1658787774235 922 1.19399954124596 0.922 999
"SK11_1994" 2 2 5.30930930930931 2.1261383661765 92.5 -1.55648821448086 0.0925 999
"SK12_1994" 4 5 5.30597263930597 0.820934431635891 286 -0.372712640029308 0.286 999
"SK13_1994" 2 6 5.28528528528529 2.0934322561085 591.5 0.341408093158603 0.5915 999
"SK15_1994" 3 3.33333333333333 5.28928928928929 1.23477404877194 102 -1.58405981879946 0.102 999
"SK16_1994" 3 6 5.2706039372706 1.22745174609035 651 0.594236038241544 0.651 999
"SK17_1994" 2 2 5.17517517517518 2.11880225370963 102 -1.49857079376617 0.102 999
"D10_1994" 2 8 5.28328328328328 2.08411080956939 877 1.30353755867618 0.877 999
"D12_1994" 3 6 5.29662996329663 1.15430939580292 663 0.60934272844077 0.663 999
"D13_1994" 2 2 5.17717717717718 2.07466819899266 93 -1.53141460341457 0.093 999
"D15_1994" 3 6 5.26726726726727 1.17101283966909 668.5 0.625725617952909 0.6685 999
"D34_1994" 4 5 5.29095762429096 0.824154854441043 297 -0.353037566572717 0.297 999
"D44_1994" 1 NA NA NA NA NA NA 999
"D45_1994" 2 8 5.26726726726727 2.11484864925558 871 1.29216468218406 0.871 999
"D46_1994" 2 8 5.37937937937938 2.09762133038988 865 1.24932969676349 0.865 999
"D48_1994" 5 5.6 5.31771771771772 0.648349528123243 610.5 0.435385960871131 0.6105 999
"D49_1994" 2 2 5.28728728728729 2.13111046456370 92.5 -1.54252317838451 0.0925 999
"D50_1994" 2 2 5.38938938938939 2.01386166484637 75.5 -1.68302989651871 0.0755 999
"D51_1994" 3 6 5.33133133133133 1.17590880557723 644.5 0.568639902598938 0.6445 999
"D65_1994" 3 6 5.36002669336003 1.10390864411143 648 0.579733939084342 0.648 999
"D73_1994" 5 5.4 5.34374374374374 0.57975048049801 452 0.0970352904372446 0.452 999
"D73B_1994" 4 3 5.34701368034701 0.770136589899997 16.5 -3.04752911512979 0.0165 999
"R1_2004" 3 6 5.28194861528195 1.20583917881621 659 0.595478565742884 0.659 999
"R2_2004" 4 5 5.28228228228228 0.799797316757302 308 -0.352942272208123 0.308 999
"R3_2004" 2 2 5.31931931931932 2.17499386983153 97.5 -1.52612812631809 0.0975 999
"R4_2004" 1 NA NA NA NA NA NA 999
"R5_2004" 3 6 5.31264597931265 1.19675171546355 643.5 0.574349726685886 0.6435 999
"R6_2004" 1 NA NA NA NA NA NA 999
"R7_2004" 1 NA NA NA NA NA NA 999
"R9_2004" 3 6 5.31531531531532 1.20532298779527 641 0.568050797684598 0.641 999
"R10_2004" 3 2 5.31865198531865 1.18506168351174 21.5 -2.8004044274593 0.0215 999
"R11_2004" 2 8 5.3053053053053 2.10778732720247 867 1.27844714688137 0.867 999
"R12_2004" 2 8 5.2972972972973 2.12030518814733 871.5 1.27467626727087 0.8715 999
"R13_2004" 2 4 5.32132132132132 2.16731408812128 308.5 -0.609658437862459 0.3085 999
"R14_2004" 4 6 5.34100767434101 0.775980318238933 813 0.849238453823878 0.813 999
"SK2_2004" 1 NA NA NA NA NA NA 999
