"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"R1_1994" 3 3.34131113423517 2.84819783362968 0.685474814682545 747 0.719374789625006 0.747 999
"R2_1994" 2 0.2880859375 0.77341990427928 0.304323966468468 86.5 -1.5947937732652 0.0865 999
"R3_1994" 3 2.01136213502444 2.12150424965856 0.533536530022962 378.5 -0.206437813413416 0.3785 999
"R4_1994" 4 3.64668367346939 3.78708300136872 0.630282664256369 345 -0.222756131274809 0.345 999
"R5_1994" 3 1.91405516982548 2.69223248393824 0.663849388720134 109 -1.17221967412374 0.109 999
"R6_1994" 1 NA NA NA NA NA NA 999
"R7_1994" 5 3.26839889679199 3.97113908799204 0.508777803648089 93 -1.38123201555020 0.093 999
"R9_1994" 2 0.939836240655037 2.5165785222745 1.00632950553532 91.5 -1.56682505376876 0.0915 999
"R10_1994" 2 1.34157484547165 1.78540916622078 0.707949115996691 302 -0.626929691301716 0.302 999
"R11_1994" 2 3.20987654320988 2.10136061987914 0.84998778229046 877.5 1.30415512602266 0.8775 999
"R12_1994" 2 0.848032174662453 2.2936766125505 0.881320465440743 80 -1.64031642810551 0.08 999
"R13_1994" 2 0.846018266303477 2.26536422658839 0.905873924386703 91.5 -1.56682505376876 0.0915 999
"R14_1994" 2 0.612317550729797 1.63958903723945 0.65563892027301 91.5 -1.56682505376876 0.0915 999
"R15_1994" 2 0.64 1.72780780780781 0.673712457990203 84 -1.61464701284123 0.084 999
"SK2_1994" 4 3.68282548476454 3.76476129869482 0.633032948469893 422 -0.129433727151677 0.422 999
"SK3_1994" 3 2.92761245674740 2.27872772426406 0.602814607364784 822 1.07642503110527 0.822 999
"SK4_1994" 3 1.30536332179931 3.45029198748922 0.81003991822984 22 -2.64792958645442 0.022 999
"SK5_1994" 2 2.56 1.70218218218218 0.670161978179034 868.5 1.28001564658843 0.8685 999
"SK6_1994" 2 2.86222222222222 1.90313424535647 0.74927832282517 868.5 1.28001564658843 0.8685 999
"SK7_1994" 1 NA NA NA NA NA NA 999
"SK8_1994" 2 2.30394808004327 1.53192944161035 0.603132188649837 868.5 1.28001564658843 0.8685 999
"SK10_1994" 3 3.47550089268002 2.70654149487714 0.657060331591385 875.5 1.17030257471255 0.8755 999
"SK11_1994" 2 0.503090567051868 1.32646702063526 0.526514907272845 90.5 -1.56382363008139 0.0905 999
"SK12_1994" 4 4.34722222222222 3.57136457445099 0.618355152703512 930.5 1.25471202815906 0.9305 999
"SK13_1994" 2 1.40248356464573 1.26537055682417 0.495922387531122 561 0.276480778583422 0.561 999
"SK15_1994" 3 2.09418282548476 2.99050435477028 0.727412194266484 109 -1.2322058062133 0.109 999
"SK16_1994" 3 3.56207612456747 2.54040171659549 0.674467101971393 949.5 1.51478760785477 0.9495 999
"SK17_1994" 2 0.570749108204518 1.53228138959411 0.594194329193515 85 -1.61821181076342 0.085 999
"D10_1994" 2 3.93481213218651 2.61631527407897 1.03006307901132 868.5 1.28001564658843 0.8685 999
"D12_1994" 3 4.09057706355004 2.98106401182450 0.841524818228733 914.5 1.31845553178202 0.9145 999
"D13_1994" 2 0.975069252077562 2.61092117047796 1.04405524692473 91.5 -1.56682505376876 0.0915 999
"D15_1994" 3 4.1304222924447 3.01731550568092 0.884923783007438 888.5 1.25785610934860 0.8885 999
"D34_1994" 4 4.3188246097337 3.58800585709677 0.703439212701915 830.5 1.03892239647809 0.8305 999
"D44_1994" 1 NA NA NA NA NA NA 999
"D45_1994" 2 2.3801652892562 1.58260740078922 0.623084483844143 868.5 1.28001564658843 0.8685 999
"D46_1994" 2 3.60703942971709 2.39837431550508 0.944258077964445 868.5 1.28001564658843 0.8685 999
"D48_1994" 5 3.89882722443115 3.51952446950609 0.529655462777853 730 0.716131110846577 0.73 999
"D49_1994" 2 0.841549627674616 2.25339865268228 0.901089130283995 91.5 -1.56682505376876 0.0915 999
"D50_1994" 2 0.867768595041322 2.32360459633187 0.929163085431111 91.5 -1.56682505376876 0.0915 999
"D51_1994" 3 2.47637051039698 1.91949984010475 0.500985750589183 819 1.11154991861009 0.819 999
"D65_1994" 3 2.52648257129923 3.20706673173853 0.818744880469151 218.5 -0.831253027254736 0.2185 999
"D73_1994" 5 4.21340054610376 4.17285085968136 0.48891161006809 444 0.0829386858224837 0.444 999
"D73B_1994" 4 2.22170262514614 3.25905329285072 0.630540080703235 58.5 -1.64517799811812 0.0585 999
"R1_2004" 3 2.37654320987654 2.48691592827395 0.640050695483379 403.5 -0.172443712937542 0.4035 999
"R2_2004" 4 2.4 3.52248248248248 0.613948947440722 54 -1.82829938411265 0.054 999
