"ntaxa" "mntd.obs" "mntd.rand.mean" "mntd.rand.sd" "mntd.obs.rank" "mntd.obs.z" "mntd.obs.p" "runs"
"R1_1994" 3 6 4.1981981981982 0.998485315279417 948.5 1.80453510355091 0.9485 999
"R2_1994" 2 2 5.26926926926927 2.14283692022981 97.5 -1.52567339045038 0.0975 999
"R3_1994" 3 4 4.17684351017684 1.00160296924273 407.5 -0.176560489143265 0.4075 999
"R4_1994" 4 3.5 3.57707707707708 0.714202517172922 445.5 -0.107920478048967 0.4455 999
"R5_1994" 3 2.66666666666667 4.17751084417751 0.997697900865216 88.5 -1.51433031602113 0.0885 999
"R6_1994" 1 NA NA NA NA NA NA 999
"R7_1994" 5 3.2 3.18758758758759 0.519293189749226 487 0.0239025133728533 0.487 999
"R9_1994" 2 2 5.30930930930931 2.16536394757888 95 -1.52829242077735 0.095 999
"R10_1994" 2 4 5.3013013013013 2.09118493135892 304.5 -0.622279398530132 0.3045 999
"R11_1994" 2 8 5.4014014014014 2.09159929557852 861 1.24239791249301 0.861 999
"R12_1994" 2 2 5.27927927927928 2.11897645184841 95.5 -1.54757702777618 0.0955 999
"R13_1994" 2 2 5.30930930930931 2.16536394757888 95 -1.52829242077735 0.095 999
"R14_1994" 2 2 5.30930930930931 2.16536394757888 95 -1.52829242077735 0.095 999
"R15_1994" 2 2 5.35735735735736 2.1261383661765 89 -1.57908695443702 0.089 999
"SK2_1994" 4 4 3.56656656656657 0.711572902318484 700.5 0.609120206827997 0.7005 999
"SK3_1994" 3 6 4.25291958625292 0.967799353715186 948.5 1.8052093205481 0.9485 999
"SK4_1994" 3 2 4.20820820820821 1.01174544192702 19.5 -2.18257292467001 0.0195 999
"SK5_1994" 2 8 5.2952952952953 2.12813199295692 865 1.27092901833907 0.865 999
"SK6_1994" 2 8 5.2952952952953 2.12813199295692 865 1.27092901833907 0.865 999
"SK7_1994" 1 NA NA NA NA NA NA 999
"SK8_1994" 2 8 5.2952952952953 2.12813199295692 865 1.27092901833907 0.865 999
"SK10_1994" 3 6 4.20487153820487 1.02140455786800 945 1.75750974280176 0.945 999
"SK11_1994" 2 2 5.29129129129129 2.13432540257628 94 -1.54207567755061 0.094 999
"SK12_1994" 4 3.5 3.54504504504505 0.758038401011313 454.5 -0.0594231703630708 0.4545 999
