"ntaxa" "mntd.obs" "mntd.rand.mean" "mntd.rand.sd" "mntd.obs.rank" "mntd.obs.z" "mntd.obs.p" "runs"
"R1_1994" 3 6 4.17717717717718 1.23377180642673 923 1.47743919363996 0.923 999
"R2_1994" 2 2 5.42942942942943 2.14475516649878 87.5 -1.59898410923417 0.0875 999
"R3_1994" 3 2.68965517241379 4.21165993579787 1.44592188275620 211 -1.0526189426519 0.211 999
"R4_1994" 4 3.60714285714286 3.52767052767053 0.796398806285792 546.5 0.0997896140037788 0.5465 999
"R5_1994" 3 3.31506849315068 4.23560546848218 1.26029958635781 316.5 -0.730411233405061 0.3165 999
"R6_1994" 1 NA NA NA NA NA NA 999
"R7_1994" 5 3.22891566265060 3.17664652604412 0.623040225273864 518.5 0.083893678908951 0.5185 999
"R9_1994" 2 2 5.26526526526527 2.178576851732 100.5 -1.49880655468699 0.1005 999
"R10_1994" 2 4 5.33933933933934 2.11587282216184 302.5 -0.632996144811249 0.3025 999
"R11_1994" 2 8 5.22522522522523 2.14978311911756 871.5 1.29072311997397 0.8715 999
"R12_1994" 2 2 5.41941941941942 2.15791019648535 89.5 -1.58459764682920 0.0895 999
"R13_1994" 2 2 5.26526526526527 2.178576851732 100.5 -1.49880655468699 0.1005 999
"R14_1994" 2 2 5.26526526526527 2.178576851732 100.5 -1.49880655468699 0.1005 999
"R15_1994" 2 2 5.22322322322322 2.12561937719212 97.5 -1.51636895006151 0.0975 999
"SK2_1994" 4 3.21052631578947 3.54612507244086 0.815025249252471 400.5 -0.411764858768724 0.4005 999
"SK3_1994" 3 6 4.12037920273214 1.3784538287876 870 1.36357182084296 0.87 999
"SK4_1994" 3 2 4.18580345050933 1.04357911175188 19 -2.09452587340501 0.019 999
"SK5_1994" 2 8 5.28328328328328 2.11655153767966 868 1.28355802745772 0.868 999
"SK6_1994" 2 8 5.28328328328328 2.11655153767966 868 1.28355802745772 0.868 999
"SK7_1994" 1 NA NA NA NA NA NA 999
"SK8_1994" 2 8 5.28328328328328 2.11655153767966 868 1.28355802745772 0.868 999
"SK10_1994" 3 6 4.18906230173836 1.29394820790832 923.5 1.39954419133130 0.9235 999
"SK11_1994" 2 2 5.23523523523524 2.11107389394382 92.5 -1.53250686511561 0.0925 999
"SK12_1994" 4 4.91666666666667 3.5160994327661 0.861110852270552 934 1.62646566375002 0.934 999
"SK13_1994" 2 6 5.35735735735736 2.14490668159922 570 0.299613334302962 0.57 999
"SK15_1994" 3 3.18421052631579 4.25190980454138 1.17904229379308 247 -0.905564867220081 0.247 999
"SK16_1994" 3 6.09411764705882 4.14824236000707 1.34297657620277 944.5 1.4489271976386 0.9445 999
"SK17_1994" 2 2 5.2992992992993 2.0818688395862 88 -1.58477769423509 0.088 999
"D10_1994" 2 8 5.28328328328328 2.11655153767966 868 1.28355802745772 0.868 999
"D12_1994" 3 5.2972972972973 4.15265716166617 1.18104914481317 827.5 0.969172316544198 0.8275 999
"D13_1994" 2 2 5.26526526526527 2.178576851732 100.5 -1.49880655468699 0.1005 999
"D15_1994" 3 5.10169491525424 4.15999049897355 1.20129670485848 810.5 0.783906600652525 0.8105 999
"D34_1994" 4 4.65454545454545 3.51471471471471 0.85982794355169 892 1.3256497981706 0.892 999
"D44_1994" 1 NA NA NA NA NA NA 999
"D45_1994" 2 8 5.28328328328328 2.11655153767966 868 1.28355802745772 0.868 999
"D46_1994" 2 8 5.28328328328328 2.11655153767966 868 1.28355802745772 0.868 999
"D48_1994" 5 2 3.18219954058104 0.736974045953706 16.5 -1.60412642354478 0.0165 999
"D49_1994" 2 2 5.26526526526527 2.178576851732 100.5 -1.49880655468699 0.1005 999
"D50_1994" 2 2 5.26526526526527 2.178576851732 100.5 -1.49880655468699 0.1005 999
"D51_1994" 3 5.56521739130435 4.1766113940027 1.46951561397374 767.5 0.944941301812168 0.7675 999
"D65_1994" 3 2.76595744680851 4.24816305667369 1.15486479323583 178.5 -1.28344514314284 0.1785 999
"D73_1994" 5 4 3.17207062134598 0.573700159710479 919.5 1.44313952966622 0.9195 999
"D73B_1994" 4 3.11340206185567 3.61274676738594 0.92026201188435 327.5 -0.542611450958193 0.3275 999
"R1_2004" 3 2.83333333333333 4.21927483038594 1.34915346979947 211.5 -1.02726748889332 0.2115 999
"R2_2004" 4 2.6 3.53053053053053 0.887600409978729 156 -1.04836649473025 0.156 999
"R3_2004" 2 2 5.38738738738739 2.09424277166101 86 -1.61747598378995 0.086 999
"R4_2004" 1 NA NA NA NA NA NA 999
"R5_2004" 3 4.25 4.18205705705706 1.05647350666655 531.5 0.0643110712329363 0.5315 999
"R6_2004" 1 NA NA NA NA NA NA 999
"R7_2004" 1 NA NA NA NA NA NA 999
"R9_2004" 3 5.96694214876033 4.15241687968961 1.32705019243747 827.5 1.36733733163316 0.8275 999
"R10_2004" 3 2 4.12500921974606 1.17297107919249 22 -1.81164672978041 0.022 999
"R11_2004" 2 8 5.28328328328328 2.11655153767966 868 1.28355802745772 0.868 999
"R12_2004" 2 8 5.22522522522523 2.14978311911756 871.5 1.29072311997397 0.8715 999
"R13_2004" 2 4 5.3053053053053 2.06164561629205 302 -0.633137574658901 0.302 999
"R14_2004" 4 3.16814159292035 3.50679883423246 0.9087381994464 386.5 -0.37266755322756 0.3865 999
"SK2_2004" 1 NA NA NA NA NA NA 999
"SK3_2004" 1 NA NA NA NA NA NA 999
"SK4_2004" 2 4 5.25125125125125 2.09396880268766 310 -0.597550092267487 0.31 999
"SK5_2004" 4 2.88311688311688 3.59538759538760 0.945731803274829 306 -0.753142391748168 0.306 999
"SK6_2004" 3 3.875 4.19160827494161 1.05823828829338 360 -0.299184293787180 0.36 999
"SK7_2004" 2 8 5.22522522522523 2.14978311911756 871.5 1.29072311997397 0.8715 999
"SK8_2004" 5 2.96202531645570 3.17573269472004 0.597595308202579 383.5 -0.357612209016701 0.3835 999
"SK10_2004" 3 4.97959183673469 4.15938387366959 1.08568744481013 792.5 0.755473379549442 0.7925 999
"SK11_2004" 3 5.38461538461539 4.17602217602218 1.17766181722435 838 1.02626508808935 0.838 999
"SK12_2004" 3 4.57142857142857 4.19290719290719 1.04375180467180 621 0.362654585915088 0.621 999
"SK13_2004" 4 2.5679012345679 3.55006858710562 0.928426048674333 121 -1.05788431285413 0.121 999
"SK15_2004" 1 NA NA NA NA NA NA 999
"SK16_2004" 4 2.90625 3.52458708708709 0.892235367321775 293 -0.693020148868511 0.293 999
"SK17_2004" 1 NA NA NA NA NA NA 999
"SC51_2004" 2 8 5.28328328328328 2.11655153767966 868 1.28355802745772 0.868 999
"SC3_2004" 2 2 5.38738738738739 2.09424277166101 86 -1.61747598378995 0.086 999
"D10_2004" 1 NA NA NA NA NA NA 999
"D13_2004" 2 8 5.28328328328328 2.11655153767966 868 1.28355802745772 0.868 999
"D19_2004" 3 3.26315789473684 4.13980296085559 1.30171951952846 300.5 -0.673451579212939 0.3005 999
"D20_2004" 2 4 5.34534534534535 2.06891679127855 296 -0.650265564577853 0.296 999
"D31_2004" 3 3.55555555555556 4.14612143007205 1.06153829626327 260.5 -0.556330258263266 0.2605 999
"D34_2004" 4 2.30769230769231 3.54996021662688 1.13418469229351 162.5 -1.09529595785895 0.1625 999
"D45_2004" 3 4.09090909090909 4.18309218309218 1.06601533523697 463.5 -0.0864744522297149 0.4635 999
"D46_2004" 1 NA NA NA NA NA NA 999
"D47_2004" 3 2 4.19007125937819 1.27038486554642 19 -1.72394312839692 0.019 999
"D48_2004" 4 3.28571428571429 3.59937715493271 0.800078280387487 395.5 -0.392040225197107 0.3955 999
"D51_2004" 4 3.51260504201681 3.53220447338094 0.865731429444146 535 -0.0226391588632993 0.535 999
"D53_2004" 4 4.05882352941176 3.55031502090326 0.791416700017055 755 0.642529414021147 0.755 999
"D65_2004" 3 6 4.20818286641071 1.15332781048516 919.5 1.55360611033522 0.9195 999
"D66_2004" 2 4 5.27127127127127 2.13133071735453 311.5 -0.596468328880096 0.3115 999
