"ntaxa" "pd.obs" "pd.rand.mean" "pd.rand.sd" "pd.obs.rank" "pd.obs.z" "pd.obs.p" "runs"
"R1_1994" 3 10 7.91791791791792 1.69085399835609 925 1.23137898606642 0.925 999
"R2_1994" 2 3 5.36736736736737 2.11307983496935 181 -1.12033976577213 0.181 999
"R3_1994" 3 9 8.04104104104104 1.76225093958421 635 0.544167086206926 0.635 999
"R4_1994" 4 10 9.91091091091091 1.41671635889270 425.5 0.0628842100466189 0.4255 999
"R5_1994" 3 5 7.88188188188188 1.75105523926688 87.5 -1.64579724114726 0.0875 999
"R6_1994" 1 2 NA NA NA NA NA 999
"R7_1994" 5 11 11.4924924924925 1.11632704250383 260 -0.441172231560271 0.26 999
"R9_1994" 2 3 5.39139139139139 2.11065765044944 168 -1.13300771012398 0.168 999
"R10_1994" 2 4 5.45545545545546 2.09966305335953 277 -0.693185248521986 0.277 999
"R11_1994" 2 8 5.31131131131131 2.08010476993106 877.5 1.29257368549652 0.8775 999
"R12_1994" 2 3 5.33133133133133 2.05567042375755 159 -1.13409781275634 0.159 999
"R13_1994" 2 3 5.23723723723724 2.11274754268773 190 -1.05892312831241 0.19 999
"R14_1994" 2 3 5.17317317317317 2.0320678237504 174 -1.06943929123505 0.174 999
"R15_1994" 2 3 5.38138138138138 2.11249116721391 179 -1.12728584068926 0.179 999
"SK2_1994" 4 11 9.82282282282282 1.47036171290373 782.5 0.800603801667578 0.7825 999
"SK3_1994" 3 10 8.01701701701702 1.78187003801497 902 1.11286622518894 0.902 999
"SK4_1994" 3 4 7.88288288288288 1.89485573429876 56 -2.04917071658747 0.056 999
"SK5_1994" 2 8 5.33933933933934 2.05045670751243 872.5 1.29759416568639 0.8725 999
"SK6_1994" 2 8 5.25125125125125 2.07280703248609 882 1.32609968302353 0.882 999
"SK7_1994" 1 6 NA NA NA NA NA 999
"SK8_1994" 2 8 5.38338338338338 2.07189518641536 865.5 1.26290974262250 0.8655 999
"SK10_1994" 3 10 7.98698698698699 1.77739954120873 914.5 1.1325607812659 0.9145 999
"SK11_1994" 2 3 5.32332332332332 2.13909279896215 179 -1.08612554090714 0.179 999
"SK12_1994" 4 10 9.94994994994995 1.39692530154396 410 0.0358287232643950 0.41 999
"SK13_1994" 2 6 5.23323323323323 2.14706227424255 595 0.357123673572658 0.595 999
"SK15_1994" 3 5 7.96296296296296 1.79389680894747 91 -1.65169085991151 0.091 999
"SK16_1994" 3 9 7.93893893893894 1.75540256111766 660.5 0.604454547671098 0.6605 999
"SK17_1994" 2 5 5.30930930930931 2.11100357546231 429 -0.146522399537656 0.429 999
"D10_1994" 2 8 5.17317317317317 2.15274468071849 874.5 1.31312684320899 0.8745 999
"D12_1994" 3 9 7.96896896896897 1.74014201331128 660 0.592498211723022 0.66 999
"D13_1994" 2 3 5.32132132132132 2.12435440054009 186 -1.09271848460462 0.186 999
"D15_1994" 3 9 8.04504504504505 1.77348907523360 627 0.538461143229299 0.627 999
"D34_1994" 4 10 9.89089089089089 1.37509595478892 443.5 0.079346542129751 0.4435 999
"D44_1994" 1 6 NA NA NA NA NA 999
"D45_1994" 2 8 5.24324324324324 2.08916756966985 880.5 1.31954793707257 0.8805 999
"D46_1994" 2 8 5.30730730730731 2.12076683314734 868.5 1.26967880231160 0.8685 999
"D48_1994" 5 11 11.4824824824825 1.13137237474853 266 -0.426457719183502 0.266 999
"D49_1994" 2 3 5.4014014014014 2.09159929557852 157 -1.14811733130613 0.157 999
"D50_1994" 2 3 5.3973973973974 2.11901242576686 170 -1.13137486512369 0.17 999
"D51_1994" 3 9 7.93493493493493 1.78806182806208 653 0.595653376382064 0.653 999
"D65_1994" 3 9 7.82682682682683 1.83132425804861 670.5 0.640614663414804 0.6705 999
"D73_1994" 5 12 11.5335335335335 1.07561168998943 630.5 0.433675526965546 0.6305 999
"D73B_1994" 4 6 9.86786786786787 1.37124731429180 23 -2.82069312191543 0.023 999
"R1_2004" 3 9 7.92292292292292 1.82859305757336 650.5 0.589019559390878 0.6505 999
"R2_2004" 4 10 9.81981981981982 1.45595576235387 455 0.123753883764215 0.455 999
"R3_2004" 2 3 5.2992992992993 2.13509408763070 185 -1.07690771691041 0.185 999
"R4_2004" 1 2 NA NA NA NA NA 999
"R5_2004" 3 9 8.07107107107107 1.72042834821932 632.5 0.539940492081748 0.6325 999
"R6_2004" 1 6 NA NA NA NA NA 999
"R7_2004" 1 6 NA NA NA NA NA 999
"R9_2004" 3 9 7.98998998998999 1.81009745746215 632.5 0.557986535943815 0.6325 999
"R10_2004" 3 4 7.98198198198198 1.73426960354821 33 -2.29605706854061 0.033 999
"R11_2004" 2 8 5.34334334334334 2.05954282950522 873.5 1.28992542354406 0.8735 999
"R12_2004" 2 8 5.30730730730731 2.12642894467936 870.5 1.26629798725709 0.8705 999
"R13_2004" 2 4 5.23723723723724 2.13351318998464 322 -0.579906064347389 0.322 999
"R14_2004" 4 11 9.82082082082082 1.50647464586836 785 0.782740806433868 0.785 999
"SK2_2004" 1 2 NA NA NA NA NA 999
"SK3_2004" 1 2 NA NA NA NA NA 999
"SK4_2004" 2 5 5.34734734734735 2.11646623623641 418 -0.164116649441578 0.418 999
"SK5_2004" 4 10 9.85485485485485 1.51675807697936 432 0.0956943281516611 0.432 999
"SK6_2004" 3 9 7.92592592592593 1.82405396418171 650 0.588838979090136 0.65 999
"SK7_2004" 2 8 5.32732732732733 2.08726551224351 870 1.2804660724739 0.87 999
"SK8_2004" 5 12 11.5405405405405 1.06224518722547 630 0.432536164893855 0.63 999
"SK10_2004" 3 10 8.02702702702703 1.76933075848925 902 1.11509561652430 0.902 999
"SK11_2004" 3 9 8.06306306306306 1.73812231024107 632.5 0.539051211423084 0.6325 999
"SK12_2004" 3 9 7.91291291291291 1.79830231213639 661.5 0.60450741777428 0.6615 999
"SK13_2004" 4 11 9.92492492492492 1.38318319860066 774.5 0.777247060376896 0.7745 999
"SK15_2004" 1 2 NA NA NA NA NA 999
"SK16_2004" 4 10 9.91191191191191 1.45412420468595 420.5 0.0605781045417046 0.4205 999
"SK17_2004" 1 2 NA NA NA NA NA 999
"SC51_2004" 2 8 5.26326326326326 2.09057474568511 876.5 1.30908341946888 0.8765 999
"SC3_2004" 2 3 5.18318318318318 2.12379341613687 203 -1.02796400374681 0.203 999
"D10_2004" 1 2 NA NA NA NA NA 999
"D13_2004" 2 8 5.25125125125125 2.09970317969507 873 1.30911300955783 0.873 999
"D19_2004" 3 9 8.01501501501502 1.75583047475744 638 0.56097954736835 0.638 999
"D20_2004" 2 4 5.35735735735736 2.14116617959483 302.5 -0.633933680763728 0.3025 999
"D31_2004" 3 9 8 1.75218157750877 644.5 0.570717106512321 0.6445 999
"D34_2004" 4 10 9.95595595595596 1.30593759731398 423 0.0337259943619305 0.423 999
"D45_2004" 3 9 7.8938938938939 1.80756392069757 664.5 0.611931945222297 0.6645 999
"D46_2004" 1 2 NA NA NA NA NA 999
"D47_2004" 3 4 7.95395395395395 1.74756684038268 33 -2.26254805400641 0.033 999
"D48_2004" 4 10 9.9039039039039 1.45154702034737 415.5 0.0662025375334371 0.4155 999
"D51_2004" 4 10 9.94194194194194 1.40091318365161 423 0.0414430092710849 0.423 999
"D53_2004" 4 10 9.91991991991992 1.42254731919338 419 0.0562934385377685 0.419 999
"D65_2004" 3 10 8.01901901901902 1.80086781536443 901 1.10001465075886 0.901 999
"D66_2004" 2 8 5.48948948948949 2.00791011893737 866.5 1.25031020404395 0.8665 999
