"PD" "SR"
"R1_1994" 10 3
"R2_1994" 3 2
"R3_1994" 9 3
"R4_1994" 10 4
"R5_1994" 5 3
"R6_1994" 2 1
"R7_1994" 11 5
"R9_1994" 3 2
"R10_1994" 4 2
"R11_1994" 8 2
"R12_1994" 3 2
"R13_1994" 3 2
"R14_1994" 3 2
"R15_1994" 3 2
"SK2_1994" 11 4
"SK3_1994" 10 3
"SK4_1994" 4 3
"SK5_1994" 8 2
"SK6_1994" 8 2
"SK7_1994" 6 1
"SK8_1994" 8 2
"SK10_1994" 10 3
"SK11_1994" 3 2
"SK12_1994" 10 4
"SK13_1994" 6 2
"SK15_1994" 5 3
"SK16_1994" 9 3
"SK17_1994" 5 2
"D10_1994" 8 2
"D12_1994" 9 3
"D13_1994" 3 2
"D15_1994" 9 3
"D34_1994" 10 4
"D44_1994" 6 1
"D45_1994" 8 2
"D46_1994" 8 2
"D48_1994" 11 5
"D49_1994" 3 2
"D50_1994" 3 2
"D51_1994" 9 3
"D65_1994" 9 3
"D73_1994" 12 5
"D73B_1994" 6 4
"R1_2004" 9 3
"R2_2004" 10 4
"R3_2004" 3 2
"R4_2004" 2 1
"R5_2004" 9 3
"R6_2004" 6 1
"R7_2004" 6 1
"R9_2004" 9 3
"R10_2004" 4 3
"R11_2004" 8 2
"R12_2004" 8 2
"R13_2004" 4 2
"R14_2004" 11 4
"SK2_2004" 2 1
"SK3_2004" 2 1
"SK4_2004" 5 2
"SK5_2004" 10 4
"SK6_2004" 9 3
"SK7_2004" 8 2
"SK8_2004" 12 5
"SK10_2004" 10 3
"SK11_2004" 9 3
"SK12_2004" 9 3
"SK13_2004" 11 4
"SK15_2004" 2 1
"SK16_2004" 10 4
"SK17_2004" 2 1
"SC51_2004" 8 2
"SC3_2004" 3 2
"D10_2004" 2 1
"D13_2004" 8 2
"D19_2004" 9 3
"D20_2004" 4 2
"D31_2004" 9 3
"D34_2004" 10 4
"D45_2004" 9 3
"D46_2004" 2 1
"D47_2004" 4 3
"D48_2004" 10 4
"D51_2004" 10 4
"D53_2004" 10 4
"D65_2004" 10 3
"D66_2004" 8 2
