	Aca_Eriop_Aceria_parapopu	Aca_Eryth_1_1	Ara_Salti_Metacyrb_1	Ara_Salti_Talavera_1	Ara_Salti_1_7	Ara_Salti_1_8	Ara_Salti_1_9	Ara_Thomi_Misumeno_2	Ara_Thomi_1_1	Ara_Thomi_1_2	Col_Anthi_1_1	Col_Bupre_1_1	Col_Cicin_1_1	Col_Cocci_Adalia_bipuncta	Col_Cocci_Coccinel_septum	Col_Cocci_Cryptola_1	Col_Cocci_Harmonia_axyridis	Col_Cocci_Hippodam_converge	Col_Cocci_1_1	Col_Curcu_1_1	Col_Lampy_1_1	Col_Melyr_1_1	Col_Silph_1_1	Der_Forfi_1_1	Dip_Agrom_Hexomyza_schineri	Dip_Cerat_1_1	Dip_Chiro_1_1	Dip_Empid_1_1	Dip_Musci_1_1	Dip_Ottit_1_1	Dip_Phori_1_1	Dip_Syrph_1_4	Hem_Antho_Anthocor_antevole	Hem_Aphid_Chaitoph_popullel	Hem_Aphid_Pemphigu_populica	Hem_Aphid_Pemphigu_populigl	Hem_Aphid_Pemphigu_populitr	Hem_Aphid_Thecabiu_populico	Hem_Aphid_Thecabiu_populimo	Hem_Cerco_1_1	Hem_Cicad_Gypona_1	Hem_Cicad_1_2	Hem_Cicad_1_3	Hem_Cicad_1_4	Hem_Cicad_1_5	Hem_Cicad_1_6	Hem_Cicad_1_7	Hem_Cicad_1_8	Hem_Cicad_1_11	Hem_Cicad_1_12	Hem_Cicad_1_14	Hem_Cixii_1_1	Hem_Diasp_Lepidosa_ulmi	Hem_Membr_1_1	Hem_Mirid_1_2	Hem_Mirid_1_5	Hem_Penta_Brochyme_1	Hem_Penta_Euschist_1	Hem_Penta_Podisus_1	Hem_Rhopa_Leptocor_trivitta	Hem_Tingi_1_1	Hym_Andre_1_1	Hym_Braco_1_2	Hym_Braco_1_3	Hym_Encyr_1_1	Hym_Formi_Formica_1	Hym_Formi_Tetramor_caespitu	Hym_Tenth_Phylloco_1	Lep_Gelec_Anacamps_niveopul	Lep_Geome_1_1	Lep_Graci_Phyllocn_1	Lep_Lyone_Paraleuc_albella	Lep_Noctu_1_1	Lep_Tortr_Gypsonom_haimbach	Lep_1_1_1	Neu_Chrys_Argia_5	Neu_Raphi_1_1	Odo_Coena_1_1	Ort_Gryll_Oecanthu_1	Ort_Tetti_1_1	Thy_Thrip_1_1	Thy_1_1_2	Hem_Aphid_Pemphigu_betae
fr_00	0	1	0	2	0	0	0	0	0	0	4	2	2	3	1	0	5	0	4	1	1	0	1	1	0	39	5	0	2	3	5	2	1	1	0	0	17	20	0	6	0	59	12	14	10	4	19	6	0	0	0	0	0	0	0	0	3	1	4	8	0	1	1	0	8	1	3	1	5	0	108	259	0	1	0	26	0	1	1	1	0	6	0
fo_00	332	1	0	6	1	1	3	4	0	0	0	2	0	7	2	0	4	1	2	0	0	0	0	3	0	25	5	0	1	6	8	2	10	135	0	0	1	0	0	6	0	57	19	36	11	2	35	0	2	5	0	0	0	1	5	0	6	0	2	18	1	2	0	1	3	0	28	4	3	0	52	138	0	6	0	33	0	1	0	1	0	5	8
bc_00	1	3	0	0	0	2	2	2	0	0	2	5	0	1	1	0	4	0	5	0	1	1	0	2	0	14	2	0	4	2	2	0	14	0	0	0	0	0	114	6	2	29	4	22	9	0	11	5	0	0	0	1	0	0	1	0	2	0	0	11	0	0	0	0	6	2	0	3	3	0	27	25	1	8	0	28	0	0	0	5	0	3	267
na_00	2	3	0	4	0	1	0	0	0	1	0	2	0	4	1	0	2	0	0	0	0	0	0	1	0	4	1	0	0	4	10	0	4	0	0	7	0	0	151	4	1	22	8	21	5	2	4	2	0	4	1	0	0	1	3	0	1	0	6	14	0	0	0	1	3	0	3	4	14	0	26	31	0	5	0	75	0	0	0	0	0	8	251
fr_01	3	0	1	2	0	1	1	2	0	0	0	1	2	5	0	0	5	1	1	0	0	0	0	1	0	32	24	0	2	0	4	1	0	35	0	0	4	13	0	2	0	17	8	1	2	3	17	0	0	1	0	0	1	0	10	13	0	0	2	50	0	1	0	0	7	0	1	1	6	0	50	502	0	2	0	83	0	1	0	0	1	6	0
fo_01	160	2	2	9	1	2	1	2	0	1	0	2	0	5	0	1	5	0	0	0	0	0	0	3	0	44	14	0	4	1	4	2	0	74	0	0	0	0	0	3	0	10	12	5	2	0	11	14	0	1	0	0	0	0	7	4	4	0	3	31	1	0	1	0	5	0	19	9	8	0	21	337	0	6	0	68	1	0	0	0	3	5	5
bc_01	1	4	0	6	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	30	10	0	1	0	1	0	1	38	0	4	0	0	2	3	0	24	8	11	3	0	11	7	0	2	0	0	15	0	3	9	0	0	7	67	0	0	0	0	1	0	1	11	7	2	5	103	0	2	0	124	0	0	0	0	7	4	126
na_01	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	4	26	6	1	2	0	1	0	2	25	0	3	0	0	26	1	0	12	6	3	3	1	6	3	0	0	0	0	0	0	0	10	0	0	4	69	1	0	0	0	4	0	1	15	2	0	6	50	0	3	0	138	0	0	0	0	1	0	133
fr_02	0	2	1	0	0	0	0	1	9	0	0	1	0	1	0	0	3	0	0	0	1	0	0	1	0	4	12	1	11	0	6	1	0	31	1	0	2	10	0	0	0	48	8	8	0	0	12	4	0	0	0	1	0	0	36	6	0	0	0	129	0	0	0	0	1	4	1	0	9	0	19	393	0	0	0	7	0	1	0	0	1	2	0
fo_02	918	10	0	3	1	0	0	4	4	0	0	0	0	1	0	0	4	0	0	1	0	0	1	0	6	11	30	1	15	0	29	0	1	48	0	0	1	0	0	1	0	12	14	10	0	1	21	5	0	0	0	0	0	0	7	2	0	0	2	157	0	0	5	0	3	0	1	43	11	0	6	659	0	6	0	13	0	0	0	0	2	6	2
bc_02	0	6	1	3	0	0	0	3	9	0	0	0	0	2	0	0	4	0	0	0	0	0	1	0	3	9	11	0	15	0	9	1	2	28	0	7	0	0	0	1	0	70	6	8	0	0	18	0	0	0	0	0	0	0	4	3	0	0	1	193	0	0	1	0	1	0	9	27	0	0	1	106	0	7	0	50	0	1	0	0	0	1	1921
na_02	0	4	0	2	1	0	1	3	10	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	6	2	7	2	9	0	10	0	3	28	0	6	0	0	24	0	0	36	4	3	0	0	6	0	0	0	0	0	0	0	0	1	0	0	1	172	0	0	3	0	1	0	0	53	4	0	1	106	0	7	9	129	0	0	0	1	2	3	1705
fr_03	2	9	0	0	0	0	0	4	1	1	0	1	0	1	3	0	3	0	0	0	2	2	0	0	0	23	24	0	10	0	0	6	0	31	7	0	13	3	0	11	4	78	31	21	0	6	130	7	0	0	3	9	42	0	1	41	5	0	12	41	0	0	2	0	4	7	1	0	1	0	87	63	0	3	25	3	0	2	0	0	4	0	0
fo_03	601	17	0	0	0	0	0	4	0	0	0	0	0	1	1	0	4	0	0	0	0	1	0	0	6	36	17	5	25	0	0	9	3	74	0	0	0	0	0	14	0	65	36	50	0	2	80	10	0	0	9	2	1	0	5	9	0	1	4	74	0	0	0	2	9	0	5	7	1	1	46	59	2	4	28	6	2	2	2	2	6	0	0
bc_03	0	34	0	0	0	0	0	1	0	0	0	0	0	0	2	8	2	1	0	1	0	1	0	1	10	29	20	1	15	0	0	7	15	65	0	3	0	0	12	18	3	112	23	42	0	3	56	9	1	1	19	1	234	1	5	2	1	0	5	61	0	0	2	0	7	0	24	8	0	0	21	6	1	6	16	9	0	0	0	3	9	0	282
