"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,6.0696,6.47810526315789,6.56457831325301,6.20358974358974,5.43875,4.1925,4.52886075949367,7.12702702702703,6.36315789473684,7.284,8.48810810810811,11.072125,6.81454545454545,8.38791208791209,8.00930232558139,7.14344827586207,8.67008,7.15522123893805,8.0209756097561,10.001,10.710303030303,9.06,9.83818181818182,10.351,9.27888888888889,8.44276923076923,7.6552,10.5228099173554,11.4911111111111,9.86333333333333,10.394,5.98571428571428,10.4211111111111,10.0021761658031,10.1392,8.25414634146341,8.3032,10.9973493975904,9.76943396226415,7.23478991596639,5.02846153846154,5.06666666666667,5.56545454545455,5.06,5.64717948717949,4.9368,4.39818181818182,4.69589743589744,3.81034482758621,6.79063291139241,7.56666666666667,6.13948717948718,9.48823529411765,5.19424657534247,5.95317647058824,5.75454545454545,7.20296296296296,7.06523809523809,5.24830769230769,6.2321568627451,9.26413793103448,7.56857142857143,8.2808,7.70164383561644,9.52277777777778,8.55971014492754,8.43148936170213,10.4968,9.51846153846154,8.64142857142857,8.98610169491525,8.47275362318841,8.73777777777778,8.67944444444444,8.58705882352941,10.0146153846154,7.83316455696203,9.60842105263158,9.7031746031746,8.84837209302326,8.13772357723577,9.43882352941176,10.0816666666667,6.55515527950311,8.88,4.60210526315789,3.82363636363636,4.36262295081967,3.76363636363636,4.7740350877193,8.75874125874126,6.9790977443609,10.5652182741117,4.70218905472637,5.02074074074074,5.21062068965517,6.15461538461538,5.44291666666667,6.2180198019802,11.6939755766621,11.4408403361345,11.3157142857143,8.84341463414634,11.2605776173285,10.8534693877551,9.9944,11.2791362126246,11.2204705882353,8.86,11.05269035533,11.2377215189873,11.1250931677019,8.43555555555556,11.5109684947491,9.88272727272727,10.965527638191,8.43169230769231,11.18,10.0493069306931,8.40769230769231,9.59642105263158,7.063,9.08074074074074,7.57410526315789,8.884,8.87333333333333,7.59508196721311,9.50158415841584,7.45214285714286,8.75706666666667,10.1959223300971,9.86846153846154,10.8377059773829,7.10134831460674,8.60736842105263,9.31888888888889,8.15909090909091,9.48252427184466,8.61076923076923,10.595033557047,10.712380952381,8.79234726688103,8.80311111111111,8.99194029850746,10.4752083333333,9.41621052631579,9.94529411764706,9.98222222222222,9.76941176470588,10.131746031746,10.2407092198582,10.4326315789474,9.146,10.9987951807229,10.2133333333333,10.4565853658537,9.21779527559055,9.89594936708861,9.68070588235294
"fr2_00",6.0696,0,7.21389473684211,7.51807228915663,7.23076923076923,6.75875,5.891875,6.03341772151899,7.80072072072072,7.24421052631579,7.944,8.72540540540541,11.561375,7.42909090909091,8.58065934065934,8.72279069767442,7.93724137931035,9.04544,7.95716814159292,8.78146341463415,10.114,10.8593939393939,9.19659574468085,9.18181818181818,10.536,9.48444444444444,9.03630769230769,8.248,10.8264462809917,11.5348148148148,10.1866666666667,10.577,6.99809523809524,10.6288888888889,10.2715025906736,10.3136,8.73951219512195,8.5296,11.2368674698795,9.86037735849057,8.03327731092437,6.43346153846154,6.54,6.80121212121212,6.49785714285714,6.89948717948718,6.4624,6.03418181818182,6.24547008547009,5.67724137931034,7.74177215189873,8.61079365079365,7.27948717948718,10.2472549019608,6.66931506849315,7.10164705882353,7.01922077922078,8.02,7.82619047619048,6.60738461538462,7.43607843137255,9.55310344827586,8.08444444444445,8.7328,8.32602739726027,9.87555555555556,8.92985507246377,9.14382978723404,10.3972,9.44307692307692,9.19357142857143,9.27322033898305,8.91246376811594,9.22666666666667,9.23277777777778,9.06196078431373,10.3846153846154,8.44101265822785,9.85578947368421,9.90603174603175,9.32744186046512,8.74243902439025,9.49411764705882,9.64,7.67130434782609,9.044,6.27421052631579,5.68831168831169,6.04131147540984,5.67333333333333,6.36245614035088,9.40895104895105,7.94586466165414,11.2024771573604,6.34567164179104,6.51259259259259,6.65048275862069,7.40230769230769,6.87625,7.37148514851485,11.8102035278155,11.5891596638655,11.4292857142857,9.55479674796748,11.4493862815884,11.0974693877551,10.0394666666667,11.4939534883721,11.3204705882353,9.24296296296296,11.266192893401,11.4459071729958,11.2454658385093,8.90444444444445,11.6694982497083,10.2840909090909,11.216783919598,8.97846153846154,11.407311827957,10.510495049505,8.62461538461539,9.4421052631579,7.688,9.11259259259259,8.13178947368421,9.01866666666667,9.04333333333333,8.19344262295082,9.33663366336634,7.96142857142857,9.02933333333333,9.96466019417476,9.72423076923077,11.3881098546042,7.82651685393258,8.95421052631579,9.27833333333333,8.71818181818182,9.54563106796117,8.93476923076923,10.5857718120805,10.5411904761905,8.84861736334405,9.07377777777778,9.27223880597015,10.5454166666667,9.392,9.95117647058824,10.0182222222222,9.98470588235294,9.86031746031746,10.034609929078,10.3713684210526,9.26333333333333,10.9361445783133,10.2804761904762,10.3965853658537,9.24818897637795,9.59848101265823,9.88282352941176
"fr3_00",6.47810526315789,7.21389473684211,0,7.63119847812302,7.41997300944669,7.14144736842105,6.32565789473684,6.52205196535643,7.95419630156472,7.13056325023084,7.93172932330827,8.4796586059744,12.076875,7.39425837320574,8.07738577212261,8.95324357405141,8.05898366606171,8.93094736842105,8.15742897065673,9.23671373555841,9.84526315789474,10.7438596491228,8.77267637178051,8.43062200956938,10.4102631578947,9.34356725146199,9.16842105263158,8.47494736842105,10.7765115267508,11.2680311890838,10.1415204678363,10.4210526315789,7.33082706766917,10.4312865497076,10.2845377692937,10.1772631578947,8.66572528883184,8.19410526315789,11.1537095751427,9.64309831181728,8.25139318885449,6.86417004048583,7.04417862838915,7.22966507177033,6.99971804511278,7.33454790823212,6.87115789473684,6.48248803827751,6.7527665317139,6.2016333938294,8.00719520319787,9.0843776106934,7.70364372469636,10.7800825593395,7.27584715212689,7.45758513931889,7.59521531100479,8.21052631578947,7.77919799498747,7.08744939271255,7.87275541795666,9.58838475499093,8.08070175438596,8.79663157894737,8.61326604181687,9.88786549707602,8.95942028985507,9.35408734602464,9.89842105263158,9.03400809716599,9.35075187969925,9.33380909901873,9.03127383676583,9.43859649122807,9.43830409356725,9.237564499484,10.4868421052632,8.61385742838108,9.59639889196676,9.76608187134503,9.36107711138311,8.73581514762516,8.84520123839009,8.35657894736842,8.00869565217391,8.7821052631579,6.7387811634349,6.19781271360219,6.52993960310613,6.25566188197767,6.85650969529086,9.66411483253589,8.17688959240206,11.808709591237,6.9172034564022,6.94775828460039,7.09931034482759,7.77186234817814,7.32927631578947,7.80969254820219,11.6203527815468,11.4951791242813,11.315507518797,9.62336328626444,11.3694470834125,11.0260365198711,9.82666666666667,11.4055254415108,11.0380185758514,9.54074074074074,11.1415442158696,11.3354208305574,11.1059823471723,9.23450292397661,11.5813302217036,10.3188995215311,11.1873049457815,9.06712550607288,11.2903225806452,10.5756122980719,8.19352226720648,8.69739612188366,7.57,8.65575048732943,8.11412742382271,8.85142857142857,8.45248538011696,8.24227782571182,8.68097967691506,7.46221804511278,8.84505263157895,9.34215636177823,9.08987854251012,11.9493240370717,7.9551744529864,8.86149584487535,8.77353801169591,8.81842105263158,9.29064895247828,8.73765182186235,10.1915930766514,9.96798245614035,8.62633271281097,8.89005847953216,9.18507462686567,10.2792763157895,8.95102493074792,9.56702786377709,9.66233918128655,10.0368421052632,9.09465329991646,9.34162000746547,9.94459833795014,9.00017543859649,10.5101458465441,9.91165413533835,10.0193838254172,8.84401160381268,8.70752831445703,9.66352941176471
"fr4_00",6.56457831325301,7.51807228915663,7.63119847812302,0,7.33178869323448,6.97703313253012,6.26769578313253,6.59966448070764,8.30207315749484,7.53836398224477,8.32943201376936,9.06870726147835,12.0102786144578,7.88718510405257,8.80881768833576,9.12608573830205,8.33423348566681,8.72327710843373,8.32668728009383,9.30913899500441,9.82650602409639,9.51460387002556,9.00948474750064,9.5815991237678,9.73674698795181,9.28681392235609,8.9306765523633,8.61590361445783,9.84347306581699,10.425702811245,9.3326639892905,9.80180722891566,7.58864027538726,9.8591030789826,9.23946563455896,9.58746987951807,8.6273875991772,8.76915662650602,10.1900130643054,9.50602409638554,8.31730282474436,6.89272474513438,6.92168674698795,7.27820372398686,6.94761187607573,7.05699721964782,6.69799196787149,6.38795180722892,6.64308516115745,6.05754050685501,8.08967515632149,8.9776247848537,7.45319740500463,10.677769903142,7.13434560158442,7.29383416017009,7.55327804725395,8.16064257028112,8.07343660355708,7.10454124189064,7.65946137491141,9.29123390112173,7.95582329317269,8.68867469879518,8.60257468229081,9.36161311914324,9.05412956172516,8.79492437836452,9.83722891566265,9.61167747914736,8.82271944922547,9.20196038390852,8.67295268028636,9.49330655957162,9.11546184738956,8.88731396172927,9.68744207599629,8.4918407808449,9.35605580215599,9.33945305029642,9.32053796581676,8.72445881085317,9.55563430191354,9.69528112449799,7.79757539474669,9.33132530120482,6.55611921369689,6.07526208731028,6.40667588386332,6.10679079956188,6.73789896427817,9.58690706883478,8.05806685388169,11.687138401321,6.78906671461967,6.95113788487282,7.05666805151641,7.717562557924,7.29229417670683,7.6991530478349,10.4224714325416,10.3245418649387,10.3266996557659,8.88265256146537,10.2993780174851,10.0567986230637,9.86008032128514,10.2249129407997,10.2160170092133,9.51628737170906,10.1116751269036,10.1964821310559,10.1140462471002,9.46385542168675,10.3421293107084,9.61938663745893,10.0774959133014,8.99267840593142,10.193289286177,9.61600858881069,8.86839666357739,9.50488268864933,8.06385542168675,9.41588576528336,8.32263792010146,8.53757888697648,9.1954484605087,8.55382184475607,9.40355481331266,8.15038726333907,9.25510040160643,10.1968651304246,9.94647822057461,11.8435875975631,8.26275890077163,9.23145212428662,9.37801204819277,9.13335158817087,9.45783132530121,8.92622798887859,10.1049567397105,9.92276247848537,8.1139348390346,8.99036144578313,9.35101600431577,9.98707329317269,9.39873176918199,9.7524805102764,9.72275769745649,10.206591070163,9.70156817747179,9.737930445185,9.76030437539632,9.3066265060241,10.2289882421251,9.73135398737808,9.92256832206876,9.40755146570534,9.62452341009608,9.24663359319631
"fr5_00",6.20358974358974,7.23076923076923,7.41997300944669,7.33178869323448,0,6.53525641025641,5.90785256410256,5.99318403115872,7.94040194040194,7.32568600989654,8.0981684981685,9.04573804573805,11.6181891025641,7.62004662004662,8.81769512538743,8.84317233154442,8.06940760389036,8.56841025641026,8.0310869071931,8.86804252657911,9.73974358974359,9.5,8.97708674304419,9.84382284382284,9.60576923076923,9.08190883190883,8.63747534516765,8.29025641025641,9.63318499682136,10.3941120607787,9.20584045584046,9.74230769230769,7.14774114774115,9.76709401709402,9.12740799787432,9.45230769230769,8.36647904940588,8.72,10.0349088662342,9.41364296081277,8.10579616461969,6.54733727810651,6.61344211344211,6.90753690753691,6.54029304029304,6.69526627218935,6.4225641025641,6.11375291375291,6.34933158010081,5.80061892130858,7.9016553067186,8.65730565730566,7.14266929651545,10.2807943690297,6.69020021074816,6.95656108597285,7.06560106560107,7.95346628679962,8.01465201465201,6.74871794871795,7.33660130718954,9.12732095490716,7.84859584859585,8.57025641025641,8.32595714787496,9.20833333333333,8.90746934225195,8.57992362247681,9.88179487179487,9.60157790927022,8.61172161172161,8.99130812690135,8.46265328874025,9.26780626780627,8.80413105413105,8.6691804927099,9.45611439842209,8.44076598506978,9.27327935222672,9.31013431013431,9.28205128205128,8.77027308734626,9.63800904977376,9.89209401709402,7.6171364867017,9.22307692307692,6.29487179487179,5.78421578421578,6.11475409836066,5.81779331779332,6.48762932973459,9.45813161197777,7.94139194139194,11.2596902251725,6.45299145299145,6.67094017094017,6.79504862953139,7.50542406311637,6.96287393162393,7.41279512566641,10.3408134154403,10.1966171083818,10.3083791208791,8.80175109443402,10.1979079885217,9.92883307169022,10.0615384615385,10.1393645114575,10.1625942684766,9.27730294396961,10.0024729923207,10.0804933463161,10.1501831501831,9.08689458689459,10.2095263740538,9.50437062937063,9.923205772452,9.03136094674556,10.0692031982355,9.42929677583143,8.70742932281394,9.6191632928475,7.75,9.37986704653371,7.9468286099865,8.43614163614164,9.26460113960114,8.19041614123581,9.55242447321655,8.17811355311355,9.07965811965812,10.252427184466,9.98471400394477,11.4211921627107,7.88706424661481,9.05060728744939,9.43055555555556,8.82342657342657,9.49215832710978,8.88205128205128,10.061779383927,9.99496336996337,8.08772363756287,8.84330484330484,9.14504401071565,9.90998931623932,9.38245614035088,9.68137254901961,9.66239316239316,10.026395173454,9.83374033374033,9.83560647390435,9.7940620782726,9.20897435897436,10.2426629595304,9.68589743589744,9.95528455284553,9.35029275186755,9.79974034404414,9.23438914027149
"fr6_00",5.43875,6.75875,7.14144736842105,6.97703313253012,6.53525641025641,0,5.09619140625,5.24960443037975,7.7088963963964,7.05592105263158,7.88303571428571,8.99915540540541,11.52431640625,7.35227272727273,8.88598901098901,8.57013081395349,7.72252155172414,8.65475,7.69247787610619,8.54192073170732,9.99765625,9.88020833333333,9.20744680851064,10.2642045454545,9.970703125,9.25434027777778,8.58461538461538,8.07125,9.98269628099174,10.8874421296296,9.44704861111111,10.0359375,6.64583333333333,10.0963541666667,9.38568652849741,9.781875,8.37271341463415,8.735,10.4388177710843,9.66214622641509,7.71953781512605,5.85757211538462,5.87784090909091,6.33901515151515,5.82142857142857,6.15584935897436,5.705,5.29318181818182,5.55635683760684,4.84590517241379,7.42167721518987,8.20486111111111,6.65224358974359,10.0173100490196,5.94905821917808,6.47242647058824,6.46996753246753,7.64583333333333,7.6875,6.06201923076923,6.796875,9.21875,7.77678571428571,8.48125,8.0847602739726,9.35850694444444,8.80932971014493,8.48470744680851,10.3253125,9.83173076923077,8.61941964285714,9.05985169491525,8.47327898550725,9.05295138888889,8.71788194444444,8.6421568627451,9.67487980769231,8.15901898734177,9.53536184210526,9.50297619047619,9.07994186046512,8.51016260162602,9.86488970588235,10.5364583333333,7.05648291925466,9.2578125,5.47985197368421,4.86323051948052,5.28483606557377,4.83001893939394,5.67050438596491,9.1722027972028,7.50046992481203,11.068845177665,5.60043532338308,5.93315972222222,6.05969827586207,6.88040865384615,6.265625,6.84931930693069,10.9195217096336,10.7135635504202,10.7179129464286,8.76905487804878,10.629738267148,10.3142857142857,10.0741666666667,10.593646179402,10.6856617647059,9.12152777777778,10.4539974619289,10.5527426160338,10.5192158385093,8.86805555555556,10.7433270128355,9.642578125,10.3477543969849,8.75745192307692,10.5433467741935,9.64170792079208,8.75160256410256,9.83388157894737,7.559375,9.54050925925926,7.79078947368421,8.66815476190476,9.33094618055556,8.00922131147541,9.79207920792079,8.10881696428571,9.10875,10.5946601941748,10.2506009615385,11.2898323909531,7.56601123595506,9.0094572368421,9.60546875,8.61789772727273,9.61802184466019,8.87980769230769,10.4660234899329,10.5083705357143,8.42473874598071,8.90138888888889,9.16091417910448,10.2547200520833,9.61381578947368,9.96920955882353,9.97534722222222,10.0772058823529,10.281994047619,10.2743794326241,10.1871710526316,9.33489583333333,10.6923945783133,10.0509672619048,10.2980182926829,9.51697834645669,10.2341772151899,9.44338235294118
"fr7_00",4.1925,5.891875,6.32565789473684,6.26769578313253,5.90785256410256,5.09619140625,0,4.20688291139241,7.00140765765766,6.13377192982456,7.14821428571429,8.45439189189189,11.21328125,6.66193181818182,8.33516483516484,7.93495639534884,6.98706896551724,8.456125,6.95215707964602,7.95807926829268,9.84140625,10.3302556818182,8.92353723404255,9.96875,10.064453125,9.09895833333333,8.19278846153846,7.57,10.1474690082645,11.1605902777778,9.52170138888889,10.1015625,5.83184523809524,10.1163194444444,9.68717616580311,9.86,8.04649390243902,8.305,10.6253765060241,9.60436320754717,7.06827731092437,4.73377403846154,4.73248106060606,5.31818181818182,4.74930245535714,5.33253205128205,4.53833333333333,4,4.35603632478632,3.36476293103448,6.59216772151899,7.43501984126984,5.86418269230769,9.49969362745098,4.87071917808219,5.67169117647059,5.48376623376623,6.99884259259259,6.87648809523809,4.94855769230769,5.94025735294118,9.14116379310345,7.40922619047619,8.175,7.61215753424657,9.28211805555556,8.4741847826087,8.13198138297872,10.3325,9.55528846153846,8.41294642857143,8.89300847457627,8.32019927536232,8.62413194444444,8.47395833333333,8.42585784313725,9.70492788461539,7.71162974683544,9.3610197368421,9.50545634920635,8.70130813953488,7.95528455284553,9.41084558823529,10.1471354166667,6.26785714285714,8.8171875,4.18421052631579,3.37784090909091,3.95414959016393,3.32244318181818,4.40679824561404,8.67111013986014,6.72979323308271,10.6682106598985,4.3222947761194,4.68084490740741,4.87672413793103,5.86959134615385,5.12239583333333,5.95049504950495,11.2663246268657,11.046743697479,10.9877232142857,8.45096544715447,10.8761281588448,10.478443877551,9.92708333333333,10.860153654485,10.8669117647059,8.79861111111111,10.65625,10.8235759493671,10.7928959627329,8.375,11.0981257292882,9.56782670454546,10.581972361809,8.29134615384615,10.7657930107527,9.65470297029703,8.33333333333333,9.58848684210526,6.9109375,9.08796296296296,7.3875,8.67678571428571,8.80099826388889,7.45338114754098,9.47710396039604,7.30691964285714,8.67958333333333,10.2745752427184,9.92307692307692,10.9608239095315,6.94276685393258,8.5172697368421,9.28298611111111,8.04119318181818,9.40200242718447,8.48557692307692,10.4309983221477,10.5455729166667,8.56872990353698,8.66388888888889,8.85960820895522,10.2472330729167,9.3483552631579,9.81433823529412,9.834375,9.80422794117647,10.0855654761905,10.1493794326241,10.2509868421053,9.06302083333333,10.7789909638554,9.98474702380952,10.2980182926829,9.17027559055118,9.90189873417722,9.44301470588235
"fr8_00",4.52886075949367,6.03341772151899,6.52205196535643,6.59966448070764,5.99318403115872,5.24960443037975,4.20688291139241,0,7.01710571330825,6.44814568065734,7.32405063291139,8.64864864864865,11.2019382911392,6.7307249712313,8.58130477117819,8.06358551663232,7.13247490178961,8.67655696202532,7.01579477988126,7.89286816918802,10.0512658227848,10.686996547756,9.17479127390251,10.1818181818182,10.3474683544304,9.2134317862166,8.36319376825706,7.55949367088608,10.4351919656868,11.5482887951242,9.82454289732771,10.4291139240506,5.79324894514768,10.4602672292546,9.91900045910671,10.1063291139241,8.17320160543378,8.43291139240506,10.9666005795333,9.79388583711488,7.21497713009254,5.01484907497566,5.1029919447641,5.51016494054469,4.97016274864376,5.5603700097371,4.98616033755274,4.47525891829689,4.73385264524505,3.94609340899171,6.83352026918763,7.64556962025316,6.1123012009088,9.56043683296103,5.06623894572568,5.88682055100521,5.58688147295742,7.22691045475856,7.24804098854732,5.15150925024343,6.18875651526433,9.22217372326495,7.63411693791441,8.29822784810127,7.62493497485694,9.50263713080169,8.53439735828288,8.41529760301643,10.6591139240506,9.67185978578384,8.59855334538879,8.90023600085818,8.39185470555861,8.65752461322082,8.5112517580872,8.51427153139737,9.90822784810127,7.91299471238584,9.68854097268488,9.76371308016878,8.92993818074772,8.33775856745909,9.71258376768429,10.4868143459916,6.58738894567183,8.85189873417722,4.70886075949367,3.94657241492685,4.43909524797676,3.88243191407748,4.86875416389074,8.89200672744976,7.09441324831065,10.66272569556,4.70722337678695,5.10689170182841,5.25979921431689,6.24805258033106,5.46954113924051,6.19751848602582,11.7139446610446,11.4135198383151,11.3703661844485,8.94483894206031,11.2585568706302,10.8289847584603,10.2104641350211,11.2963118718197,11.2976917349218,8.75480543834974,11.0572511726531,11.2297708700529,11.2063841496973,8.22151898734177,11.4798162562959,9.88089758342923,10.9304751606132,8.58179162609542,11.1871512181843,10.0023812507833,8.40019474196689,9.78334443704197,6.96835443037975,9.26207219878106,7.3489673550966,8.8671488848704,9.12253867791842,7.44801826105001,9.73054267452062,7.72310126582278,8.78295358649789,10.4629470320757,10.1088120740019,10.93621807325,6.9149480870431,8.63324450366422,9.48118846694796,8.05092059838895,9.62824136659703,8.73670886075949,10.7069917594087,10.8896172393008,8.85575318490781,8.7817158931083,8.92782920838844,10.4731012658228,9.52098600932712,10.003164556962,10.0606188466948,9.86187639612807,10.3872814948764,10.4381901427417,10.54363757495,9.18586497890295,11.1092725331707,10.2955093429777,10.571935782649,9.29781720322934,10.2095817977888,9.75026061057334
"fr9_00",7.12702702702703,7.80072072072072,7.95419630156472,8.30207315749484,7.94040194040194,7.7088963963964,7.00140765765766,7.01710571330825,0,7.87908961593172,8.48597168597169,9.15144874604334,12.0570664414414,8.04914004914005,8.9016929016929,9.26021370207417,8.39375582479031,9.27632432432432,8.41768316989556,9.24983520105471,10.2702702702703,10.962052962053,9.49108683151236,9.5978705978706,10.6873873873874,9.63738738738739,9.3011781011781,8.5372972972973,11.0186136549773,11.5960960960961,10.3978978978979,10.7292792792793,7.74345774345774,10.8591091091091,10.3664286047706,10.4237837837838,9.12898264117776,8.82774774774775,11.3380006512537,10.0754716981132,8.36694677871149,7.29002079002079,7.44512694512695,7.36172536172536,7.25965250965251,7.58731808731809,7.43567567567568,7.13611793611794,7.1958111958112,6.87589313451382,8.28475310753792,9.3008723008723,7.88288288288288,10.8116940469882,7.43761569788967,7.75294117647059,7.23107523107523,8.45645645645646,8.45066495066495,7.38461538461539,8.04689984101749,9.62566014290152,8.38123838123838,8.96504504504504,8.36949278045168,9.98886386386386,8.87348217783,9.45888441633122,10.5330630630631,9.38045738045738,9.43050193050193,9.24553366926248,9.05248726987857,8.98548548548549,9.36936936936937,9.10987458046282,10.4509702009702,8.64112213479302,10.0756282598388,10.0882310882311,9.48082966687618,9.12685856588296,9.69104398516163,9.64001501501502,8.27318001231045,9.18738738738739,7.366524419156,6.89200889200889,7.08772707133363,6.86827736827737,7.33428165007112,9.76740376740377,8.51398767188241,11.7262633191567,7.23190354533638,7.45845845845846,7.46032929481205,8.16406791406791,7.72907282282282,7.91213986263491,11.8687887344604,11.622113710349,11.4235038610039,9.98417930125247,11.4621914333106,11.1830851259423,10.0122522522523,11.5824129777618,11.4427133015368,9.12078745412079,11.3506653861984,11.5509180066142,11.2646746125007,8.66916916916917,11.7100823110158,10.4474815724816,11.3173525284078,9.19022869022869,11.5374406664729,10.7417714744447,8.93647493647494,9.60426742532006,8.14504504504504,9.41374708041375,8.43044096728307,9.13153153153153,9.42892892892893,8.39418106631221,9.49273035411649,8.51689189189189,9.18966966966967,10.0600017493221,9.96586971586972,11.8752856248817,8.15872051827108,9.10976766239924,9.3267017017017,8.83763308763309,9.6499606402519,9.28981288981289,10.699498155874,10.597543972544,8.90275484487703,9.14234234234234,9.26852225359688,10.6240615615616,9.3384542437174,9.84300476947536,10.070970970971,10.2000529941706,10.0063635063635,10.0282410069644,10.4365101944049,9.16471471471471,10.99375881906,10.3012655512656,10.3947484069435,9.34326452436689,9.70703615007412,10.0820349761526
"fr10_00",6.36315789473684,7.24421052631579,7.13056325023084,7.53836398224477,7.32568600989654,7.05592105263158,6.13377192982456,6.44814568065734,7.87908961593172,0,7.92932330827068,8.60312944523471,12.1118969298246,7.45454545454545,8.18874108347793,8.98041615667075,8.03055051421657,8.83536842105263,8.06023909330849,9.2387676508344,9.75,10.4675704412547,8.73833519970138,8.70494417862839,10.2131578947368,9.27826510721247,9.00053981106613,8.52631578947368,10.4860084094534,10.9922027290448,9.89863547758284,10.2,7.41771094402673,10.1993177387914,10.0962639760022,9.99578947368421,8.63457424047925,8.38456140350877,10.8199112238427,9.60443561734525,8.23765295591921,6.77564102564103,6.89500265816055,7.12546517809676,6.88784461152882,7.22334682860999,6.67345029239766,6.32057416267943,6.63082920977658,5.97791893526921,7.97246280257606,9.03759398496241,7.59199280251912,10.7635018919849,7.12160538332132,7.37667698658411,7.39325586694008,8.14230019493177,7.77610693400167,6.95033738191633,7.7452700378397,9.59830611010284,8.07435254803676,8.86736842105263,8.63710646479212,9.75462962962963,8.96796338672769,9.16274729376633,9.83912280701754,9.12145748987854,9.27067669172932,9.36544751709783,9.03839308415967,9.35282651072125,9.35282651072125,9.19160646714826,10.2358299595142,8.63713080168776,9.43998153277932,9.70927318295739,9.3202774377805,8.68692055341606,8.89783281733746,8.47002923976608,7.88656423667865,8.82105263157895,6.53093259464451,5.96605149236728,6.32815645671556,6.02791068580542,6.68174823022468,9.62569009937431,8.06080991953568,11.8118443316413,6.71153006895348,6.78427550357375,6.92692075015124,7.64203778677463,7.1781798245614,7.67483064095883,11.2170011188079,11.140498304585,11.0252192982456,9.33319070032806,11.0121603648109,10.6866451843895,9.84584795321637,11.0235472401935,10.7209494324045,9.51656920077973,10.7808353370736,10.9628395884225,10.8277214776071,9.20955165692008,11.2082949497431,10.0594098883573,10.8615004848805,9.01740890688259,10.9062441048859,10.2464825429911,8.31443994601889,8.85540166204986,7.58859649122807,8.75243664717349,8.11892890120037,8.74235588972431,8.56091617933723,8.20995110727639,8.79972207747091,7.46898496240601,8.8540350877193,9.46908533469596,9.25910931174089,11.970013887708,7.95643603390499,8.85133887349954,8.8530701754386,8.77791068580542,9.30045988758303,8.72793522267206,10.0833627693395,9.8672723475355,8.48180741242173,8.85263157894737,9.13825608798115,10.1059941520468,8.95863342566944,9.50128998968008,9.57329434697856,10.0500515995872,9.1499582289056,9.33022271992037,9.84893813481071,8.9733918128655,10.362819699852,9.74624060150376,9.93474540008558,8.8952894046139,8.80213191205863,9.53622291021672
