"","fr_00","fo_00","bc_00","na_00","fr_01","fo_01","bc_01","na_01","fr_02","fo_02","bc_02","na_02","fr_03","fo_03","bc_03","na_03"
"fr_00",0,17.2106642732847,15.1472293450389,15.0037348085761,10.5736792000846,13.980523013199,13.9258377156765,14.1689871827092,11.5251287574086,17.4915241979004,15.8618137969128,15.6998589087643,13.6893173337236,19.1979105116677,15.5497920687382,15.029554443123
"fo_00",17.2106642732847,0,18.1166277517155,18.1116135668306,17.1902085077543,17.3542625856351,17.8987011688766,18.0407911144143,17.3077368421686,17.3267359311633,18.2549934105839,18.2620801891635,17.5683652493779,17.5288635644191,18.0432577884041,17.8122984228247
"bc_00",15.1472293450389,18.1166277517155,0,11.7032886926457,15.4928591662148,17.2232045354027,13.8820419469727,13.370382477934,15.2293547557106,20.0228979571161,9.86957562999122,10.1458392603129,14.5518073665176,19.64234363687,12.8821652161577,12.9647026657553
"na_00",15.0037348085761,18.1116135668306,11.7032886926457,0,15.2353079742016,17.0467181181211,13.812879845042,13.2659713356618,15.1213780900119,19.9157777428222,10.22859122266,10.4411965635996,14.6802587748519,19.6970965425259,13.1158481021863,13.2182719452875
"fr_01",10.5736792000846,17.1902085077543,15.4928591662148,15.2353079742016,0,13.3943922221007,13.7709073545004,14.0129919970047,10.9254892009479,16.9624058904034,16.1776903354869,15.9246774357781,14.173113869548,19.3563226089383,16.0796043272512,15.7274344487307
"fo_01",13.980523013199,17.3542625856351,17.2232045354027,17.0467181181211,13.3943922221007,0,16.0457882674601,16.2337800511509,14.2228231769721,16.8983041077136,17.6772004937534,17.5072833863275,16.327140052799,18.4372065755595,17.5503897733305,17.3294946651997
"bc_01",13.9258377156765,17.8987011688766,13.8820419469727,13.812879845042,13.7709073545004,16.0457882674601,0,13.6710088264139,14.0079018839875,19.0875277703402,13.284320514223,13.2891345763056,14.5781136385267,19.5289044834308,14.4668488283876,14.3591984746555
"na_01",14.1689871827092,18.0407911144143,13.370382477934,13.2659713356618,14.0129919970047,16.2337800511509,13.6710088264139,0,14.264083319557,19.3919655186844,12.5721390346903,12.5697752643948,14.6954892680242,19.7174209339775,14.2394378856511,14.1800640732265
"fr_02",11.5251287574086,17.3077368421686,15.2293547557106,15.1213780900119,10.9254892009479,14.2228231769721,14.0079018839875,14.264083319557,0,17.4128482222474,15.5931553951377,15.4943629465968,13.8730936452167,19.1597540252547,15.4907791817557,15.0347566115427
"fo_02",17.4915241979004,17.3267359311633,20.0228979571161,19.9157777428222,16.9624058904034,16.8983041077136,19.0875277703402,19.3919655186844,17.4128482222474,0,20.3849427952783,20.276682360898,19.1469986964096,16.940450575696,20.0966988040656,19.9653660356158
"bc_02",15.8618137969128,18.2549934105839,9.86957562999122,10.22859122266,16.1776903354869,17.6772004937534,13.284320514223,12.5721390346903,15.5931553951377,20.3849427952783,0,7.0816639609527,14.7284409423735,19.818884082667,11.6781371888344,12.1430936222335
"na_02",15.6998589087643,18.2620801891635,10.1458392603129,10.4411965635996,15.9246774357781,17.5072833863275,13.2891345763056,12.5697752643948,15.4943629465968,20.276682360898,7.0816639609527,0,14.851935083818,19.8724042792793,11.9667649602022,12.4322958424932
"fr_03",13.6893173337236,17.5683652493779,14.5518073665176,14.6802587748519,14.173113869548,16.327140052799,14.5781136385267,14.6954892680242,13.8730936452167,19.1469986964096,14.7284409423735,14.851935083818,0,18.8435930614158,14.147896698892,13.5391678275089
"fo_03",19.1979105116677,17.5288635644191,19.64234363687,19.6970965425259,19.3563226089383,18.4372065755595,19.5289044834308,19.7174209339775,19.1597540252547,16.940450575696,19.818884082667,19.8724042792793,18.8435930614158,0,19.2863913954972,18.9878943824207
"bc_03",15.5497920687382,18.0432577884041,12.8821652161577,13.1158481021863,16.0796043272512,17.5503897733305,14.4668488283876,14.2394378856511,15.4907791817557,20.0966988040656,11.6781371888344,11.9667649602022,14.147896698892,19.2863913954972,0,13.1133527756299
"na_03",15.029554443123,17.8122984228247,12.9647026657553,13.2182719452875,15.7274344487307,17.3294946651997,14.3591984746555,14.1800640732265,15.0347566115427,19.9653660356158,12.1430936222335,12.4322958424932,13.5391678275089,18.9878943824207,13.1133527756299,0
