"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr_00",50,21.056604798022,30.406547539554,5.97988378442121,45,-1.56356596191559,0.045,999
"fo_00",52,42.0137787481884,31.6147689388635,5.97435249124648,937,1.740608680951,0.937,999
"bc_00",45,24.823571711233,29.4811250619719,6.0861419234273,229,-0.765271892988675,0.229,999
"na_00",44,24.7171829559319,29.7496284737865,6.26935310320606,207,-0.802705707432733,0.207,999
"fr_01",46,17.9926747396705,25.5185064409655,5.54182509339755,63,-1.35800599522008,0.063,999
"fo_01",48,32.8673510823873,30.3171892416309,6.11453939489773,700,0.417065240087315,0.7,999
"bc_01",40,28.8761965063034,32.7229125218836,5.46819898744266,253,-0.703470379262716,0.253,999
"na_01",37,27.8062699432892,31.2021232211417,5.84173430516938,278,-0.581309094261188,0.278,999
"fr_02",38,25.2231876515009,26.3367798524556,5.96760195225375,442,-0.186606313535062,0.442,999
"fo_02",42,37.2865947026505,25.5876494476897,8.29633911634217,878,1.41013344451123,0.878,999
"bc_02",37,15.2585990487794,15.2863066072204,4.38264865040762,561,-0.00632210351574019,0.561,999
"na_02",38,16.9757339555561,17.1463582916143,4.7728554807418,536,-0.0357489005788446,0.536,999
"fr_03",47,28.426438070822,34.3833371971555,4.39415820175207,85,-1.35564056932641,0.085,999
"fo_03",47,42.543044170096,29.0706916101286,5.54475700411273,989,2.42974625397912,0.989,999
"bc_03",51,25.9716183668347,32.8710788837993,5.26134024700377,78,-1.31135037710091,0.078,999
"na_03",53,27.6205434857261,33.5932266012951,4.71566739164668,79,-1.26656157432753,0.079,999
