"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",12,14.4968,21.6968768768769,5.95550858580584,96,-1.20897766716974,0.096,999
"fr2_00",16,22.1096,30.4612276276276,6.19560017197846,85,-1.34799331716086,0.085,999
"fr3_00",18,22.1026038781163,31.2282676027828,5.87612454642442,56,-1.55300719931462,0.056,999
"fr4_00",17,24.4784438960662,29.7824031027689,5.9757187773006,183,-0.887585143204925,0.183,999
"fr5_00",10,22.4089414858646,29.8643943088388,6.79736035277088,117,-1.09681588676332,0.117,999
"fr6_00",16,18.17626953125,28.4813324066254,7.37861302510861,87,-1.39661245823685,0.087,999
"fr7_00",8,12.197265625,17.555810693506,5.38042043465243,147,-0.995934264540827,0.147,999
"fr8_00",13,10.3374459221279,26.5510092691634,8.02210018545296,9,-2.02111204949007,0.009,999
"fr9_00",22,23.9922084246409,31.8713467139731,6.00215922708343,85,-1.31271730576213,0.085,999
"fr10_00",13,23.2071406586642,28.3039666320676,6.77340682105259,232,-0.752475985579637,0.232,999
"fo1_00",19,30.3281632653061,32.7237703009132,5.01138548289542,340.5,-0.478032880085475,0.3405,999
"fo2_00",19,32.6106647187728,33.8291746823522,5.02151782282116,436,-0.242657699638469,0.436,999
"fo3_00",15,12.96947265625,7.25231227321071,2.15164833550674,983,2.65710724596305,0.983,999
"fo4_00",7,23.995867768595,29.2005269732542,7.63547509634241,243,-0.68164182830645,0.243,999
"fo5_00",23,25.4602101195508,33.6869636210296,4.95892991402861,42,-1.65897757058546,0.042,999
"fo6_00",18,38.4537587885343,30.8463536548988,6.27734585157917,853,1.21188242825935,0.853,999
"fo7_00",18,30.7514863258026,32.462589819308,5.33149267270345,412,-0.320942670007975,0.412,999
"fo8_00",24,25.705216,27.0188905385385,6.14830479230107,458,-0.21366451126228,0.458,999
"fo9_00",18,27.5598715639439,31.9409954241186,5.9870026758415,243,-0.731772490741187,0.243,999
"fo10_00",20,36.4711481261154,32.2945789334843,5.51253028655128,788,0.757650112657066,0.788,999
"bc1_00",18,32.33125,31.3714151651652,5.42968165004998,611,0.176775526945672,0.611,999
"bc2_00",15,11.4442148760331,14.1162422753332,4.11872943160704,279,-0.648750408025117,0.279,999
"bc3_00",16,27.168854685378,32.283218483309,6.07527415097981,206.5,-0.84183259402478,0.2065,999
"bc4_00",5,18.8760330578512,20.5700907519089,6.54325819261138,408.5,-0.258901245249747,0.4085,999
"bc5_00",14,21.0559375,21.6577784034034,5.81377016770175,501,-0.103519899487413,0.501,999
