"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",12,7.6544,9.98138938938939,1.74235224649589,74,-1.33554474651684,0.074,999
"fr2_00",16,11.5536,14.125965965966,1.75422892886664,54,-1.46637985706227,0.054,999
"fr3_00",18,10.8569529085873,14.227407684693,1.78406273339621,22,-1.88920193949101,0.022,999
"fr4_00",17,11.752068515024,13.5321223386255,1.72790632729449,143,-1.03017958524908,0.143,999
"fr5_00",10,11.6370808678501,13.7166199730302,2.00868297010912,140.5,-1.03527492198889,0.1405,999
"fr6_00",16,9.583984375,12.8013413804429,2.06903032322081,49,-1.55500717864519,0.049,999
"fr7_00",8,6.05859375,8.16863152214715,1.66720413782589,93.5,-1.26561452450492,0.0935,999
"fr8_00",13,7.18218234257331,12.230226060061,2.32541451342728,11,-2.17081457449396,0.011,999
"fr9_00",22,12.2886129372616,14.6713758641362,1.74574543333646,78,-1.36489712725222,0.078,999
"fr10_00",13,10.8550323176362,13.1121641801851,1.99914255091166,116.5,-1.12904998271364,0.1165,999
"fo1_00",19,14.5567346938776,15.1737827623542,1.48593643187349,363.5,-0.41525872523272,0.3635,999
"fo2_00",19,14.4426588750913,15.2777671755027,1.45038979229019,302,-0.575781975887179,0.302,999
"fo3_00",15,4.9401953125,3.31678670858358,0.679944850280205,966,2.38755923108677,0.966,999
"fo4_00",7,11.1487603305785,13.4866933048751,2.21532081365851,138,-1.05534736092495,0.138,999
"fo5_00",23,12.1057843255645,15.350725196879,1.46669554194153,13,-2.21241612763002,0.013,999
"fo6_00",18,16.9080584099513,14.3327800488428,1.85003988293486,884.5,1.39201234787608,0.8845,999
"fo7_00",18,14.1676575505351,14.7999926204445,1.58381720047727,368,-0.399247507678815,0.368,999
"fo8_00",24,12.063936,12.36157398999,1.78478936878712,502,-0.166763650207226,0.502,999
"fo9_00",18,12.6540841099538,14.5418156820773,1.7615916984528,140,-1.07160562449371,0.14,999
"fo10_00",20,16.8090422367638,14.7677242977659,1.56013988988195,860.5,1.30841981045196,0.8605,999
"bc1_00",18,13.5975,14.538490990991,1.60785124940068,293.5,-0.58524754161291,0.2935,999
"bc2_00",15,5.57392102846648,6.58158043259053,1.2501493777587,190,-0.806031200791868,0.19,999
"bc3_00",16,12.5432322317791,14.7473430877686,1.71331605971402,91,-1.28645899482051,0.091,999
"bc4_00",5,8.49586776859504,9.46450582814219,1.98396133556573,319.5,-0.48823434317128,0.3195,999
"bc5_00",14,9.815,10.0926970720721,1.65387459182537,489,-0.167906970361991,0.489,999
"bc6_00",16,12.6944444444444,14.3382209369864,1.66156952927352,175,-0.989291428123758,0.175,999
"bc7_00",20,13.6151479289941,14.528818048818,1.62277909827549,309,-0.56302803061422,0.309,999
"bc8_00",15,14.9568,15.2858074074074,1.49501390793364,422,-0.220069797117909,0.422,999
