"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr1_00",12,1.8,7.12620620620621,6.44322812718278,119,-0.826636291789194,0.119,999
"fr2_00",16,2.14,5.20244244244244,3.38319654737895,126.5,-0.905191998027722,0.1265,999
"fr3_00",18,0.294736842105263,4.52122648964754,2.92411505811415,1.5,-1.44539102037526,0.0015,999
"fr4_00",17,0.987951807228916,4.9652302905315,3.5864656588319,18.5,-1.10896879034887,0.0185,999
"fr5_00",10,5.43589743589744,8.90736890736891,4.72744166487345,252.5,-0.734323491977854,0.2525,999
"fr6_00",16,0.953125,5.30294356856857,4.046026487162,27.5,-1.07508405651088,0.0275,999
"fr7_00",8,0.6875,11.512840965966,9.74504678418065,8.5,-1.11085572041983,0.0085,999
"fr8_00",13,2.59493670886076,6.57274996515503,5.01003764266466,221,-0.793968736366342,0.221,999
"fr9_00",22,3.10810810810811,3.60837413990567,2.47209752797743,536,-0.202365006289562,0.536,999
"fr10_00",13,1.73684210526316,6.61984791809353,4.49978465459912,58,-1.08516433288415,0.058,999
"fo1_00",19,2.42857142857143,4.09040469040469,2.16898416611369,218,-0.766180448800084,0.218,999
"fo2_00",19,2.89189189189189,4.13610908205503,1.9817309383175,296,-0.627843652286865,0.296,999
"fo3_00",15,50.64375,5.81404842342342,9.24219790448324,987,4.8505455130787,0.987,999
"fo4_00",7,2.68181818181818,12.7524342524343,6.23356994849906,26,-1.61554553070202,0.026,999
"fo5_00",23,1.74725274725275,3.31924231924232,1.67074609612721,158.5,-0.940890764690965,0.1585,999
"fo6_00",18,3.27906976744186,4.59003189235747,3.08678560334887,421.5,-0.424701386287841,0.4215,999
"fo7_00",18,3.27586206896552,4.51945048496773,2.60589936607834,368,-0.477220429994466,0.368,999
"fo8_00",24,9.364,3.10232232232232,3.13739255118844,934,1.99582219168136,0.934,999
"fo9_00",18,3.06194690265487,4.48868337363913,2.75007305945432,348,-0.518799479191784,0.348,999
"fo10_00",20,2.82926829268293,3.9077858346151,2.4126627819848,382.5,-0.447023740733847,0.3825,999
"bc1_00",18,12,4.66343843843844,2.93160046331641,980.5,2.5025789337139,0.9805,999
"bc2_00",15,3.88636363636364,5.53796978796979,7.04159212216806,630,-0.234550102157526,0.63,999
"bc3_00",16,2.53191489361702,5.31885076565928,3.07818706047301,155.5,-0.905382232233151,0.1555,999
"bc4_00",5,5.18181818181818,16.5822185822186,10.8374647381289,121.5,-1.05194348271243,0.1215,999
"bc5_00",14,15.3875,6.07653903903904,5.83995650981671,914,1.59435450337852,0.914,999
"bc6_00",16,10.6944444444444,5.28773217662107,3.1420536197213,932,1.72075747972212,0.932,999
"bc7_00",20,10.3076923076923,3.95818895818896,2.58651484210831,972.5,2.45484899067031,0.9725,999
"bc8_00",15,4.04,5.81473473473473,2.56546524602494,261.5,-0.691778903450201,0.2615,999
"bc9_00",20,4.02479338842975,3.98981626254354,5.10043942787164,749,0.00685766910495644,0.749,999
"bc10_00",11,22.9907407407407,7.73002632261892,7.22083866238717,965,2.11342686516648,0.965,999
"na1_00",15,3.76388888888889,5.73544377711044,4.16491951265814,440.5,-0.473371665942054,0.4405,999
"na2_00",14,1.525,6.295995995996,4.59781279512139,40,-1.03766643153857,0.04,999
"na3_00",10,5.61904761904762,9.10596310596311,4.51030382697928,239.5,-0.773099910932342,0.2395,999
"na4_00",10,21.1944444444444,9.22247247247247,7.2424000946515,945.5,1.65303929850731,0.9455,999
"na5_00",15,4.62694300518135,5.95304112402558,6.69917817835275,589.5,-0.19794937282446,0.5895,999
"na6_00",14,4.32,6.29259259259259,4.72264577874396,427.5,-0.417688025951678,0.4275,999
"na7_00",14,2.31707317073171,6.18262164603628,3.18791712153829,83.5,-1.21256241236262,0.0835,999
"na8_00",15,4.04,5.65751751751752,3.01950762476857,322,-0.535689164766224,0.322,999
"na9_00",26,1.31927710843373,2.84541770686349,3.70484163522567,454,-0.411931399150559,0.454,999
"na10_00",17,2.26415094339623,5.00098211418966,3.32327044478146,173,-0.823535495009469,0.173,999
"fr1_01",19,3.41176470588235,4.20716514834162,2.44281093486813,457.5,-0.325608679372562,0.4575,999
"fr2_01",20,1.26923076923077,3.80595980595981,3.60669852841086,168.5,-0.703338251519109,0.1685,999
"fr3_01",19,6.56060606060606,4.18416901750235,4.7681458082633,834,0.498398568052447,0.834,999
"fr4_01",9,10,9.9006279006279,5.93749691482008,591.5,0.0167363622748274,0.5915,999
"fr5_01",24,1.28571428571429,3.22755791505792,3.15977810513539,270,-0.614550631320494,0.27,999
"fr6_01",9,3.57692307692308,9.70815687482354,5.93775723966306,147.5,-1.032584113905,0.1475,999
"fr7_01",14,1.37333333333333,6.00094761428095,6.30667708854417,97.5,-0.733764265393181,0.0975,999
"fr8_01",11,0.6,8.14086814086814,8.15613081528818,14,-0.924564393539794,0.014,999
"fr9_01",16,2.98290598290598,5.12172856617301,5.48646881374568,451,-0.389835913749927,0.451,999
"fr10_01",5,37.1379310344828,16.6591246418833,13.4038626343165,905,1.52782872753184,0.905,999
"fo1_01",20,2.82278481012658,3.96179724027825,2.93692566776128,436.5,-0.387824738860314,0.4365,999
"fo2_01",11,7.65079365079365,8.110046554491,5.83665217004979,558,-0.0786843022878696,0.558,999
"fo3_01",17,4.75641025641026,4.7689099355766,3.96161529636588,647.5,-0.00315519762300287,0.6475,999
"fo4_01",20,3.50980392156863,3.89265245637795,4.58181779148509,684.5,-0.083558219080822,0.6845,999
"fo5_01",25,1.8013698630137,2.8984669601108,2.88310818280736,414.5,-0.380525817116174,0.4145,999
"fo6_01",15,4.41176470588235,5.76887475711005,4.22074870376763,478,-0.321533013803045,0.478,999
"fo7_01",17,2.45454545454545,5.21604721604722,4.31544970035874,313,-0.63991054310567,0.313,999
"fo8_01",17,9.48148148148148,5.08174841508175,3.5243791909107,892,1.2483710826992,0.892,999
"fo9_01",22,1.52380952380952,3.46971971971972,2.69150997765859,187.5,-0.722980859094934,0.1875,999
"fo10_01",17,1.86153846153846,4.72215292215292,4.1834222855836,207,-0.683797681738314,0.207,999
"bc1_01",22,3.06862745098039,3.56423089756423,2.65929633672252,557,-0.18636638562615,0.557,999
"bc2_01",9,11.5862068965517,9.90704497601049,4.8825227316103,669,0.343912770681034,0.669,999
"bc3_01",8,8.46031746031746,11.3021910799689,5.1768239717051,305.5,-0.548960836834357,0.3055,999
"bc4_01",11,9.38,8.1153953953954,4.92390394696899,648.5,0.256829665693024,0.6485,999
"bc5_01",18,7.10958904109589,4.62705170924349,2.8292520751997,823,0.877453569306712,0.823,999
"bc6_01",18,4.20833333333333,4.77781948615282,3.799461169763,586,-0.149886030511797,0.586,999
"bc7_01",17,4.82608695652174,4.94613454033744,2.69613879877813,555.5,-0.0445257432110335,0.5555,999
"bc8_01",12,6.68085106382979,7.43443443443443,4.27440668023552,491,-0.176301280383345,0.491,999
"bc9_01",19,3.18,4.19718718718719,2.82046607029821,443,-0.360645071358593,0.443,999
"bc10_01",9,9.15384615384615,10.0762300762301,4.23566494977172,453.5,-0.217766025717788,0.4535,999
"na1_01",7,9.375,12.4827684827685,7.34052726911566,366.5,-0.423371287760761,0.3665,999
"na2_01",12,9.57627118644068,7.31446700938226,4.73017836942859,743,0.478164669577068,0.743,999
