"","PD","SR"
"fr1_00",53.07569927534,13
"fr2_00",54.85795087564,16
"fr3_00",55.28151298546,19
"fr4_00",57.67571835557,20
"fr5_00",49.9030901427,12
"fr6_00",56.76070654057,17
"fr7_00",37.86514065075,9
"fr8_00",60.5955348347,16
"fr9_00",74.29102508309,26
"fr10_00",59.12858640789,17
"fo1_00",62.24616994515,21
"fo2_00",61.91065274675,20
"fo3_00",51.22190191427,15
"fo4_00",33.13648891515,9
"fo5_00",67.22668327416,25
"fo6_00",62.96076545709,21
"fo7_00",61.27247251415,20
"fo8_00",69.55406274077,24
"fo9_00",63.48537537292,19
"fo10_00",76.70362408349,23
"bc1_00",63.85704651204,18
"bc2_00",55.93937665447,17
"bc3_00",53.2027986758,17
"bc4_00",31.2848538357,5
"bc5_00",51.45885164379,14
"bc6_00",56.85284659084,17
"bc7_00",71.91419501299,22
"bc8_00",59.47877887364,16
"bc9_00",73.72836104634,22
"bc10_00",44.95992177324,12
"na1_00",55.37071080927,17
"na2_00",47.19672439496,14
"na3_00",41.6400512831,11
"na4_00",51.4660606122,11
"na5_00",55.24053556683,18
"na6_00",48.18186662735,14
"na7_00",48.32501962285,14
"na8_00",50.42035035344,16
"na9_00",83.25694212984,28
"na10_00",56.36886964616,18
"fr1_01",59.8174826465,20
"fr2_01",70.78992446932,22
"fr3_01",64.17772341157,19
"fr4_01",42.02014536717,10
"fr5_01",74.5121179312,29
"fr6_01",34.9137372324,10
"fr7_01",52.1529138329,14
"fr8_01",43.96512439707,12
"fr9_01",60.18984626622,17
"fr10_01",30.91774467475,6
"fo1_01",69.68934452082,22
"fo2_01",46.68791984028,12
"fo3_01",58.86674294697,18
"fo4_01",64.36250499384,22
"fo5_01",83.12075185757,27
"fo6_01",49.69873710195,16
"fo7_01",66.65881970715,18
"fo8_01",53.7719561253,17
"fo9_01",66.94187343596,23
"fo10_01",54.73232121499,17
"bc1_01",72.46738653265,23
"bc2_01",41.30178828205,9
"bc3_01",38.10486684465,9
"bc4_01",40.64888500185,11
"bc5_01",66.70206714464,20
"bc6_01",57.42004587598,18
"bc7_01",51.36352463283,17
"bc8_01",49.17255373914,13
"bc9_01",58.87473541797,19
"bc10_01",36.26871814975,9
"na1_01",36.86252235035,8
"na2_01",44.23156847579,12
"na3_01",43.33959156984,13
"na4_01",46.91473267394,13
"na5_01",66.35005242909,20
"na6_01",38.69446450925,8
"na7_01",52.0500434801,12
"na8_01",40.77530386575,9
"na9_01",49.69845125819,13
"na10_01",49.44228736447,16
"fr1_02",58.9192681313,18
"fr2_02",64.87143576833,18
"fr3_02",42.21116541875,9
"fr4_02",31.15615029535,6
"fr5_02",51.9181530116,14
"fr6_02",53.14861373865,14
"fr7_02",47.24931857075,11
"fr8_02",33.34459631515,7
"fr9_02",53.20391082267,17
"fr10_02",32.57451368175,6
"fo1_02",60.28142757895,16
"fo2_02",53.07471849804,16
"fo3_02",64.00865812785,16
"fo4_02",61.24040790237,15
"fo5_02",66.20240421364,22
"fo6_02",64.8763379739,19
"fo7_02",64.76332137085,18
"fo8_02",61.01828199865,16
"fo9_02",56.39872323504,16
"fo10_02",71.4379728767,20
"bc1_02",59.968632252,14
"bc2_02",64.31359903239,19
"bc3_02",51.66517142465,11
"bc4_02",35.13268958284,7
"bc5_02",63.02982981189,21
"bc6_02",61.40483385125,17
"bc7_02",61.93459337414,15
"bc8_02",51.7496182226,14
"bc9_02",54.78771140073,15
"bc10_02",49.31731426435,12
"na1_02",51.21950647623,15
"na2_02",58.64045167954,14
"na3_02",47.43041520445,11
"na4_02",47.33994815064,11
"na5_02",56.09761615584,15
"na6_02",62.825874627,19
"na7_02",63.56972327964,15
"na8_02",58.19063629315,15
"na9_02",49.62461768569,12
"na10_02",56.24929155265,12
"fr1_03",63.24120343398,21
"fr2_03",73.60007336747,27
"fr3_03",59.42365117562,20
"fr4_03",80.10852918248,26
"fr5_03",66.63880273324,22
"fr6_03",73.08143799114,25
"fr7_03",85.04540232247,29
"fr8_03",85.96649893149,27
"fr9_03",67.26411928001,23
"fr10_03",43.53803448157,13
"fo1_03",81.97748849402,32
"fo2_03",79.30798966922,27
"fo3_03",83.99269710388,33
"fo4_03",75.0191297421,24
"fo5_03",94.79354211368,36
"fo6_03",77.85073618138,29
"fo7_03",82.84688075639,34
"fo8_03",66.04195070501,23
"fo9_03",86.78537107476,34
"fo10_03",69.6707714422,23
"bc1_03",85.60123221119,29
"bc2_03",78.04752784904,30
"bc3_03",69.60381259125,21
"bc4_03",58.98752145032,18
"bc5_03",89.28416198353,34
"bc6_03",92.04945159018,36
"bc7_03",67.43216869118,25
"bc8_03",75.90309452978,23
"bc9_03",78.76950490911,27
"bc10_03",56.47766052059,15
"na1_03",82.54421372407,33
"na2_03",86.471594851,32
"na3_03",78.10566427889,26
"na4_03",70.07299810209,26
"na5_03",70.82585455265,27
"na6_03",64.36730058434,21
"na7_03",79.23063254413,31
"na8_03",83.50480183209,32
"na9_03",73.01758837715,26
"na10_03",78.10077095099,28
