"","PD","SR"
"fr1_00",77.9520490608,13
"fr2_00",90.3739314229,16
"fr3_00",67.18766640893,19
"fr4_00",100.2841290671,20
"fr5_00",95.171619694,12
"fr6_00",87.144059182,17
"fr7_00",62.9616938832,9
"fr8_00",95.7312063329,16
"fr9_00",119.88814608438,26
"fr10_00",91.54466412313,17
"fo1_00",112.6432596508,21
"fo2_00",109.1527252442,20
"fo3_00",79.6958446222,15
"fo4_00",57.0140927261,9
"fo5_00",108.43824065058,25
"fo6_00",107.03881446033,21
"fo7_00",106.2673280783,20
"fo8_00",116.8145338665,24
"fo9_00",103.54976098175,19
"fo10_00",109.00574029021,23
"bc1_00",90.49363801478,18
"bc2_00",97.6207054216,17
"bc3_00",79.1764138427,17
"bc4_00",42.0288823093,5
"bc5_00",81.1750722497,14
"bc6_00",72.18936233648,17
"bc7_00",108.05663256208,22
"bc8_00",101.39567940193,16
"bc9_00",117.17584429238,22
"bc10_00",72.25801654723,12
"na1_00",86.75663511698,17
"na2_00",66.9115133408,14
"na3_00",66.9553827115,11
"na4_00",73.73465756,11
"na5_00",112.1917352831,18
"na6_00",71.0127211029,14
"na7_00",59.45539803443,14
"na8_00",74.20788789013,16
"na9_00",137.0093163449,28
"na10_00",99.6828987045,18
"fr1_01",93.16744667175,20
"fr2_01",118.05511459148,22
"fr3_01",110.7562073968,19
"fr4_01",71.2696578193,10
"fr5_01",134.1235398215,29
"fr6_01",61.996169702,10
"fr7_01",74.3278078683,14
"fr8_01",58.279936186,12
"fr9_01",99.7013259709,17
"fr10_01",43.9752838511,6
"fo1_01",110.28529368385,22
"fo2_01",81.02649598,12
"fo3_01",103.9611403135,18
"fo4_01",99.79525822733,22
"fo5_01",147.66461265125,27
"fo6_01",83.0481255558,16
"fo7_01",102.52227707478,18
"fo8_01",92.896424324,17
"fo9_01",108.01529321433,23
"fo10_01",81.72413224543,17
"bc1_01",127.97712393975,23
"bc2_01",70.2995337111,9
"bc3_01",60.2300147901,9
"bc4_01",59.3119890439,11
"bc5_01",111.53237795733,20
"bc6_01",91.01424915643,18
"bc7_01",86.08571015703,17
"bc8_01",86.8926393176,13
"bc9_01",87.6095837262,19
"bc10_01",64.9919038916,9
"na1_01",55.7230232622,8
"na2_01",62.0348578609,12
"na3_01",75.52727623403,13
"na4_01",87.6828063268,13
"na5_01",107.81118249345,20
"na6_01",59.0940847775,8
"na7_01",74.8612242704,12
"na8_01",64.6929261106,9
"na9_01",64.7691348574,13
"na10_01",73.0779214525,16
"fr1_02",95.57882415165,18
"fr2_02",109.56317021205,18
"fr3_02",57.3166696991,9
"fr4_02",43.0315798977,6
"fr5_02",86.74979578365,14
"fr6_02",81.16882424595,14
"fr7_02",68.6457973491,11
"fr8_02",62.49348808,7
"fr9_02",85.0442820961,17
"fr10_02",56.3948169172,6
"fo1_02",94.68447747985,16
"fo2_02",86.80008085268,16
"fo3_02",100.6027466836,16
"fo4_02",102.61751453745,15
"fo5_02",108.35779874435,22
"fo6_02",95.6454782366,19
"fo7_02",106.06731452445,18
"fo8_02",87.39427888075,16
"fo9_02",86.0956028191,16
"fo10_02",109.67052698615,20
"bc1_02",82.50325628545,14
"bc2_02",97.62819438365,19
"bc3_02",80.93022207635,11
"bc4_02",47.51666042943,7
"bc5_02",106.31082298725,21
"bc6_02",99.4268374921,17
"bc7_02",94.90768699315,15
"bc8_02",92.6410078207,14
"bc9_02",84.9096185525,15
"bc10_02",89.4837974278,12
"na1_02",73.29303980895,15
"na2_02",90.2443790389,14
"na3_02",79.277318654,11
"na4_02",64.04544772285,11
"na5_02",94.93550793855,15
"na6_02",107.2213046767,19
"na7_02",104.108515328,15
"na8_02",97.63093706695,15
"na9_02",80.9176560442,12
"na10_02",89.18767040945,12
"fr1_03",110.29699901105,21
"fr2_03",121.20828913269,27
"fr3_03",102.56986419123,20
"fr4_03",124.5144621679,26
"fr5_03",97.48914715038,22
"fr6_03",107.4199210617,25
"fr7_03",122.76552909628,29
"fr8_03",116.53543468388,27
"fr9_03",99.88152722215,23
"fr10_03",74.42949285203,13
"fo1_03",133.80879842418,32
"fo2_03",117.71502853698,27
"fo3_03",144.29045196373,33
"fo4_03",114.34786989672,24
"fo5_03",167.45302883258,36
"fo6_03",125.97090735728,29
"fo7_03",140.69397620473,34
"fo8_03",127.70010305885,23
"fo9_03",149.13151242905,34
"fo10_03",110.7138205759,23
"bc1_03",125.67057360568,29
"bc2_03",120.0596933108,30
"bc3_03",111.1284651862,21
"bc4_03",95.65140816703,18
"bc5_03",148.43768760408,34
"bc6_03",155.86091771753,36
"bc7_03",118.48736128685,25
"bc8_03",103.64479450648,23
"bc9_03",123.40389032389,27
"bc10_03",86.86819682783,15
"na1_03",128.82930782078,33
"na2_03",137.16214570667,32
"na3_03",125.99336723398,26
"na4_03",112.00978532058,26
"na5_03",122.79773999268,27
"na6_03",88.90539265618,21
"na7_03",130.23762880905,31
"na8_03",142.4347651395,32
"na9_03",121.65445013995,26
"na10_03",122.96937799923,28
