host_type,NRI
S,-0.1814
S,4.6056
S,1.1004
S,1.8889
S,nan
S,nan
S,-0.017
S,0.9954
S,nan
S,1.6157
S,1.3387
S,2.0442
S,1.7428
S,nan
S,2.2022
S,-0.3531
S,1.1084
S,1.4951
S,1.7815
S,1.0433
S,-1.0325
S,-0.4054
S,0.6954
S,-0.3673
S,nan
S,nan
S,nan
S,nan
S,1.2075
S,0.6017
R,1.9858
R,1.7641
R,1.9055
R,2.2406
R,0.9899
R,2.0213
R,2.4414
R,2.2594
R,2.5525
R,3.0659
R,2.1289
R,2.2448
R,1.9319
R,0.3364
R,3.6897
R,2.0248
R,2.2004
R,1.8247
R,1.1071
R,1.2914
R,0.7349
R,2.5492
R,1.0169
R,0.7497
R,1.8849
R,1.0766
R,0.8448
R,1.4883
R,1.9061
R,2.2584
D,1.9439
D,1.5945
D,1.7198
D,2.2598
D,1.2363
D,1.8299
D,3.4684
D,3.0643
D,1.9426
D,3.0876
D,1.4661
D,2.2695
D,2.9644
D,3.4531
D,2.0529
D,2.8116
D,2.8881
D,2.8773
D,1.0891
D,-0.2465
D,1.9947
D,0.9923
D,2.4858
D,0.1871
D,3.0779
D,1.8384
D,-0.3309
D,1.8391
D,-0.062
