"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,5.12196078431373,5.27532679738562,5.55677154582763,5.55428024868484,4.60603318250377,3.68898944193062,4.15471066475371,6.2818836936484,5.36938646426312,6.32856385797562,6.60830999066293,11.1747549019608,5.61437908496732,6.53847775669407,7.48094293897334,6.08475648323846,7.68760784313725,6.05456095481671,7.6608734402852,8.12598039215686,9.02531460345332,7.28717320261438,7.59893048128342,8.27303921568627,7.343653250774,7.05314009661836,6.53846153846154,8.37780966044954,8.68843317143371,8.02331743508214,8.14411764705882,5.57664884135472,8.22893481717011,8.58564745695232,8.22588235294118,6.7455762792922,6.88965782391388,8.65714940947139,7.69135802469136,5.79371252633285,4.44358120606733,4.53000594177065,4.99365628604383,4.4538789428815,5.1481757259866,4.18483660130719,3.81512605042017,4.04536390827517,3.22100365569957,5.55676591624304,7.1688112745098,5.65003723008191,9.40386445840472,4.71751633986928,5.34906520747834,5.1586224233283,6.32607116920842,5.79238754325259,4.6579185520362,5.30033936651584,7.70655848546315,6.5422794117647,6.78666666666667,6.55738562091503,7.67102396514161,6.84711565785735,6.91682146542828,8.42549019607843,7.82805429864253,7.13209494324045,7.41907610501828,7.34754191531685,6.9384531590414,7.05022831050228,7.18300653594771,8.04260935143288,6.26897347174164,7.6047471620227,7.68716577540107,6.69402644778842,6.20177103099304,7.0997693194925,7.70588235294118,5.21495554743637,7.47152194211018,3.95691434468524,3.23631270690094,3.78833172613308,3.15032679738562,4.00257997936016,7.50980392156863,5.71163202122954,10.735015710138,3.95738691516210,4.40232389251997,4.30445876980929,5.24434389140271,4.91146149181322,5.37235488254708,9.07303056907974,9.0301532377657,8.73844537815126,6.80519687549817,8.77987022146988,8.59087635054022,7.38274509803922,8.75548630048046,8.79134948096886,7.61365286855483,8.6426794067881,8.81608339538347,8.57922299354524,7.39651416122004,9.05790834420116,7.7567298105683,8.69607843137255,6.35354449472096,8.81045751633987,8.135096240331,7.60392156862745,7.71941452637393,6.79134295227525,7.70557111733582,6.6295751633987,7.60980392156863,6.9589345172031,6.65396299364816,7.40018674136321,6.00326797385621,7.58163992869875,8.48102466793169,8.18200100553042,10.9648120394655,6.26656524678837,7.52519235542318,7.46265172735761,7.10906862745098,7.75070028011204,7.50174590384099,8.45983554712207,8.52107279693486,7.74860163501137,7.30588235294118,7.50913547237077,8.31590413943355,7.70069204152249,8.05586892291163,8.17541640312039,9.12363834422658,8.2326888797477,8.58410111032365,8.48019607843137,8.00644641418211,8.45640138408304,8.05374855824683,8.11721132897604,7.58405420991926,7.71591970121382,8.10298876832286
"fr2_00",5.12196078431373,0,5.84625,6.15767441860465,6.19560975609756,5.54246153846154,4.99353846153846,5.26585365853659,6.68017094017094,6.01096774193548,6.73783783783784,6.82380952380952,11.173375,5.965,6.63376344086022,7.84157303370787,6.61548387096774,7.66896,6.56608695652174,8.02545454545455,7.96,8.6644776119403,7.23666666666667,7.02,8.035,7.32631578947368,7.29826086956522,6.86307692307692,8.19723577235772,8.2897247706422,7.90324324324324,7.919,6.24909090909091,8.0481081081081,8.35786802030457,7.9904,6.92243902439024,6.93921568627451,8.41298245614035,7.49925925925926,6.22528925619835,5.48075471698113,5.61272727272727,5.88823529411765,5.488,5.95164556962025,5.3224,5.07785714285714,5.19457627118644,4.66881355932203,6.16123456790123,7.785625,6.36075949367089,9.6968932038835,5.76853333333333,6.08976744186047,6.00820512820513,6.77555555555556,6.29764705882353,5.65569230769231,6.09730769230769,7.57862068965517,6.669375,6.8872,6.80026666666667,7.60277777777778,6.8936231884058,7.18757894736842,8.0568,7.58923076923077,7.26842105263158,7.36101694915254,7.38695652173913,7.07333333333333,7.20465753424658,7.2435294117647,7.93846153846154,6.4924705882353,7.52842105263158,7.58,6.80558139534884,6.46870967741936,7.03882352941176,7.35,5.91316770186335,7.46380952380952,5.22894736842105,4.70623376623377,5.0744262295082,4.65151515151515,5.19578947368421,7.74811188811189,6.28796992481203,10.8615821501014,5.18435643564356,5.53185185185185,5.37013698630137,6.11,5.95443298969072,6.12811881188119,8.66738127544098,8.65042016806723,8.34821428571429,7.04731707317073,8.45496402877698,8.33771428571429,7.1176,8.43827814569537,8.45294117647059,7.61259259259259,8.3594923857868,8.50270042194093,8.19987577639752,7.54444444444445,8.67568261376896,7.6961581920904,8.42462311557789,6.532,8.52795698924731,8.12348623853211,7.54133333333333,7.44225352112676,7.0788679245283,7.6015873015873,6.804,7.35345454545455,6.9840251572327,6.93323943661972,7.1567619047619,6.352,7.64181818181818,8.15,7.98820512820513,11.0105095541401,6.6503448275862,7.6306329113924,7.29428571428571,7.35,7.56392857142857,7.53232876712329,8.18025806451613,8.10045977011494,7.3012539184953,7.3024,7.55409090909091,8.05252525252525,7.50588235294118,7.84520547945205,7.9494623655914,8.99888888888889,7.89104895104895,8.24746987951807,8.1392,7.92301369863014,8.08023529411765,7.81482352941176,7.78355555555556,7.47176470588235,7.40761904761905,7.95126213592233
"fr3_00",5.27532679738562,5.84625,0,6.03246124031008,6.11686991869919,5.59551282051282,5.13653846153846,5.45452235772358,6.65616096866097,5.87466397849462,6.58614864864865,6.61755952380952,11.1483723958333,5.83333333333333,6.21191756272401,7.78675093632959,6.5483870967742,7.23591666666667,6.55778985507246,8.09848484848485,7.521875,8.06716417910448,6.78428819444444,6.59090909090909,7.5390625,7.02521929824561,7.14704106280193,6.84214743589744,7.7095189701897,7.63073394495413,7.45917792792793,7.41666666666667,6.33806818181818,7.55855855855856,7.89255499153976,7.51333333333333,6.63465447154472,6.55923202614379,7.88036062378168,7.07523148148148,6.12103994490358,5.6124213836478,5.77967171717172,6.0251225490196,5.64891304347826,5.98074894514768,5.41861111111111,5.23363095238095,5.35734463276836,4.86970338983051,6.14711934156379,7.83138020833333,6.37974683544304,9.72977346278317,5.98722222222222,6.08914728682171,6.21260683760684,6.65663580246914,6.11519607843137,5.84070512820513,6.15324519230769,7.21192528735632,6.33365885416667,6.62291666666667,6.72305555555556,7.22974537037037,6.64039855072464,6.97609649122807,7.42145833333333,7.15064102564103,7.01279239766082,7.1066384180791,7.1262077294686,6.96180555555556,7.02397260273973,7.01184640522876,7.58894230769231,6.32549019607843,7.05263157894737,7.15025252525253,6.50193798449612,6.18010752688172,6.45220588235294,6.45399305555556,5.85390786749482,7.19345238095238,5.3656798245614,4.89880952380952,5.24060792349727,4.88731060606061,5.34831871345029,7.5895979020979,6.17120927318296,10.9003338404327,5.39222359735974,5.68287037037037,5.50413812785388,6.14983974358974,6.08805841924399,6.20400165016502,8.0000565355043,8.05567226890756,7.7446056547619,6.68631436314363,7.89021282973621,7.80833333333333,6.6275,7.84719922737307,7.80919117647059,7.52237654320988,7.78362944162437,7.90638185654008,7.57712215320911,7.58449074074074,8.07168903150525,7.30402542372881,7.89599036850921,6.26458333333333,7.94578853046595,7.77178899082569,7.13055555555556,6.8387617370892,6.89937106918239,7.21230158730159,6.57482638888889,6.87102272727273,6.48060796645702,6.80545774647887,6.61666666666667,5.93819444444444,7.48011363636364,7.61727150537634,7.51566951566952,11.0124071125265,6.66451149425287,7.41851265822785,6.85193452380952,7.24826388888889,7.16685267857143,7.2017694063927,7.65228494623656,7.42624521072797,6.63055120167189,6.98333333333333,7.40104166666667,7.559132996633,7.05861928104575,7.40753424657534,7.47311827956989,8.7806712962963,7.29501748251748,7.66704317269076,7.55770833333333,7.66067351598173,7.45857843137255,7.2610294117647,7.25277777777778,7.11014093137255,6.77380952380952,7.54126213592233
"fr4_00",5.55677154582763,6.15767441860465,6.03246124031008,0,6.2966534316506,5.78676207513417,5.35098389982111,5.80062393647192,6.98389982110912,6.15716429107277,6.84789440603394,6.90753045404208,11.1389534883721,6.15794573643411,6.52713178294574,7.9702116540371,6.80870217554389,7.22976744186047,6.79514661274014,8.30232558139535,7.55523255813953,7.63589031586255,6.91812015503876,6.90063424947146,7.38517441860465,7.12668298653611,7.21267273340074,7.11180679785331,7.4668179239932,7.34243652656283,7.25361407919547,7.24127906976744,6.70084566596195,7.40854808296669,7.61374099870145,7.37674418604651,6.77992058990357,6.87460100319197,7.59880320957432,7.10551248923342,6.34960599654046,5.87516454585344,5.95877378435518,6.30916552667579,5.9098078867543,6.13924050632911,5.55813953488372,5.42607973421927,5.57745368545526,5.05124162396531,6.3741027849555,7.95276162790698,6.5125110391522,9.77873109053963,6.21472868217054,6.27257977285019,6.47823494335122,6.80447889750215,6.32913816689466,6.09552772808587,6.32200357781753,7.27906976744186,6.48146802325581,6.78883720930233,6.9631007751938,7.18055555555556,6.8432760364004,6.94100367197062,7.3939534883721,7.40787119856887,7.03508771929825,7.27828143476547,7.20593191776205,7.16214470284238,7.12392481682064,7.0984952120383,7.44409660107335,6.490560875513,7.03243574051408,7.11134601832276,6.59545700378583,6.26256564141035,6.72161422708618,6.84496124031008,5.96562184024267,7.4640088593577,5.50214198286414,5.08275445484748,5.42394205108654,5.07751937984496,5.52896776825785,7.65604163278582,6.26787899982514,10.8989339119770,5.59636196177757,5.88501291989664,5.70770946161198,6.30456171735242,6.29129705106689,6.37992171310154,7.58309930264113,7.68868477623608,7.42545681063123,6.50898090376253,7.55169817634265,7.51219743711438,6.67503875968992,7.45949484059757,7.51641586867305,7.68992248062015,7.45626254279306,7.53792562064567,7.24064711830131,7.90051679586563,7.68036145559144,7.13874655104454,7.57794787892953,6.34991055456172,7.58439609902476,7.55643268615319,7.35658914728682,7.03766786767114,7.16761737604212,7.46954595791805,6.8062015503876,6.87801268498943,6.73394763785286,7.07206026858827,6.85714285714286,6.21395348837209,7.70507399577167,7.8364591147787,7.78234943351223,11.0073692786254,6.99037690457097,7.63968207241684,7.07918050941307,7.5062984496124,7.26432724252492,7.30423701815865,7.64231057764441,7.3791766907244,6.58715462564701,7.12186046511628,7.59989429175476,7.4949494949495,7.25558595531236,7.49665498566422,7.51412853213303,8.87790697674419,7.44543828264759,7.75343233398711,7.49,7.79420197515132,7.35704514363885,7.21532147742818,7.2467700258398,7.34541723666211,7.02906976744186,7.47098667870851
"fr5_00",5.55428024868484,6.19560975609756,6.11686991869919,6.2966534316506,0,5.73095684803002,5.36397748592871,5.57911957168352,6.94100479466333,6.22974036191975,6.94264996704021,7.08072009291521,11.1102134146341,6.20121951219512,6.78415945449777,8.03014524527268,6.84815106215578,7.49824390243902,6.81823966065748,8.23115299334811,7.81890243902439,8.1228613032399,7.20274390243902,7.35476718403548,7.71646341463415,7.27086007702182,7.30151997172146,7.1219512195122,7.73983739837398,7.75587379727008,7.58932102834542,7.59512195121951,6.61086474501109,7.73895847066579,7.99207626594032,7.69170731707317,6.90362879238548,7.08751793400287,7.92568820425046,7.37669376693767,6.45615803265471,5.89875747814082,6.0310421286031,6.30200860832138,5.86977730646872,6.20191417104044,5.66861788617886,5.52439024390244,5.64799503927243,5.15750310045473,6.50436615477266,8.00038109756098,6.61438715652979,9.75337437840398,6.15626016260163,6.33607487237663,6.37054409005628,6.96567299006323,6.55552367288379,6.1031894934334,6.37781425891182,7.5273338940286,6.77057926829268,7.01756097560976,7.03284552845528,7.45189701897019,6.99293036408625,7.14403080872914,7.80926829268293,7.65478424015009,7.25417201540436,7.44109136006614,7.42241074584659,7.22967479674797,7.20347477447377,7.27833572453372,7.67870544090056,6.7167862266858,7.34531450577664,7.44826311899483,6.82870107770845,6.57238394964595,7.05810616929699,7.22967479674797,6.10786244508408,7.60743321718931,5.62612323491656,5.17168197656003,5.51119552179128,5.15521064301552,5.632648694908,7.81494115640457,6.47496790757381,10.8428486617523,5.62122675682202,5.96567299006323,5.78299365185433,6.42401500938086,6.32612522001509,6.44506157932866,8.01601747360757,8.07767985242878,7.84494773519164,6.84572674995043,7.92744341112476,7.86331508213041,7.07479674796748,7.87013406557907,7.92898134863702,7.75248419150858,7.8364491766745,7.9265205310281,7.70186335403727,7.82113821138211,8.07593135441273,7.43668182444536,7.9368182375291,6.62589118198874,7.96747967479675,7.8091295591855,7.52845528455285,7.37993816557884,7.18315692590888,7.69415408439799,6.82825203252033,7.1860310421286,7.04924068108606,7.05668155273102,7.20789779326365,6.48373983739837,7.78248337028825,8.13650668764752,8.01584323535543,10.9569286934908,6.92661900756939,7.75702377276937,7.34901277584204,7.51371951219512,7.56228222996516,7.56598730370865,7.95106215578285,7.79422483880011,7.05818487651961,7.26146341463415,7.66213968957871,7.80192165558019,7.50717360114778,7.72535917139993,7.79753474954104,9.00880758807588,7.80675422138837,8.0768439612107,7.87487804878049,7.96792515870364,7.74476327116212,7.54748923959828,7.60433604336043,7.5514705882353,7.39750290360046,7.79374852000947
"fr6_00",4.60603318250377,5.54246153846154,5.59551282051282,5.78676207513417,5.73095684803002,0,4.36733727810651,4.65909943714822,6.59552925706772,5.74342431761787,6.5991683991684,6.8003663003663,11.3936538461538,5.79102564102564,6.65028949545079,7.77787381158168,6.39156327543424,7.51181538461539,6.35224080267559,7.95839160839161,7.96115384615385,8.39001148105626,7.21570512820513,7.52167832167832,7.94423076923077,7.22024291497976,7.10791527313267,6.77514792899408,7.95959974984365,8.1575158786168,7.68482328482329,7.79153846153846,5.9979020979021,7.92307692307692,8.13893010542757,7.8843076923077,6.72570356472796,6.99457013574661,8.21934322986955,7.47578347578348,6.0467895740623,5.0522496371553,5.15571095571096,5.56968325791855,5.02046822742475,5.53554040895813,4.76841025641026,4.5,4.7135593220339,4.03207301173403,5.95137701804368,7.61225961538462,6.02823758519961,9.7218073188947,5.3,5.71896243291592,5.68461538461538,6.58290598290598,6.10986425339367,5.26201183431953,5.72943786982249,7.58885941644562,6.61971153846154,6.86584615384615,6.77682051282051,7.50897435897436,6.88428093645485,6.95627530364373,8.10461538461539,7.8094674556213,7.13522267206478,7.41720990873533,7.32508361204013,7.0474358974359,7.03667017913593,7.1921568627451,7.79378698224852,6.44253393665158,7.44048582995951,7.48554778554779,6.69266547406082,6.324317617866,7.1343891402715,7.60641025641026,5.52689918776875,7.52747252747253,4.63866396761134,4.05674325674326,4.50403530895334,4.0009324009324,4.68758434547908,7.68778913394298,6.01538461538462,11.0188016851303,4.64683929931455,5.07720797720798,4.92781875658588,5.74082840236686,5.51181601903251,5.81477532368622,8.47842605156038,8.48894634776988,8.23653846153846,6.72795497185741,8.28439402324294,8.15736263736264,7.20205128205128,8.23688232297504,8.32190045248869,7.68831908831909,8.1739945333854,8.29113924050633,8.05781175346393,7.60854700854701,8.4978906740867,7.52568448500652,8.25005798221879,6.44568047337278,8.32340777502068,7.87240649258998,7.52820512820513,7.51505958829903,6.92365747460087,7.73601953601954,6.59576923076923,7.33552447552448,6.97697145621674,6.77854821235103,7.29216117216117,6.22717948717949,7.67258741258741,8.39801488833747,8.15055884286654,11.1932631063204,6.49376657824934,7.63622200584226,7.39340659340659,7.27916666666667,7.63901098901099,7.49378292939937,8.21022332506204,8.1603890362511,7.37154569568363,7.22461538461538,7.53863636363636,8.01880341880342,7.59834087481146,7.87755532139094,7.97965260545906,9.17649572649573,8.05293168370092,8.3758109360519,8.13215384615385,7.9626975763962,8.06615384615385,7.76723981900453,7.83213675213675,7.55984162895928,7.62399267399267,7.87124719940254
"fr7_00",3.68898944193062,4.99353846153846,5.13653846153846,5.35098389982111,5.36397748592871,4.36733727810651,0,3.93076923076923,6.19947403024326,5.18014888337469,6.2024948024948,6.52930402930403,11.2296153846154,5.48205128205128,6.4590570719603,7.41106309420916,5.94888337468983,7.5528,5.89953177257525,7.61923076923077,8.03038461538462,8.85981630309988,7.19839743589744,7.64195804195804,8.15615384615385,7.24777327935223,6.90992196209588,6.50769230769231,8.19674796747968,8.51432604093155,7.85862785862786,7.99,5.4958041958042,8.07359667359667,8.48473252635689,8.1003076923077,6.63564727954972,6.88657616892911,8.4698155645524,7.61253561253561,5.67908455181183,4.23280116110305,4.28484848484849,4.83212669683258,4.23866220735786,4.96260954235638,3.88225641025641,3.50989010989011,3.80195567144720,2.87118644067797,5.41652421652422,7.05841346153846,5.48179162609542,9.37826736370426,4.4934358974359,5.17477638640429,4.9792899408284,6.19202279202279,5.61755656108597,4.44402366863905,5.11050295857988,7.70238726790451,6.4860576923077,6.77723076923077,6.55035897435897,7.57863247863248,6.80802675585284,6.75740890688259,8.33107692307692,7.84260355029586,7.06558704453441,7.44537157757497,7.34470457079153,6.86623931623932,6.96585879873551,7.15475113122172,7.9215976331361,6.2372850678733,7.46477732793522,7.61002331002331,6.56529516994633,6.03722084367246,7.04027149321267,7.66153846153846,4.99063545150502,7.41465201465201,3.62692307692308,2.87672327672328,3.46822194199243,2.79300699300699,3.71187584345479,7.41043571812803,5.50873337189127,10.7653144016227,3.66115765422696,4.12507122507122,4.03825079030558,5.00414201183432,4.65725614591594,5.17776085300838,8.86030685732178,8.85636716224952,8.57582417582418,6.55509693558474,8.58776978417266,8.40025117739403,7.30379487179487,8.54426897605705,8.60027149321267,7.58689458689459,8.44248340491995,8.61012658227848,8.4065934065934,7.36752136752137,8.87577416748946,7.58287700999565,8.53061461151913,6.22745562130178,8.59801488833747,7.93676781933663,7.53025641025641,7.65677139761647,6.68098693759071,7.66471306471306,6.5198717948718,7.51594405594406,6.844412191582,6.55146262188516,7.32673992673993,5.84102564102564,7.54083916083916,8.463523573201,8.15108481262327,11.0102645761881,6.20941644562334,7.43992210321324,7.40659340659341,7.02019230769231,7.68543956043956,7.40653319283456,8.3716129032258,8.41679929266136,7.66708463949843,7.2283076923077,7.45786713286713,8.1934731934732,7.64177978883861,7.96944151738672,8.08089330024814,9.13547008547008,8.16955352339968,8.5064874884152,8.37923076923077,7.9736564805058,8.33022624434389,7.9116742081448,8.0365811965812,7.53201357466063,7.66794871794872,8.01433905899925
"fr8_00",4.15471066475371,5.26585365853659,5.45452235772358,5.80062393647192,5.57911957168352,4.65909943714822,3.93076923076923,0,6.35532624557015,5.57710464201416,6.52570863546473,6.8205574912892,11.4864329268293,5.6880081300813,6.81602412798322,7.71238695533023,6.23367427222659,7.93648780487805,6.10296924708378,7.74833702882483,8.36585365853658,9.33509282854023,7.54776422764228,7.95232815964523,8.55884146341463,7.47240051347882,7.20625662778367,6.63227016885553,8.60331152092009,9.02136943387783,8.2811470006592,8.43475609756098,5.60310421286031,8.52439024390244,8.83564442243407,8.47121951219512,6.88548483045806,7.13558106169297,8.93574383112252,7.91915085817525,5.96623664583753,4.65347445927289,4.80450849963045,5.15925394548063,4.59575821845175,5.33482556344551,4.47333333333333,4.11628919860627,4.31314592806945,3.57937164117404,5.78334838903945,7.45846036585366,5.88406915714727,9.67487568079564,4.83739837398374,5.53119682359614,5.23702313946216,6.57091237579042,6.11119081779053,4.79230769230769,5.49788930581614,7.92472666105971,6.84565548780488,7.01853658536585,6.69967479674797,7.92242547425474,6.9959349593496,7.17086007702182,8.77878048780488,8.08724202626642,7.369918699187,7.56862339809839,7.54206433368681,7.04065040650406,7.1354827931841,7.369918699187,8.24718574108818,6.5232424677188,7.91078305519897,7.96858832224686,6.93193420306296,6.54346970889064,7.46269727403156,8.10569105691057,5.45000757460991,7.57433217189315,4.30038510911425,3.59344314222363,4.09956017592963,3.49963045084996,4.31792896876337,7.8035988401842,6.0198973042362,11.0272102112502,4.19234484424052,4.70257452574526,4.56130972268627,5.53424015009381,5.15375911491074,5.57244626901715,9.42745805341364,9.34433285509326,9.07817944250871,7.17420186396986,9.09001579224425,8.87760079641613,7.69934959349593,9.09966079793248,9.15251076040172,7.69421860885276,8.96428129255912,9.13713080168776,8.93705499166793,7.36043360433604,9.37765034009733,8.02170318313353,9.00128692241696,6.6437148217636,9.14463676894833,8.34784068024167,7.77276422764228,7.98797664032978,6.86677404509894,7.965737514518,6.64126016260163,7.83436807095344,7.27711305414941,6.68756441085538,7.67491289198606,6.35040650406504,7.70731707317073,8.80035405192762,8.44579945799458,11.2507767593600,6.25904121110177,7.69635690027786,7.69570267131243,7.18140243902439,8.01437282229965,7.768626795857,8.75444531864673,8.87019904681805,8.11862527716186,7.44487804878049,7.5920177383592,8.53670854890367,7.91822094691535,8.26478449716004,8.43023865722528,9.3780487804878,8.55696742282108,8.88730531883632,8.77926829268293,8.1815903775476,8.7703012912482,8.34218077474892,8.40487804878049,7.76883070301291,8.06475029036005,8.37426000473597
"fr9_00",6.2818836936484,6.68017094017094,6.65616096866097,6.98389982110912,6.94100479466333,6.59552925706772,6.19947403024326,6.35532624557015,0,6.65839536807279,7.28805728805729,7.34533984533985,11.3232371794872,6.63461538461538,6.99825383696351,8.30423509075194,7.15136476426799,7.9031452991453,7.12211073950204,8.44269619269619,8.11645299145299,8.73383084577114,7.5386396011396,7.41336441336441,8.18141025641026,7.56500224921278,7.61972005450266,7.23931623931624,8.37064832186783,8.34917274366816,8.12635712635713,8.08931623931624,7.04467754467754,8.27812427812428,8.45416287040653,8.09811965811966,7.3556389410048,7.28372716608011,8.49957514869796,7.74960430515986,6.68142968142968,6.43751007901951,6.60787360787361,6.5729009552539,6.36975102192494,6.74110137401277,6.40011396011396,6.28724053724054,6.27154860205708,5.99072866869477,6.80394639653899,8.41412927350427,7.04446608244077,10.0428595137333,6.64586894586895,6.81802822500497,6.35820731974578,7.2741373852485,6.9761689291101,6.55424063116371,6.814677843524,7.70704391394047,7.02911324786325,7.21709401709402,6.9645584045584,7.76258309591643,6.961600396383,7.561673414305,8.16854700854701,7.55818540433925,7.58179637127006,7.41996233521657,7.59048680787811,6.97934472934473,7.4382390820747,7.38277191218368,8.03895463510848,6.87682252388135,7.76023391812866,7.83721833721834,7.0735440270324,6.9524400330852,7.27928607340372,7.32977207977208,6.64415777459256,7.67032967032967,6.41599190283401,6.02564102564103,6.23448227546588,5.97746697746698,6.28887389413705,8.09688601996294,6.9414562046141,11.0653854822212,6.2035626639587,6.55982905982906,6.30728251961129,6.94674556213018,6.86166182042471,6.77439282389777,8.68900253974881,8.65747324570854,8.35180097680098,7.52588423320131,8.4645206911394,8.41377987092273,7.2062678062678,8.51197147223637,8.53308195072901,7.56441911997468,8.42956310469001,8.58242273432147,8.23751128098954,7.40075973409307,8.68757043552843,7.89840166111353,8.5099214018812,6.87626561472715,8.61887694145759,8.34901591782326,7.77464387464387,7.57626098471169,7.48476052249637,7.85565052231719,7.12172364672365,7.47218337218337,7.35408267483739,7.15348501263994,7.33496133496133,6.92905982905983,7.8052059052059,8.17328370554177,8.15954415954416,11.1670341335946,7.09836427939876,7.79130152547874,7.38868538868539,7.53400997150997,7.70741758241758,7.88584474885845,8.27752963881996,8.13802927596031,7.31934731934732,7.45880341880342,7.64675602175602,8.14175947509281,7.51642366348249,7.79463763025407,7.99963238672916,9.10565052231719,8.01129639591178,8.2559468643806,8.18641025641026,7.9688561058424,8.1375062845651,7.84504776269482,7.8343779677113,7.5943313222725,7.54222629222629,8.20687079910381
"fr10_00",5.36938646426312,6.01096774193548,5.87466397849462,6.15716429107277,6.22974036191975,5.74342431761787,5.18014888337469,5.57710464201416,6.65839536807279,0,6.68613775065388,6.79953917050691,11.1395161290323,6.00403225806452,6.39680887963926,7.88582819862269,6.63163371488033,7.34645161290323,6.5851332398317,8.1642228739003,7.59193548387097,8.16345690900337,6.90322580645161,6.85043988269795,7.64072580645161,7.14346349745331,7.17905563347359,7.00372208436725,7.75924468922109,7.68037881029891,7.53487358326068,7.4758064516129,6.55131964809384,7.61726242371404,8.04257409530048,7.60709677419355,6.80409126671912,6.82985452245414,7.8875683833239,7.23954599761051,6.24926686217009,5.71698113207547,5.83382209188661,6.08444022770398,5.73295932678822,6.11188240098,5.46064516129032,5.30933179723502,5.45762711864407,4.90377255330782,6.25806451612903,7.89969758064516,6.48142098815843,9.73833385530849,6.02881720430107,6.21980495123781,6.15260545905707,6.75746714456392,6.24288425047438,5.87791563275434,6.23449131513648,7.4293659621802,6.54435483870968,6.87935483870968,6.87784946236559,7.35439068100358,6.76484338475923,7.04617996604414,7.5641935483871,7.28535980148883,7.19864176570458,7.31000546746856,7.35811126694717,6.96057347670251,7.14096332302254,7.1752055660974,7.63461538461538,6.53055028462998,7.13073005093379,7.34017595307918,6.5986496624156,6.28798126951093,6.59297912713472,6.57930107526882,5.93267882187938,7.28110599078341,5.40152801358234,4.91746962714705,5.27181385510312,4.90420332355816,5.38964346349745,7.64200315813219,6.23332524860538,10.8725708303344,5.39492175023954,5.70818399044205,5.52076889085285,6.19168734491315,6.11406717658796,6.23634621526669,7.98888256663895,8.07793439956628,7.78052995391705,6.71230002622607,7.88257136226503,7.80381830151415,6.75827956989247,7.84511856440931,7.82220113851992,7.56272401433692,7.77992467660062,7.91112018510957,7.62752955319575,7.5752688172043,8.09075168442052,7.32094040459267,7.93864483708867,6.35210918114144,7.9302809573361,7.76501923646049,7.29623655913978,7.02680599727397,6.99452221545953,7.34459805427547,6.71344086021505,6.98739002932551,6.65631974031244,6.85779191276692,6.78248847926267,6.06290322580645,7.55806451612903,7.74063475546306,7.67300799558864,10.9983049106226,6.78976640711902,7.4646794610045,6.98732718894009,7.28024193548387,7.28715437788018,7.32567388422448,7.73506763787721,7.52169076751947,6.7796541611892,7.08774193548387,7.46444281524927,7.60654936461388,7.15496521189121,7.46354396818383,7.53728754769338,8.82616487455197,7.43379201443718,7.75592693354061,7.66,7.74105170128148,7.5415559772296,7.30740037950664,7.3584229390681,7.22201138519924,6.91820276497696,7.67710616974632
