"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,9.42980392156863,9.51021241830065,9.75102599179207,9.95217599234816,8.14962292609351,6.71010558069382,7.55810616929699,11.4590246354952,9.69196710942441,11.5315315315315,11.9215686274510,22.2764705882353,10.3218954248366,11.8068732869492,14.1921128001762,11.0183428209994,12.9105882352941,10.5152600170503,14.4901960784314,13.7039215686275,14.5387767047117,12.5449346405229,13.8039215686274,13.725,12.4097007223942,12.1386757601591,12.0769230769231,13.5791487326638,14.4097859327217,13.0895601483837,13.4715686274510,10.3778966131907,13.5315315315315,14.0993331342689,13.6423529411765,11.6097560975610,12.8081507112649,14.0731567480793,13.1975308641975,10.8578836493275,8.16019237883833,8.31313131313131,9.0957324106113,8.16999147485081,9.08562918838421,7.3756862745098,6.73879551820728,7.5234297108674,5.96277833167165,10.1694504962479,13.7536764705882,9.9746835443038,18.4481248810204,8.52156862745098,9.44961240310077,9.4449472096531,11.2142338416848,10.5051903114187,8.23227752639517,9.52865761689291,13.5821501014199,12.1360294117647,12.3090196078431,12.3592156862745,13.0974945533769,12.6160841148053,11.8608875128999,14.0894117647059,14.2533936651584,12.2552459580323,13.1890993685610,12.7860187553282,12.6307189542484,12.2728982003760,12.6966551326413,13.3250377073906,11.8113033448674,12.7977296181631,13.0564468211527,12.4491564067487,11.5284629981025,12.5824682814302,13.5702614379085,9.64389233954451,12.9598506069094,7.02786377708978,5.9755538579068,6.81260045001607,5.92751039809863,7.45820433436532,14.7143836555601,10.6365914786967,21.4700711927773,7.29004076878276,8.06427015250545,8.0365296803653,9.63650075414781,8.88255508388923,9.85129101145409,14.4497299598265,14.4993409128357,14.6267507002801,11.480631276901,14.2667513048385,13.9572629051621,13.9440522875817,14.1497208154785,14.2532871972318,14.3936092955701,13.9313227829203,14.0981219492016,14.4038484959201,13.5664488017429,14.476445420642,13.1645064805583,14.0525174894078,12.2723981900452,14.1530676786844,12.9940636805181,13.6307189542484,13.6981496824082,12.2826489086201,13.8412698412698,11.7003267973856,13.7540106951872,12.4002959674436,11.9337199668600,13.1551820728291,10.7549019607843,13.6349376114082,15.5442757748261,15.0246354952237,21.8377669539153,11.2298850574713,13.4792752544056,13.3277310924370,12.8799019607843,13.8357843137255,13.266183185603,14.4460468058191,14.3254451205770,14.7154711414346,13.0023529411765,13.2397504456328,13.828678946326,13.5094194540561,14.0075208165458,14.0927682901117,17.281045751634,14.2761552173317,15.0656744625561,14.4650980392157,14.0311576685469,14.2484429065744,13.5017301038062,14.0470588235294,13.5824682814302,13.7082166199813,13.8081096516276
"fr2_00",9.42980392156863,0,10.4533333333333,10.7990697674419,11.0302439024390,9.83076923076923,9.11507692307692,9.52780487804878,11.9333333333333,10.74,12.1718918918919,12.22,22.370125,10.8866666666667,11.8098924731183,14.8058426966292,11.8806451612903,12.72528,11.3029565217391,15.0581818181818,13.212,13.7247761194030,12.2433333333333,12.64,13.087,12.2010526315789,12.4486956521739,12.4938461538462,13.0933333333333,13.5229357798165,12.7124324324324,12.901,11.4981818181818,13.0410810810811,13.4852791878173,13.0152,11.7658536585366,12.7074509803922,13.4661988304094,12.6918518518519,11.4809917355372,10.0003773584906,10.2715151515152,10.5905882352941,9.99234782608696,10.4592405063291,9.44693333333333,9.06928571428571,9.59525423728813,8.66237288135593,11.1516049382716,14.884375,11.1762025316456,19.0378640776699,10.3864,10.6990697674419,10.8205128205128,11.9059259259259,11.3590588235294,9.9563076923077,10.8938461538462,13.0855172413793,12.18375,12.2728,12.5541333333333,12.7583333333333,12.4498550724638,12.2155789473684,13.2372,13.5753846153846,12.2961403508772,12.7830508474576,12.5971014492754,12.6255555555556,12.3391780821918,12.5529411764706,12.9107692307692,12.0244705882353,12.4726315789474,12.6763636363636,12.5130232558140,11.9306451612903,12.2517647058824,12.6333333333333,10.8650931677019,12.7257142857143,9.39052631578947,8.71688311688312,9.17868852459016,8.7309090909091,9.64771929824561,15.1037762237762,11.6279699248120,21.7934685598377,9.51584158415842,10.1344444444444,9.9454794520548,11.2084615384615,10.7707216494845,11.1310891089109,13.5418181818182,13.6175630252101,13.7407142857143,11.8416260162602,13.5002877697842,13.3209795918367,13.2896,13.4173509933775,13.4785882352941,14.1511111111111,13.2408121827411,13.3664135021097,13.5513043478261,13.5266666666667,13.5929054842474,12.8915254237288,13.3729648241206,12.4624615384615,13.4804301075269,12.8198165137615,13.368,13.0101408450704,12.6747169811321,13.5092063492063,11.832,13.096,12.3174842767296,12.2405633802817,12.5321904761905,11.2813333333333,13.5403636363636,14.7770967741935,14.5394871794872,22.0075796178344,11.7248275862069,13.4946835443038,12.8157142857143,13.1233333333333,13.3246428571429,13.2032876712329,13.7535483870968,13.3680459770115,13.7290282131661,12.8,13.0859090909091,13.1432323232323,12.9129411764706,13.4126027397260,13.4808602150538,16.9444444444444,13.4878321678322,14.2797590361446,13.6572,13.6657534246575,13.3825882352941,12.8691764705882,13.2271111111111,13.1747058823529,12.95,13.3805825242718
"fr3_00",9.51021241830065,10.4533333333333,0,10.3808139534884,10.7022357723577,9.71602564102564,9.17115384615385,9.64557926829268,11.6974715099715,10.3155241935484,11.7331081081081,11.6711309523810,22.61328125,10.3836805555556,10.8792562724014,14.6732209737828,11.6001344086022,11.7875833333333,11.0434782608696,15.1415719696970,12.2609375,12.5038868159204,11.2690972222222,11.5530303030303,12.04453125,11.4407894736842,11.9945652173913,12.3149038461538,12.0467479674797,12.1775611620795,11.7240990990991,11.8098958333333,11.5104166666667,12.0011261261261,12.517872250423,11.9654166666667,11.0660569105691,11.9252450980392,12.3457602339181,11.7276234567901,11.1165633608815,10.0607311320755,10.3895202020202,10.6666666666667,10.0861413043478,10.3364978902954,9.41277777777778,9.14136904761905,9.70515536723164,8.81885593220339,10.9503600823045,14.98046875,11.0416666666667,19.2548543689320,10.58125,10.5261627906977,10.9666132478632,11.5408950617284,10.8610294117647,10.0564102564103,10.8211137820513,12.2866379310345,11.4541015625,11.6841666666667,12.2772222222222,11.9412615740741,11.8285024154589,11.6824561403509,11.9364583333333,12.6490384615385,11.7156432748538,12.2012711864407,12.012077294686,12.2222222222222,11.8476027397260,12.0049019607843,12.1137820512821,11.5931372549020,11.4506578947368,11.7632575757576,11.8015988372093,11.2442876344086,11.0655637254902,10.9105902777778,10.5782867494824,12.0357142857143,9.44298245614035,8.85876623376623,9.27271174863388,8.9542297979798,9.7295321637427,14.7926864801865,11.2532894736842,22.1306837390128,9.67357673267327,10.2183641975309,9.9777397260274,11.1201923076923,10.8457903780069,11.0858085808581,12.1786521935776,12.3946953781513,12.5111607142857,11.0199864498645,12.3191696642686,12.1971938775510,12.2583333333333,12.1890176600442,12.1653186274510,13.8572530864198,12.0357445008460,12.1293952180028,12.2802795031056,13.4386574074074,12.3525622325943,12.0034133709981,12.272560720268,11.8293269230769,12.2786738351254,11.9925458715596,12.4934027777778,11.7593896713615,12.1973270440252,12.6567460317460,11.1965277777778,12.0325757575758,11.2502620545073,11.8213028169014,11.3621031746032,10.3833333333333,13.0774621212121,13.7153897849462,13.5979344729345,22.2835058386412,11.5413074712644,12.9783755274262,11.8293650793651,12.7725694444444,12.4371279761905,12.4560502283105,12.6645161290323,11.9900622605364,12.3630485893417,12.0683333333333,12.6242897727273,12.0592382154882,11.9272875816993,12.4549086757991,12.4549731182796,16.5561342592593,12.2572843822844,13.1260040160643,12.4741666666667,13.0339611872146,12.0939950980392,11.6919117647059,12.0914351851852,12.3498774509804,11.6391369047619,12.4898867313916
"fr4_00",9.75102599179207,10.7990697674419,10.3808139534884,0,10.8967668746455,9.88694096601073,9.30661896243292,10.0121951219512,12.0502882130789,10.6155288822206,11.9981143934632,12.0016611295681,22.4496366279070,10.7781007751938,11.2610652663166,14.8176117062974,11.8548387096774,11.7229767441860,11.2622851365015,15.3102536997886,12.2726744186047,11.9323151683443,11.4389534883721,12.0295983086681,11.8340116279070,11.5673194614443,12.0212335692619,12.6189624329159,11.7061826432218,11.7589076168125,11.4321181646763,11.5406976744186,11.9334038054968,11.7762413576367,12.1520481643253,11.7767441860465,11.2427680090754,12.2982216142271,11.9364885080919,11.7575366063738,11.2882952142994,10.2843352347521,10.4848484848485,10.9357045143639,10.3009100101112,10.4403885781572,9.45581395348837,9.24792358803987,9.84213638155301,8.86716594402838,11.1211599196095,14.9963662790698,11.1006770680012,19.1709189433281,10.7406201550388,10.6714440237966,11.1860465116279,11.6352282515073,11.0273597811218,10.2547406082290,10.9168157423971,12.3223736968725,11.5577761627907,11.8441860465116,12.5020155038760,11.8336563307494,11.9983147960903,11.5547123623011,11.9011627906977,12.9660107334526,11.7090983272134,12.4091446590461,12.1011122345804,12.3611111111111,11.9222682382924,12.0652074783402,11.891771019678,11.6826265389877,11.3965728274174,11.6804087385483,11.7650081124932,11.1909227306827,11.3823529411765,11.4505813953488,10.5481727574751,12.3399778516058,9.4577723378213,8.91845363938387,9.346740373618,9.00246652572234,9.7858017135863,14.6957228817694,11.2096520370694,21.9642200103779,9.75903753166014,10.3303186907838,10.0734310289901,11.1547406082290,10.9602013905538,11.1683168316832,11.6079959609984,11.8956908344733,12.0207641196013,10.6713934581206,11.8249958172996,11.7632653061225,12.1562790697674,11.6328353611582,11.7604651162791,13.9612403100775,11.5720694132924,11.6134824845452,11.7586306514517,13.7635658914729,11.8236682857996,11.6978058073841,11.8345214444315,11.7484794275492,11.7741935483871,11.6464689566887,12.7286821705426,11.9569276121847,12.4809126810004,12.9638242894057,11.4441860465116,11.9492600422833,11.5176246891912,12.1139862430396,11.6467331118494,10.6717054263566,13.3082452431290,13.9544261065266,13.9133373086861,22.1230928751296,11.8991579791500,13.1972328525169,12.0725359911406,13.0295542635659,12.4858803986711,12.5043007327174,12.6339084771193,11.9144613739642,12.1760589050084,12.1781395348837,12.821088794926,11.9393939393939,12.1481988144095,12.5301051290220,12.4873718429607,16.5775193798450,12.4493413563181,13.2077612776688,12.3709302325581,13.1165976425613,11.9333789329685,11.6024623803010,12.0348837209302,12.6366279069767,11.9736987818383,12.3420636712576
"fr5_00",9.95217599234816,11.0302439024390,10.7022357723577,10.8967668746455,0,9.94296435272045,9.54446529080676,9.80725758477097,12.1888680425266,10.9527930763179,12.3414634146341,12.4506387921022,22.3121951219512,10.9959349593496,11.8908995541568,15.0079473828446,12.0889063729347,12.3414634146341,11.5181336161188,15.2893569844789,12.9085365853659,12.8769566800146,12.119918699187,12.9356984478936,12.5859756097561,11.9768934531451,12.3457051961824,12.7861163227017,12.3438429506246,12.6439919445066,12.1720500988794,12.3280487804878,11.9312638580931,12.5234014502307,12.9273245016714,12.4956097560976,11.6252230814991,12.8302247728360,12.6789331051205,12.3830171635050,11.6738560774037,10.5296824666360,10.8033998521803,11.1406025824964,10.4320254506893,10.7403519604816,9.86211382113821,9.6280487804878,10.1818933443572,9.28648201736255,11.548931044866,15.1753048780488,11.4658845322630,19.1205304286053,10.8432520325203,10.9705048213273,11.2245153220763,12.1020776874435,11.6074605451937,10.5088180112570,11.218574108818,12.9369217830109,12.2423780487805,12.4273170731707,12.8143089430894,12.4925474254743,12.4581124072110,12.0965340179718,12.7853658536585,13.5647279549719,12.2747111681643,12.8846630839190,12.6489925768823,12.6788617886179,12.2398930838623,12.5719751315160,12.4943714821764,12.2743185078910,12.1373555840822,12.4249815225425,12.3488372093023,11.9213217938631,12.1721664275466,12.3516260162602,10.9943947886684,12.7804878048780,9.88575096277279,9.30566993981628,9.72451019592163,9.3739837398374,10.1869918699187,15.0888623571550,11.7685677608656,21.7976549745214,10.0340497464381,10.6738934056007,10.4343468092215,11.5515947467167,11.2175006286145,11.4904612412461,12.5433365324155,12.7496413199426,12.9298780487805,11.4590521514971,12.6601158097912,12.5608760577402,13.0380487804878,12.5283476013568,12.6556671449067,14.2348690153568,12.4229293054352,12.4686631676443,12.7317073170732,13.8265582655827,12.6897572359621,12.4147719443296,12.6377006986150,12.4386491557223,12.6194597429845,12.2765719400313,13.1520325203252,12.6935760906905,12.6497929130235,13.4912891986063,11.630081300813,12.6536585365854,12.2224267525694,12.2528340776366,12.4195121951220,11.3398373983740,13.5960088691796,14.6022816679780,14.4273504273504,21.9557247164828,11.9671993271657,13.5554183389935,12.7096399535424,13.2002032520325,13.1620209059233,13.1019044437020,13.3299763965382,12.8074011774601,13.1427479165074,12.5863414634146,13.0986696230599,12.6612466124661,12.7618364418938,13.0872034747745,13.1434565958563,16.8807588075881,13.2253112740918,13.9121363502792,13.1751219512195,13.5770130304043,12.7707317073171,12.3621233859397,12.8298102981030,13.1434720229555,12.7897793263647,13.0409661378167
"fr6_00",8.14962292609351,9.83076923076923,9.71602564102564,9.88694096601073,9.94296435272045,0,7.6203550295858,8.08855534709193,11.6191978961210,10,11.6673596673597,11.9216117216117,22.6539423076923,10.2371794871795,11.6211745244003,14.4895419187554,11.2317617866005,12.3026461538462,10.6721070234114,14.7650349650350,13.0946153846154,13.2890929965557,12.0903846153846,13.2559440559441,12.8853846153846,11.8550607287449,11.9362318840580,12.1668639053254,12.5993746091307,13.2191954834157,12.2627858627859,12.5776923076923,10.7972027972028,12.7376299376299,13.1453338539633,12.7716923076923,11.2487804878049,12.6365007541478,13.0619883040936,12.4974358974359,10.9360457724094,8.93352685050798,9.15617715617716,9.79276018099548,8.85311036789298,9.4761441090555,8.13989743589744,7.68571428571429,8.41720990873533,7.13011734028683,10.5371320037987,14.3600961538462,10.3575462512171,18.9247199402539,9.2457435897436,9.80286225402505,10.0193293885602,11.3703703703704,10.7536651583710,8.96568047337278,9.9905325443787,13.0344827586207,11.9331730769231,12.1323076923077,12.3917948717949,12.5299145299145,12.2956521739130,11.6709311740891,13.2304615384615,13.8390532544379,11.9935222672065,12.8578878748370,12.4677814938685,12.4256410256410,11.9211801896733,12.4030165912519,12.6195266272189,11.7831674208145,12.2145748987854,12.4391608391608,12.0872987477639,11.4176178660050,12.2371040723982,12.9474358974359,9.88303870043,12.6652014652015,7.98623481781377,7.15604395604396,7.80201765447667,7.16223776223776,8.38920377867746,14.7864443249059,10.8740312319260,21.9531908254018,8.2047220106626,8.98319088319088,8.82824025289779,10.2384615384615,9.6720063441713,10.3235338918507,13.1904811606304,13.3319327731092,13.5005494505495,11.0986866791745,13.1600442722745,12.9533437990581,13.2664615384615,13.0214977075904,13.1923981900452,14.1743589743590,12.8734088246779,12.9551444336254,13.2533205924510,13.5555555555556,13.2825060587021,12.4811820947414,13.0501739466564,12.0871005917160,13.0832092638544,12.2800282286521,13.1302564102564,12.9315276273023,12.1521044992743,13.5296703296703,11.2369230769231,12.8976223776224,12.0623125302371,11.7798483206934,12.5810989010989,10.7871794871795,13.4358041958042,15.0478908188586,14.6416831032216,22.2221460068594,11.2366047745358,13.3351509250243,12.8131868131868,12.8115384615385,13.2947802197802,12.9369863013699,13.712158808933,13.3736516357206,13.6660718591753,12.5015384615385,12.9181818181818,12.9871017871018,12.9453996983409,13.3483667017914,13.4319272125724,17.1264957264957,13.6148466917698,14.3827618164968,13.5824615384615,13.5940990516333,13.2604524886878,12.6834389140271,13.2078632478632,13.1837104072398,13.1516483516484,13.1318894697535
"fr7_00",6.71010558069382,9.11507692307692,9.17115384615385,9.30661896243292,9.54446529080676,7.6203550295858,0,7.04953095684803,11.2825772518080,9.27245657568238,11.2316008316008,11.7150183150183,22.38625,9.99358974358974,11.6036393713813,14.0280034572169,10.7066997518610,12.6377846153846,10.1717725752508,14.3958041958042,13.5223076923077,14.2640642939150,12.3576923076923,13.8237762237762,13.5469230769231,12.2234817813765,11.8559643255295,12.0023668639053,13.2757973733583,14.112067748765,12.7975051975052,13.1953846153846,10.1832167832168,13.2598752598753,13.9553299492386,13.4344615384615,11.3883677298311,12.7722473604827,13.7567251461988,13.0433048433048,10.5924984106802,7.69143686502177,7.77156177156177,8.74389140271493,7.69150501672241,8.68938656280428,6.71835897435897,6.06318681318681,6.98226857887875,5.18591916558018,9.84957264957265,13.5072115384615,9.6124634858812,18.3873039581777,8.0291282051282,9.07549194991056,9.065483234714,10.9264957264957,10.1024434389140,7.7585798816568,9.1207100591716,13.5915119363395,12.0033653846154,12.2978461538462,12.3429743589744,12.9542735042735,12.5266443701226,11.5637246963563,13.9175384615385,14.2627218934911,12.1619433198381,13.2818774445893,12.8156075808250,12.4752136752137,12.1234984193888,12.6714932126697,13.1449704142012,11.7277828054299,12.5384615384615,12.9207459207459,12.1531305903399,11.1518610421836,12.4180995475113,13.4307692307692,9.14476827520306,12.8249084249084,6.30526315789474,5.17922077922078,6.1094577553594,5.13333333333333,6.81214574898785,14.4811188811189,10.1841526894158,21.5293181463567,6.63579588728104,7.44985754985755,7.44615384615385,9.10236686390533,8.32228390166535,9.42848438690023,14.1073791879762,14.2390433096315,14.3604395604396,10.9916197623515,13.9518539014942,13.6391836734694,13.7579487179487,13.8008150789608,13.9310407239819,14.3464387464387,13.6014057008981,13.7600778967868,14.1064500716675,13.5282051282051,14.2037878107890,12.8471099521947,13.8026285272516,11.9786982248521,13.8021505376344,12.6436132674665,13.4492307692308,13.529360780065,12.0238026124819,13.7147741147741,11.4515384615385,13.5555244755245,12.1174649250121,11.7079089924160,12.9758241758242,10.3687179487179,13.5328671328671,15.4734491315136,14.9257067718606,21.9295933365997,11.0803713527851,13.2888023369036,13.1827838827839,12.6807692307692,13.6832417582418,13.0427818756586,14.2840694789082,14.1292661361627,14.5207619966241,12.8356923076923,13.1286713286713,13.608547008547,13.3761689291101,13.8406743940991,13.9103391232423,17.2777777777778,14.1318988703604,14.9128822984245,14.2821538461538,13.9456269757640,14.0204524886878,13.2409049773756,13.8909401709402,13.4626696832579,13.5739926739927,13.6289768483943
"fr8_00",7.55810616929699,9.52780487804878,9.64557926829268,10.0121951219512,9.80725758477097,8.08855534709193,7.04953095684803,0,11.4515322076298,9.90952006294257,11.6947923533289,12.0993031358885,22.5026676829268,10.2540650406504,12.081038552321,14.3866812825432,11.1148701809599,13.1094634146341,10.4914103923648,14.4506651884701,13.8939024390244,14.8179832544594,12.7886178861789,14.1507760532151,13.9722560975610,12.4062901155327,12.2131495227996,12.0553470919325,13.7140590918104,14.7086596554039,13.3085036255768,13.7280487804878,10.2671840354767,13.8035596572182,14.2921876934505,13.8287804878049,11.6347412254610,13.0076518412243,14.3035230352304,13.3387533875339,10.9977827050998,8.42360791532444,8.69955654101996,9.28263988522238,8.31420996818664,9.27477616548317,7.79739837398374,7.19076655052265,7.90698635799917,6.5386523356759,10.4357121348991,14.0731707317073,10.2451373880827,18.6675349277765,8.63983739837398,9.62620533182076,9.50093808630394,11.4859981933153,10.9067431850789,8.41050656660413,9.75046904315197,13.7291841883936,12.4546493902439,12.5117073170732,12.4334959349593,13.3160569105691,12.6878755744079,12.1224646983312,14.4397560975610,14.4652908067542,12.4664099272572,13.2496899545267,12.9211735595617,12.6463414634146,12.2251921149348,12.8283118125299,13.4662288930582,12.0760401721664,13.1071887034660,13.3144863266814,12.6605218377765,11.9433516915814,12.9820659971306,14.0081300813008,9.91531586123315,12.9802555168409,7.55551989730424,6.54703832752613,7.28948420631747,6.49260901699926,7.93324775353017,15.0133037694013,11.0330093526499,21.6860436352842,7.63897609273122,8.50361336946703,8.40995656531908,10.0257973733583,9.21020870002515,10.0893503984545,14.7946851110302,14.7792068046731,14.9544860627178,11.9311917509419,14.5504474469205,14.2153310104530,14.2760975609756,14.4903085123566,14.6167862266858,14.3495934959350,14.2410548470967,14.3949778738294,14.7668535070444,13.3577235772358,14.7643509690640,13.4205594598319,14.3287780365241,12.6069418386492,14.4773144505639,13.1673752517342,13.6703252032520,13.8978014428032,12.2089277496549,14.0487804878049,11.5002032520325,13.9022172949002,12.7284859641049,11.8107179663346,13.4081300813008,11.1743902439024,13.6492239467849,15.8343823760818,15.2251407129456,22.0278079850862,11.0458368376787,13.5770299475147,13.5092915214866,12.8231707317073,14.0655487804878,13.5118610090210,14.7010228166798,14.6647042332492,15.0670540561205,13.0185365853659,13.1771064301552,13.9916235525992,13.6628407460545,14.1359839625794,14.3018620508786,17.4573170731707,14.5795667746887,15.3360270349691,14.73,14.1115937186769,14.528981348637,13.7658536585366,14.3,13.6922525107604,14.0653310104530,14.0376509590339
"fr9_00",11.4590246354952,11.9333333333333,11.6974715099715,12.0502882130789,12.1888680425266,11.6191978961210,11.2825772518080,11.4515322076298,0,11.7124345188861,12.8773388773389,12.8188848188848,22.2201923076923,11.7834757834758,12.1069754618142,15.3200806683953,12.5891921698373,12.7429059829060,12.0401337792642,15.4941724941725,13.0217948717949,13.3175149891568,12.3952991452991,12.6993006993007,12.8497863247863,12.1938821412506,12.6641892728849,12.8191978961210,12.9397540129247,13.0935466164824,12.6454146454146,12.7038461538462,12.7420357420357,12.9859089859090,13.1618725324309,12.7022222222222,12.1913696060038,12.9492207139266,13.1339031339031,12.6502057613169,11.9935014480469,11.6158684083212,11.9380989380989,11.6520864756159,11.4589371980676,11.6977171913881,11.3116809116809,11.2002442002442,11.4460379545125,11.0522961031436,12.0434736731033,15.7807158119658,12.1739694904252,19.3305949713717,11.8517378917379,11.8133571854502,11.2182774490467,12.5131370686926,12.3052790346908,11.4387902695595,11.9949046679816,12.82463896257,12.4447115384615,12.4618803418803,12.4403418803419,12.5866571699905,12.1402204880466,12.5336932073774,12.9174358974359,13.0243261012492,12.4642375168691,12.4238736781110,12.5348693174780,12.0042735042735,12.3814541622761,12.3697000167588,12.6176857330703,12.3143288084465,12.4502923976608,12.6749546749547,12.5941164778374,12.4540942928040,12.2921065862242,12.1780626780627,11.9722885809842,12.6764346764347,11.4874044084570,11.1193251193251,11.2271262435197,11.1450401450401,11.5384615384615,15.3674018289403,12.5450806503438,21.7756973700179,11.2849284928493,11.8918961696739,11.5164500643953,12.5535831689678,12.2987047316944,12.0822543792841,13.0401141147410,13.0869783810960,13.1981074481074,12.3492460565631,12.9876406567054,12.9565672422815,12.9324216524217,13.0238297390615,13.1132227249874,13.6093700538145,12.8593865243611,12.9970067438422,13.0722514200775,12.8509021842355,13.0708194955570,12.8036119561543,13.0130137868831,12.6959894806049,13.1432772723095,12.8021641966596,13.3837606837607,12.7711568556639,13.1230446702145,13.5292361959029,12.0411680911681,12.7911421911422,12.6025909799495,12.3038401348260,12.3908831908832,12.0658119658120,13.3855477855478,14.3067273228564,14.3995909124114,21.8815123305569,12.1934865900383,13.4025749215623,12.507326007326,13.1068376068376,13.0917277167277,13.4358974358974,13.4272952853598,12.9044110423421,13.1938482972966,12.6676923076923,12.7999222999223,12.8051454718121,12.4503100385453,12.8277719236623,13.0886867015899,16.681861348528,13.2078178232024,13.8155699721965,13.2374358974359,13.2635522772509,12.9558572146807,12.4345902463550,12.7798670465337,12.943313222725,12.7108262108262,13.3567338810057
"fr10_00",9.69196710942441,10.74,10.3155241935484,10.6155288822206,10.9527930763179,10,9.27245657568238,9.90952006294257,11.7124345188861,0,11.9014821272886,11.9615975422427,22.3864919354839,10.6827956989247,11.2043010752688,14.7720188474085,11.7408949011446,11.9833548387097,11.1270687237027,15.2038123167155,12.4088709677419,12.6697159364468,11.5060483870968,11.9560117302053,12.2693548387097,11.6799660441426,12.0696587190276,12.5806451612903,12.1911880409127,12.3057117490382,11.8870967741935,11.9508064516129,11.8900293255132,12.1412380122058,12.7897494678238,12.1625806451613,11.3941778127459,12.382036685642,12.4104885870590,12.0358422939068,11.3305785123967,10.2544126597687,10.4755620723363,10.7884250474383,10.2437587657784,10.5822784810127,9.50064516129032,9.27476958525346,9.88463641334062,8.88354291962821,11.1310234966149,15.0181451612903,11.2172315230706,19.1186971500157,10.6655913978495,10.7663165791448,10.8717948717949,11.7096774193548,11.0504743833017,10.1483870967742,10.9699131513648,12.6796440489433,11.8150201612903,12.1380645161290,12.5380645161290,12.1886200716846,12.0472183263207,11.8275042444822,12.1983870967742,12.8833746898263,12.0724391624222,12.5822854018589,12.4366526414212,12.2043010752688,12.0821917808219,12.3137254901961,12.2524813895782,11.9373814041746,11.6205432937182,12.1016617790811,11.9381095273818,11.4037460978148,11.3434535104364,11.1747311827957,10.7044680424765,12.1996927803379,9.50297113752122,8.90406367825723,9.33289264939186,8.98582600195503,9.79513299377476,14.7942702458831,11.3388309483386,21.8800628148924,9.68412647716385,10.2514934289128,10.0108263367212,11.1662531017370,10.8746258729631,11.1363781539444,12.2300083161903,12.4981024667932,12.6080069124424,11.0920535011802,12.3571594337433,12.2452929558920,12.4455913978495,12.2408673360393,12.2455407969639,13.9044205495818,12.0944817422630,12.2014427657547,12.3886996593869,13.4086021505376,12.4542477509692,12.0698013486422,12.4087372345599,11.9550868486352,12.3111342351717,12.0346256288843,12.7532258064516,12.0622444343480,12.3700547778454,12.8735279057860,11.4494623655914,12.2302052785924,11.5244471495232,11.9227623807360,11.6380952380952,10.6166666666667,13.1914956011730,13.8782518210198,13.816652881169,22.0552701869735,11.7719688542825,13.0236831359739,12.0483870967742,12.8172043010753,12.6229838709677,12.6451612903226,12.8245577523413,12.1831664812755,12.5806451612903,12.26,12.7291055718475,12.1816552623004,12.0948766603416,12.5523641184269,12.5775234131113,16.5448028673835,12.4978569817279,13.2722502914885,12.6519354838710,13.1506849315068,12.2620493358634,11.8037950664137,12.2838709677419,12.5341555977230,11.9028417818740,12.7181334168494
