"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr1_00",12,2.2,3.34636636636637,0.892398711805196,24,-1.28458989373419,0.024,999
"fr2_00",15,2.38775510204082,3.1534187248473,0.547563306948778,38.5,-1.39831068497456,0.0385,999
"fr3_00",19,2.1875,2.94478853853854,0.47262025678358,14.5,-1.60231925667399,0.0145,999
"fr4_00",19,2.49411764705882,2.91975504916681,0.493837585727776,206,-0.861897543664527,0.206,999
"fr5_00",11,3.2,3.42164664664665,0.618382819043384,396,-0.358429503247723,0.396,999
"fr6_00",17,2.41538461538462,3.02491722491722,0.600758722209478,138.5,-1.01460467738340,0.1385,999
"fr7_00",8,2.203125,3.83527277277277,1.22543916291914,21.5,-1.33188804647373,0.0215,999
"fr8_00",15,2.46913580246914,3.0919932277957,0.649707054651469,164,-0.958674253061157,0.164,999
"fr9_00",23,2.76106194690265,2.78761061946903,0.40081254082275,548.5,-0.0662371304846783,0.5485,999
"fr10_00",16,2.34426229508197,3.06006006006006,0.566489923079633,61.5,-1.26356663343060,0.0615,999
"fo1_00",18,2.47058823529412,2.96101984337278,0.431423162370271,88.5,-1.13677625787220,0.0885,999
"fo2_00",17,2.66666666666667,3.00993300993301,0.383769243007828,182.5,-0.894460276639058,0.1825,999
"fo3_00",14,2.45454545454545,3.17990717990718,0.465637647009255,32,-1.55778152823478,0.032,999
"fo4_00",9,2.625,3.67171338004671,0.691879741216628,51,-1.51285450012763,0.051,999
"fo5_00",25,2.49462365591398,2.72072072072072,0.301542483211847,243.5,-0.749801694270386,0.2435,999
"fo6_00",18,2.70967741935484,2.97613742775033,0.466679465364635,315,-0.570970072975671,0.315,999
"fo7_00",18,2.45614035087719,2.97774967950407,0.433765932780001,96,-1.20251335849241,0.096,999
"fo8_00",21,3.14462809917355,2.82144127598673,0.597364136651083,775.5,0.541021469749857,0.7755,999
"fo9_00",18,2.53571428571429,2.96649327899328,0.461367560292146,172,-0.933700221589522,0.172,999
"fo10_00",20,2.63333333333333,2.89005672339006,0.295123105900746,199,-0.869885769442474,0.199,999
"bc1_00",17,3.02631578947368,2.9880406722512,0.462314530877403,603,0.0827902102705818,0.603,999
"bc2_00",14,3.86259541984733,3.22682988331843,1.07793687626087,796.5,0.589798484985716,0.7965,999
"bc3_00",17,2.77083333333333,3.02344010677344,0.441365371576226,307,-0.572330295278909,0.307,999
"bc4_00",5,3.18181818181818,4.82864682864683,1.48925765173458,146.5,-1.10580505993073,0.1465,999
"bc5_00",14,4.3,3.16315065065065,0.807457888102652,916.5,1.40793639656019,0.9165,999
"bc6_00",17,3.34210526315789,3.00368789842474,0.442054140089339,789,0.76555637430465,0.789,999
"bc7_00",19,2.84615384615385,2.91811811811812,0.441020260820132,505.5,-0.163176793352862,0.5055,999
"bc8_00",14,3.29166666666667,3.17258925592259,0.430841503642041,632.5,0.276383332936771,0.6325,999
"bc9_00",20,3.67768595041322,2.86082776991868,0.78977139931528,862,1.03429698923353,0.862,999
"bc10_00",11,3.46296296296296,3.39552515478441,1.01781724670537,597,0.0662572857719226,0.597,999
"na1_00",17,3.67567567567568,2.97598950301653,0.533943456856776,893,1.31041248595510,0.893,999
"na2_00",14,2.35,3.18938938938939,0.706537981545409,65,-1.18803151608834,0.065,999
"na3_00",10,3.47619047619048,3.55164688498022,0.635465027179652,494,-0.118742032310788,0.494,999
"na4_00",10,4.08333333333333,3.58208208208208,0.94322757349948,746.5,0.531421329628387,0.7465,999
"na5_00",15,4.16062176165803,3.09366361179833,0.787723936474839,910,1.35448232617441,0.91,999
"na6_00",14,3.74,3.17509509509510,0.637514246739284,819.5,0.886105538494619,0.8195,999
"na7_00",14,3.17073170731707,3.17002368221880,0.489681953631075,532,0.00144588766855516,0.532,999
"na8_00",13,3.33333333333333,3.24334751418085,0.519140174210156,607,0.173336265661571,0.607,999
"na9_00",24,2.12650602409639,2.75931956052438,0.73590932942615,51,-0.859906935711023,0.051,999
"na10_00",18,2.64814814814815,2.96616987357728,0.481472575068297,275.5,-0.660518878741995,0.2755,999
"fr1_01",19,2.81666666666667,2.90537203870537,0.43308845150634,465,-0.204820451180760,0.465,999
"fr2_01",20,2.49038461538462,2.91450103950104,0.653715954345,330,-0.648777838903096,0.33,999
"fr3_01",17,4.3015873015873,2.98768609879721,0.794004084260071,925,1.65477889703113,0.925,999
"fr4_01",9,3.48484848484848,3.65832499165833,0.8372151589382,477.5,-0.207206600307921,0.4775,999
"fr5_01",25,2.35398230088496,2.7592681176752,0.583448357259982,283,-0.694638714373221,0.283,999
"fr6_01",10,2.81012658227848,3.53203836748141,0.769193452638472,177,-0.938530850368834,0.177,999
"fr7_01",14,2.42666666666667,3.15781114447781,0.832987992794203,239,-0.877737115223677,0.239,999
"fr8_01",12,2.25,3.34482696982697,0.99921204984328,62.5,-1.09569031918569,0.0625,999
"fr9_01",16,2.58119658119658,3.00906889795779,0.787239466178097,379,-0.543509738959667,0.379,999
"fr10_01",6,6.42372881355932,4.37303405100015,1.77038077159197,840,1.15833542448336,0.84,999
"fo1_01",20,2.82278481012658,2.90680553971693,0.506381561808988,502,-0.165923753799795,0.502,999
"fo2_01",10,3.5609756097561,3.54068702849191,0.96833759808224,591.5,0.0209519709906666,0.5915,999
"fo3_01",15,2.81578947368421,3.0781966176703,0.619034482543971,385.5,-0.423897458680667,0.3855,999
"fo4_01",18,2.8,2.94893464893465,0.55862996680918,484,-0.266606980977666,0.484,999
"fo5_01",24,2.52083333333333,2.74610721832944,0.512223144906407,443.5,-0.439796380222665,0.4435,999
"fo6_01",15,3.11764705882353,3.11861273037744,0.60350214060809,566.5,-0.00160011288929981,0.5665,999
"fo7_01",16,2.47368421052632,3.07498287761446,0.641736536675927,159,-0.936986804900891,0.159,999
"fo8_01",15,4.03921568627451,3.10816699051993,0.562027505444553,930,1.6565892002352,0.93,999
"fo9_01",20,2.33333333333333,2.87870586636019,0.53820666544481,112,-1.01331434194729,0.112,999
"fo10_01",17,2.38461538461538,3.03046123046123,0.693881293952888,176,-0.930772815861061,0.176,999
"bc1_01",21,3,2.86005807787986,0.48737055437751,679,0.287136596298641,0.679,999
"bc2_01",9,4.86206896551724,3.72627800214007,0.71176981335125,927.5,1.59572791943717,0.9275,999
"bc3_01",9,3.53125,3.69807307307307,0.686584308349571,424.5,-0.24297536521638,0.4245,999
"bc4_01",11,4.12,3.43871871871872,0.70590350578455,829,0.965119560532706,0.829,999
"bc5_01",17,3.06944444444444,3.0108024691358,0.500165942262847,606.5,0.117245038803191,0.6065,999
"bc6_01",18,3.18055555555556,2.97817261706151,0.58758540440755,701.5,0.344431527699548,0.7015,999
"bc7_01",17,3.31884057971015,2.98695797246522,0.407198108352397,787,0.815039658675695,0.787,999
"bc8_01",12,3.19565217391304,3.31755668712190,0.624773535304069,472.5,-0.195117920847162,0.4725,999
"bc9_01",17,3.33673469387755,2.97161447161447,0.488338290507712,788.5,0.747678872126683,0.7885,999
"bc10_01",8,3.16666666666667,3.82148815482149,0.688973294442671,184,-0.95043087074155,0.184,999
