"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr1_00",12,4,5.70622622622623,2.21962156970468,147.5,-0.768701408165374,0.1475,999
"fr2_00",15,4.08163265306122,5.45504688361831,1.53675436649586,151,-0.893710966762224,0.151,999
"fr3_00",19,3.4375,5.10097597597598,1.33920514998089,49.5,-1.24213678240389,0.0495,999
"fr4_00",19,3.85882352941176,5.03197314962021,1.53919433240392,189.5,-0.76218421255243,0.1895,999
"fr5_00",11,5.15,5.78928928928929,1.44906520741687,356.5,-0.441173582815434,0.3565,999
"fr6_00",17,4,5.17997997997998,1.66870406097884,203.5,-0.707123574259068,0.2035,999
"fr7_00",8,4.03125,6.42570695695696,2.62310429194151,118,-0.912833303774089,0.118,999
"fr8_00",15,4.32098765432099,5.3441342577145,1.70427261931452,272.5,-0.600342100083166,0.2725,999
"fr9_00",23,4.74336283185841,4.80638160284178,1.24104314421691,566.5,-0.0507788720134602,0.5665,999
"fr10_00",16,3.83606557377049,5.27268251858416,1.51615443539049,114,-0.947539980941097,0.114,999
"fo1_00",18,4.05882352941176,5.08685155743979,1.10189045349349,158,-0.932967542071644,0.158,999
"fo2_00",17,4.15384615384615,5.16932316932317,1.04747425359265,125.5,-0.96945295981654,0.1255,999
"fo3_00",14,3.51515151515152,5.3707040373707,1.19254885527865,29,-1.55595514096202,0.029,999
"fo4_00",9,4.41666666666667,6.14030697364031,1.58854581836693,107,-1.08504286564777,0.107,999
"fo5_00",25,3.82795698924731,4.66018706878922,0.961973770817016,159.5,-0.865127620719934,0.1595,999
"fo6_00",18,4.19354838709677,5.08766831347477,1.23298759567776,215.5,-0.72516538650699,0.2155,999
"fo7_00",18,4,5.09337407583022,1.22377088489412,157.5,-0.893446714026718,0.1575,999
"fo8_00",21,4.86776859504132,4.90222453858818,1.88192515547912,577,-0.0183088809066269,0.577,999
"fo9_00",18,4.30357142857143,5.13063063063063,1.32921080210627,250.5,-0.622218237128862,0.2505,999
"fo10_00",20,4.53333333333333,4.9955955955956,0.946574740424734,323,-0.48835262818744,0.323,999
"bc1_00",17,4.42105263157895,5.11637953743217,1.36994393532803,308.5,-0.507558658367085,0.3085,999
"bc2_00",14,4.15267175572519,5.34092871497452,2.80233762843137,301,-0.424023482107851,0.301,999
"bc3_00",17,3.75,5.06227060393727,1.15958621182579,83,-1.13167144499853,0.083,999
"bc4_00",5,4.90909090909091,7.97597597597598,2.9240175362725,117.5,-1.04886001155612,0.1175,999
"bc5_00",14,5.575,5.44284284284284,2.33780655857943,631,0.0565304073907049,0.631,999
"bc6_00",17,4.26315789473684,5.12654760023181,1.32822581906683,241,-0.650032316117419,0.241,999
"bc7_00",19,4.61538461538461,4.98621698621699,1.29075247331457,438.5,-0.287299368778351,0.4385,999
"bc8_00",14,5.5,5.34976643309977,1.07463412909361,617,0.139799735401059,0.617,999
"bc9_00",20,4.13223140495868,5.00346627619355,2.35877322602442,336.5,-0.369359318489167,0.3365,999
"bc10_00",11,5.62962962962963,5.66664812961109,2.51807621436188,592.5,-0.0147011038706166,0.5925,999
"na1_00",17,4.24324324324324,5.06006006006006,1.61704762735396,311,-0.505128484158137,0.311,999
"na2_00",14,3.15,5.37092092092092,1.82570922688006,31.5,-1.21647022878678,0.0315,999
"na3_00",10,6.76190476190476,5.92726059392726,1.47973478767623,772,0.56404983847695,0.772,999
"na4_00",10,5.22222222222222,5.79301523745968,2.06497691140245,417,-0.276416173026264,0.417,999
"na5_00",15,5.56476683937824,5.40067528668565,2.39452897153207,633.5,0.0685276956944065,0.6335,999
"na6_00",14,4.76,5.4180980980981,1.76611049454565,385,-0.372625665342304,0.385,999
"na7_00",14,4.39024390243902,5.38816865646134,1.33781341339449,199.5,-0.745937171828946,0.1995,999
"na8_00",13,6.04166666666667,5.5211044377711,1.40603185095578,731,0.370235018887873,0.731,999
"na9_00",24,2.55421686746988,4.7534763679342,2.56123668881923,54,-0.858670934265825,0.054,999
"na10_00",18,3.70370370370370,5.01167834501168,1.41822269042745,109.5,-0.922263231392631,0.1095,999
"fr1_01",19,5.23333333333333,5.00333667000334,1.23459827438744,654.5,0.186292714076659,0.6545,999
"fr2_01",20,4.32692307692308,4.91254716254716,1.79270006214478,397.5,-0.326671537526164,0.3975,999
"fr3_01",17,8.0952380952381,5.27915216804106,2.47449318913054,933.5,1.13804553577556,0.9335,999
"fr4_01",9,4.66666666666667,6.1658628325295,1.84334699144484,176.5,-0.813301116295928,0.1765,999
"fr5_01",25,4.15929203539823,4.71082587011791,1.62371372083442,385.5,-0.339674308126339,0.3855,999
"fr6_01",10,4.43037974683544,5.94916435422765,1.81809994110252,173.5,-0.835369152738212,0.1735,999
"fr7_01",14,4.10666666666667,5.35121788455122,2.19335871739367,247,-0.567418000537291,0.247,999
"fr8_01",12,3.82142857142857,5.68993993993994,2.56553822610066,147.5,-0.728311646071749,0.1475,999
"fr9_01",16,4.46153846153846,5.22847633958745,2.26070588493189,394.5,-0.339247083471053,0.3945,999
"fr10_01",6,10.9830508474576,7.2779219897864,3.47522021275648,857,1.06615656874659,0.857,999
"fo1_01",20,4.05063291139241,4.96496496496496,1.39922333536935,241,-0.65345683598909,0.241,999
"fo2_01",10,5.75609756097561,5.96059474108255,2.11822060829488,519.5,-0.0965419651315505,0.5195,999
"fo3_01",15,4.71052631578947,5.3112586270481,1.66459895842655,372,-0.360887112308700,0.372,999
"fo4_01",18,4.74285714285714,5.19382239382239,1.80391997404191,439.5,-0.249991827494879,0.4395,999
"fo5_01",24,4.5,4.78778778778779,1.78566135827963,514,-0.161165938016967,0.514,999
"fo6_01",15,5.27058823529412,5.31336041924277,1.50104966227048,550.5,-0.0284948493202803,0.5505,999
"fo7_01",16,4.76315789473684,5.21592645276856,1.70377500889213,432.5,-0.265744335765393,0.4325,999
"fo8_01",15,7.41176470588235,5.2853245402265,1.53431155615533,914,1.38592462340848,0.914,999
"fo9_01",20,3.90123456790123,4.99104042313919,1.65296969895878,219.5,-0.659301774209433,0.2195,999
"fo10_01",17,4.33846153846154,5.21299761299761,1.93493571595135,324,-0.451971642947369,0.324,999
