ULTRA,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,
fr1_00,13,7.28,9.45,1.71,97,-1.27,0.10,999,-1.47
fr2_00,16,10.52,13.05,1.68,67,-1.50,0.07,999,
fr3_00,19,9.92,13.23,1.68,25,-1.97,0.03,999,
fr4_00,20,10.43,12.76,1.65,76,-1.41,0.08,999,
fr5_00,12,10.90,12.98,1.82,150.5,-1.14,0.15,999,
fr6_00,17,8.42,12.17,1.98,17,-1.90,0.02,999,
fr7_00,9,5.99,7.83,1.64,121,-1.12,0.12,999,
fr8_00,16,7.31,11.61,2.24,15,-1.92,0.02,999,
fr9_00,26,11.68,13.76,1.56,118,-1.33,0.12,999,
fr10_00,17,10.43,12.61,1.85,126,-1.18,0.13,999,
fo1_00,21,12.89,14.08,1.31,206.5,-0.91,0.21,999,-0.49
fo2_00,20,12.53,14.28,1.32,127,-1.33,0.13,999,
fo3_00,15,4.55,3.06,0.62,995,2.43,1.00,999,
fo4_00,9,10.26,12.86,1.99,112,-1.30,0.11,999,
fo5_00,25,10.41,14.25,1.38,3,-2.77,0.00,999,
fo6_00,21,15.53,13.38,1.67,916,1.29,0.92,999,
fo7_00,20,12.62,13.92,1.47,188,-0.89,0.19,999,
fo8_00,24,9.57,11.59,1.73,121,-1.17,0.12,999,
fo9_00,19,11.12,13.55,1.66,85,-1.47,0.09,999,
fo10_00,23,15.66,13.99,1.42,838.5,1.18,0.84,999,
bc1_00,18,10.64,13.53,1.54,32.5,-1.87,0.03,999,-1.42
bc2_00,17,4.77,6.38,1.21,72,-1.33,0.07,999,
bc3_00,17,9.91,13.80,1.59,12,-2.44,0.01,999,
bc4_00,5,7.24,8.78,1.94,219.5,-0.79,0.22,999,
bc5_00,14,7.60,9.43,1.81,161,-1.01,0.16,999,
bc6_00,17,10.43,13.50,1.54,21,-1.98,0.02,999,
bc7_00,22,12.30,13.70,1.48,177,-0.94,0.18,999,
bc8_00,16,13.18,14.26,1.36,229,-0.80,0.23,999,
bc9_00,22,7.02,8.02,1.41,285,-0.71,0.29,999,
bc10_00,12,4.46,8.16,1.63,9,-2.27,0.01,999,
na1_00,17,8.38,12.50,2.08,20,-1.99,0.02,999,-1.51
na2_00,14,7.49,11.42,1.64,5,-2.39,0.01,999,
na3_00,11,11.69,13.07,1.87,261.5,-0.74,0.26,999,
na4_00,11,8.22,10.44,1.69,91.5,-1.31,0.09,999,
na5_00,18,7.83,9.01,2.18,323,-0.54,0.32,999,
na6_00,14,8.21,11.82,1.75,15,-2.07,0.02,999,
na7_00,14,10.72,13.58,1.72,70,-1.66,0.07,999,
na8_00,16,11.95,13.73,1.54,152,-1.15,0.15,999,
na9_00,28,6.58,8.26,1.22,45,-1.37,0.05,999,
na10_00,18,9.72,13.13,1.77,27,-1.92,0.03,999,
fr1_01,20,11.26,13.55,1.64,95,-1.40,0.10,999,-0.93
fr2_01,22,8.78,10.70,1.64,124,-1.17,0.12,999,
fr3_01,19,9.09,9.47,1.31,431,-0.29,0.43,999,
fr4_01,10,9.94,11.86,1.83,156.5,-1.05,0.16,999,
fr5_01,29,8.76,11.41,1.72,42,-1.54,0.04,999,
fr6_01,10,9.58,11.55,2.25,214.5,-0.88,0.21,999,
fr7_01,14,7.20,8.48,1.36,168,-0.94,0.17,999,
fr8_01,12,6.02,7.48,1.32,126,-1.11,0.13,999,
fr9_01,17,7.55,8.90,1.63,222,-0.83,0.22,999,
fr10_01,6,4.16,4.29,1.06,485,-0.12,0.49,999,
fo1_01,22,11.25,13.00,1.56,132.5,-1.13,0.13,999,-0.45
fo2_01,12,14.70,11.58,2.26,932,1.38,0.93,999,
fo3_01,18,11.02,11.81,1.99,385,-0.40,0.39,999,
fo4_01,22,11.93,8.66,1.86,970,1.76,0.97,999,
fo5_01,27,9.37,11.73,1.50,42,-1.57,0.04,999,
fo6_01,16,10.20,12.05,1.99,190,-0.93,0.19,999,
fo7_01,18,9.74,11.91,2.14,179,-1.01,0.18,999,
fo8_01,17,12.12,12.96,1.79,366,-0.47,0.37,999,
fo9_01,23,11.23,12.68,1.62,207,-0.89,0.21,999,
fo10_01,17,8.58,10.80,1.73,86,-1.29,0.09,999,
bc1_01,23,10.70,12.47,1.66,143,-1.07,0.14,999,-1.34
bc2_01,9,10.03,12.82,1.90,86,-1.47,0.09,999,
bc3_01,9,10.41,12.80,2.03,159,-1.18,0.16,999,
bc4_01,11,10.39,12.30,2.00,186,-0.96,0.19,999,
bc5_01,20,12.11,13.21,1.78,313,-0.62,0.31,999,
bc6_01,18,9.57,11.96,1.91,109,-1.25,0.11,999,
bc7_01,17,11.00,13.74,1.56,52,-1.75,0.05,999,
bc8_01,13,11.15,12.58,2.08,282,-0.69,0.28,999,
bc9_01,19,7.76,13.20,1.66,1,-3.27,0.00,999,
bc10_01,9,11.50,13.53,1.74,150.5,-1.16,0.15,999,
na1_01,8,10.00,11.46,2.34,301,-0.63,0.30,999,-1.19
na2_01,12,10.29,12.15,2.08,208,-0.90,0.21,999,
na3_01,13,10.19,12.36,1.96,165,-1.11,0.17,999,
na4_01,13,11.38,13.69,1.66,112,-1.40,0.11,999,
na5_01,20,11.50,13.72,1.55,88,-1.44,0.09,999,
na6_01,8,10.57,12.70,2.03,195,-1.05,0.20,999,
na7_01,12,8.66,9.68,1.81,334,-0.56,0.33,999,
na8_01,9,10.50,11.88,2.18,289,-0.63,0.29,999,
na9_01,13,8.88,12.47,1.83,25.5,-1.96,0.03,999,
na10_01,16,9.69,13.59,1.75,21,-2.23,0.02,999,
fr1_02,18,10.54,13.01,1.72,81,-1.43,0.08,999,-0.86
fr2_02,18,10.26,12.14,1.98,182,-0.94,0.18,999,
