"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr1_00",13,2.35294117647059,3.51739975269387,1.00767398205396,60,-1.15559059473754,0.06,999
"fr2_00",16,2.56,3.17137137137137,0.548116488157766,96.5,-1.11540408759862,0.0965,999
"fr3_00",19,2.1875,3.04551426426426,0.448323873714512,3,-1.91382684387367,0.003,999
"fr4_00",20,2.55813953488372,3.01283841981516,0.481712569956202,175.5,-0.943921569189662,0.1755,999
"fr5_00",12,3.29268292682927,3.5717424741815,0.647689661414869,349,-0.430853793069089,0.349,999
"fr6_00",17,2.41538461538462,3.12802032802033,0.578303134512679,97,-1.23228748057233,0.097,999
"fr7_00",9,2.33846153846154,4.17012397012397,1.49565533755066,23.5,-1.22465543075053,0.0235,999
"fr8_00",16,2.57317073170732,3.2021411655558,0.673364857936638,169.5,-0.934070773719628,0.1695,999
"fr9_00",26,2.76923076923077,2.79871324315769,0.37336986656888,532,-0.0789631852132325,0.532,999
"fr10_00",17,2.46774193548387,3.13369821434338,0.561503787280132,100,-1.18602277303476,0.1,999
"fo1_00",21,2.51351351351351,2.9497876254633,0.351534430629883,99.5,-1.24105656213551,0.0995,999
"fo2_00",20,2.69047619047619,2.97933647933648,0.340934290420437,210.5,-0.847260885679961,0.2105,999
"fo3_00",15,9.221875,3.22474036536537,1.18006306980350,995,5.08204585678055,0.995,999
"fo4_00",9,2.625,4.10764931598265,0.85412519121771,23,-1.73586885298262,0.023,999
"fo5_00",25,2.49462365591398,2.81258678032872,0.308135192988679,139,-1.03189486838791,0.139,999
"fo6_00",21,3.32584269662921,2.9268257021066,0.41271975232595,829,0.966798880533066,0.829,999
"fo7_00",20,2.66129032258065,2.99086182957151,0.381899449489501,205,-0.86297979070515,0.205,999
"fo8_00",24,3.184,2.84201401401401,0.544680756091048,771,0.627865005623258,0.771,999
"fo9_00",19,2.75652173913043,3.04200722461592,0.455902351028957,307.5,-0.626198756907382,0.3075,999
"fo10_00",23,3.34090909090909,2.87462462462462,0.342761921206415,901,1.36037417646421,0.901,999
"bc1_00",18,3.425,3.06156156156156,0.463845901139562,791,0.783532715381455,0.791,999
"bc2_00",17,3.87313432835821,3.1190817683355,1.01243548479686,847.5,0.744790726269342,0.8475,999
"bc3_00",17,2.77083333333333,3.15171421421421,0.450242277294763,213.5,-0.8459465050003,0.2135,999
"bc4_00",5,3.18181818181818,5.57639457639458,1.92454055377768,83,-1.24423275460529,0.083,999
"bc5_00",14,4.3,3.28021771771772,0.826675794756123,899,1.23359397813641,0.899,999
"bc6_00",17,3.34210526315789,3.1439070649597,0.50027523716727,697.5,0.396178310404616,0.6975,999
"bc7_00",22,2.84057971014493,2.93709651680666,0.395184024930968,458.5,-0.244232561472073,0.4585,999
"bc8_00",16,3.42307692307692,3.20293370293370,0.38037540331206,736.5,0.578752511929943,0.7365,999
"bc9_00",22,3.68292682926829,2.89639232728664,0.764132497035035,850.5,1.02931691170516,0.8505,999
"bc10_00",12,3.52293577981651,3.58126015924181,1.18264924403673,544.5,-0.0493167181388613,0.5445,999
"na1_00",17,3.67567567567568,3.13268674079485,0.58396597135848,846,0.929829752952336,0.846,999
"na2_00",14,2.35,3.33088088088088,0.748060166597932,21.5,-1.31123260491437,0.0215,999
"na3_00",11,3.22727272727273,3.72190372190372,0.668854195229812,245,-0.73951991055546,0.245,999
"na4_00",11,4.2972972972973,3.68963558152747,1.02105016242384,797.5,0.595134047407933,0.7975,999
"na5_00",18,4.12182741116751,3.10102488275077,0.784006554336264,905,1.30203315619083,0.905,999
"na6_00",14,3.74,3.35003003003003,0.746082822651487,768,0.522689918773448,0.768,999
"na7_00",14,3.17073170731707,3.35293830415782,0.544378661299023,397.5,-0.334705619073959,0.3975,999
"na8_00",16,3.31372549019608,3.20991579815109,0.464176209296703,636,0.223642853653085,0.636,999
"na9_00",28,2.15789473684211,2.76177932318283,0.688143738271761,77,-0.877555883684059,0.077,999
"na10_00",18,2.64814814814815,3.07750342935528,0.506818656234879,211,-0.847157609383964,0.211,999
"fr1_01",20,2.88429752066116,3.01098619280437,0.413843143630191,419.5,-0.306127270907323,0.4195,999
"fr2_01",22,2.4811320754717,2.8998998998999,0.615656876537503,320.5,-0.680196779062034,0.3205,999
"fr3_01",19,4.33333333333333,3.04907938241272,0.775913930658473,928.5,1.65515001107242,0.9285,999
"fr4_01",10,3.70588235294118,3.83539421774716,0.864414709078319,489.5,-0.149826077050533,0.4895,999
"fr5_01",29,2.34782608695652,2.72042042042042,0.486644016745656,258,-0.76564042840916,0.258,999
"fr6_01",10,2.81012658227848,3.88688688688689,0.96968209778427,97,-1.11042609435485,0.097,999
"fr7_01",14,2.42666666666667,3.44237570904238,1.06007854280076,140.5,-0.958145082054183,0.1405,999
"fr8_01",12,2.25,3.53673316173316,1.15605549272020,31.5,-1.11303754001071,0.0315,999
"fr9_01",17,2.65254237288136,3.13056276615599,0.840293715645745,353,-0.568872983784347,0.353,999
"fr10_01",6,6.42372881355932,5.08286252354049,2.28496615130431,726.5,0.58682107358721,0.7265,999
"fo1_01",22,2.87654320987654,2.9019019019019,0.449152751100475,539,-0.0564589484606904,0.539,999
"fo2_01",12,4.078125,3.59733170670671,0.816835544316745,756.5,0.588604764616922,0.7565,999
"fo3_01",18,2.82278481012658,3.12122248831110,0.604247272204934,349.5,-0.49389991798473,0.3495,999
"fo4_01",22,4.20873786407767,2.9028300144805,0.738095673320685,945,1.76929346262376,0.945,999
"fo5_01",27,2.58666666666667,2.76,0.503750264175925,479,-0.344085841060323,0.479,999
"fo6_01",16,3.19767441860465,3.21657704215844,0.595611939840194,525,-0.0317364751936609,0.525,999
"fo7_01",18,2.53846153846154,3.12337979004646,0.662959428914642,178,-0.882283630149905,0.178,999
"fo8_01",17,4.09259259259259,3.13489415341267,0.497312956247287,969,1.92574600590882,0.969,999
"fo9_01",23,2.35294117647059,2.85218159335806,0.452591080067938,105.5,-1.10307171058814,0.1055,999
"fo10_01",17,2.38461538461538,3.15855855855856,0.718325534659601,106.5,-1.07742678855197,0.1065,999
"bc1_01",23,3.05769230769231,2.86077423577424,0.482306326678976,702.5,0.408284239756906,0.7025,999
"bc2_01",9,4.86206896551724,4.10413862138,0.886054007908877,803.5,0.855399713078423,0.8035,999
"bc3_01",9,3.53125,4.05735422922923,0.834087884581065,288,-0.630753951657593,0.288,999
"bc4_01",11,4.12,3.75687687687688,0.806898026212276,711.5,0.45002356100397,0.7115,999
"bc5_01",20,3.06666666666667,2.94997664330998,0.436181571983552,644.5,0.267526257072343,0.6445,999
"bc6_01",18,3.18055555555556,3.07841174507841,0.597991444340022,632.5,0.170811491441780,0.6325,999
"bc7_01",17,3.31884057971015,3.1386313850082,0.430538827134446,686.5,0.418566650309738,0.6865,999
"bc8_01",13,3.44210526315789,3.48307254623044,0.725184679101632,531,-0.0564922070930908,0.531,999
"bc9_01",19,3.37,3.07187187187187,0.533572111336032,756.5,0.558740087411304,0.7565,999
"bc10_01",9,3.69230769230769,4.08662508662509,0.722620990949353,299,-0.545676639976032,0.299,999
"na1_01",8,4.45614035087719,4.34416873013364,1.13007029288702,578,0.099083766247402,0.578,999
"na2_01",12,4.59322033898305,3.58015642761405,0.782406066480535,899,1.29480579812733,0.899,999
"na3_01",13,4.66666666666667,3.43163453308381,0.69438124270315,939,1.77860814438912,0.939,999
"na4_01",13,3.30555555555556,3.46691135580024,0.541536035326394,401,-0.297959488785335,0.401,999
"na5_01",20,3.04109589041096,2.99149834766273,0.416819607622776,585.5,0.118990426172835,0.5855,999
"na6_01",8,4.54901960784314,4.30932893677992,0.965126098563188,625,0.248351662461573,0.625,999
"na7_01",12,3.76923076923077,3.58300608300608,1.0768343043879,647.5,0.172937178418123,0.6475,999
"na8_01",9,4.09411764705882,4.09258670435141,1.00054094161663,552,0.00153011500452910,0.552,999
"na9_01",13,2.63157894736842,3.46246246246246,0.714001559441402,78.5,-1.16369986046540,0.0785,999
"na10_01",16,3.54545454545455,3.1975611975612,0.48534152128056,779,0.716801123826045,0.779,999
"fr1_02",18,2.62790697674419,3.08010335917313,0.525975731932959,211,-0.859728605285876,0.211,999
"fr2_02",18,2.78225806451613,3.12041073331396,0.600064346233776,314,-0.563527346559082,0.314,999
"fr3_02",9,3.26470588235294,3.99902844020491,0.973091762401652,238,-0.754628274767854,0.238,999
"fr4_02",6,2.58333333333333,5.05572238905572,1.77568435388621,33.5,-1.39235841680499,0.0335,999
"fr5_02",14,2.74534161490683,3.34357960444917,0.758953693663124,230.5,-0.788240434874116,0.2305,999
"fr6_02",14,3.52380952380952,3.34210400877068,0.423918154437414,693.5,0.428633482989168,0.6935,999
"fr7_02",11,4.63157894736842,3.67853379695485,1.27284858346921,821.5,0.748749822084888,0.8215,999
"fr8_02",7,7.46753246753247,4.71211471211471,2.13674922984993,880.5,1.28953726386099,0.8805,999
"fr9_02",17,2.27049180327869,3.13360901885492,0.938487878107484,199,-0.91968925301066,0.199,999
"fr10_02",6,4.86363636363636,4.96560196560197,2.2633896063965,592.5,-0.0450499559057091,0.5925,999
"fo1_02",16,4.57017543859649,3.18579983492264,0.906064364225375,925,1.52789984722266,0.925,999
"fo2_02",16,4.76223776223776,3.16510916510917,0.663991697527568,976,2.40534422806135,0.976,999
"fo3_02",16,3.5187969924812,3.23143444196076,0.675159992992556,713,0.425621413447129,0.713,999
"fo4_02",15,4.9158215010142,3.23718952217938,1.11910992992199,936.5,1.49997058729685,0.9365,999
"fo5_02",22,2.18316831683168,2.93207068454593,0.72247368410899,74,-1.03658082527650,0.074,999
"fo6_02",19,4.18518518518519,3.06175620064509,0.832405808349758,891,1.34961694557044,0.891,999
"fo7_02",18,3.01369863013699,3.05526074019225,0.729627504301912,570,-0.0569634639733412,0.57,999
"fo8_02",16,2.98076923076923,3.19045969045969,0.719385910298342,450,-0.291485358120925,0.45,999
"fo9_02",16,3.17525773195876,3.22088067448892,0.805257231952713,563,-0.0566563586389972,0.563,999
"fo10_02",20,3.05940594059406,2.96698678876897,0.509742890362376,627.5,0.181305425877331,0.6275,999
"bc1_02",14,3.85888738127544,3.35338730861119,1.31923093888307,659.5,0.383177848369926,0.6595,999
"bc2_02",19,2.31302521008403,3.02958630899807,0.984512461580278,387,-0.727833447393709,0.387,999
"bc3_02",11,3.84821428571429,3.67985842985843,1.21321716928126,636.5,0.138768111858814,0.6365,999
"bc4_02",7,5.04065040650407,4.5957176688884,1.44605837820834,657,0.307686566684075,0.657,999
"bc5_02",21,2.09712230215827,2.93984272041826,0.824216230590732,25.5,-1.02245064702984,0.0255,999
"bc6_02",17,3.64489795918367,3.10483953341096,0.898052661741358,748.5,0.601366098871661,0.7485,999
"bc7_02",15,2.98666666666667,3.24076076076076,0.811374685075264,434.5,-0.313164927089787,0.4345,999
"bc8_02",14,2.32119205298013,3.33934265391219,1.15243628638154,256.5,-0.883476694515477,0.2565,999
"bc9_02",15,2.21764705882353,3.27854913737267,1.0223018179947,79,-1.03775818439818,0.079,999
"bc10_02",12,3.44444444444444,3.55225595966337,0.65460890297387,486.5,-0.164696072309952,0.4865,999
"na1_02",15,2.34010152284264,3.24041300183432,1.01040401970833,218,-0.891041070137049,0.218,999
"na2_02",14,3.86497890295359,3.32855640450577,1.18087015425528,717.5,0.454260357512474,0.7175,999
"na3_02",11,3.80745341614907,3.74571465875814,1.06240893600125,600.5,0.0581120464058848,0.6005,999
"na4_02",11,3,3.73050828606384,0.675493540839953,124.5,-1.08144377687976,0.1245,999
"na5_02",15,2.38156359393232,3.23516748954322,1.26313645003303,378,-0.675781223468436,0.378,999
"na6_02",19,2.70056497175141,3.04055467897276,0.627952004434838,340,-0.541426263186052,0.34,999
"na7_02",15,4.11809045226131,3.23289118263993,1.06227848284653,862,0.833302456856099,0.862,999
"na8_02",15,2.65384615384615,3.27201047201047,0.794857037913216,240.5,-0.777705032073718,0.2405,999
"na9_02",12,2.36559139784946,3.56761062137406,1.33977177371680,220.5,-0.897182077653382,0.2205,999
"na10_02",12,3.96330275229358,3.58316114279417,0.977322621029887,737,0.388962253937007,0.737,999
"fr1_03",21,2.5,2.93063063063063,0.342877609410406,95,-1.25593103431606,0.095,999
"fr2_03",27,2.35211267605634,2.76245964274133,0.343844654717143,95.5,-1.19340801450748,0.0955,999
"fr3_03",20,2.75471698113208,2.98976334825391,0.334526034759306,258,-0.702625035719436,0.258,999
"fr4_03",26,2.44444444444444,2.79385734941290,0.301831982129557,112.5,-1.15764042797320,0.1125,999
"fr5_03",22,2.45,2.9029029029029,0.37461503051857,97.5,-1.20898219774033,0.0975,999
"fr6_03",25,2.4,2.8036673036673,0.422521819660561,158,-0.955376231200546,0.158,999
"fr7_03",29,2.20125786163522,2.72687152561366,0.333411354268053,33.5,-1.57647199847869,0.0335,999
"fr8_03",27,2.83098591549296,2.75431769797967,0.251639721811256,635,0.304674544072152,0.635,999
"fr9_03",23,2.51428571428571,2.87225320558654,0.349800890937002,155,-1.02334642528196,0.155,999
"fr10_03",13,2.43333333333333,3.40193526860194,0.6420285506115,30,-1.50865866377135,0.03,999
"fo1_03",32,2.48181818181818,2.65338975338975,0.21145166898225,224.5,-0.81139852145586,0.2245,999
"fo2_03",27,2.76612903225806,2.75822596790339,0.306986766920593,548.5,0.0257439903157832,0.5485,999
"fo3_03",33,2.17948717948718,2.64105986328209,0.265843412231107,12,-1.73625774632190,0.012,999
"fo4_03",24,4.67356687898089,2.82774016054271,0.879326908517234,943,2.09913594200217,0.943,999
"fo5_03",36,2.65517241379310,2.59316212764489,0.216995777211558,642.5,0.285767248308067,0.6425,999
"fo6_03",29,2.46835443037975,2.71721088176784,0.224941323330954,134.5,-1.10631718397939,0.1345,999
"fo7_03",34,2.33333333333333,2.62077553744220,0.225653035380455,84,-1.273823787144,0.084,999
"fo8_03",23,2.72916666666667,2.88425925925926,0.301809073398105,324.5,-0.513876507576085,0.3245,999
"fo9_03",34,2.86607142857143,2.60664235664236,0.292779197441372,818,0.886091205236745,0.818,999
"fo10_03",23,2.84931506849315,2.88443237758306,0.31934401676449,492.5,-0.109967017530848,0.4925,999
"bc1_03",29,3.16129032258065,2.71379121056540,0.411959375650706,858,1.08627000249332,0.858,999
"bc2_03",30,2.97701149425287,2.69326222774499,0.388670676708613,784.5,0.730050614856687,0.7845,999
"bc3_03",21,2.35736677115987,2.98140774002843,0.888053635417459,347,-0.702706395177589,0.347,999
"bc4_03",18,3.06,3.08492492492493,0.357599110201078,504.5,-0.0697007464893013,0.5045,999
"bc5_03",34,2.70454545454545,2.62835562835563,0.172900217573572,676,0.440657780881081,0.676,999
"bc6_03",36,2.33838383838384,2.56968079190301,0.37025916461424,344,-0.624689340938141,0.344,999
"bc7_03",25,2.82352941176471,2.81943708414297,0.295577235614637,549.5,0.0138452056811132,0.5495,999
"bc8_03",23,2.84931506849315,2.86306854800005,0.322901220865844,518,-0.0425934577454524,0.518,999
"bc9_03",27,3.03225806451613,2.75747790801554,0.296991608423893,818,0.925211853489126,0.818,999
"bc10_03",15,3.80555555555556,3.26804582360138,0.536561129916977,860.5,1.00176792910315,0.8605,999
"na1_03",33,2.62237762237762,2.63796663796664,0.274571653923666,515,-0.0567757646000457,0.515,999
"na2_03",32,2.59638554216867,2.66720937805275,0.290134460478605,451,-0.244106941889102,0.451,999
"na3_03",26,3.22,2.78384384384384,0.381049914991553,862.5,1.14461685725825,0.8625,999
"na4_03",26,3.21917808219178,2.79586435750819,0.332811568177399,885.5,1.27193212363925,0.8855,999
"na5_03",27,3.20588235294118,2.78589177412707,0.499568481835338,791.5,0.840706718068217,0.7915,999
"na6_03",21,3.05882352941176,2.93880939763293,0.533378014643322,652.5,0.225007646517063,0.6525,999
"na7_03",31,2.92222222222222,2.66444221999778,0.307700304628566,824,0.837763233727116,0.824,999
"na8_03",32,2.47058823529412,2.65700259082612,0.258161271166770,257.5,-0.722084899448689,0.2575,999
"na9_03",26,2.16666666666667,2.77544210877544,0.353199797796059,2.5,-1.72360076621643,0.0025,999
"na10_03",28,2.75728155339806,2.71960309824388,0.287867452140034,599,0.130888208701880,0.599,999
