"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr1_00",13,1.78431372549020,5.73147657461383,5.43296436805163,190,-0.726521026409596,0.19,999
"fr2_00",16,2.14,4.84744744744745,3.21966499442779,179,-0.840909676048029,0.179,999
"fr3_00",19,0.302083333333333,3.80477352352352,2.44749871557631,2,-1.43113055295942,0.002,999
"fr4_00",20,1.52325581395349,3.54726819843099,2.70829495302424,165,-0.747338240326212,0.165,999
"fr5_00",12,5.85365853658537,6.41951707805366,3.81155565926047,524,-0.148458685128604,0.524,999
"fr6_00",17,0.953846153846154,4.28747208747209,3.52360973570493,45,-0.946082620855006,0.045,999
"fr7_00",9,1.61538461538462,9.01661661661662,8.94021426462279,87.5,-0.827858458663494,0.0875,999
"fr8_00",16,3.15853658536585,4.7089040259772,4.01350353600246,497,-0.386287797358102,0.497,999
"fr9_00",26,2.45299145299145,2.6576148798371,1.80305504490989,592,-0.113487065979106,0.592,999
"fr10_00",17,2.56451612903226,4.14645290451742,3.17533876442707,385,-0.498194647200294,0.385,999
"fo1_00",21,2.83783783783784,3.44947650353056,1.91625370987124,459,-0.319184595725488,0.459,999
"fo2_00",20,2.66666666666667,3.65217598550932,1.80418194313957,350,-0.546236105837367,0.35,999
"fo3_00",15,50.64375,4.98149086586587,7.83792695440965,994,5.82580820154803,0.994,999
"fo4_00",9,3.5,8.83504337671004,4.77230180479413,126.5,-1.11791826982749,0.1265,999
"fo5_00",25,1.70967741935484,2.84328414435941,1.62742951110699,264.5,-0.696562718856858,0.2645,999
"fo6_00",21,2.97752808988764,3.33592018985277,2.33196442632980,574,-0.153686778373886,0.574,999
"fo7_00",20,2.69354838709677,3.51298072265814,2.07579403966378,402,-0.394756088467280,0.402,999
"fo8_00",24,9.364,2.8053013013013,2.92637109675108,941.5,2.24123957005327,0.9415,999
"fo9_00",19,3.02608695652174,3.94024459241851,2.54179183431848,447.5,-0.359650866587144,0.4475,999
"fo10_00",23,2.61363636363636,3.03096278096278,1.81132177687177,520,-0.230398829548197,0.52,999
"bc1_00",18,12,3.95025025025025,2.68120965384155,986,3.00228284581040,0.986,999
"bc2_00",17,3.82089552238806,4.25219996115518,5.64443068237564,737,-0.0764123900243552,0.737,999
"bc3_00",17,1.83333333333333,4.16045211878545,2.42302117329331,146,-0.960420326120864,0.146,999
"bc4_00",5,5.18181818181818,15.9140049140049,11.6348182133695,136,-0.922419803676385,0.136,999
"bc5_00",14,15.3875,5.1573948948949,5.44513548636705,923,1.87876043318264,0.923,999
"bc6_00",17,10.1052631578947,4.12638954744218,2.48406232074127,967,2.40689356322929,0.967,999
"bc7_00",22,9.6231884057971,3.11808910359635,1.94316991591715,986.5,3.34767394704669,0.9865,999
"bc8_00",16,3.92307692307692,4.46565796565797,2.28560402342307,477.5,-0.237390657795762,0.4775,999
"bc9_00",22,3.53658536585366,3.06513017082123,4.05209000545709,793.5,0.116348648326544,0.7935,999
"bc10_00",12,22.3853211009174,5.93348394265825,6.64550412176351,968,2.47563418166888,0.968,999
